YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,361,415.9,18,14.0
20200521,404,421.8,7,13.7
20200522,364,418.9,12,13.6
20200523,374,410.4,8,13.1
20200524,348,402.4,2,12.6
20200525,633,398.7,15,12.0
20200526,590,411.1,14,11.6
20200527,364,413.9,3,11.4
20200528,486,415.5,8,10.7
20200529,513,420.5,19,11.0
20200530,427,429.0,8,10.7
20200531,511,451.1,12,10.6
20200601,325,465.7,16,10.8
20200602,209,497.7,7,10.9
20200603,220,525.5,0,10.7
20200604,308,547.9,0,10.6
20200605,648,532.2,23,9.9
20200606,445,530.2,13,9.8
20200607,422,556.1,3,9.9
20200608,491,568.0,26,10.4
20200609,566,569.7,11,10.1
20200610,825,571.1,15,10.5
20200611,711,567.7,11,10.0
20200612,1035,583.1,14,9.3
20200613,959,626.4,4,10.0
20200614,818,663.0,0,11.0
20200615,303,696.1,1,10.9
20200616,549,714.0,11,11.0
20200617,907,701.3,5,11.0
20200618,735,748.9,20,11.0
20200619,549,777.2,12,10.0
20200620,458,792.5,16,10.5
20200621,439,809.0,1,10.9
20200622,649,855.7,2,11.0
20200623,1118,850.0,23,11.3
20200624,989,850.1,27,11.1
20200625,1002,849.5,5,11.5
20200626,1023,878.4,11,11.9
20200627,180,919.7,12,11.8
20200628,1420,962.3,0,12.8
20200629,1086,1000.9,10,12.3
20200630,888,1052.6,21,13.4
20200701,1170,1100.9,22,13.1
20200702,1693,1174.2,13,13.4
20200703,915,1209.4,21,13.5
20200704,961,1256.9,1,14.3
20200705,806,1300.8,0,15.2
20200706,910,1345.1,0,15.9
20200707,1416,1392.8,26,17.0
20200708,1801,1480.9,25,17.5
20200709,1546,1487.1,10,17.3
20200710,1634,1507.0,36,17.2
20200711,1473,1529.7,10,16.8
20200712,1979,1568.9,7,18.7
20200713,1387,1587.9,3,19.6
20200714,2116,1644.8,40,20.6
20200715,1910,1665.3,47,21.4
20200716,1934,1710.8,19,21.8
20200717,2024,1729.7,35,22.3
20200718,2029,1731.0,21,22.9
20200719,1552,1738.2,1,22.9
20200720,1503,1760.4,4,23.7
20200721,1364,1758.9,12,22.7
20200722,1994,1785.6,61,23.3
20200723,2091,1746.5,33,24.1
20200724,2110,1730.2,41,24.2
20200725,1393,1674.9,18,23.9
20200726,1760,1672.8,17,23.0
20200727,1308,1662.7,18,23.0
20200728,1442,1654.4,0,22.4
20200729,1954,1603.5,47,22.3
20200730,2012,1606.3,27,22.9
20200731,1602,1578.8,15,24.1
20200801,2033,1566.0,23,25.9
20200802,1159,1506.0,24,24.7
20200803,1044,1442.4,6,23.5
20200804,955,1395.3,33,21.7
20200805,1866,1368.5,29,21.0
20200806,1721,1320.0,19,20.2
20200807,1851,1325.5,21,20.7
20200808,959,1319.9,20,20.1
20200809,1612,1287.8,13,19.3
20200810,925,1241.6,29,19.5
20200811,1094,1235.5,50,19.8
20200812,734,1167.1,35,19.4
20200813,757,1144.1,8,18.4
20200814,1120,1121.1,3,18.6
20200815,830,1177.8,3,17.7
20200816,741,1170.5,2,16.7
20200817,1425,1142.7,27,17.2
20200818,1323,1142.1,11,17.7
20200819,1281,1157.2,8,18.9
20200820,1041,1118.0,30,18.8
20200821,1475,1148.0,22,18.3
20200822,597,1130.9,15,16.8
20200823,676,1143.9,2,16.0
20200824,560,1154.7,11,16.3
20200825,2145,1156.0,13,17.8
20200826,1714,1142.3,8,18.0
20200827,1137,1144.0,31,18.0
20200828,1838,1101.4,31,16.7
20200829,1276,1075.7,45,16.2
20200830,789,1065.0,10,16.2
20200831,1556,1066.7,20,15.6
20200901,734,1042.6,18,16.0
20200902,1006,1064.6,17,16.1
20200903,985,1065.5,16,16.1
20200904,1148,1075.0,33,15.8
20200905,541,1022.4,9,16.7
20200906,776,977.1,1,16.5
20200907,531,972.0,0,15.5
20200908,784,947.1,1,15.3
20200909,1056,924.9,8,13.6
20200910,1077,922.9,16,13.1
20200911,969,890.6,32,12.2
20200912,1059,886.9,17,12.2
20200913,695,888.4,1,12.9
20200914,758,954.2,4,13.0
20200915,1041,946.0,32,10.7
20200916,763,954.8,5,10.8
20200917,1031,948.3,9,11.0
20200918,1314,958.5,27,11.2
20200919,810,980.0,9,11.4
20200920,747,986.2,0,12.1
20200921,877,980.4,2,11.8
20200922,657,1014.0,18,10.3
20200923,1038,1000.7,31,9.9
20200924,2366,993.1,18,9.9
20200925,976,993.2,-15,9.7
20200926,726,991.7,10,9.2
20200927,639,983.9,0,10.0
20200928,746,1010.9,0,11.2
20200929,1234,1006.1,16,10.7
20200930,1188,1005.7,23,10.8
20201001,955,1004.2,8,10.8
20201002,1675,1014.9,2,10.8
20201003,779,1025.6,8,10.9
20201004,536,1034.4,0,10.4
20201005,759,980.1,1,11.9
20201006,1009,996.1,21,14.0
20201007,600,1008.2,21,13.7
20201008,1598,1019.0,36,13.4
20201009,1214,1034.7,16,13.2
20201010,801,1029.8,11,13.7
20201011,716,1039.7,0,13.7
20201012,1100,1176.7,1,14.0
20201013,882,1198.3,0,14.7
20201014,1224,1221.4,41,14.7
20201015,1225,1238.4,50,15.0
20201016,1312,1260.1,30,15.4
20201017,980,1275.3,2,14.9
20201018,865,1318.6,0,14.8
20201019,1076,1306.2,1,13.2
20201020,1132,1335.0,16,13.3
20201021,1395,1376.9,23,14.4
20201022,3832,1383.0,15,14.7
20201023,2130,1389.4,16,15.0
20201024,1264,1433.7,7,14.4
20201025,892,1443.2,0,14.3
20201026,1215,1461.1,0,12.9
20201027,1329,1475.0,26,12.5
20201028,1508,1494.3,19,14.0
20201029,1338,1507.8,3,14.1
20201030,1819,1545.0,18,14.9
20201031,1681,1493.0,35,15.0
20201101,845,1525.3,6,17.8
20201102,1234,1438.1,0,17.6
20201103,1812,1478.6,14,17.7
20201104,1423,1524.4,19,18.1
20201105,1601,1576.1,20,17.8
20201106,1603,1585.4,23,17.5
20201107,1387,1599.1,33,19.5
20201108,1147,1652.9,2,20.8
20201109,1858,1704.6,0,24.0
20201110,39,1735.3,36,24.7
20201111,2075,1766.4,81,23.3
20201112,2000,1811.8,12,23.1
20201113,2980,1828.0,18,22.8
20201114,2226,1874.3,15,23.1
20201115,1979,1923.4,2,25.0
20201116,1410,1972.8,1,26.0
20201117,1616,1940.1,52,25.0
20201118,2638,1975.0,46,23.4
20201119,2424,2026.9,72,23.5
20201120,2463,2047.7,32,22.7
20201121,2335,2206.6,6,24.7
20201122,1798,2294.8,0,24.3
20201123,1574,2367.7,2,26.8
20201124,2785,2408.7,13,28.6
20201125,2453,2464.1,60,30.0
20201126,2639,2478.8,40,30.5
20201127,917,2523.7,0,30.6
20201128,2119,2658.0,0,30.5
20201129,2236,2700.0,5,30.4
20201130,2295,2810.1,1,29.3
20201201,3376,2876.3,60,30.2
20201202,3928,2958.7,73,30.7
20201203,3531,3006.0,65,31.0
20201204,3840,3038.8,55,31.3
20201205,3390,3079.4,46,31.0
20201206,2288,3158.2,12,31.7
20201207,2352,3256.1,3,32.5
20201208,4436,3467.1,50,34.4
20201209,3522,3567.2,43,38.8
20201210,4735,3582.0,49,39.7
20201211,3853,3586.1,52,40.6
20201212,4066,3662.4,16,38.8
20201213,2790,3702.0,0,41.7
20201214,2264,3735.3,0,42.9
20201215,3638,3725.1,22,40.4
20201216,4107,3612.8,74,38.5
20201217,4695,3607.2,56,38.2
20201218,5348,3603.2,42,39.0
20201219,4221,3578.0,93,37.9
20201220,2548,3649.2,0,37.6
20201221,2380,3633.5,0,37.8
20201222,4979,3665.3,63,37.4
20201223,4758,3648.4,135,36.7
20201224,4232,3633.5,89,36.4
20201225,3625,3628.6,4,36.3
20201226,1032,3717.1,5,36.3
20201227,2170,3740.2,6,37.9
20201228,2269,3756.9,21,39.3
20201229,3907,3743.0,25,42.6
20201230,5016,3773.6,37,43.3
20201231,4406,3783.2,53,44.0
20210101,4521,3769.9,45,43.6
20210102,3711,3716.0,0,53.4
20210103,2476,3639.3,1,55.9
20210104,2161,3608.7,5,60.4
20210105,5498,3576.3,8,64.3
20210106,4591,3677.3,108,68.3
20210107,5046,3665.2,86,68.0
20210108,5057,3625.3,111,67.1
20210109,4863,3559.0,108,66.1
20210110,2750,3468.3,35,71.9
20210111,2100,3395.7,13,73.9
20210112,3848,3349.5,226,76.9
20210113,3147,3332.6,187,85.0
20210114,3588,3297.0,185,85.1
20210115,2945,3281.6,85,85.0
20210116,3153,3157.9,89,95.7
20210117,1917,3090.6,1,103.7
20210118,1430,3024.0,1,107.6
20210119,2515,2918.8,5,113.1
20210120,3112,2783.8,157,110.9
20210121,2881,2749.5,96,112.1
20210122,3551,2707.6,107,116.4
20210123,3355,2623.3,171,110.5
20210124,1728,2574.3,3,116.3
20210125,1839,2535.2,2,115.2
20210126,2900,2466.2,234,115.2
20210127,3177,2411.0,276,114.0
20210128,3648,2372.6,168,114.0
20210129,2848,2348.6,226,114.4
20210130,0,2291.6,0,116.8
20210131,4057,2210.1,122,124.0
20210201,1221,2144.5,0,125.8
20210202,2078,2027.6,206,128.3
20210203,2118,1924.5,309,123.1
20210204,2767,1893.4,162,123.0
20210205,1496,1837.9,84,123.0
20210206,1992,1741.9,64,112.4
20210207,1112,1622.9,2,103.5
20210208,925,1506.2,8,99.2
20210209,1318,1411.0,56,95.6
20210210,1401,1351.2,309,93.5
20210211,1503,1295.4,133,90.7
20210212,1097,1269.5,159,87.4
20210213,1189,1239.8,62,84.1
20210214,1075,1198.3,0,73.4
20210215,674,1108.9,2,69.8
20210216,883,1072.9,13,67.6
20210217,679,1017.7,89,67.5
20210218,1198,991.9,78,67.3
20210219,847,972.4,149,67.0
20210220,774,940.7,17,67.2
20210221,857,1004.1,2,54.3
20210222,677,976.5,0,51.1
20210223,1453,962.9,68,44.9
20210224,1247,931.2,84,43.2
20210225,890,899.4,87,43.1
