YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,1,7.3,0,0.0
20200521,0,8.0,0,0.0
20200522,3,7.8,0,0.0
20200523,4,8.2,0,0.0
20200524,0,9.0,0,0.0
20200525,1,8.8,0,0.0
20200526,2,8.7,0,0.0
20200527,1,8.7,0,0.0
20200528,13,8.5,0,0.0
20200529,5,8.9,0,0.0
20200530,4,8.8,0,0.0
20200531,26,9.7,0,0.0
20200601,8,10.4,0,0.0
20200602,20,11.0,0,0.1
20200603,28,12.2,0,0.1
20200604,8,12.6,0,0.1
20200605,11,12.7,0,0.1
20200606,12,13.1,0,0.1
20200607,8,14.0,0,0.1
20200608,19,14.0,0,0.1
20200609,10,14.4,1,0.1
20200610,20,15.2,0,0.1
20200611,17,14.5,0,0.1
20200612,15,14.5,1,0.1
20200613,29,13.7,0,0.1
20200614,7,13.8,0,0.1
20200615,3,14.5,0,0.1
20200616,12,15.0,0,0.2
20200617,20,15.3,0,0.2
20200618,13,16.3,0,0.2
20200619,13,16.4,0,0.2
20200620,21,17.6,0,0.1
20200621,11,18.5,0,0.1
20200622,8,19.6,0,0.1
20200623,2,21.1,0,0.1
20200624,31,22.0,0,0.2
20200625,23,23.0,0,0.2
20200626,21,24.2,2,0.2
20200627,19,24.5,0,0.2
20200628,28,25.5,0,0.2
20200629,22,27.0,0,0.2
20200630,35,29.0,0,0.2
20200701,38,31.7,0,0.2
20200702,40,35.5,0,0.2
20200703,47,38.0,1,0.2
20200704,48,39.9,1,0.2
20200705,27,40.9,0,0.2
20200706,29,42.8,0,0.2
20200707,18,43.8,1,0.1
20200708,41,45.8,0,0.2
20200709,46,48.4,0,0.2
20200710,55,51.0,0,0.2
20200711,77,54.1,0,0.2
20200712,90,56.2,0,0.2
20200713,62,57.2,0,0.2
20200714,41,57.7,0,0.2
20200715,51,59.6,0,0.2
20200716,63,67.1,0,0.2
20200717,43,70.5,0,0.2
20200718,60,74.9,1,0.2
20200719,83,76.1,0,0.2
20200720,76,78.0,0,0.3
20200721,102,80.6,0,0.3
20200722,82,84.0,1,0.3
20200723,60,86.4,0,0.3
20200724,57,86.3,0,0.4
20200725,88,86.9,1,0.4
20200726,186,87.1,0,0.4
20200727,100,85.7,1,0.4
20200728,109,86.3,1,0.4
20200729,68,87.0,0,0.4
20200730,84,87.9,1,0.4
20200731,110,87.1,0,0.4
20200801,148,84.7,1,0.4
20200802,141,83.4,0,0.4
20200803,60,84.5,1,0.4
20200804,54,87.0,0,0.4
20200805,55,87.0,0,0.4
20200806,34,82.9,0,0.4
20200807,55,80.5,0,0.3
20200808,76,78.3,1,0.3
20200809,101,78.2,0,0.3
20200810,60,78.3,0,0.3
20200811,51,76.1,0,0.3
20200812,54,73.3,1,0.3
20200813,84,69.7,0,0.4
20200814,110,70.1,0,0.4
20200815,86,69.0,1,0.5
20200816,100,69.0,0,0.6
20200817,51,71.1,0,0.6
20200818,62,74.1,1,0.6
20200819,67,74.8,0,0.5
20200820,85,72.0,0,0.5
20200821,64,71.0,1,0.5
20200822,90,70.1,1,0.6
20200823,65,70.7,1,0.6
20200824,68,71.6,0,0.6
20200825,32,72.0,4,0.7
20200826,53,72.3,1,0.7
20200827,80,71.5,0,0.7
20200828,118,70.7,0,0.7
20200829,89,69.4,0,0.6
20200830,44,69.2,0,0.6
20200831,37,70.9,0,0.6
20200901,34,72.2,2,0.6
20200902,66,72.9,0,0.6
20200903,102,72.7,1,0.6
20200904,119,73.0,0,0.5
20200905,93,73.4,2,0.4
20200906,83,73.2,0,0.3
20200907,33,74.4,0,0.3
20200908,35,73.9,0,0.4
20200909,63,73.7,0,0.4
20200910,121,76.0,0,0.4
20200911,92,77.5,1,0.4
20200912,103,78.0,1,0.3
20200913,61,78.1,0,0.3
20200914,75,79.3,0,0.3
20200915,41,79.5,0,0.5
20200916,48,80.5,0,0.6
20200917,105,82.0,0,0.7
20200918,107,86.0,1,0.7
20200919,85,90.2,0,0.7
20200920,92,92.2,0,0.7
20200921,70,92.2,0,0.8
20200922,44,93.9,0,0.7
20200923,68,95.8,0,0.7
20200924,128,101.8,1,0.7
