YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,330,398.2,42,29.5
20200521,442,413.0,17,27.6
20200522,276,404.6,11,26.1
20200523,429,441.1,26,25.3
20200524,324,475.6,0,25.2
20200525,198,483.3,6,24.0
20200526,289,539.8,3,22.8
20200527,454,570.4,24,22.1
20200528,559,626.1,26,20.5
20200529,595,641.4,26,18.6
20200530,786,653.3,18,17.7
20200531,678,711.7,3,16.9
20200601,193,758.0,11,17.7
20200602,1135,829.3,25,18.1
20200603,1092,886.0,40,18.5
20200604,530,920.4,16,18.4
20200605,1553,965.2,16,18.9
20200606,1012,1062.9,28,19.9
20200607,1538,1124.7,8,19.8
20200608,689,1217.5,2,20.1
20200609,618,1354.2,23,20.7
20200610,1556,1470.0,25,21.0
20200611,1415,1555.0,34,21.0
20200612,1772,1641.4,21,20.6
20200613,1621,1767.3,33,21.6
20200614,1046,1801.6,2,23.0
20200615,1138,1923.6,12,23.6
20200616,2341,2010.5,25,24.8
20200617,1752,2127.3,21,25.6
20200618,2508,2234.8,34,25.9
20200619,3465,2231.8,38,26.0
20200620,3217,2425.3,25,27.1
20200621,2464,2583.5,3,29.7
20200622,2008,2675.1,2,30.0
20200623,3779,2801.6,45,30.6
20200624,1812,2852.7,71,29.9
20200625,3091,2971.3,28,30.2
20200626,3378,3076.7,41,29.8
20200627,3465,3138.5,44,33.3
20200628,3796,3222.7,14,34.0
20200629,625,3296.5,4,36.0
20200630,4683,3332.5,47,36.2
20200701,4877,3324.0,80,38.3
20200702,3340,3327.4,39,42.3
20200703,4427,3296.4,34,42.6
20200704,2695,3320.0,19,44.8
20200705,3536,3388.8,8,46.0
20200706,3352,3396.8,4,47.5
20200707,3639,3422.1,98,49.9
20200708,3520,3387.7,36,54.8
20200709,4057,3319.2,75,55.6
20200710,4221,3363.7,44,56.5
20200711,3038,3307.4,69,60.6
20200712,2537,3166.9,86,59.5
20200713,1357,3119.0,9,61.9
20200714,4273,3068.0,91,64.0
