YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,80,151.9,5,3.9
20200521,455,158.1,3,3.7
20200522,154,161.9,3,3.5
20200523,163,174.5,2,3.3
20200524,147,181.1,1,3.3
20200525,107,193.0,1,3.5
20200526,151,198.5,2,3.3
20200527,97,214.7,1,3.2
20200528,261,224.9,5,3.0
20200529,239,234.6,7,2.8
20200530,236,245.6,1,2.8
20200531,240,255.5,0,2.8
20200601,190,255.1,0,2.9
20200602,375,282.6,3,3.0
20200603,249,301.0,6,3.0
20200604,358,313.3,9,3.0
20200605,226,328.0,1,3.1
20200606,450,333.9,2,3.3
20200607,325,349.0,0,3.7
20200608,314,351.9,1,4.0
20200609,340,374.0,6,3.9
20200610,288,387.1,4,4.3
20200611,448,395.6,6,4.3
20200612,731,411.4,5,4.4
20200613,548,421.9,1,4.8
20200614,406,443.2,2,4.7
20200615,416,458.9,3,4.4
20200616,274,480.4,6,4.6
20200617,415,486.1,9,5.0
20200618,322,494.9,11,5.2
20200619,703,500.8,6,5.2
20200620,511,509.4,10,5.2
20200621,419,515.7,1,5.3
20200622,522,536.1,2,5.1
20200623,595,527.4,10,5.0
20200624,697,529.2,3,5.2
20200625,687,538.7,0,5.1
20200626,678,539.8,9,5.2
20200627,570,539.1,10,5.4
20200628,508,554.3,5,5.1
20200629,439,577.3,1,4.8
20200630,520,579.6,5,4.7
20200701,420,605.8,7,4.5
20200702,878,609.8,2,4.6
20200703,547,612.2,2,4.6
20200704,587,625.4,5,4.5
20200705,605,615.3,1,4.5
20200706,439,621.5,5,4.6
20200707,259,620.1,9,5.0
20200708,734,629.7,4,4.7
20200709,806,638.6,4,4.6
20200710,751,651.0,4,4.7
20200711,1061,660.9,6,5.0
20200712,503,669.0,2,4.9
20200713,572,675.4,2,5.1
20200714,873,696.5,8,5.4
20200715,485,703.4,4,5.4
20200716,817,705.2,6,5.4
20200717,648,723.5,12,5.5
20200718,771,746.1,4,6.0
20200719,695,748.7,0,6.1
20200720,699,748.0,6,6.3
20200721,728,748.0,11,6.7
20200722,591,729.0,6,6.6
20200723,1013,735.4,6,6.8
20200724,990,745.6,8,7.2
20200725,732,741.4,5,7.6
20200726,642,761.7,2,8.2
20200727,824,757.8,7,8.3
20200728,734,775.1,20,8.0
20200729,787,775.1,6,8.5
20200730,791,769.3,8,8.8
20200731,752,766.7,11,9.1
20200801,662,750.3,5,9.1
20200802,637,754.8,6,9.1
20200803,787,738.4,11,9.3
20200804,784,721.1,15,9.2
20200805,912,667.2,18,9.6
20200806,735,668.7,7,9.4
20200807,1011,649.0,6,9.3
20200808,772,633.6,14,9.1
20200809,572,630.9,9,9.4
20200810,645,619.3,11,9.5
20200811,383,625.8,11,10.0
20200812,685,620.3,6,10.3
20200813,670,607.8,10,10.6
20200814,626,585.6,5,10.5
20200815,-400,571.1,13,10.5
20200816,673,558.6,-1,10.7
20200817,412,558.0,4,10.7
20200818,410,549.7,16,11.2
20200819,729,550.8,12,11.3
20200820,549,546.3,10,11.4
20200821,887,533.1,22,11.5
20200822,547,527.9,11,11.8
20200823,375,524.6,13,12.8
20200824,320,538.8,9,13.3
20200825,480,561.1,15,13.6
20200826,649,604.7,21,13.4
20200827,722,605.3,7,14.0
20200828,838,602.4,17,14.5
20200829,795,596.9,16,14.2
20200830,478,580.5,12,14.1
20200831,368,573.3,13,14.2
20200901,273,583.8,17,13.8
20200902,615,643.4,27,14.0
20200903,969,649.8,20,14.0
20200904,1094,654.0,12,14.1
20200905,515,672.5,9,20.9
20200906,687,676.0,12,20.2
20200907,350,688.9,14,20.3
20200908,294,690.4,9,19.9
20200909,385,703.9,11,19.5
20200910,398,708.0,12,19.3
20200911,1107,721.0,13,19.0
20200912,1799,737.3,16,18.8
20200913,509,754.8,12,18.5
20200914,408,760.4,11,18.3
20200915,870,751.0,158,18.7
20200916,722,765.0,7,19.2
20200917,992,755.5,9,19.7
20200918,871,777.2,7,20.0
20200919,1078,796.9,8,20.6
20200920,563,823.4,0,21.0
20200921,641,858.0,16,21.1
20200922,617,850.9,12,20.9
20200923,982,800.7,20,20.9
20200924,1086,799.7,17,21.1
20200925,897,800.1,20,21.7
20200926,809,789.2,19,15.2
20200927,487,793.4,23,15.5
20200928,807,806.4,21,16.0
20200929,706,820.5,21,17.0
20200930,942,812.4,19,17.7
20201001,1124,814.8,15,18.1
20201002,958,815.4,7,18.5
20201003,746,818.4,16,19.1
20201004,488,823.0,18,19.3
20201005,417,832.1,22,19.0
20201006,641,837.8,22,19.0
20201007,809,841.3,13,19.0
20201008,1265,848.8,21,18.9
20201009,1167,835.6,27,18.3
20201010,908,842.2,22,18.0
20201011,613,852.3,17,18.2
20201012,654,856.0,17,18.5
20201013,680,874.1,25,18.6
20201014,1079,894.9,23,18.6
20201015,1278,909.6,11,18.4
20201016,1015,918.9,20,18.4
20201017,883,933.7,19,18.5
20201018,644,941.0,20,18.7
20201019,531,931.8,10,18.6
20201020,844,931.5,14,17.6
20201021,1155,951.0,23,17.8
20201022,1202,963.0,21,18.5
20201023,1337,959.7,10,19.0
20201024,1183,969.1,15,18.7
20201025,797,979.3,15,18.7
20201026,612,992.2,21,18.7
20201027,952,1032.9,24,18.6
20201028,961,1067.0,18,18.3
20201029,1072,1085.7,19,18.1
20201030,1162,1105.4,6,18.8
20201031,1316,1133.0,25,18.3
20201101,867,1171.5,33,17.9
20201102,584,1200.4,27,17.7
20201103,878,1246.8,18,17.4
20201104,1293,1278.5,23,17.2
20201105,1548,1282.1,11,17.7
20201106,1870,1315.3,19,18.7
20201107,1598,1344.0,12,18.5
20201108,1038,1379.9,17,19.0
20201109,945,1435.4,23,19.2
20201110,1424,1478.2,4,20.0
20201111,1962,1506.2,14,19.6
20201112,1809,1529.3,18,19.0
20201113,2312,1550.0,4,19.1
20201114,1848,1609.2,11,19.1
20201115,874,1641.2,24,19.0
20201116,1308,1679.3,42,19.0
20201117,1554,1640.3,20,18.4
20201118,1715,1628.5,30,18.1
20201119,2238,1637.2,22,18.3
20201120,2061,1645.1,24,18.8
20201121,1905,1670.2,16,19.0
20201122,1352,1682.1,20,18.9
20201123,1017,1728.8,30,19.6
20201124,2122,1753.3,18,20.9
20201125,1965,1772.2,20,22.0
20201126,2348,1804.0,11,22.7
20201127,1052,1795.0,0,23.2
20201128,1349,1829.7,13,24.1
20201129,1221,1858.8,21,24.3
20201130,1112,1857.1,32,24.9
20201201,1950,1890.9,10,26.4
20201202,2212,1925.3,10,27.3
20201203,2789,1930.0,33,28.0
20201204,2827,1946.0,31,28.7
20201205,2245,1947.0,34,29.1
20201206,1542,1963.2,40,30.9
20201207,1118,1996.1,53,32.2
20201208,2283,2083.0,39,33.2
20201209,2327,2147.0,34,35.3
20201210,2202,2162.0,34,36.5
20201211,2770,2178.5,55,37.8
20201212,2628,2178.0,36,39.3
20201213,1450,2210.5,34,40.7
20201214,1355,2230.2,45,40.5
20201215,2141,2196.7,26,40.6
20201216,2306,2123.2,58,39.1
20201217,3039,2093.0,38,39.1
20201218,2878,2118.4,27,39.2
20201219,2693,2139.1,52,40.5
20201220,1536,2179.9,46,40.5
20201221,1457,2204.0,58,40.8
20201222,1941,2277.0,43,39.8
20201223,2893,2247.1,38,39.0
20201224,3204,2274.9,30,38.3
20201225,2122,2272.6,32,38.6
20201226,702,2366.2,3,39.0
20201227,908,2432.8,41,39.4
20201228,1651,2446.3,55,38.8
20201229,2718,2449.5,66,39.4
20201230,3184,2458.7,34,39.0
20201231,2708,2544.1,39,38.4
20210101,4304,2535.1,35,37.4
20210102,2000,2595.5,18,37.3
20210103,2033,2575.2,20,38.6
20210104,1306,2541.2,51,39.1
20210105,4107,2589.0,36,39.3
20210106,3705,2676.6,65,40.6
20210107,3323,2679.9,25,39.5
20210108,2944,2654.0,40,38.4
20210109,2886,2588.0,44,37.3
20210110,3330,2556.4,33,38.3
20210111,1268,2575.3,38,39.0
20210112,3209,2473.3,40,39.9
20210113,2467,2454.9,65,39.7
20210114,2491,2409.1,42,40.8
20210115,3124,2377.2,35,40.5
20210116,2543,2300.0,30,40.7
20210117,976,2208.1,18,40.0
20210118,1109,2140.0,32,40.9
20210119,1331,2081.1,43,41.2
20210120,2520,2030.5,55,39.4
20210121,3106,1913.9,55,39.3
20210122,2162,1911.9,53,38.8
20210123,1613,1831.0,14,39.0
20210124,1071,1829.0,43,38.0
20210125,636,1828.0,44,37.2
20210126,2485,1766.1,40,37.5
20210127,1777,1708.9,52,36.6
20210128,1892,1694.4,42,36.4
20210129,1707,1671.9,47,36.3
20210130,1824,1678.8,7,36.3
20210131,881,1610.8,30,34.9
20210201,1226,1515.4,27,33.5
20210202,1510,1439.3,44,31.6
20210203,2426,1408.0,46,32.8
20210204,2469,1379.1,24,31.4
20210205,1824,1364.1,41,29.8
20210206,1341,1254.2,11,28.4
20210207,672,1201.3,15,27.2
20210208,637,1123.3,30,25.7
20210209,1475,1054.8,42,24.0
20210210,1092,992.5,26,24.3
20210211,1103,964.1,25,23.3
20210212,565,917.4,13,22.3
20210213,954,885.2,40,20.9
20210214,466,807.9,13,19.1
20210215,320,724.9,10,18.5
20210216,177,662.6,12,17.0
20210217,667,625.3,26,17.0
20210218,253,746.6,10,8.0
20210219,268,720.8,13,6.9
20210220,517,671.5,12,5.0
20210221,284,638.7,9,4.1
20210222,245,605.4,6,3.5
20210223,834,605.6,14,3.4
20210224,803,575.8,10,2.1
20210225,726,561.4,10,2.6
20210226,516,552.5,10,3.2
20210227,557,564.7,10,3.3
20210228,3220,548.0,-174,3.3
20210301,94,552.1,7,4.1
20210302,440,561.2,4,4.8
20210303,404,551.6,7,5.1
20210304,403,544.2,12,5.6
20210305,570,538.1,10,5.6
20210306,327,517.3,14,5.5
20210307,165,494.5,22,5.7
20210308,133,472.5,24,5.6
20210309,432,458.8,14,5.8
20210310,317,445.3,25,5.5
20210311,340,297.1,28,14.1
20210312,459,295.1,27,14.0
20210313,314,285.6,18,14.0
20210314,130,277.3,19,14.2
20210315,117,274.0,7,14.2
20210316,396,255.7,12,14.3
20210317,325,248.0,14,14.0
20210318,264,243.4,8,13.1
20210319,228,240.8,14,12.3
20210320,274,228.7,4,12.3
20210321,108,223.7,6,11.6
20210322,52,217.6,5,10.8
20210323,239,202.6,3,9.6
20210324,231,198.0,13,8.9
20210325,334,195.8,11,8.0
20210326,184,192.3,12,8.0
20210327,165,181.2,7,7.6
20210328,69,177.3,5,7.3
20210329,79,174.2,6,7.0
20210330,178,171.9,15,6.3
20210331,212,167.0,10,6.1
20210401,211,166.6,10,5.9
20210402,144,167.4,3,5.8
20210403,217,166.7,2,6.0
20210404,84,166.1,2,5.7
20210405,44,163.7,5,5.5
20210406,163,166.2,5,5.2
20210407,244,168.9,7,4.9
20210408,199,167.8,2,4.7
20210409,178,166.8,-1,4.7
20210410,171,167.8,0,4.3
20210411,100,174.4,0,3.9
20210412,69,172.0,4,3.6
20210413,224,176.4,8,3.7
20210414,220,174.9,7,3.6
20210415,283,173.9,6,3.6
20210416,237,174.8,6,3.4
20210417,221,178.0,1,3.4
20210418,45,180.2,1,3.1
20210419,59,182.1,5,3.5
20210420,198,183.0,7,3.7
20210421,352,186.4,2,3.8
20210422,161,188.2,3,3.8
20210423,236,187.8,5,3.9
20210424,184,191.2,1,3.8
20210425,64,195.0,1,3.5
20210426,63,190.4,2,3.4
20210427,229,189.7,5,3.2
20210428,291,190.9,1,3.2
20210429,240,193.2,9,3.2
20210430,196,194.0,4,3.1
20210501,243,195.7,2,3.0
20210502,137,189.6,2,3.3
20210503,61,191.1,4,3.4
20210504,296,191.8,5,3.5
20210505,298,192.6,2,3.6
20210506,188,194.1,3,3.6
20210507,222,194.3,2,3.6
20210508,245,198.3,1,3.8
20210509,95,196.0,1,3.8
20210510,76,196.8,3,3.5
20210511,233,197.0,6,3.4
20210512,224,193.9,7,3.6
20210513,192,192.0,6,3.5
20210514,250,191.4,7,3.5
20210515,202,193.0,3,3.4
20210516,95,187.5,1,3.5
20210517,67,189.0,2,3.4
20210518,313,188.6,9,3.4
20210519,244,184.5,0,3.4
20210520,256,182.9,3,3.4
20210521,201,180.7,3,3.3
20210522,177,172.9,5,3.0
20210523,97,173.8,1,2.8
20210524,49,174.0,3,2.8
20210525,329,174.1,4,2.6
20210526,183,174.2,3,2.5
20210527,218,173.9,2,2.5
20210528,214,173.6,1,2.5
20210529,160,169.7,0,2.2
20210530,61,167.7,2,2.3
20210531,30,169.2,1,2.3
20210601,69,178.4,1,2.3
20210602,242,182.5,1,2.1
20210603,197,182.2,7,2.1
20210604,253,184.8,3,2.0
20210605,203,183.5,1,2.1
20210606,88,188.5,0,1.9
20210607,62,191.9,3,1.9
20210608,231,194.8,3,2.1
20210609,201,199.1,2,2.0
20210610,289,202.6,2,2.0
20210611,393,205.4,3,2.0
20210612,264,225.2,1,2.4
20210613,91,232.2,1,2.5
20210614,103,241.1,2,2.3
20210615,302,243.4,6,2.3
20210616,288,249.1,-2,2.3
20210617,288,260.2,2,2.3
20210618,276,272.6,5,2.3
20210619,251,284.4,0,2.5
20210620,133,307.5,0,2.6
20210621,90,327.1,2,2.6
20210622,485,331.9,8,2.6
20210623,389,339.1,3,2.6
20210624,383,354.5,3,2.7
20210625,302,369.4,3,2.7
20210626,0,367.9,0,2.7
20210627,0,401.8,0,3.1
20210628,966,445.7,4,3.6
20210629,479,487.6,8,3.5
20210630,686,507.6,4,3.6
20210701,700,533.2,0,3.7
20210702,494,560.9,4,3.8
20210703,0,608.0,0,4.1
20210704,0,651.9,0,4.3
20210705,1246,680.3,7,4.3
20210706,270,729.8,6,4.7
20210707,1000,755.0,7,4.9
20210708,1210,780.1,11,5.1
20210709,1155,805.3,4,5.2
20210710,0,871.8,0,5.1
20210711,0,908.6,0,5.3
20210712,2013,963.9,7,5.9
20210713,1476,1035.0,15,6.1
20210714,1309,1111.1,7,6.3
20210715,980,1140.0,4,6.5
20210716,1342,1149.8,11,7.5
20210717,0,1234.7,0,7.7
20210718,0,1268.1,0,7.9
20210719,2552,1345.9,15,7.9
20210720,1875,1412.0,0,8.3
20210721,1459,1443.9,13,9.1
20210722,1860,1506.4,15,9.8
20210723,1987,1514.6,6,11.6
20210724,2015,1555.9,7,11.7
20210725,1022,1628.7,6,12.0
20210726,621,1714.3,23,12.7
20210727,2052,1795.0,10,13.2
20210728,1703,1879.9,12,14.0
20210729,2843,1904.6,11,14.2
20210730,2544,1911.4,13,15.0
20210731,1339,1946.9,18,15.9
20210801,1984,2017.4,16,16.5
20210802,844,2039.2,42,17.2
20210803,2343,2088.6,16,18.6
20210804,2838,2093.4,15,18.9
20210805,2777,2117.0,17,19.7
20210806,3037,2128.2,22,20.0
20210807,2633,2135.4,21,21.5
20210808,1369,2182.1,11,22.2
20210809,995,2215.8,21,22.4
20210810,2620,2209.2,24,23.4
20210811,2940,2265.5,20,24.0
20210812,2318,2229.5,30,24.6
20210813,3023,2236.3,36,24.0
20210814,2117,2230.6,13,25.4
20210815,1517,2227.9,22,25.9
20210816,856,2206.0,31,26.6
20210817,2203,2197.9,41,27.0
20210818,2685,2175.6,26,26.9
20210819,3549,2147.9,16,27.5
20210820,2407,2142.5,33,28.1
20210821,2520,2142.8,31,28.0
20210822,1229,2140.4,29,28.7
20210823,986,2146.9,30,28.9
20210824,2223,2104.3,45,28.1
20210825,2781,2115.9,25,28.2
20210826,2318,2094.7,32,28.1
20210827,2866,2098.5,30,27.2
20210828,2166,2021.4,18,27.1
20210829,787,1997.4,25,27.5
20210830,882,1946.5,33,28.0
20210831,2626,1934.7,22,27.9
20210901,2890,1898.0,35,28.0
20210902,2453,1892.6,34,28.2
20210903,2129,1876.4,19,28.3
20210904,2360,1844.1,16,27.9
20210905,1072,1803.0,19,28.0
20210906,937,1779.5,13,28.0
20210907,583,1729.2,38,27.4
20210908,2181,1701.0,34,27.6
20210909,2481,1698.7,27,27.0
20210910,2159,1675.6,30,27.1
20210911,1749,1617.2,33,26.9
20210912,1116,1549.3,35,26.6
20210913,646,1505.8,31,26.0
20210914,1544,1469.4,36,25.7
20210915,1919,1405.2,28,25.6
20210916,1824,1374.0,33,25.4
20210917,1809,1351.8,17,26.7
20210918,1574,1362.1,22,25.9
20210919,739,1313.2,11,25.1
20210920,396,1242.9,37,24.9
20210921,1401,1180.9,17,24.7
20210922,1463,1128.1,29,23.4
20210923,1540,1098.1,20,22.5
20210924,1365,1076.7,13,21.6
20210925,1012,1038.7,14,21.0
20210926,417,989.3,15,20.0
20210927,470,945.0,40,19.4
20210928,800,894.0,21,19.0
20210929,1153,861.3,19,18.9
20210930,1004,845.2,21,26.3
20211001,857,839.9,27,31.0
20211002,642,808.0,6,30.9
20211003,486,771.4,16,30.4
20211004,195,735.3,12,29.9
20211005,747,704.3,23,30.0
20211006,882,682.9,6,29.5
20211007,893,681.2,21,29.0
20211008,739,665.6,8,27.2
20211009,887,659.0,21,27.1
20211010,401,636.1,167,26.7
20211011,283,612.4,134,26.0
20211012,733,601.2,15,25.6
20211013,694,591.6,19,25.9
20211014,781,580.1,10,25.8
20211015,714,578.5,16,25.7
20211016,562,566.9,3,25.3
20211017,383,551.5,5,25.9
20211018,142,533.6,2,25.8
20211019,661,524.4,19,25.9
20211020,672,504.2,9,25.7
20211021,506,495.7,7,18.0
20211022,622,492.7,18,11.9
20211023,440,468.3,12,11.5
20211024,246,445.8,14,10.9
20211025,161,419.1,11,10.7
20211026,502,395.7,14,10.2
20211027,559,379.4,19,10.3
20211028,517,371.7,19,10.4
20211029,546,375.5,9,10.6
20211030,464,354.5,17,10.0
20211031,221,333.0,6,9.8
