YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,2274,2301.2,91,76.5
20200521,2306,2310.1,88,73.9
20200522,2241,2323.9,61,71.8
20200523,2067,2336.9,66,71.8
20200524,1785,2340.4,19,70.7
20200525,2114,2382.5,14,70.1
20200526,2470,2429.0,28,69.1
20200527,2663,2460.5,103,68.1
20200528,2160,2479.1,88,65.0
20200529,3140,2484.3,77,62.0
20200530,3655,2516.0,62,62.1
20200531,2333,2555.2,35,63.2
20200601,2433,2588.7,48,62.1
20200602,2419,2663.0,90,61.0
20200603,2218,2719.3,69,62.0
20200604,3029,2755.7,79,62.1
20200605,3123,2765.3,69,62.4
20200606,2806,2826.9,71,64.1
20200607,2535,2916.4,26,63.0
20200608,2254,3035.4,28,63.2
20200609,2810,3087.1,93,62.9
20200610,3098,3137.0,113,63.9
20200611,3009,3224.8,65,63.3
20200612,3802,3386.2,39,62.0
20200613,3249,3641.9,85,60.0
20200614,2550,3805.6,23,61.9
20200615,2315,3925.7,19,62.8
20200616,3763,4090.8,64,62.5
20200617,4544,4163.6,80,60.3
20200618,4658,4336.3,93,60.7
20200619,4226,4570.0,70,61.0
20200620,4702,4916.9,82,61.3
20200621,4178,5118.8,23,59.9
20200622,5823,5352.3,20,62.6
20200623,7787,5430.1,50,63.6
20200624,5656,5531.3,107,60.3
20200625,5551,5938.3,99,60.9
20200626,6591,6131.7,63,63.0
20200627,4334,6484.0,25,65.2
20200628,6163,6639.4,33,68.4
20200629,7161,6801.2,36,71.6
20200630,10094,6993.5,99,73.5
20200701,7339,7163.3,83,74.2
20200702,7912,7328.4,122,74.3
20200703,5436,7429.3,60,74.6
20200704,5375,7587.2,15,78.3
20200705,11096,7724.0,36,78.8
20200706,6377,7935.1,62,79.9
20200707,11161,8045.9,112,81.8
20200708,7807,8246.4,147,86.0
20200709,8057,8273.8,160,85.2
20200710,8264,8379.2,109,84.5
20200711,8267,8477.8,98,85.8
20200712,7646,8680.1,25,89.5
20200713,7941,8726.4,26,91.0
20200714,11103,8946.8,127,94.4
20200715,8530,9074.0,118,99.6
20200716,9984,8862.1,121,99.8
20200717,8917,8848.0,103,98.0
20200718,8544,8792.9,113,95.8
20200719,6738,8934.1,18,100.5
20200720,9376,8952.1,21,101.5
20200721,12164,8911.4,126,103.8
20200722,11588,8927.7,160,106.5
20200723,8884,8828.7,154,109.0
20200724,10064,8669.6,131,108.9
20200725,8046,8434.3,125,110.4
20200726,6646,8301.2,40,111.1
20200727,6082,8222.7,25,112.8
20200728,10002,8164.3,65,116.0
20200729,10773,8150.7,245,119.5
20200730,8436,8180.2,182,122.5
20200731,7409,8281.2,156,122.9
20200801,8608,8189.0,156,122.8
20200802,5568,8032.9,77,126.8
20200803,4599,7900.9,24,123.8
20200804,6163,8105.6,158,129.3
20200805,5735,8086.9,134,128.6
20200806,8335,8062.4,155,127.8
20200807,7690,7994.8,171,128.0
20200808,8259,7826.0,186,132.4
20200809,7358,7598.1,82,129.0
20200810,11496,7461.0,29,126.7
20200811,10229,7421.3,124,126.6
20200812,8308,7319.5,243,128.1
20200813,6113,7293.0,92,125.5
20200814,14362,7287.4,246,126.6
20200815,7654,7285.0,111,126.5
20200816,6132,7219.5,23,127.0
20200817,4661,7081.3,30,127.2
20200818,6457,6952.9,157,124.3
20200819,5988,6839.1,174,123.5
20200820,5556,6685.7,132,120.9
20200821,6577,6323.9,154,121.3
20200822,6469,6038.9,189,122.4
20200823,5013,5894.0,21,118.4
20200824,4480,5844.9,48,122.3
20200825,6112,5398.3,155,119.0
20200826,4361,5264.1,145,118.8
20200827,5432,5116.0,160,118.5
20200828,4993,5016.2,110,119.4
20200829,5870,4794.2,169,115.8
20200830,4136,4672.5,26,112.9
20200831,3899,4569.8,38,112.1
20200901,4244,4459.7,147,111.3
20200902,5265,4367.9,159,108.1
20200903,5081,4264.9,175,108.3
20200904,4984,4168.7,175,108.1
20200905,4836,4021.5,108,108.1
20200906,3021,3976.8,17,106.3
20200907,2567,3897.8,49,104.1
20200908,1794,3866.5,80,105.7
20200909,3432,3784.3,114,103.0
20200910,3400,3741.3,116,101.7
20200911,4264,3691.2,136,101.1
20200912,4541,3646.0,123,100.7
20200913,2851,3555.7,24,98.5
20200914,2460,3486.2,45,95.0
20200915,3021,3451.5,154,91.9
20200916,3421,3413.7,108,90.2
20200917,3773,3404.3,113,90.3
20200918,4337,3392.4,143,88.5
20200919,4144,3468.7,112,93.7
20200920,3233,3457.7,-1,93.1
20200921,2847,3462.6,27,94.0
20200922,3294,3456.9,138,90.8
20200923,3368,3443.4,113,88.0
20200924,3623,3440.1,100,87.7
20200925,4255,3411.1,110,86.8
20200926,4042,3409.0,74,83.5
20200927,2823,3431.7,19,82.9
20200928,2317,3438.8,10,80.8
20200929,3397,3432.5,190,77.7
20200930,3200,3416.2,101,76.4
20201001,3503,3422.9,136,77.0
20201002,4144,3412.7,67,76.1
20201003,4258,3392.6,65,71.5
20201004,2783,3398.0,18,71.0
20201005,1851,3381.6,26,70.5
20201006,2977,3331.3,85,69.5
20201007,3897,3282.9,94,70.5
20201008,3922,3312.4,69,69.3
20201009,4205,3364.1,78,69.6
20201010,3801,3386.9,86,64.5
20201011,3373,3386.5,11,66.2
20201012,2634,3523.0,9,62.6
20201013,2871,3621.7,41,61.3
20201014,3481,3668.7,102,60.5
20201015,3280,3677.0,90,60.3
20201016,3199,3750.0,88,59.9
20201017,3025,3831.6,95,61.3
20201018,3442,3854.6,-5,60.0
20201019,3403,3877.0,15,58.1
20201020,3876,3929.9,84,57.2
20201021,3191,3973.1,136,56.2
20201022,6371,4013.2,60,56.6
20201023,6216,4102.5,41,56.6
20201024,5244,4237.9,48,58.0
20201025,2959,4319.2,14,56.3
20201026,3384,4500.0,17,55.1
20201027,4690,4648.7,115,53.3
20201028,4380,4926.9,65,51.7
20201029,4392,5040.8,31,52.2
20201030,5316,5164.9,59,53.3
20201031,4708,5370.5,64,51.1
20201101,4216,5574.0,19,46.5
20201102,4508,5636.3,10,44.9
20201103,5715,5843.5,71,46.6
20201104,5189,6136.6,65,47.3
20201105,7077,6444.5,65,47.6
20201106,6320,6765.9,50,47.7
20201107,8867,7080.6,62,44.8
20201108,5835,7464.2,5,47.0
20201109,6008,7934.6,39,49.8
20201110,8195,8455.3,37,51.2
20201111,7465,8952.2,40,51.9
20201112,7678,9141.5,26,53.0
20201113,10567,9741.5,76,53.9
20201114,11399,10386.5,63,55.5
20201115,9425,10891.4,20,57.0
20201116,10133,11154.2,20,56.6
20201117,11299,11465.2,53,57.2
20201118,12436,11800.4,113,55.9
20201119,14270,12194.8,89,57.1
20201120,16252,12637.4,88,56.7
20201121,15142,13371.0,79,60.5
20201122,8192,13996.9,41,64.2
20201123,17107,14804.5,30,71.6
20201124,19261,15599.0,105,74.4
20201125,15792,16512.0,97,77.3
20201126,12595,17240.0,55,81.0
20201127,12852,18006.0,63,82.9
20201128,15905,19101.5,35,88.5
20201129,14117,20030.9,31,92.7
20201130,15304,21188.2,29,96.3
20201201,23601,22220.2,117,101.1
20201202,20607,23015.9,119,105.9
20201203,24639,24083.5,180,108.3
20201204,27252,24858.5,136,111.2
20201205,30572,26592.2,124,117.4
20201206,24711,28512.6,97,131.8
20201207,26219,30033.2,60,142.0
20201208,34306,31598.7,171,151.6
20201209,31952,32998.0,201,161.4
20201210,38575,34086.0,165,165.9
20201211,37923,35151.5,189,169.6
20201212,31852,35911.7,178,176.8
20201213,30612,36864.6,92,185.1
20201214,33381,37806.8,91,192.1
20201215,55670,37790.0,236,191.8
20201216,56119,38795.0,399,198.3
20201217,44528,39192.6,268,196.7
20201218,45727,39740.8,265,200.1
20201219,45292,39872.3,242,212.0
20201220,36965,39348.1,124,232.5
20201221,37679,40253.0,107,245.7
20201222,39565,40841.6,268,256.0
20201223,40618,41534.3,294,260.6
20201224,44424,41572.4,328,259.6
20201225,26900,41750.8,129,268.0
20201226,51677,40782.5,260,276.5
20201227,33060,39978.9,63,284.8
20201228,37731,40323.1,132,297.9
20201229,37069,40658.4,421,315.4
20201230,20943,40824.8,632,328.3
20201231,57577,40918.3,441,341.3
20210101,50285,40944.0,405,346.3
20210102,46398,40916.8,276,361.5
20210103,31413,40760.1,71,372.9
20210104,37126,40687.8,268,378.6
20210105,35337,41385.0,413,400.5
20210106,39242,40895.3,573,414.0
20210107,51758,40744.0,543,426.5
20210108,52767,40177.6,634,428.8
20210109,48786,39597.0,513,426.5
20210110,38929,39609.8,396,427.7
20210111,38218,37977.8,213,439.4
20210112,38995,36688.2,587,444.3
20210113,37328,35639.3,532,464.0
20210114,42904,35377.4,449,471.6
20210115,41542,34424.1,589,469.4
20210116,41394,33628.0,544,481.5
20210117,29883,32601.4,325,488.3
20210118,25836,31112.5,179,492.0
20210119,24875,29545.3,373,492.6
20210120,21213,28162.1,658,496.1
20210121,23304,27087.5,686,493.2
20210122,23204,25893.1,508,492.3
20210123,24372,24614.7,690,491.1
20210124,25912,23501.9,230,495.2
20210125,17107,22156.0,222,510.3
20210126,18619,20832.7,668,511.7
20210127,17684,19579.7,716,506.5
20210128,20490,18706.1,619,503.7
20210129,19857,17925.7,647,503.9
20210130,19739,17205.7,588,510.3
20210131,16361,16631.1,334,506.5
20210201,13136,16044.5,195,499.0
20210202,12149,15403.9,561,494.8
