YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,315,305.5,42,28.9
20200521,394,305.5,11,27.0
20200522,296,301.7,14,25.6
20200523,477,298.4,3,24.3
20200524,210,298.0,5,23.3
20200525,95,299.0,1,22.1
20200526,296,297.8,19,20.7
20200527,202,295.5,40,18.9
20200528,354,289.5,29,17.2
20200529,491,284.8,15,15.6
20200530,486,279.3,7,14.1
20200531,280,271.5,2,13.0
20200601,199,259.8,13,13.0
20200602,211,254.0,16,12.6
20200603,272,240.6,20,12.9
20200604,300,236.0,18,12.7
20200605,255,239.5,12,13.0
20200606,233,232.2,3,12.6
20200607,153,233.5,0,11.4
20200608,182,227.6,16,10.3
20200609,164,217.9,10,9.9
20200610,152,202.4,19,9.7
20200611,148,198.1,10,9.7
20200612,175,196.6,0,9.2
20200613,195,195.5,15,9.1
20200614,113,195.0,1,8.2
20200615,169,196.1,7,7.5
20200616,143,199.1,12,7.1
20200617,229,198.8,14,7.0
20200618,230,205.0,7,6.7
20200619,286,206.1,5,6.6
20200620,161,208.0,4,6.5
20200621,191,215.7,0,6.0
20200622,166,224.0,4,5.7
20200623,188,228.1,14,5.2
20200624,262,230.9,2,4.7
20200625,324,235.0,2,4.5
20200626,317,236.1,4,4.1
20200627,226,248.7,1,3.8
20200628,285,259.3,2,3.5
20200629,204,267.8,5,3.2
20200630,204,285.9,9,3.9
20200701,314,297.3,7,3.7
20200702,323,303.5,4,3.7
20200703,260,311.0,0,3.6
20200704,254,323.5,0,3.5
20200705,199,333.3,0,3.7
20200706,192,345.1,-10,3.6
20200707,407,359.4,5,3.7
20200708,452,369.8,8,3.7
20200709,409,373.1,2,3.8
20200710,666,383.6,18,3.7
20200711,400,397.3,1,3.5
20200712,322,412.8,0,3.5
20200713,323,426.7,2,4.0
20200714,450,446.1,11,4.4
20200715,469,472.5,6,4.7
20200716,571,489.1,1,5.0
20200717,618,490.9,6,5.1
20200718,444,507.1,1,5.3
20200719,354,508.6,0,5.6
20200720,424,508.5,6,5.9
20200721,493,505.6,5,5.4
20200722,639,508.4,8,5.7
20200723,615,515.0,15,5.7
20200724,667,511.0,4,5.7
20200725,809,509.9,4,5.3
20200726,547,515.9,0,5.1
20200727,229,510.0,5,5.1
20200728,749,502.3,8,5.0
20200729,482,501.7,15,5.0
20200730,408,500.9,0,4.9
20200731,605,498.7,16,5.0
20200801,458,494.4,6,5.3
20200802,460,479.0,0,5.0
20200803,241,471.7,0,4.6
20200804,426,455.1,5,4.7
20200805,594,430.9,2,4.9
20200806,448,421.0,1,4.8
20200807,457,419.3,5,4.7
20200808,431,396.0,0,4.4
20200809,336,386.0,1,3.7
20200810,378,382.2,4,3.5
20200811,403,368.9,12,3.4
20200812,315,362.7,1,3.5
20200813,463,353.1,7,3.5
20200814,319,351.1,6,3.5
20200815,300,352.7,8,3.7
20200816,338,333.6,0,3.6
