YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,587,320.6,57,48.1
20200521,191,314.1,54,46.9
20200522,432,324.9,54,45.4
20200523,382,321.3,38,42.8
20200524,446,311.7,18,40.9
20200525,405,303.8,49,39.0
20200526,430,299.3,27,37.8
20200527,-15,301.4,34,35.9
20200528,271,293.6,23,34.0
20200529,203,284.6,42,31.9
20200530,260,273.8,44,29.8
20200531,179,253.8,32,28.1
20200601,539,250.1,26,26.8
20200602,239,240.4,2,24.9
20200603,112,236.8,17,24.3
20200604,148,220.0,18,24.2
20200605,221,207.7,31,22.0
20200606,358,192.7,17,21.0
20200607,150,197.2,16,19.8
20200608,124,184.8,13,19.0
20200609,87,180.7,13,17.6
20200610,168,175.9,23,16.1
20200611,114,169.2,26,15.0
20200612,228,144.9,13,14.0
20200613,305,139.0,27,14.5
20200614,94,134.4,15,14.2
20200615,147,131.2,3,13.9
20200616,114,123.8,6,12.8
20200617,80,113.7,9,12.2
20200618,11,111.2,7,11.7
20200619,117,108.1,12,11.2
20200620,158,111.2,13,10.7
20200621,40,106.0,9,9.7
20200622,27,104.0,3,8.6
20200623,117,96.6,14,8.4
20200624,14,86.1,10,7.1
20200625,81,85.8,11,6.5
20200626,65,82.9,9,6.4
20200627,147,80.2,4,6.2
20200628,97,80.0,5,5.9
20200629,59,84.2,4,5.8
20200630,152,82.4,2,5.5
20200701,58,78.4,2,5.1
20200702,74,80.0,2,4.9
20200703,71,82.3,9,5.1
20200704,0,77.7,0,4.5
20200705,0,82.0,0,4.4
20200706,259,83.6,3,4.3
20200707,57,87.3,0,4.2
20200708,75,82.9,5,4.2
20200709,101,80.9,5,4.1
20200710,78,80.6,0,4.1
20200711,0,75.3,0,4.0
20200712,0,78.6,0,4.0
20200713,223,75.5,23,4.0
20200714,20,98.0,1,3.7
20200715,106,97.2,8,3.7
20200716,114,96.4,9,3.7
20200717,143,95.6,7,3.8
20200718,0,97.3,0,4.0
20200719,0,115.8,0,3.9
20200720,162,117.2,10,4.0
20200721,41,120.1,0,3.8
20200722,127,120.6,0,3.6
20200723,9,121.1,4,3.4
20200724,544,121.5,3,3.1
20200725,0,122.9,0,3.1
20200726,0,123.3,0,2.8
20200727,207,118.8,5,2.4
20200728,94,115.6,5,2.1
20200729,463,116.9,2,2.0
20200730,130,118.2,6,2.0
20200731,140,119.6,1,1.8
20200801,0,123.2,0,1.9
20200802,0,118.2,0,2.0
20200803,252,121.4,5,2.0
20200804,48,101.0,0,1.9
20200805,115,103.6,0,1.9
20200806,20,106.1,0,1.9
20200807,75,108.8,4,1.8
20200808,0,103.7,0,1.6
20200809,0,84.5,0,1.5
20200810,247,83.9,3,1.3
20200811,117,81.4,0,1.3
20200812,22,85.2,6,1.3
20200813,76,89.0,0,1.2
20200814,115,92.8,3,1.1
20200815,0,91.9,0,1.2
20200816,0,95.0,0,1.2
20200817,370,100.2,3,1.2
20200818,-12,103.6,0,1.1
20200819,59,105.8,1,1.1
20200820,118,108.0,1,1.0
20200821,87,110.1,2,1.0
20200822,0,110.6,0,0.9
20200823,0,114.4,0,0.8
20200824,492,115.6,0,0.8
20200825,29,117.5,3,0.8
20200826,180,116.6,0,0.8
20200827,130,115.7,2,0.8
20200828,145,114.8,0,0.8
20200829,0,120.3,0,0.9
20200830,0,121.8,0,0.9
20200831,384,126.7,0,1.0
20200901,127,133.7,1,1.0
20200902,102,134.9,1,1.0
20200903,101,136.0,1,1.0
20200904,156,137.3,0,1.2
20200905,0,142.4,0,1.1
20200906,0,140.3,0,1.1
20200907,0,144.6,0,1.1
20200908,417,144.4,6,1.3
20200909,89,146.1,0,1.3
20200910,222,147.9,4,1.4
20200911,233,149.8,2,1.4
20200912,0,150.2,0,1.4
20200913,0,152.7,0,1.4
20200914,569,155.4,5,1.5
20200915,136,153.4,0,1.5
20200916,135,157.3,2,1.5
20200917,220,161.2,1,1.4
20200918,141,165.2,4,1.5
20200919,0,168.9,0,1.5
20200920,0,175.2,0,1.5
20200921,497,173.8,3,1.6
20200922,136,189.1,1,1.6
20200923,155,193.1,1,1.6
20200924,157,197.2,2,1.6
20200925,115,201.2,2,1.5
20200926,0,200.5,0,1.7
20200927,0,199.9,0,1.7
20200928,560,207.7,2,1.9
20200929,182,214.8,2,1.8
20200930,221,228.2,3,1.8
20201001,192,241.6,3,1.7
20201002,555,254.9,2,1.8
20201003,0,263.7,0,1.8
20201004,0,264.1,0,1.9
20201005,823,264.6,4,2.0
20201006,121,297.3,4,2.0
20201007,123,307.3,1,2.1
20201008,384,317.4,5,2.3
20201009,290,327.3,3,2.4
20201010,0,339.3,0,2.6
20201011,0,348.6,0,2.8
20201012,1339,363.4,2,2.8
20201013,320,369.3,1,3.0
20201014,164,388.7,4,3.2
20201015,167,408.1,3,3.3
