YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,157,146.0,9,8.0
20200521,192,141.6,5,7.7
20200522,143,138.7,5,7.4
20200523,0,134.5,6,7.0
20200524,280,127.8,8,6.8
20200525,156,121.4,6,7.0
20200526,101,114.7,10,6.7
20200527,30,110.1,10,6.3
20200528,75,106.7,8,6.0
20200529,65,100.1,7,5.7
20200530,186,94.4,4,5.5
20200531,76,88.7,3,5.1
20200601,107,81.9,3,5.0
20200602,80,78.3,1,4.9
20200603,27,74.3,4,4.7
20200604,34,69.3,12,4.4
20200605,27,65.5,4,4.2
20200606,72,63.7,0,3.8
20200607,97,64.2,3,3.4
20200608,30,63.2,3,3.1
20200609,48,65.5,4,3.0
20200610,36,60.0,2,2.8
20200611,50,60.8,2,2.8
20200612,67,57.9,2,2.7
20200613,56,55.3,3,2.7
20200614,35,56.0,1,2.6
20200615,76,58.8,2,2.0
20200616,63,59.2,1,1.9
20200617,41,59.3,3,1.9
20200618,55,61.1,1,1.9
20200619,112,66.9,4,1.8
20200620,70,69.2,0,1.7
20200621,94,69.2,3,1.6
20200622,45,77.4,2,1.6
20200623,27,83.3,0,1.5
20200624,42,84.1,2,1.4
20200625,91,88.8,0,1.4
20200626,37,93.0,2,1.4
20200627,74,95.8,1,1.4
20200628,135,96.1,2,1.3
20200629,150,96.8,1,1.2
20200630,98,97.2,1,1.1
20200701,36,98.2,1,1.1
20200702,221,96.6,1,1.1
20200703,192,98.0,0,1.1
20200704,73,101.0,1,1.1
20200705,132,102.9,2,1.0
20200706,165,101.6,1,1.0
20200707,121,110.5,1,1.0
20200708,48,111.3,1,1.0
20200709,69,109.2,0,1.0
20200710,121,107.0,1,1.0
20200711,91,108.2,1,1.0
20200712,61,108.7,3,1.1
20200713,75,104.4,2,1.1
20200714,90,108.5,0,1.1
20200715,81,103.8,0,1.2
20200716,64,103.0,0,1.1
20200717,223,100.6,0,1.1
20200718,92,98.2,2,1.1
20200719,90,101.9,3,1.1
20200720,105,102.8,0,1.1
20200721,122,101.7,2,1.1
20200722,46,101.6,2,1.1
20200723,132,102.1,0,1.0
20200724,278,103.6,2,0.9
20200725,-27,103.2,2,1.0
20200726,115,107.0,1,1.2
20200727,116,107.2,1,1.2
20200728,70,100.4,0,1.2
20200729,126,98.7,1,1.1
20200730,87,97.9,0,1.0
20200731,99,95.7,1,0.9
20200801,89,93.0,2,1.0
20200802,72,94.0,0,0.9
20200803,106,97.3,0,0.8
20200804,82,101.8,1,0.8
20200805,159,105.8,5,0.7
20200806,69,102.9,0,0.6
20200807,80,101.4,0,0.7
20200808,57,100.8,0,0.7
20200809,73,97.2,0,0.7
20200810,59,96.6,0,0.7
20200811,65,94.4,2,0.7
20200812,66,92.9,0,0.6
20200813,202,92.7,0,0.7
20200814,373,89.9,0,0.7
20200815,56,86.9,0,0.6
20200816,55,80.5,0,0.4
20200817,85,76.7,2,0.4
20200818,57,78.0,1,0.4
20200819,50,88.0,0,0.4
20200820,75,84.2,0,0.4
20200821,52,85.5,1,0.5
20200822,58,87.4,1,0.6
20200823,67,85.0,1,0.7
20200824,47,80.3,0,0.7
20200825,20,67.2,0,0.7
20200826,24,71.2,0,0.7
20200827,-10,75.8,0,0.8
20200828,107,81.6,1,0.8
20200829,266,81.7,0,0.8
20200830,-6,83.0,0,0.8
20200831,86,83.2,2,0.9
20200901,106,85.2,3,0.9
20200902,14,90.4,2,0.8
20200903,104,93.0,0,0.8
20200904,99,95.0,0,0.8
20200905,140,103.6,1,0.9
20200906,151,107.0,1,1.0
20200907,206,111.5,2,1.0
20200908,59,108.7,1,0.9
20200909,0,100.0,1,1.0
20200910,158,105.9,0,1.0
20200911,93,106.6,2,0.9
20200912,167,106.0,0,0.9
20200913,123,108.6,0,0.9
20200914,88,109.2,1,1.0
20200915,200,111.1,1,1.0
20200916,97,107.8,2,1.1
20200917,84,105.6,0,1.1
20200918,48,101.9,0,1.0
20200919,83,105.9,1,1.1
20200920,117,106.0,0,1.1
20200921,101,110.5,1,1.2
20200922,94,113.2,2,1.3
20200923,69,114.2,2,1.4
20200924,117,114.0,2,1.5
20200925,138,115.5,1,1.5
20200926,71,110.9,3,1.5
20200927,104,110.3,0,1.5
20200928,129,112.6,2,1.6
20200929,142,117.2,3,1.7
20200930,82,121.4,1,1.7
20201001,174,122.1,2,1.9
20201002,150,124.9,4,1.9
20201003,188,125.4,2,1.9
20201004,118,125.5,1,1.8
20201005,120,124.4,2,1.9
20201006,103,125.7,0,1.9
20201007,84,132.7,3,1.9
20201008,132,134.9,2,2.0
20201009,145,133.7,2,2.1
20201010,171,133.0,1,2.1
20201011,132,131.5,4,2.1
20201012,159,130.5,1,2.2
20201013,105,131.0,1,2.2
20201014,71,129.6,1,2.3
20201015,95,129.4,4,2.6
20201016,164,133.6,1,2.6
20201017,218,132.5,3,2.6
