YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,117,139.2,7,6.3
20200521,237,135.4,5,6.1
20200522,105,130.2,6,5.9
20200523,73,123.8,9,5.7
20200524,144,122.2,5,5.5
20200525,115,119.3,8,5.2
20200526,109,115.3,0,5.1
20200527,72,110.8,5,5.0
20200528,86,106.0,8,4.9
20200529,46,100.9,7,4.7
20200530,179,97.1,2,4.5
20200531,84,94.6,4,4.4
20200601,56,85.8,2,4.3
20200602,29,83.9,2,4.2
20200603,130,83.0,3,4.0
20200604,104,78.9,2,4.0
20200605,79,75.0,4,3.7
20200606,70,70.7,4,3.7
20200607,63,68.6,6,3.7
20200608,57,67.2,2,3.5
20200609,85,67.3,4,3.3
20200610,63,60.3,4,3.3
20200611,52,58.0,3,3.2
20200612,65,57.2,4,3.2
20200613,55,57.5,5,3.2
20200614,58,53.0,4,3.2
20200615,32,49.5,0,3.2
20200616,19,47.0,5,3.2
20200617,29,45.1,3,3.1
20200618,56,43.6,4,2.9
20200619,49,43.0,3,2.9
20200620,32,40.6,1,2.7
20200621,36,39.4,2,2.6
20200622,38,38.1,2,2.5
20200623,36,37.2,2,2.3
20200624,34,35.1,4,2.2
20200625,31,34.0,2,2.1
20200626,26,34.1,3,2.1
20200627,31,35.8,2,2.0
20200628,32,37.9,2,2.0
20200629,44,37.0,1,2.0
20200630,35,37.7,0,1.8
20200701,38,38.9,2,1.8
20200702,25,39.4,1,1.7
20200703,45,40.4,1,1.6
20200704,12,40.6,2,1.5
20200705,35,42.8,2,1.4
20200706,33,43.7,2,1.5
20200707,54,44.3,0,1.5
20200708,73,46.6,3,1.4
20200709,37,48.2,4,1.3
20200710,64,49.9,0,1.3
20200711,58,52.4,0,1.3
20200712,46,55.4,0,1.3
20200713,59,56.2,0,1.3
20200714,40,57.8,0,1.2
20200715,80,60.5,3,1.1
20200716,50,61.8,3,1.0
20200717,39,64.0,3,1.0
20200718,79,65.5,1,1.0
20200719,67,64.6,0,1.0
20200720,78,65.6,1,0.8
20200721,88,65.6,1,0.8
20200722,102,65.9,0,0.8
20200723,42,66.8,1,0.8
20200724,78,67.0,0,0.9
20200725,68,69.1,0,0.9
20200726,63,67.5,0,0.8
20200727,78,68.7,1,0.6
20200728,87,70.2,1,0.6
20200729,54,69.5,1,0.6
20200730,58,71.0,0,0.6
20200731,0,69.9,0,0.6
20200801,0,70.0,0,0.6
20200802,0,68.1,0,0.6
20200803,256,69.2,2,0.6
20200804,85,70.0,1,0.7
20200805,45,68.7,0,0.8
20200806,75,68.6,0,0.8
20200807,71,67.4,2,0.7
20200808,64,65.7,1,0.8
20200809,100,64.5,1,0.8
20200810,54,64.4,0,0.8
20200811,89,64.2,2,0.9
20200812,63,64.2,0,1.0
20200813,65,63.7,1,1.0
20200814,94,63.1,0,0.9
20200815,41,61.2,3,0.8
20200816,61,61.7,0,0.9
20200817,53,60.8,0,0.9
20200818,52,60.1,2,0.8
20200819,29,60.6,1,0.7
20200820,55,57.4,1,0.7
20200821,60,56.4,1,0.7
20200822,65,54.9,2,0.7
20200823,0,53.2,0,0.7
20200824,105,52.9,0,0.7
20200825,45,50.9,0,0.8
20200826,0,51.4,1,0.7
20200827,110,50.4,0,0.7
