YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,527,642.9,44,39.8
20200521,1204,654.1,48,37.9
20200522,776,662.0,46,36.2
20200523,676,667.5,43,37.4
20200524,740,706.3,4,37.0
20200525,879,750.0,15,36.9
20200526,509,788.2,7,37.3
20200527,379,824.8,60,36.6
20200528,651,857.0,45,35.0
20200529,1212,879.1,49,33.5
20200530,927,907.4,34,34.0
20200531,739,947.6,4,33.6
20200601,667,971.1,9,33.5
20200602,617,1024.8,70,32.7
20200603,1317,1115.5,36,33.0
20200604,1419,1176.2,41,33.0
20200605,1305,1218.1,53,32.7
20200606,1270,1326.4,28,35.0
20200607,1180,1432.6,12,33.3
20200608,966,1554.3,12,33.2
20200609,1096,1678.6,53,32.9
20200610,1371,1827.3,36,33.2
20200611,1698,1958.5,47,33.8
20200612,1902,2066.0,29,34.0
20200613,2581,2193.1,48,33.7
20200614,2016,2392.9,6,34.0
20200615,1758,2563.6,7,34.3
20200616,2783,2927.2,55,33.6
20200617,2610,3323.2,25,33.4
20200618,3207,3673.2,43,34.2
20200619,3822,3878.0,43,35.0
20200620,4049,4115.9,40,35.2
20200621,3494,4363.1,17,35.7
20200622,2926,4763.7,12,36.6
20200623,3286,5124.9,65,38.4
20200624,5511,5547.6,43,37.0
20200625,5004,5930.6,46,38.1
20200626,8942,6148.6,39,40.0
20200627,9585,6366.0,24,40.4
20200628,8530,6717.3,29,41.5
20200629,5266,6990.1,28,45.1
20200630,6093,7352.5,58,47.5
20200701,6563,7653.0,45,50.1
20200702,10109,8215.2,67,51.5
20200703,9488,8677.0,67,52.6
20200704,11458,8958.4,18,55.8
20200705,10059,9180.8,29,59.0
20200706,6336,9607.5,47,64.3
20200707,7347,9727.7,63,68.5
20200708,9989,9763.0,48,71.7
20200709,8935,9951.0,120,74.4
20200710,11433,10193.0,93,77.4
20200711,10360,10352.4,95,81.0
20200712,15300,10505.8,45,85.5
20200713,12624,10512.5,35,90.5
20200714,9194,10653.2,132,93.8
20200715,10181,10688.5,112,98.8
20200716,13965,10654.5,156,101.1
20200717,11466,10776.2,128,102.5
20200718,10328,10865.9,90,108.4
20200719,12478,10840.0,87,116.4
20200720,10347,10888.6,90,122.7
20200721,9440,10773.1,134,130.5
20200722,9785,10738.9,139,134.5
20200723,10249,10348.6,173,135.3
20200724,12444,9973.8,135,137.1
20200725,12199,9795.3,124,142.5
20200726,9344,9568.0,77,147.9
20200727,8892,9267.3,77,146.2
20200728,9230,9087.3,186,148.7
20200729,9446,9000.4,216,153.0
20200730,9956,8702.8,253,152.6
20200731,9007,8408.0,257,152.6
20200801,9642,8236.1,179,159.4
20200802,7104,8156.3,62,162.9
20200803,4752,7965.2,73,161.7
20200804,5446,7665.4,245,166.1
20200805,5409,7387.0,225,169.9
20200806,7650,7122.0,120,171.3
20200807,7686,6826.0,180,171.8
20200808,8502,6569.3,182,173.4
20200809,6229,6315.4,77,171.4
20200810,4155,6058.2,91,164.9
20200811,5831,5852.4,276,158.3
20200812,8109,5598.5,212,154.9
20200813,6236,5401.9,148,154.3
20200814,6148,5283.1,228,154.3
20200815,6352,5151.0,204,151.3
20200816,3779,5046.8,107,147.9
20200817,2678,4838.2,87,148.6
20200818,3838,4653.9,219,144.3
20200819,4115,4401.2,174,142.7
20200820,4555,4227.6,117,139.7
20200821,4684,4119.5,119,138.6
20200822,4311,4202.3,106,134.3
20200823,2974,3930.5,51,130.3
20200824,2258,3803.6,72,130.3
20200825,2673,3663.1,183,124.2
20200826,3220,3534.8,153,117.4
20200827,3269,3476.9,135,114.1
20200828,3815,3436.9,89,111.0
20200829,3197,3341.0,148,102.7
20200830,2583,3248.2,14,103.7
20200831,1885,3149.0,68,108.4
20200901,7569,3099.8,187,111.1
20200902,2402,3046.4,127,110.8
20200903,3571,3020.1,149,108.7
20200904,3198,2995.3,100,106.9
20200905,3656,3016.4,61,105.1
20200906,2564,2975.2,38,105.0
20200907,1838,2974.5,22,105.6
20200908,1823,2945.4,44,108.0
20200909,2167,2963.3,195,103.9
20200910,2472,2960.4,216,103.7
20200911,3650,2950.9,176,101.4
20200912,3190,2708.0,98,97.2
20200913,2423,2717.0,8,100.8
20200914,1736,2668.0,34,102.1
20200915,3116,2651.2,145,103.1
20200916,2355,2610.2,152,105.3
20200917,3255,2577.8,147,104.0
20200918,3204,2525.4,139,103.1
20200919,3573,2594.1,62,106.1
20200920,2521,2583.7,9,105.1
20200921,1685,2591.1,21,100.9
20200922,2470,2544.0,99,97.7
20200923,2590,2524.8,202,96.6
20200924,2541,2498.3,177,98.2
20200925,2847,2483.0,120,98.6
20200926,2795,2441.9,107,94.3
20200927,1882,2452.7,10,93.6
20200928,738,2455.1,5,94.4
20200929,3266,2441.0,106,93.4
20200930,1948,2403.5,174,94.7
20201001,2628,2416.0,127,98.5
20201002,2660,2408.8,110,99.8
20201003,2787,2421.0,74,100.7
20201004,1868,2434.9,43,94.1
20201005,1415,2473.7,41,92.4
20201006,2251,2502.4,55,91.2
20201007,2582,2561.9,137,90.2
20201008,3306,2593.1,164,92.1
20201009,2908,2639.3,118,94.5
20201010,0,2658.1,0,93.4
20201011,5570,2667.5,178,90.1
20201012,1533,2807.0,48,86.8
20201013,2725,2856.0,119,85.0
20201014,2883,2936.2,64,85.2
20201015,3356,2960.8,141,83.7
20201016,3449,3054.2,94,82.7
20201017,4044,3151.7,87,82.8
20201018,2539,3224.7,50,79.4
20201019,1707,3267.2,54,75.2
20201020,3662,3395.0,84,73.0
20201021,2144,3373.4,105,70.8
20201022,5558,3472.4,57,67.9
20201023,3689,3620.9,73,67.7
20201024,4471,3712.0,77,64.7
20201025,2385,3785.3,12,63.2
20201026,3377,3923.4,20,58.3
20201027,4298,4009.0,56,56.4
20201028,4115,4028.4,66,56.3
20201029,4198,4232.2,77,55.0
20201030,5592,4337.8,72,55.1
20201031,2331,4370.7,41,54.4
20201101,4865,4546.6,28,51.9
20201102,4651,4549.0,45,52.6
20201103,4637,4703.4,56,52.6
20201104,4423,4706.9,32,51.0
20201105,6257,5074.5,39,51.9
20201106,5245,5135.8,53,52.9
20201107,4452,5286.3,86,54.2
20201108,6820,5467.7,21,55.2
20201109,3924,5700.4,58,55.3
20201110,4353,5866.8,69,55.7
20201111,5838,6156.2,52,55.7
20201112,5607,6238.2,72,57.2
20201113,6933,6318.2,73,59.6
20201114,4544,6504.8,44,60.3
20201115,10105,6693.0,29,63.4
20201116,4663,6808.0,41,64.1
20201117,7459,6971.2,85,64.2
20201118,7925,7058.1,87,63.9
20201119,9085,7084.0,79,65.7
20201120,9085,7214.2,79,67.5
20201121,8409,7428.2,41,68.1
20201122,6587,7626.1,61,70.3
20201123,6331,7876.7,94,71.5
20201124,8555,8031.2,72,73.8
20201125,8376,8311.5,97,76.0
20201126,0,8232.0,0,79.0
20201127,17344,8377.2,109,82.0
20201128,6277,8402.2,79,82.6
20201129,7363,8481.6,58,82.4
20201130,6659,8588.8,97,84.8
20201201,8847,8713.2,82,86.9
20201202,9994,8816.5,97,88.3
20201203,10870,8929.4,98,89.3
20201204,10177,9030.4,120,91.3
20201205,10431,9071.1,90,91.7
20201206,8436,9221.9,93,92.9
20201207,7711,9435.0,105,95.1
20201208,7985,9641.1,96,97.0
20201209,9592,9898.5,84,96.7
20201210,11335,9947.9,129,98.5
20201211,11699,10155.3,123,99.2
20201212,10577,10230.9,71,98.8
20201213,8958,10297.1,81,99.9
20201214,8452,10405.5,137,101.0
20201215,9411,10326.7,79,98.6
20201216,11541,10235.7,122,97.7
20201217,13148,10186.0,101,96.9
20201218,13000,10209.1,96,96.5
20201219,11682,10403.9,72,96.7
20201220,8401,10607.7,95,99.2
20201221,11015,10886.6,112,99.1
20201222,10434,11079.9,74,98.4
20201223,11384,11326.7,120,100.2
20201224,13147,11405.0,121,101.0
20201225,0,11538.5,0,99.4
20201226,17042,11825.2,140,100.3
20201227,7391,12122.4,77,100.6
20201228,8198,12440.0,96,103.6
20201229,12075,12750.9,101,107.9
20201230,13871,12930.1,137,111.0
20201231,17192,13116.4,127,111.6
20210101,0,13143.1,0,113.9
20210102,31518,13355.6,217,117.8
20210103,10603,13479.7,97,120.1
20210104,11256,13507.0,103,124.7
20210105,15431,13904.8,98,130.2
20210106,17783,14076.1,129,136.6
20210107,19816,14252.4,164,139.3
20210108,19530,14243.0,185,141.2
20210109,15445,14135.5,138,144.1
20210110,12313,14042.3,108,144.4
20210111,11576,13836.6,159,146.0
20210112,14896,13739.5,156,153.8
20210113,13990,13575.3,169,155.9
20210114,13720,13524.4,217,157.4
20210115,16875,13403.7,186,159.8
20210116,12119,13125.7,205,166.0
20210117,11093,12679.3,133,167.4
20210118,8002,12279.6,137,169.2
20210119,9816,11872.3,162,170.9
20210120,11914,11852.0,142,169.3
20210121,12873,11636.5,161,169.9
20210122,13719,11358.1,272,172.1
20210123,12311,11150.4,153,171.2
20210124,9535,10816.5,129,172.5
20210125,8720,10530.4,153,173.0
20210126,9594,10276.5,227,174.2
20210127,8408,10055.9,160,171.2
20210128,11423,9843.0,202,169.5
20210129,10976,9735.2,219,168.6
20210130,15019,9602.2,106,172.0
20210131,7788,9393.8,119,172.9
20210201,5730,9186.7,206,173.5
20210202,10533,8896.1,137,169.2
20210203,6979,8667.8,197,167.6
20210204,7711,8472.6,228,166.0
20210205,11543,8229.5,210,166.1
20210206,7486,8072.5,142,165.8
20210207,6624,8021.7,97,165.6
20210208,5737,7721.4,119,163.8
20210209,7023,7517.0,233,163.7
20210210,7537,7148.5,160,164.4
20210211,8525,7018.8,174,163.2
20210212,7617,6943.6,183,161.0
20210213,7515,6709.2,118,161.5
20210214,5436,6716.3,96,158.1
20210215,3615,6665.3,155,153.9
20210216,6297,6397.6,220,150.8
20210217,7342,6301.1,157,149.3
20210218,5117,6249.4,163,150.3
20210219,6683,6057.2,218,151.6
20210220,7280,6064.6,121,147.0
20210221,5065,5992.1,93,145.7
20210222,4151,5877.5,159,143.1
20210223,5610,5799.3,148,140.8
20210224,7128,5664.8,127,139.9
20210225,6640,5601.0,138,138.3
20210226,5922,5586.6,146,134.8
20210227,5459,5497.5,110,130.2
20210228,5539,5379.0,118,125.6
20210301,1700,5376.5,147,122.2
20210302,7179,5306.6,136,116.8
20210303,6014,5209.6,132,114.9
20210304,6118,5144.6,120,111.9
20210305,5975,5081.5,135,108.7
20210306,4690,5042.5,98,106.5
20210307,4098,4922.0,63,103.0
