YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,946,628.4,22,26.1
20200521,862,636.0,78,27.4
20200522,819,648.7,33,28.3
20200523,760,636.0,14,27.7
20200524,660,641.5,5,27.6
20200525,498,660.2,21,27.8
20200526,583,669.2,48,28.0
20200527,655,677.1,37,27.1
20200528,628,675.6,40,26.1
20200529,615,676.9,14,26.4
20200530,450,685.4,17,29.0
20200531,732,675.2,49,30.1
20200601,839,681.4,41,28.6
20200602,305,681.0,8,29.0
20200603,687,693.4,21,29.8
20200604,965,703.8,26,29.7
20200605,762,715.0,25,30.8
20200606,738,718.8,4,30.1
20200607,539,733.0,2,30.6
20200608,599,745.0,28,30.1
20200609,752,768.0,77,30.9
20200610,731,832.3,44,30.4
20200611,993,839.9,46,28.1
20200612,810,858.4,43,26.4
20200613,1021,933.5,29,28.2
20200614,877,975.6,4,27.4
20200615,733,1011.2,43,28.4
20200616,664,1065.4,35,28.4
20200617,952,1125.0,46,28.5
20200618,882,1205.3,30,28.5
20200619,1097,1281.9,31,27.4
20200620,1800,1335.3,6,24.8
20200621,892,1441.0,1,23.7
20200622,1227,1558.9,5,22.6
20200623,1882,1652.9,47,20.9
20200624,1571,1738.8,3,19.6
20200625,1714,1801.7,47,19.5
20200626,1900,1840.5,25,18.3
20200627,1990,1971.0,6,17.6
20200628,2225,2088.6,2,16.5
20200629,2207,2181.7,6,15.5
20200630,1874,2343.2,21,15.7
20200701,2951,2409.1,22,16.9
20200702,3467,2487.3,22,17.1
20200703,2784,2602.1,8,18.0
20200704,2826,2674.0,0,17.1
20200705,2197,2783.7,3,18.7
20200706,1548,2866.3,18,17.1
20200707,3406,2961.8,21,17.2
20200708,3420,3090.2,23,18.7
20200709,2837,3139.0,8,18.9
20200710,4490,3150.7,35,18.7
20200711,3184,3223.7,31,21.4
20200712,2534,3241.0,7,24.2
20200713,3637,3280.9,23,24.4
20200714,3391,3377.5,28,27.9
20200715,3875,3422.3,37,30.3
20200716,3449,3449.4,14,30.4
20200717,3905,3513.3,27,30.0
20200718,4688,3551.5,37,31.6
20200719,3249,3544.4,5,34.3
20200720,2453,3598.0,3,35.3
