YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,2,1.0,0,0.0
20200521,4,1.0,0,0.0
20200522,-5,0.9,0,0.0
20200523,1,0.9,0,0.0
20200524,0,0.9,0,0.0
20200525,0,0.9,0,0.0
20200526,0,1.3,0,0.0
20200527,1,1.7,0,0.0
20200528,3,1.7,0,0.0
20200529,2,1.7,0,0.0
20200530,2,2.0,0,0.0
20200531,1,2.0,0,0.0
20200601,0,2.1,0,0.0
20200602,1,3.0,0,0.0
20200603,0,3.8,0,0.0
20200604,2,4.0,0,0.0
20200605,9,4.4,0,0.0
20200606,9,4.6,0,0.0
20200607,2,4.8,0,0.0
20200608,1,5.5,0,0.0
20200609,6,6.7,0,0.0
20200610,3,7.1,0,0.0
20200611,7,7.7,0,0.0
20200612,14,7.8,0,0.0
20200613,17,7.9,0,0.0
20200614,5,8.6,0,0.0
20200615,8,9.3,0,0.0
20200616,0,9.6,0,0.0
20200617,8,9.5,0,0.0
20200618,18,10.7,0,0.0
20200619,27,10.7,0,0.0
20200620,0,11.2,0,0.0
20200621,25,11.5,0,0.0
20200622,2,12.1,0,0.0
20200623,3,12.8,0,0.1
20200624,16,13.1,0,0.1
20200625,16,14.0,0,0.1
20200626,15,14.0,0,0.1
20200627,6,15.8,1,0.1
20200628,27,16.7,0,0.1
20200629,1,17.5,0,0.1
20200630,17,17.6,0,0.1
20200701,9,19.0,0,0.1
20200702,20,19.3,0,0.1
20200703,29,20.3,1,0.2
20200704,24,21.2,0,0.2
20200705,24,21.8,0,0.2
20200706,7,21.9,0,0.2
20200707,41,22.3,0,0.3
20200708,23,23.0,0,0.3
20200709,36,23.0,0,0.3
20200710,28,23.5,0,0.3
20200711,42,23.9,0,0.3
20200712,20,24.2,0,0.3
20200713,23,25.9,3,0.4
20200714,21,27.3,0,0.3
20200715,28,29.6,0,0.3
20200716,19,31.4,0,0.3
20200717,23,32.4,1,0.3
20200718,20,32.7,1,0.3
20200719,27,36.7,0,0.3
20200720,12,40.9,0,0.3
20200721,25,45.4,0,0.3
20200722,17,47.5,1,0.3
20200723,55,48.7,1,0.3
20200724,59,57.4,0,0.2
20200725,71,63.2,0,0.2
20200726,63,70.0,0,0.3
20200727,28,76.3,0,0.3
20200728,46,84.8,0,0.4
20200729,108,94.9,0,0.4
20200730,124,100.8,0,0.4
20200731,122,106.9,0,0.5
20200801,86,111.3,0,0.6
20200802,45,120.1,0,0.6
20200803,206,134.4,0,0.7
20200804,143,142.6,1,0.7
20200805,172,152.6,0,0.7
20200806,151,160.0,2,0.7
20200807,201,166.9,2,0.7
20200808,231,171.0,0,0.7
20200809,152,178.3,0,0.8
20200810,140,183.6,3,0.9
20200811,118,188.6,0,1.0
20200812,202,198.0,4,1.0
20200813,354,207.5,2,1.0
20200814,231,205.8,0,1.1
20200815,282,209.2,0,1.1
20200816,217,214.1,0,1.1
20200817,173,221.5,0,1.2
20200818,134,224.5,1,1.3
20200819,260,228.2,1,1.4
20200820,235,230.5,3,1.4
20200821,228,230.2,1,1.7
20200822,284,233.2,1,1.8
20200823,244,239.7,0,1.8
20200824,169,232.9,2,1.9
20200825,215,234.8,0,2.0
20200826,276,231.8,2,2.1
20200827,306,229.2,4,2.1
20200828,264,225.9,4,2.2
20200829,309,222.7,3,2.2
20200830,200,215.0,1,2.3
20200831,133,211.8,7,2.3
20200901,181,208.9,4,2.4
20200902,338,201.5,1,2.4
20200903,211,195.2,4,2.4
20200904,271,191.0,2,2.4
20200905,220,183.8,3,2.4
20200906,162,175.5,1,2.5
20200907,104,168.5,1,2.5
20200908,66,161.3,2,2.9
20200909,98,151.8,3,2.8
20200910,169,145.9,3,2.7
20200911,167,142.2,2,2.4
20200912,129,136.6,1,2.2
20200913,112,128.5,2,2.2
20200914,79,122.7,0,2.1
20200915,65,115.1,1,2.2
20200916,102,110.7,3,2.2
20200917,159,107.7,4,2.2
20200918,112,106.9,13,2.2
20200919,109,107.9,0,2.2
20200920,77,108.9,0,2.1
20200921,56,105.9,0,2.1
20200922,63,102.0,0,2.2
20200923,167,102.2,2,2.7
20200924,90,100.2,2,2.7
20200925,112,98.8,3,2.8
20200926,127,99.7,4,2.9
20200927,98,100.0,1,2.9
20200928,87,97.2,0,2.7
20200929,87,99.2,2,2.2
20200930,120,97.4,2,2.3
20201001,105,98.5,3,2.3
20201002,86,97.9,3,2.4
20201003,133,97.8,11,2.5
20201004,70,94.5,3,2.9
20201005,50,94.5,1,2.9
20201006,83,93.4,3,2.8
20201007,108,92.0,3,2.6
20201008,101,91.2,1,2.6
20201009,154,88.8,2,2.6
20201010,71,88.9,2,2.6
20201011,101,86.8,1,3.2
20201012,42,86.7,0,3.2
20201013,61,88.7,4,3.2
20201014,99,86.6,10,2.8
20201015,90,89.0,1,2.7
20201016,89,88.3,1,2.7
20201017,96,87.4,1,2.6
20201018,82,85.2,1,2.4
20201019,37,84.0,0,2.4
20201020,88,81.1,2,2.4
20201021,77,81.0,14,2.4
20201022,102,80.1,3,2.4
20201023,129,81.8,3,2.3
20201024,89,83.0,3,2.2
20201025,119,85.7,0,1.7
20201026,37,86.1,0,1.7
20201027,64,87.5,3,1.6
20201028,61,89.0,-2,1.6
20201029,77,91.2,2,1.6
20201030,92,92.5,1,1.6
20201031,68,103.0,3,1.6
20201101,83,105.0,0,0.9
20201102,77,104.7,0,0.8
20201103,87,104.2,0,0.6
20201104,155,105.0,0,0.5
20201105,99,101.6,0,0.4
20201106,119,102.1,0,0.4
20201107,128,101.5,1,0.3
20201108,128,101.9,1,0.5
20201109,63,103.3,0,0.4
20201110,310,104.6,1,0.4
20201111,117,109.0,0,0.6
20201112,97,110.9,0,0.7
20201113,118,112.6,0,0.7
20201114,107,111.3,0,0.7
20201115,0,109.1,0,0.8
20201116,94,110.0,0,0.9
20201117,52,110.2,0,1.0
20201118,69,107.8,1,1.0
20201119,107,104.3,0,1.1
20201120,118,105.4,1,1.1
20201121,162,92.7,7,1.0
20201122,122,90.7,2,1.0
20201123,113,92.9,0,1.1
20201124,60,93.0,0,1.6
20201125,108,94.2,2,1.9
20201126,117,97.0,2,1.9
20201127,125,98.6,3,2.0
20201128,76,98.6,0,2.0
20201129,56,99.1,4,2.0
20201130,85,99.9,0,2.1
20201201,43,100.8,0,2.1
20201202,76,111.8,0,1.9
20201203,142,104.4,2,2.0
20201204,121,113.3,10,2.0
20201205,133,106.7,5,2.0
20201206,104,109.2,1,2.0
20201207,81,111.9,0,2.0
20201208,53,114.6,0,2.0
20201209,80,118.2,4,1.9
20201210,123,127.6,2,1.8
20201211,136,126.6,1,1.9
20201212,393,124.4,2,1.9
20201213,-32,127.3,3,2.0
20201214,299,128.0,0,1.9
20201215,-79,131.1,0,1.4
20201216,162,128.3,4,1.1
20201217,173,127.1,2,1.1
20201218,182,123.1,1,1.0
20201219,152,125.4,0,1.0
20201220,252,128.2,1,0.9
20201221,64,134.7,0,1.0
20201222,-2,146.8,0,1.0
20201223,136,130.5,3,1.0
20201224,158,137.3,0,0.9
20201225,185,125.1,0,1.0
20201226,74,136.2,0,1.0
20201227,80,136.1,0,1.0
20201228,-4,150.9,0,1.0
20201229,101,156.7,0,1.0
20201230,139,158.7,0,1.3
20201231,259,153.7,3,1.3
20210101,390,158.1,1,1.3
20210102,51,161.0,0,1.3
20210103,112,158.9,0,1.3
20210104,42,163.1,0,1.6
20210105,155,163.4,0,1.6
20210106,160,168.4,10,1.7
20210107,483,169.1,0,1.8
20210108,304,175.2,4,1.8
20210109,193,170.8,5,1.9
20210110,148,168.1,1,1.9
20210111,156,163.5,0,1.9
20210112,60,155.3,0,2.0
20210113,91,157.6,3,2.1
20210114,246,160.2,6,2.3
20210115,191,162.7,0,3.6
20210116,180,155.9,2,5.0
20210117,95,154.6,2,5.0
20210118,123,136.3,0,5.0
20210119,8,131.2,2,5.0
20210120,83,126.1,1,4.8
20210121,163,121.5,3,4.8
20210122,217,118.6,4,4.8
20210123,100,117.8,4,4.8
20210124,167,117.2,6,4.9
20210125,94,112.1,0,4.7
20210126,11,110.1,59,4.6
20210127,134,105.9,3,4.6
20210128,99,103.4,2,4.6
20210129,197,97.0,1,4.6
20210130,85,98.0,0,4.6
20210131,51,97.7,3,4.7
20210201,96,95.9,0,4.6
20210202,42,89.7,0,4.4
