YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,51,23.0,3,1.8
20200521,0,24.0,0,1.7
20200522,89,25.4,2,1.5
20200523,0,26.8,0,1.4
20200524,31,27.3,0,1.3
20200525,0,27.9,0,1.1
20200526,0,32.9,0,1.0
20200527,73,33.4,2,0.9
20200528,71,33.8,1,0.7
20200529,0,34.1,0,0.6
20200530,33,34.9,0,0.5
20200531,36,35.9,0,0.4
20200601,0,36.0,0,0.3
20200602,94,36.1,1,0.4
20200603,0,36.5,0,0.4
20200604,57,36.8,0,0.4
20200605,121,37.1,0,0.4
20200606,28,37.5,0,0.4
20200607,0,44.4,0,0.3
20200608,50,46.3,0,0.3
20200609,32,51.7,2,0.3
20200610,39,57.2,0,0.3
20200611,0,55.6,0,0.3
20200612,93,65.1,2,0.3
20200613,0,66.4,0,0.3
20200614,46,68.6,0,0.3
20200615,0,89.3,0,0.3
20200616,63,94.4,1,0.3
20200617,170,104.0,0,0.4
20200618,111,113.0,1,0.4
20200619,128,122.0,0,0.4
20200620,133,137.9,0,0.3
20200621,2,148.1,0,0.3
20200622,248,156.5,0,0.3
20200623,0,173.4,0,0.3
20200624,148,190.2,0,0.3
20200625,463,206.4,1,0.3
20200626,0,220.1,0,0.3
20200627,457,241.8,1,0.4
20200628,0,254.1,0,0.5
20200629,430,270.8,0,0.5
20200630,365,288.5,1,0.6
20200701,253,309.6,0,0.6
20200702,223,328.4,0,0.6
20200703,401,340.5,1,0.6
20200704,376,352.0,0,0.7
20200705,363,383.2,0,1.0
20200706,319,393.8,1,1.1
20200707,487,412.4,0,1.3
20200708,430,427.7,4,1.3
20200709,460,444.6,2,1.4
20200710,500,453.1,1,1.5
20200711,577,462.2,1,1.6
20200712,397,473.9,0,2.0
20200713,501,483.0,0,2.2
20200714,316,489.1,1,2.4
20200715,729,492.9,7,2.5
20200716,685,497.4,4,2.5
20200717,619,506.7,4,2.8
20200718,550,508.6,1,3.0
20200719,571,509.8,0,3.6
20200720,394,514.9,3,3.7
20200721,555,513.7,4,4.1
20200722,499,505.0,9,4.5
20200723,415,499.4,3,4.6
20200724,528,488.9,6,4.7
20200725,0,500.8,0,5.1
20200726,913,488.5,2,5.1
20200727,514,488.9,6,5.2
20200728,528,484.4,8,5.3
20200729,454,485.4,13,5.5
20200730,568,466.7,4,5.6
20200731,474,468.4,11,5.6
20200801,394,465.5,9,5.7
20200802,0,467.2,0,5.4
20200803,560,471.0,3,5.4
20200804,566,471.7,10,5.8
20200805,472,464.5,7,5.9
20200806,693,451.3,6,6.0
20200807,524,440.2,6,5.8
20200808,572,433.4,6,5.8
20200809,178,428.9,2,5.5
20200810,429,422.3,2,5.7
20200811,494,411.8,7,5.6
20200812,536,407.1,0,5.2
20200813,495,402.6,5,5.2
20200814,542,399.4,14,5.4
20200815,304,391.9,4,5.5
20200816,181,384.0,0,5.7
20200817,281,367.2,4,5.7
20200818,384,354.8,9,5.9
20200819,359,341.5,7,5.9
20200820,430,342.0,7,5.8
20200821,254,332.2,9,5.8
20200822,295,321.7,1,5.8
20200823,186,311.0,1,5.9
20200824,212,299.9,7,6.0
20200825,408,286.8,12,5.6
20200826,306,285.7,11,5.5
20200827,342,286.1,6,5.4
20200828,263,276.2,10,5.4
20200829,292,269.4,5,5.1
20200830,190,317.8,1,6.2
20200831,223,262.2,2,5.3
20200901,272,266.0,6,5.1
20200902,311,262.3,5,5.2
20200903,263,258.8,0,5.2
20200904,266,260.7,10,5.0
20200905,281,254.5,2,4.6
20200906,190,253.4,1,4.4
20200907,74,256.0,0,4.3
20200908,240,265.9,4,4.0
20200909,1375,265.7,31,4.0
20200910,-736,268.2,-13,4.0
20200911,333,277.1,5,4.1
20200912,217,285.4,3,4.0
20200913,112,289.5,0,3.9
20200914,253,300.3,4,3.8
20200915,278,312.6,4,3.6
20200916,283,324.9,6,3.6
20200917,396,325.6,5,3.6
20200918,470,342.1,4,3.6
20200919,288,355.0,3,3.6
20200920,244,318.8,2,2.3
20200921,410,378.3,4,3.1
20200922,446,394.7,4,3.0
20200923,396,406.4,3,3.1
20200924,491,413.6,3,3.1
20200925,523,423.3,1,3.2
20200926,539,441.5,2,3.3
20200927,205,460.0,0,3.4
20200928,422,473.2,0,3.3
20200929,511,482.3,4,3.2
20200930,614,497.8,5,3.1
20201001,513,503.6,3,3.1
20201002,677,512.5,2,3.0
20201003,464,519.0,6,2.9
20201004,262,530.9,2,3.0
20201005,458,541.7,5,2.9
20201006,660,568.9,5,3.1
20201007,671,585.0,8,3.3
20201008,673,599.6,3,3.2
20201009,662,612.7,3,3.3
20201010,613,630.0,1,3.4
20201011,365,647.7,0,3.7
20201012,597,668.5,3,3.9
20201013,584,687.4,2,4.2
20201014,645,713.9,4,4.4
20201015,718,732.4,1,4.3
20201016,1094,743.8,6,4.4
20201017,878,754.3,6,4.4
20201018,510,763.4,-1,4.7
20201019,698,777.1,3,5.3
20201020,873,796.3,4,5.7
20201021,987,805.1,11,5.8
20201022,950,810.6,7,5.8
20201023,1073,818.2,9,5.8
20201024,1021,846.5,10,6.4
20201025,650,877.2,1,7.0
20201026,697,903.3,7,7.3
20201027,882,914.5,5,7.4
20201028,862,939.5,14,7.3
20201029,961,946.1,16,7.5
20201030,1064,973.2,11,8.0
20201031,798,988.8,3,8.5
20201101,480,1022.4,1,8.9
20201102,757,1032.3,2,9.3
20201103,1179,1053.6,15,9.0
20201104,1290,1077.3,17,8.9
20201105,1265,1090.5,7,9.0
20201106,1330,1109.7,8,8.7
20201107,1403,1152.5,4,10.1
20201108,649,1173.8,3,10.1
20201109,1266,1201.5,12,10.5
20201110,1201,1235.9,16,10.4
