YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,2388,1730.3,146,114.8
20200521,2270,1720.7,82,110.7
20200522,2756,1693.5,108,104.8
20200523,2352,1696.8,75,103.2
20200524,2508,1670.0,66,100.9
20200525,1713,1640.7,29,99.4
20200526,1178,1622.1,38,95.2
20200527,1111,1595.0,160,91.6
20200528,1527,1562.7,103,86.5
20200529,1622,1520.5,84,80.5
20200530,1462,1484.9,60,78.0
20200531,1343,1400.9,60,74.8
20200601,974,1329.3,22,75.1
20200602,1614,1226.4,113,73.6
20200603,982,1146.4,96,71.4
20200604,929,1059.0,115,69.1
20200605,1156,1000.0,59,68.6
20200606,975,973.5,69,70.2
20200607,867,946.6,40,66.8
20200608,658,902.1,20,64.3
20200609,797,857.9,94,62.4
20200610,625,818.4,77,61.7
20200611,766,785.8,90,59.9
20200612,595,761.4,75,60.0
20200613,673,713.2,29,56.3
20200614,672,700.5,19,54.7
20200615,473,698.8,18,51.1
20200616,623,684.6,72,50.1
20200617,546,675.6,87,48.0
20200618,593,665.0,52,46.9
20200619,692,668.9,43,46.6
20200620,634,665.4,45,43.1
20200621,658,675.0,22,40.8
20200622,462,638.3,24,37.8
20200623,601,693.0,36,35.5
20200624,715,702.0,63,34.5
20200625,894,700.4,40,33.9
20200626,857,707.1,37,33.3
20200627,786,758.8,26,41.7
20200628,646,779.5,15,39.2
20200629,738,799.7,14,37.7
20200630,724,830.0,21,36.4
20200701,828,856.7,28,35.4
20200702,-5,870.8,0,35.3
20200703,1742,890.8,54,34.4
20200704,862,895.9,9,33.9
20200705,639,918.3,6,31.3
20200706,614,935.6,6,30.6
20200707,1709,962.8,247,29.4
20200708,980,986.1,36,29.0
20200709,1018,1001.3,20,28.6
20200710,1327,1022.0,16,28.2
20200711,1195,1032.3,24,28.3
20200712,954,1069.6,19,28.0
20200713,883,1147.0,6,27.7
20200714,707,1140.3,25,27.2
20200715,1187,1167.1,8,27.4
20200716,1257,1210.1,25,27.1
20200717,1427,1239.5,13,27.7
20200718,1276,1209.2,18,17.4
20200719,965,1229.0,5,16.4
20200720,1172,1264.9,6,16.2
20200721,942,1296.0,23,16.5
20200722,1611,1317.1,23,15.8
20200723,1621,1341.7,20,15.5
20200724,1600,1361.5,17,15.7
20200725,1426,1397.9,12,15.4
20200726,1541,1425.1,1,16.3
20200727,1231,1458.2,18,16.1
20200728,1074,1490.4,30,17.0
20200729,1395,1534.0,16,17.0
20200730,1772,1553.8,16,17.0
20200731,1980,1560.8,22,16.8
20200801,1639,1589.7,8,16.6
20200802,1470,1591.3,14,16.2
20200803,1298,1601.5,9,16.4
20200804,1471,1634.6,19,16.9
20200805,1759,1653.8,28,16.6
20200806,1953,1654.7,21,17.4
20200807,2103,1680.5,31,17.1
20200808,2190,1712.2,18,17.0
20200809,1382,1755.1,5,17.3
20200810,1319,1758.0,1,17.8
20200811,1549,1772.9,20,17.8
20200812,1645,1807.0,15,18.2
20200813,1834,1827.1,24,17.9
20200814,2296,1842.1,27,17.8
20200815,1828,1852.1,5,18.3
20200816,1561,1871.0,18,18.7
20200817,1773,1859.3,12,18.8
20200818,1739,1875.1,27,18.3
20200819,2296,1860.4,23,18.0
20200820,1832,1889.4,27,18.2
20200821,2293,1906.0,22,18.5
20200822,2356,1903.2,17,19.4
20200823,1893,1926.2,6,20.0
20200824,1612,1903.7,8,20.0
20200825,1681,2060.7,29,20.5
20200826,2156,2107.2,37,21.3
20200827,1707,2100.1,23,20.7
20200828,2436,2080.9,20,20.5
20200829,1880,2064.4,11,19.6
20200830,1992,2018.7,11,19.8
20200831,1666,2024.5,7,19.9
20200901,1492,2025.4,38,20.9
20200902,2128,2014.2,27,21.1
20200903,1360,1993.6,24,21.5
20200904,5594,1982.1,38,21.4
20200905,2804,1971.8,23,20.9
20200906,1413,1961.7,5,20.8
20200907,1369,1978.3,8,20.9
20200908,1392,1968.1,7,21.0
20200909,1337,1998.8,28,21.7
20200910,1953,1970.7,28,21.8
20200911,2313,1961.7,44,21.8
20200912,2120,1963.7,22,21.4
20200913,1460,1950.4,14,21.1
20200914,1372,1993.1,5,21.4
20200915,1464,1858.8,18,21.2
20200916,1943,1841.5,35,21.3
20200917,2056,1850.4,25,21.7
20200918,2223,1866.6,23,21.9
20200919,2524,1865.3,25,22.7
20200920,1402,1909.9,14,23.0
20200921,1477,1919.9,7,22.8
20200922,1533,1926.7,29,23.2
20200923,1850,1942.0,22,23.6
20200924,2256,1941.7,30,23.8
20200925,2773,1964.6,33,24.2
20200926,2441,1971.9,25,24.8
20200927,1600,2004.6,13,25.1
20200928,1709,2054.0,13,25.5
20200929,1366,2096.6,23,25.9
20200930,2272,2114.8,35,26.1
20201001,2164,2177.9,24,25.9
20201002,2456,2238.0,52,26.2
20201003,2442,2300.9,31,26.2
20201004,1453,2349.2,17,27.4
20201005,1853,2433.0,14,28.5
20201006,1617,2544.0,31,29.4
20201007,2630,2600.6,42,29.5
20201008,3094,2726.6,32,30.0
20201009,3117,2793.4,32,30.4
20201010,2905,2905.2,30,31.2
20201011,2727,3003.8,9,32.8
20201012,2740,3136.0,13,33.7
20201013,2853,3257.1,30,33.1
20201014,2866,3434.2,47,34.7
20201015,4014,3558.2,53,35.0
20201016,5106,3695.2,52,35.1
20201017,3629,3808.7,27,35.9
20201018,4245,3974.4,22,36.3
20201019,3113,4130.0,22,37.4
20201020,3713,4385.8,41,38.2
20201021,4342,4623.6,68,39.0
20201022,4941,4826.1,42,40.2
20201023,5000,4992.0,41,40.5
20201024,6161,5166.4,63,42.3
20201025,4057,5388.9,24,42.7
20201026,4729,5670.8,17,44.8
20201027,4000,5989.7,46,46.3
20201028,6110,6409.1,51,49.3
20201029,6362,6683.6,56,50.7
20201030,8489,7038.9,49,50.8
20201031,7899,7463.1,46,52.8
20201101,6980,7859.1,35,56.8
20201102,6222,8228.7,18,57.1
20201103,6516,8724.6,68,57.3
20201104,7538,8956.4,55,63.7
20201105,9935,9269.4,97,66.0
20201106,11802,9598.1,84,67.2
20201107,12438,10007.7,91,70.4
20201108,10009,10141.6,50,75.2
20201109,10573,10534.5,25,81.1
20201110,12623,10749.9,82,85.8
20201111,12657,10940.0,153,91.0
20201112,12702,11084.3,48,94.1
20201113,15415,11184.3,45,96.1
20201114,11028,11325.0,197,100.0
20201115,10631,11507.8,74,105.9
20201116,11632,11607.2,42,108.7
20201117,12601,11405.9,113,109.0
20201118,8922,11188.5,151,111.9
20201119,14612,11053.7,180,111.6
20201120,13012,10845.0,147,115.3
20201121,11891,10841.1,157,118.4
20201122,10012,10703.0,99,123.8
20201123,8322,10620.0,61,132.3
20201124,9469,10387.2,150,137.7
20201125,11378,10332.9,178,139.5
20201126,12022,10188.4,156,140.7
20201127,7574,10048.4,90,143.4
20201128,7873,9825.0,152,146.0
20201129,7178,9793.3,44,149.8
20201130,6190,9626.1,103,152.2
20201201,12542,9455.0,146,155.8
20201202,9757,9304.9,266,156.2
20201203,10959,9171.7,228,156.6
20201204,10526,9119.0,157,159.2
20201205,9887,9018.5,235,158.3
20201206,7598,8815.9,99,158.9
