YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,569,476.5,32,27.1
20200521,662,472.3,39,26.4
20200522,473,463.1,18,25.9
20200523,492,461.0,25,25.3
20200524,475,462.2,15,25.0
20200525,339,459.1,22,24.6
20200526,363,460.6,20,24.0
20200527,359,459.1,15,23.0
20200528,631,456.8,19,22.2
20200529,490,446.1,22,21.5
20200530,653,444.2,23,21.1
20200531,363,431.6,17,20.4
20200601,256,419.6,20,19.3
20200602,407,416.0,20,19.2
20200603,475,411.5,26,18.6
20200604,384,406.3,23,18.9
20200605,482,415.0,21,18.5
20200606,419,414.7,10,18.3
20200607,400,408.4,15,18.4
20200608,226,398.6,17,18.7
20200609,410,389.9,25,18.2
20200610,304,373.8,17,17.6
20200611,411,373.8,15,17.3
20200612,398,371.6,16,17.0
20200613,397,363.5,13,16.3
20200614,366,353.7,21,15.5
20200615,521,360.0,14,15.0
20200616,356,360.1,15,14.6
20200617,227,360.9,17,14.7
20200618,425,358.7,25,14.4
20200619,308,362.1,12,14.0
20200620,315,360.0,10,13.3
20200621,362,362.6,11,13.0
20200622,210,363.8,15,12.7
20200623,238,370.0,4,12.5
20200624,269,375.7,10,12.2
20200625,515,394.9,13,11.8
20200626,485,385.4,12,11.9
20200627,435,373.3,11,11.6
20200628,355,383.3,9,11.1
20200629,298,387.5,9,10.5
20200630,366,407.3,10,10.2
20200701,358,429.4,12,10.3
20200702,435,437.6,8,10.4
20200703,528,447.8,11,10.1
20200704,517,467.3,7,10.2
20200705,769,487.1,12,10.2
20200706,323,496.4,16,10.1
20200707,102,508.2,9,10.0
20200708,437,527.6,8,9.9
20200709,512,554.3,11,9.9
20200710,725,570.4,7,10.1
20200711,779,586.8,11,10.0
20200712,533,605.8,13,10.1
20200713,425,629.3,9,10.2
20200714,648,651.6,6,10.2
20200715,685,670.9,11,10.4
20200716,710,674.8,10,10.3
20200717,733,684.9,9,9.7
20200718,841,716.8,9,9.6
20200719,917,725.5,9,10.2
20200720,635,746.6,14,10.1
20200721,710,755.0,9,10.3
20200722,757,764.0,13,10.4
