YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,324,350.4,26,20.2
20200521,550,348.8,17,19.1
20200522,322,339.6,14,18.9
20200523,406,338.6,22,17.9
20200524,353,335.7,10,17.3
20200525,306,343.6,0,16.5
20200526,146,343.9,21,15.7
20200527,666,343.1,19,14.8
20200528,217,338.0,10,13.8
20200529,371,335.8,18,13.1
20200530,287,330.5,7,12.3
20200531,308,333.6,4,11.3
20200601,147,324.0,20,11.0
20200602,320,326.6,6,10.5
20200603,281,324.7,13,9.7
20200604,506,317.9,9,9.3
20200605,348,310.7,10,9.1
20200606,324,308.4,6,9.0
20200607,234,290.0,6,8.5
20200608,295,298.8,12,8.3
20200609,230,300.8,9,7.5
20200610,389,297.7,5,7.2
20200611,347,305.3,9,7.2
20200612,377,307.0,4,6.3
20200613,367,307.1,6,6.1
20200614,209,300.0,2,5.5
20200615,156,312.7,6,5.4
20200616,97,312.5,7,5.3
20200617,281,314.0,10,5.0
20200618,401,324.2,5,4.8
20200619,413,325.6,1,4.5
20200620,222,325.6,0,4.3
20200621,467,328.0,5,4.1
20200622,183,347.0,0,3.8
20200623,323,338.7,3,3.7
20200624,132,349.7,1,3.4
20200625,772,361.5,6,3.3
20200626,344,365.5,8,3.1
20200627,356,379.7,0,3.2
20200628,447,388.8,2,2.9
20200629,325,399.7,5,2.9
20200630,229,423.7,5,3.0
20200701,440,436.3,1,3.1
20200702,745,449.9,2,3.1
20200703,204,451.7,2,3.2
20200704,598,447.5,0,3.2
20200705,456,473.1,0,4.1
20200706,241,475.1,2,4.0
20200707,395,485.0,9,3.9
20200708,471,487.6,4,4.0
20200709,630,490.1,5,4.1
20200710,918,499.9,2,4.1
20200711,486,507.0,5,4.3
20200712,752,509.2,4,4.6
20200713,221,501.8,3,4.8
20200714,235,522.4,2,5.0
20200715,670,515.5,20,5.0
20200716,814,516.2,4,5.1
20200717,553,520.9,4,5.4
20200718,410,513.1,4,5.1
20200719,500,523.8,4,5.6
20200720,530,525.3,5,5.9
20200721,378,503.9,8,6.1
20200722,487,506.4,8,6.0
20200723,588,491.1,6,6.0
20200724,638,489.2,6,6.1
20200725,452,493.6,0,6.2
20200726,471,490.5,3,5.9
20200727,339,486.1,7,6.2
20200728,232,482.7,3,6.2
20200729,695,486.8,15,6.6
20200730,662,481.2,11,6.6
20200731,468,467.7,7,6.5
20200801,540,466.7,2,6.7
20200802,430,465.0,4,6.6
20200803,182,456.0,6,6.7
20200804,326,467.3,4,6.9
20200805,605,484.7,12,7.0
20200806,723,480.5,12,7.2
20200807,481,482.5,3,7.2
20200808,495,489.2,12,7.8
20200809,384,471.4,4,7.4
20200810,246,488.0,3,7.2
20200811,356,503.7,12,7.5
20200812,452,509.7,7,7.6
20200813,400,510.6,7,7.6
20200814,874,524.0,10,7.8
20200815,818,541.7,5,8.1
20200816,382,570.0,0,8.1
20200817,382,663.3,12,8.5
20200818,372,704.2,15,9.2
20200819,322,718.0,8,8.2
20200820,1010,746.7,6,8.7
20200821,798,760.7,13,8.9
20200822,665,777.4,4,8.5
20200823,450,785.2,4,8.6
20200824,463,824.7,10,8.4
20200825,697,833.2,12,9.0
20200826,1201,839.3,12,9.0
20200827,2681,846.1,20,8.9
20200828,1340,843.2,17,8.7
20200829,784,848.5,-8,8.7
20200830,987,860.6,13,9.2
20200831,540,853.6,7,9.1
20200901,708,860.4,5,8.9
20200902,616,867.1,8,8.8
20200903,1228,868.1,3,8.7
20200904,1053,864.5,22,8.4
20200905,946,862.6,6,8.3
20200906,525,849.8,3,8.4
20200907,322,748.4,3,7.6
20200908,482,762.4,15,7.4
20200909,576,771.0,19,7.9
20200910,863,752.9,3,7.7
20200911,941,755.6,9,7.8
20200912,806,751.0,2,8.0
20200913,471,781.3,2,7.9
20200914,388,776.2,4,8.0
20200915,657,775.6,10,7.3
20200916,931,772.3,14,7.1
20200917,552,781.4,2,7.1
20200918,1635,796.2,14,7.3
20200919,965,819.8,1,7.4
20200920,606,840.6,0,7.3
20200921,597,855.7,19,7.6
20200922,611,861.1,9,7.7
20200923,1253,861.7,5,7.8
20200924,1120,860.4,5,8.0
20200925,1040,866.5,9,8.3
20200926,877,861.1,2,8.5
20200927,716,878.1,2,8.1
20200928,633,926.3,8,8.7
20200929,978,906.8,17,9.0
20200930,1012,916.1,17,9.2
20201001,1181,930.1,8,9.0
20201002,1054,926.0,11,9.4
20201003,819,943.0,4,9.4
20201004,443,954.0,6,9.9
20201005,516,955.5,11,10.1
20201006,545,986.4,15,10.1
20201007,1288,990.0,6,10.2
20201008,1564,986.2,14,10.3
20201009,1224,990.6,21,10.7
20201010,1161,998.4,5,11.2
20201011,901,1000.1,3,11.2
20201012,510,1014.5,19,11.2
20201013,969,1042.6,10,12.0
20201014,1482,1073.1,14,12.0
20201015,1152,1118.8,11,11.8
20201016,1690,1139.9,8,12.3
20201017,952,1179.0,4,12.7
20201018,636,1216.3,4,13.0
20201019,726,1252.0,16,13.0
20201020,1142,1325.8,28,12.4
20201021,1048,1403.2,18,12.2
20201022,1483,1477.7,7,12.9
20201023,1643,1526.8,28,13.1
20201024,1460,1566.9,5,13.8
20201025,1402,1633.8,1,14.1
20201026,960,1830.2,22,14.2
20201027,1365,1910.5,23,14.5
20201028,2072,2074.1,11,15.0
20201029,2315,2259.2,14,14.9
20201030,2772,2469.0,9,15.4
20201031,2788,2601.2,2,15.3
20201101,2464,2771.6,17,15.9
20201102,1542,2936.7,23,16.4
20201103,1810,3119.6,24,16.3
20201104,2888,3272.3,21,16.7
20201105,5277,3337.0,13,16.9
20201106,3375,3447.6,14,17.4
20201107,4388,3554.0,14,18.3
20201108,4524,3661.1,3,19.6
20201109,5132,3743.9,27,20.1
20201110,3917,3818.8,26,21.2
20201111,4626,3842.5,29,22.6
20201112,4951,3842.4,19,22.3
20201113,5484,3917.9,26,22.2
20201114,4667,3974.2,13,23.3
20201115,2759,4003.4,4,24.3
20201116,3283,3849.1,34,25.5
20201117,3601,3771.0,41,25.3
20201118,4320,3663.1,38,25.4
20201119,4054,3519.6,25,26.4
20201120,4345,3367.7,32,26.4
20201121,3286,3296.9,32,26.2
20201122,2461,3224.1,11,28.1
20201123,3128,3110.5,20,31.3
20201124,2992,2983.0,48,33.0
20201125,3502,2849.0,42,33.2
20201126,2037,2779.9,37,34.7
20201127,1733,2685.1,11,33.3
20201128,2123,2607.4,15,31.4
20201129,1511,2512.5,24,37.0
20201130,1941,2427.7,27,43.3
20201201,2431,2271.2,23,49.2
20201202,3097,2181.2,69,48.4
20201203,2565,2123.1,85,48.0
20201204,2807,2024.7,62,49.9
20201205,1854,1927.1,17,50.8
20201206,1306,1880.4,35,49.4
20201207,1293,1851.8,6,52.4
20201208,1970,1888.1,1,53.9
20201209,2326,1894.3,0,55.1
20201210,2273,1840.0,0,56.6
20201211,1059,1814.5,469,56.9
20201212,1397,1773.0,15,57.3
20201213,1240,1712.0,1,54.7
20201214,1062,1663.7,60,54.0
20201215,942,1558.8,67,51.3
20201216,2521,1495.6,14,50.5
20201217,1436,1457.5,100,48.9
20201218,2497,1460.2,0,50.2
20201219,2252,1445.5,82,51.8
20201220,370,1418.3,56,44.9
20201221,1407,1388.5,0,40.7
20201222,1558,1398.5,64,33.6
20201223,1818,1375.5,15,35.1
20201224,1549,1355.5,71,36.2
20201225,605,1383.1,5,34.4
20201226,527,1430.7,0,31.6
20201227,506,1428.7,1,33.8
20201228,1350,1475.2,0,29.3
20201229,1661,1431.2,68,30.1
20201230,1754,1391.0,10,28.3
20201231,1648,1397.8,69,26.2
20210101,1268,1382.8,7,24.7
20210102,915,1379.1,48,27.1
20210103,820,1383.3,0,26.9
20210104,1641,1376.1,46,24.4
20210105,1942,1412.4,7,24.5
20210106,2478,1426.4,61,27.5
20210107,2413,1421.5,5,27.6
20210108,1573,1401.6,59,26.0
20210109,1409,1380.6,3,24.8
20210110,511,1367.8,11,27.2
20210111,1092,1368.0,1,26.4
20210112,1481,1367.4,83,27.6
20210113,1906,1368.0,10,25.7
20210114,1399,1353.4,19,24.7
20210115,1366,1312.0,6,23.6
20210116,822,1271.6,64,23.5
20210117,403,1206.6,2,21.0
20210118,932,1139.8,1,22.2
20210119,1219,1121.8,8,21.6
20210120,1485,1092.3,62,25.0
20210121,1653,1082.2,51,36.3
20210122,1255,1067.3,33,36.5
20210123,927,1048.5,8,33.2
20210124,515,1007.0,1,35.4
20210125,772,983.6,1,37.2
20210126,1093,946.2,4,38.6
20210127,1112,931.3,8,37.5
20210128,1010,925.7,32,37.4
20210129,1195,911.2,45,37.4
20210130,791,897.5,74,38.7
20210131,298,870.2,250,37.1
20210201,779,809.1,5,35.8
20210202,1087,803.3,13,35.5
20210203,1034,781.8,56,35.7
20210204,908,767.7,58,35.7
20210205,581,753.2,34,35.7
20210206,509,729.3,41,36.7
20210207,284,704.4,0,38.4
20210208,629,684.8,2,37.6
20210209,931,639.4,35,36.1
20210210,911,622.5,29,33.2
20210211,371,635.8,22,21.9
20210212,1133,614.0,27,22.3
20210213,474,604.3,13,22.9
20210214,219,588.4,0,21.0
20210215,468,572.8,1,19.3
20210216,592,574.2,26,18.9
20210217,588,570.3,43,17.2
20210218,599,565.5,15,17.2
20210219,242,555.8,15,17.2
20210220,435,541.4,0,16.8
20210221,578,522.9,0,15.6
20210222,320,532.4,38,16.2
20210223,884,504.0,26,15.5
20210224,701,499.5,15,15.0
20210225,579,495.9,23,15.3
20210226,611,495.3,25,15.3
20210227,427,503.5,7,14.8
20210228,183,498.7,1,14.0
20210301,425,492.0,1,14.3
