YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,154,87.5,3,2.2
20200521,118,85.6,2,2.0
20200522,284,93.7,1,2.0
20200523,37,93.4,0,2.1
20200524,58,97.1,0,2.1
20200525,121,98.3,2,2.0
20200526,74,102.5,3,2.1
20200527,92,102.8,3,2.0
20200528,80,102.5,1,2.0
20200529,291,106.7,1,1.9
20200530,28,107.4,0,1.8
20200531,10,106.8,0,1.8
20200601,220,104.7,2,1.9
20200602,45,98.3,5,1.9
20200603,127,98.8,4,1.9
20200604,75,99.9,1,1.9
20200605,139,104.5,5,1.9
20200606,55,105.3,1,1.7
20200607,45,112.0,0,1.6
20200608,138,113.4,3,1.8
20200609,65,112.3,1,1.9
20200610,141,114.6,3,2.0
20200611,73,116.0,3,2.0
20200612,150,119.4,0,2.0
20200613,47,122.5,2,1.8
20200614,81,135.1,0,1.7
20200615,218,140.0,1,1.7
20200616,92,150.3,0,1.6
20200617,233,155.0,1,1.7
20200618,109,163.9,4,1.7
20200619,268,174.5,3,1.8
20200620,76,179.1,2,1.8
20200621,39,194.3,1,1.8
20200622,292,199.0,1,1.8
20200623,109,223.1,2,1.8
20200624,393,232.9,1,1.8
20200625,177,237.1,1,1.9
20200626,355,253.3,3,1.9
20200627,155,259.5,3,2.0
20200628,230,270.9,1,2.1
20200629,362,287.2,4,2.0
20200630,161,299.1,0,1.9
20200701,460,313.8,4,1.9
20200702,172,326.0,3,1.9
20200703,657,343.7,2,1.9
20200704,252,350.0,1,1.9
20200705,170,353.3,1,2.0
20200706,557,367.1,1,2.0
20200707,222,377.4,4,2.0
20200708,472,384.6,0,1.9
20200709,453,388.0,4,1.9
20200710,518,402.2,0,1.9
20200711,384,407.6,2,2.0
20200712,294,411.9,2,2.1
20200713,664,426.3,1,2.0
20200714,242,423.5,1,2.3
20200715,462,433.2,5,2.2
20200716,468,438.5,1,2.2
20200717,571,436.5,1,2.4
20200718,305,437.9,2,2.4
20200719,303,440.8,1,2.8
20200720,660,433.1,3,3.0
20200721,273,431.4,4,3.0
20200722,551,424.0,5,3.0
20200723,475,423.2,1,3.0
20200724,598,418.4,8,3.3
20200725,455,423.6,-1,3.3
20200726,281,423.9,2,3.2
20200727,516,418.8,4,3.5
20200728,250,416.4,5,3.5
20200729,533,416.8,9,3.4
20200730,293,411.8,8,3.4
20200731,481,405.4,1,3.6
20200801,228,406.0,0,3.7
20200802,279,409.8,3,3.6
20200803,563,405.1,6,3.9
20200804,350,403.0,1,3.5
20200805,469,422.7,4,3.7
20200806,361,426.3,6,3.6
20200807,520,418.8,2,3.4
20200808,313,419.2,0,3.4
20200809,199,419.8,1,3.1
20200810,525,429.0,6,3.0
20200811,285,453.4,6,3.2
20200812,632,465.8,4,3.2
20200813,376,465.3,6,3.2
20200814,553,480.5,1,3.0
20200815,870,478.8,2,3.0
20200816,0,505.1,0,3.3
20200817,714,510.6,1,3.2
20200818,260,518.8,4,3.2
20200819,544,529.8,4,3.4
20200820,487,528.2,4,3.4
20200821,994,543.3,7,3.1
20200822,487,547.0,0,3.0
20200823,270,558.9,0,3.0
20200824,882,566.8,3,3.2
20200825,313,586.6,1,3.7
20200826,1023,559.0,12,3.6
20200827,475,550.1,4,3.6
20200828,693,557.8,1,3.8
20200829,543,577.0,4,3.6
20200830,166,570.7,0,4.0
20200831,843,565.1,2,4.0
20200901,361,545.2,3,4.3
20200902,883,535.7,5,4.8
20200903,541,527.6,10,4.8
20200904,970,528.0,10,5.4
20200905,290,528.6,0,6.1
20200906,170,514.8,1,6.9
20200907,519,513.0,5,7.0
20200908,663,525.7,-1,7.1
20200909,411,517.0,14,7.0
20200910,370,624.0,4,7.0
20200911,576,599.6,13,7.1
20200912,288,630.8,10,7.6
20200913,100,605.9,2,7.7
20200914,891,632.8,14,7.5
20200915,324,606.0,15,7.4
20200916,734,592.4,29,7.5
20200917,436,654.0,0,7.6
20200918,961,647.1,10,7.5
20200919,361,660.4,0,8.0
20200920,2413,654.0,0,8.6
20200921,329,692.1,5,8.9
20200922,1016,676.4,13,8.7
20200923,360,664.2,7,8.3
20200924,1107,714.5,0,8.3
20200925,408,684.1,14,7.9
20200926,4,724.9,0,7.5
20200927,1463,695.4,0,6.6
20200928,374,751.1,9,7.5
20200929,942,721.4,8,8.4
20200930,278,708.1,27,8.4
20201001,1170,668.8,0,8.4
20201002,245,669.6,20,8.9
20201003,32,677.5,1,8.9
20201004,1157,673.5,0,10.4
20201005,253,692.1,7,10.5
20201006,1180,683.0,0,10.7
20201007,115,688.0,17,10.8
20201008,1605,689.0,24,10.8
20201009,337,700.8,24,10.9
20201010,83,717.9,2,11.7
20201011,1587,723.2,1,13.1
20201012,345,735.2,13,12.6
20201013,1182,746.9,12,13.2
20201014,277,748.8,39,13.1
20201015,1497,779.9,0,13.0
20201016,217,784.4,21,12.9
20201017,108,857.1,0,12.8
20201018,1486,869.6,0,13.5
20201019,621,923.4,13,12.4
20201020,1301,932.8,24,12.3
20201021,390,930.8,57,12.4
20201022,1422,1013.6,-1,12.6
20201023,490,1018.5,23,12.3
20201024,72,1089.2,0,12.3
20201025,1810,1098.7,0,11.9
20201026,347,1253.4,1,13.2
20201027,2708,1285.9,7,14.6
20201028,376,1290.8,24,14.7
20201029,2735,1450.7,1,14.7
20201030,535,1447.0,21,14.7
20201031,40,1406.8,0,14.4
20201101,3327,1644.3,0,12.5
20201102,447,1589.5,17,13.5
20201103,2667,1864.4,11,13.4
20201104,476,1861.7,30,13.5
20201105,4747,1777.4,0,13.7
20201106,898,2101.6,79,13.8
20201107,212,2000.5,0,14.9
20201108,4843,2241.1,0,15.2
20201109,545,2131.5,15,17.1
20201110,455,2379.0,0,18.1
20201111,5378,2385.3,34,17.9
20201112,272,2227.8,0,17.7
20201113,6262,2572.0,41,19.6
20201114,15,2460.5,0,20.1
20201115,41,2684.6,0,19.9
20201116,7155,2475.4,10,18.6
20201117,585,2661.9,0,17.3
20201118,5428,2656.0,60,17.6
20201119,434,2527.8,0,17.8
20201120,5731,2604.3,84,18.1
20201121,173,2597.3,0,20.1
20201122,19,2559.4,1,22.2
20201123,7677,2560.3,46,21.3
20201124,324,2549.0,0,25.4
20201125,5182,2558.3,47,25.3
20201126,355,2556.4,0,26.8
20201127,4814,2476.8,26,28.3
20201128,89,2469.3,0,26.9
20201129,0,2463.5,0,29.5
20201130,4301,2455.1,31,30.6
20201201,308,2444.0,0,31.8
20201202,4583,2442.5,120,31.8
20201203,290,2549.1,1,31.8
20201204,6024,2291.1,107,31.3
20201205,211,2288.6,1,33.5
20201206,1,2252.0,0,35.7
20201207,5483,2247.8,70,35.4
20201208,429,2288.3,1,39.1
20201209,5305,2287.1,85,38.6
20201210,258,2185.0,0,38.2
20201211,5497,2278.3,131,42.9
20201212,142,2276.9,0,41.0
20201213,0,2286.9,1,39.1
20201214,4518,2279.6,37,39.7
20201215,271,2064.7,0,34.7
20201216,4412,2126.6,138,34.7
20201217,267,2198.5,8,34.0
20201218,5665,2009.4,90,33.3
20201219,64,2006.8,0,34.5
20201220,5,2041.7,1,38.4
20201221,4112,2029.7,109,38.6
20201222,277,2001.0,0,38.7
20201223,4793,1994.8,42,38.8
20201224,137,1981.3,12,39.1
20201225,0,1967.8,2,37.8
20201226,0,1946.9,1,39.0
20201227,0,1989.0,0,37.4
20201228,6046,1981.7,42,37.1
20201229,374,1963.0,26,38.6
20201230,6037,2041.3,167,38.6
20201231,6,2122.4,0,38.6
20210101,4896,2008.1,137,38.6
20210102,11,1999.2,1,37.6
20210103,0,1975.8,0,41.4
20210104,3950,1983.9,18,40.9
20210105,-168,2099.7,95,47.5
20210106,5296,2082.9,35,47.5
20210107,114,2066.0,1,46.5
20210108,5272,2049.0,122,46.6
20210109,0,2039.7,0,46.6
20210110,0,1919.8,1,40.0
20210111,5129,1928.4,108,37.2
20210112,91,1847.6,1,34.5
20210113,4301,1888.3,101,34.9
20210114,306,1835.4,1,34.9
20210115,3944,1782.6,141,35.0
20210116,0,1794.1,0,30.5
20210117,0,1692.8,1,33.3
20210118,3471,1691.0,22,33.3
20210119,178,1541.6,0,30.4
20210120,3519,1492.8,54,30.4
20210121,187,1444.0,0,30.4
20210122,3199,1395.0,22,26.7
20210123,0,1397.7,0,28.4
20210124,0,1296.1,0,25.4
20210125,2595,1283.5,29,30.2
20210126,75,1217.7,1,28.3
20210127,3168,1185.0,94,28.3
20210128,77,1152.3,1,28.3
20210129,2133,1119.7,61,31.7
20210130,0,1111.3,0,32.8
20210131,0,1032.9,2,34.0
20210201,2052,1027.0,30,34.9
20210202,147,931.8,0,35.8
20210203,2167,912.0,75,36.0
20210204,41,892.3,0,36.1
20210205,2563,872.6,203,36.3
20210206,0,869.8,0,39.0
20210207,0,778.4,1,37.1
20210208,1412,776.2,92,39.2
20210209,3,774.2,0,38.5
20210210,1872,755.4,103,38.9
20210211,63,736.5,0,39.3
20210212,1199,717.7,59,38.4
20210213,0,711.2,0,38.5
20210214,0,660.3,0,38.6
20210215,1353,659.6,41,34.0
20210216,15,574.8,0,29.4
20210217,1250,562.7,112,29.5
20210218,31,550.5,0,29.6
20210219,2091,538.4,91,25.4
20210220,0,538.7,0,24.7
20210221,0,487.2,0,23.9
20210222,865,485.6,29,22.7
20210223,11,453.0,0,21.4
20210224,1098,441.0,79,20.3
20210225,26,433.9,0,19.8
20210226,782,426.7,11,19.1
20210227,0,426.8,0,17.3
20210228,0,402.0,0,15.5
20210301,647,401.8,8,12.6
20210302,10,322.9,0,9.8
20210303,790,316.1,72,9.5
20210304,30,309.3,0,9.3
20210305,515,302.6,7,9.0
20210306,199,302.4,-11,7.2
20210307,0,279.7,0,5.3
20210308,600,279.5,4,5.2
20210309,18,263.0,0,5.0
20210310,730,258.7,35,5.0
20210311,26,254.5,0,5.0
20210312,433,250.2,-29,5.0
20210313,0,251.1,0,4.0
20210314,0,240.6,0,3.0
20210315,439,241.7,13,3.0
20210316,7,238.0,0,3.3
20210317,622,235.4,2,4.0
20210318,22,227.9,0,4.0
20210319,434,220.5,5,4.1
20210320,0,220.8,0,3.6
20210321,0,209.7,0,3.0
20210322,379,209.5,8,4.1
20210323,29,211.1,0,5.3
