YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,98,141.7,10,7.9
20200521,119,143.4,10,7.6
20200522,140,145.2,5,7.3
20200523,145,145.4,0,7.0
20200524,0,149.8,0,6.9
20200525,0,157.4,0,6.8
20200526,380,164.0,3,6.7
20200527,126,172.4,6,6.4
20200528,108,170.5,9,6.0
20200529,279,168.6,9,5.5
20200530,240,173.2,13,5.3
20200531,0,177.0,0,5.1
20200601,342,174.2,8,5.1
20200602,139,178.1,3,5.0
20200603,225,184.5,8,5.1
20200604,295,183.3,8,5.3
20200605,272,182.1,8,5.4
20200606,310,184.3,4,5.6
20200607,0,186.6,0,5.6
20200608,189,191.0,2,5.3
20200609,231,190.0,5,5.0
20200610,176,187.0,7,4.4
20200611,62,184.5,9,4.3
20200612,221,180.6,4,4.4
20200613,279,188.4,2,4.5
20200614,0,188.2,0,4.2
20200615,202,186.3,6,4.2
20200616,0,184.9,0,4.1
20200617,348,184.8,13,4.0
20200618,202,183.4,2,4.1
20200619,257,184.3,2,4.2
20200620,176,186.5,2,4.2
20200621,120,188.5,2,4.2
20200622,89,196.9,0,4.2
20200623,302,200.5,11,4.2
20200624,222,199.5,1,4.2
20200625,254,207.0,8,4.1
20200626,242,214.5,7,4.2
20200627,308,223.7,1,4.3
20200628,65,234.5,4,4.3
20200629,115,240.4,2,4.4
20200630,277,248.5,5,4.7
20200701,218,261.5,7,4.7
20200702,237,268.5,9,4.7
20200703,297,276.9,4,4.7
20200704,0,289.6,0,4.7
20200705,0,300.7,0,5.1
20200706,776,307.9,8,5.0
20200707,367,321.2,9,5.0
20200708,400,334.1,6,5.4
20200709,326,377.6,4,5.3
20200710,427,384.1,8,5.3
20200711,449,401.7,2,5.2
20200712,268,414.2,3,5.0
20200713,264,431.8,4,4.9
20200714,570,455.0,6,5.0
20200715,454,482.4,10,5.2
20200716,406,485.2,5,5.3
20200717,522,496.9,8,5.5
20200718,579,504.4,9,5.6
20200719,977,514.7,3,5.5
20200720,253,530.5,1,5.7
20200721,646,546.6,3,5.5
20200722,480,552.5,3,5.6
20200723,607,561.7,7,5.6
20200724,785,564.5,7,5.5
20200725,832,570.2,5,5.5
20200726,318,574.5,4,5.1
20200727,504,579.6,9,5.2
20200728,525,580.5,10,5.0
20200729,616,590.2,5,5.0
20200730,659,562.9,7,4.9
20200731,765,563.8,4,5.0
20200801,572,558.7,5,5.2
20200802,462,590.7,2,5.4
20200803,323,597.1,2,5.3
20200804,689,588.9,7,5.4
20200805,544,579.3,1,5.4
20200806,513,582.3,8,5.4
20200807,542,576.4,4,5.2
20200808,782,580.4,8,5.3
20200809,404,580.9,1,5.6
20200810,272,582.9,2,6.0
20200811,539,576.9,8,6.1
20200812,1152,587.8,7,6.3
20200813,741,585.6,6,6.5
20200814,612,590.0,8,6.7
20200815,632,589.1,6,6.9
20200816,0,594.7,0,7.1
20200817,761,605.9,8,7.1
20200818,608,617.2,12,7.3
20200819,627,619.0,12,7.1
20200820,700,621.4,14,7.4
20200821,639,625.8,8,7.5
20200822,801,637.7,8,7.9
20200823,0,621.2,0,8.4
20200824,832,628.5,12,8.6
20200825,670,637.1,11,8.7
20200826,662,644.5,7,8.7
20200827,748,641.1,8,8.7
20200828,779,636.8,8,8.5
20200829,820,620.0,3,8.0
20200830,454,621.5,8,8.1
20200831,365,626.0,4,8.5
20200901,789,640.0,15,8.6
20200902,806,635.7,18,8.8
20200903,894,641.1,10,8.7
20200904,792,637.3,11,8.6
20200905,787,639.6,6,8.5
20200906,310,644.5,3,8.6
20200907,290,637.7,0,8.7
20200908,255,636.7,1,8.7
20200909,658,644.2,16,8.9
20200910,795,643.4,22,8.7
20200911,932,643.9,9,8.5
20200912,711,645.0,13,8.1
20200913,530,644.0,3,7.5
20200914,337,632.0,5,7.7
20200915,718,637.6,9,7.7
20200916,764,646.3,8,7.7
20200917,606,653.2,11,7.7
20200918,758,660.7,8,7.9
20200919,978,692.2,7,8.2
20200920,436,707.8,3,7.7
20200921,375,712.2,1,7.4
20200922,814,715.4,7,7.3
20200923,784,742.2,5,7.0
20200924,643,746.3,13,7.1
20200925,908,756.0,12,7.1
20200926,970,771.1,5,6.9
20200927,455,848.7,3,6.7
20200928,448,861.2,5,6.7
20200929,917,872.8,8,6.7
20200930,984,873.3,4,6.7
20201001,888,892.9,17,6.7
20201002,999,905.4,6,6.8
20201003,1274,902.9,8,7.1
20201004,616,928.5,4,7.2
20201005,541,954.1,5,7.6
20201006,1036,973.3,4,7.2
20201007,2393,988.6,5,7.5
20201008,868,1005.5,11,7.7
20201009,1001,1014.7,8,7.8
20201010,989,1032.8,7,8.2
20201011,847,1055.0,3,9.0
20201012,638,1074.8,3,9.0
20201013,761,1096.2,14,9.5
20201014,1322,1118.0,7,9.5
20201015,1182,1158.3,20,9.4
20201016,1311,1176.6,4,9.3
20201017,1291,1211.6,12,10.0
20201018,810,1186.0,6,10.4
20201019,640,1231.0,8,10.8
20201020,1297,1275.5,16,11.1
20201021,1452,1322.6,21,11.2
20201022,1303,1350.0,17,11.3
20201023,1449,1368.6,16,11.3
20201024,1732,1413.7,8,11.1
20201025,1462,1428.4,3,11.3
20201026,924,1480.1,3,11.3
20201027,1771,1523.8,18,11.6
20201028,1857,1565.0,14,11.9
20201029,1811,1582.4,19,11.8
20201030,1937,1634.3,15,11.9
20201031,1977,1671.5,9,11.8
20201101,1423,1730.9,4,11.5
20201102,1028,1780.0,3,11.5
20201103,1709,1861.7,11,12.0
20201104,1630,1936.0,11,12.1
20201105,2268,1935.4,20,12.1
20201106,2228,1963.4,10,12.1
20201107,2156,2017.7,17,12.8
20201108,1177,2060.0,4,12.9
20201109,1729,2146.9,11,13.4
20201110,2079,2236.4,14,13.6
20201111,2698,2318.5,14,14.2
20201112,2336,2355.1,18,14.2
20201113,3164,2407.7,25,14.3
20201114,3293,2450.4,11,14.6
20201115,1449,2530.0,3,15.3
20201116,1511,2555.7,3,15.2
20201117,2911,2583.3,33,15.6
20201118,2745,2596.2,15,15.4
20201119,3637,2670.8,30,15.8
20201120,3816,2689.2,20,15.8
20201121,3702,2786.6,21,16.8
20201122,2192,2829.6,4,17.8
20201123,2132,2901.0,5,18.7
20201124,2606,2921.3,17,18.7
20201125,3301,2948.9,26,19.2
20201126,0,3002.1,0,19.6
20201127,5616,3023.5,36,19.9
20201128,2427,3031.4,14,19.3
20201129,2743,3065.8,11,19.3
20201130,2116,3098.0,12,19.2
20201201,4123,3091.1,35,19.3
20201202,3601,3083.4,0,19.5
20201203,3835,3095.4,71,20.0
20201204,3592,3078.9,25,20.6
20201205,3872,3094.2,23,20.5
20201206,2567,3074.0,10,20.3
20201207,1960,3098.7,10,22.0
20201208,3076,3115.9,20,22.5
20201209,3468,3161.0,16,23.1
20201210,4314,3114.0,28,23.9
20201211,3670,3107.4,22,24.0
20201212,3540,3056.1,24,23.7
20201213,2444,3024.5,15,23.2
20201214,1786,2925.7,17,22.6
20201215,2928,2838.5,15,22.4
20201216,2875,2738.0,23,22.5
20201217,3328,2687.2,54,23.0
20201218,3169,2663.1,28,22.9
20201219,3374,2658.3,27,23.4
20201220,1757,2672.7,26,24.0
20201221,1976,2605.5,15,23.9
20201222,3047,2569.0,28,24.0
20201223,2936,2538.6,26,24.1
20201224,0,2558.2,0,24.6
20201225,0,2583.5,0,25.0
20201226,5283,2524.7,68,25.4
20201227,1500,2659.4,21,25.9
20201228,1454,2733.8,8,25.1
20201229,2975,2808.4,31,24.4
20201230,3770,2849.2,29,24.0
20201231,0,2919.2,0,24.0
20210101,0,2924.3,0,24.3
20210102,8709,2923.1,75,24.0
