YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,278,372.8,27,22.6
20200521,1188,373.3,21,21.6
20200522,421,377.9,39,20.8
20200523,0,381.5,0,21.1
20200524,244,384.2,23,21.5
20200525,640,389.0,0,20.8
20200526,245,393.7,11,20.9
20200527,443,401.7,21,20.2
20200528,305,401.7,18,19.5
20200529,0,397.2,26,18.6
20200530,775,408.3,19,17.9
20200531,339,415.0,5,17.1
20200601,425,379.4,10,17.0
20200602,405,384.3,34,15.6
20200603,387,439.8,35,15.5
20200604,429,450.0,13,15.4
20200605,427,445.9,29,15.3
20200606,497,459.6,13,16.2
20200607,330,482.7,11,16.1
20200608,234,465.3,8,15.8
20200609,562,444.1,13,15.1
20200610,418,467.0,11,15.1
20200611,442,469.6,19,15.0
20200612,523,471.3,9,15.0
20200613,1288,516.6,8,14.2
20200614,336,540.2,10,13.4
20200615,553,564.4,4,13.4
20200616,534,608.6,24,13.2
20200617,928,619.8,20,12.8
20200618,0,639.0,0,12.5
20200619,-119,668.1,22,12.7
20200620,870,689.7,20,12.6
20200621,393,769.0,1,12.9
20200622,461,813.8,12,12.8
20200623,1356,871.1,17,13.4
20200624,882,855.9,18,13.3
20200625,938,886.0,12,13.0
20200626,1354,912.1,26,13.2
20200627,0,978.9,0,13.2
20200628,1467,1024.6,9,13.2
20200629,845,1115.2,0,13.4
20200630,1014,1243.9,22,14.1
20200701,2083,1305.6,17,14.2
20200702,1383,1349.7,17,14.8
20200703,1728,1409.0,23,14.6
20200704,0,1449.9,0,14.8
20200705,1937,1507.3,10,14.7
20200706,1101,1571.2,8,15.3
20200707,1936,1610.5,23,15.2
20200708,1888,1649.8,20,15.8
20200709,1843,1689.0,16,16.4
20200710,2642,1800.5,25,12.0
20200711,2167,1832.8,23,13.2
20200712,1319,1865.5,13,15.2
20200713,1705,1909.0,7,15.2
20200714,2215,1926.0,22,20.8
20200715,2089,1971.3,16,21.7
20200716,2280,2016.6,24,22.6
20200717,2179,2075.7,24,23.3
20200718,0,2036.9,0,23.5
20200719,3116,2029.6,34,25.9
20200720,3186,2023.2,-81,27.1
20200721,1691,1983.0,36,27.1
20200722,2771,1962.4,60,27.4
20200723,2296,1982.1,16,28.1
20200724,2084,1953.3,141,28.6
20200725,0,2020.0,0,28.9
20200726,3840,1991.0,48,30.2
20200727,2343,1944.5,23,31.5
20200728,1121,1912.2,26,33.2
