YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,78,39.1,0,0.8
20200521,58,39.8,0,0.8
20200522,71,39.6,2,0.9
20200523,65,39.6,2,1.0
20200524,42,40.2,1,1.0
20200525,19,40.2,0,1.1
20200526,35,40.6,1,1.2
20200527,28,41.3,2,1.2
20200528,52,42.1,3,1.2
20200529,37,41.7,1,1.2
20200530,56,41.2,4,1.3
20200531,43,39.0,0,1.3
20200601,24,37.6,0,1.3
20200602,28,36.8,5,1.2
20200603,41,35.4,1,1.1
20200604,28,35.1,0,1.0
20200605,36,35.0,3,1.1
20200606,42,33.8,0,1.0
20200607,46,33.3,1,1.0
20200608,18,32.8,0,0.9
20200609,18,32.7,1,0.8
20200610,31,31.2,0,0.6
20200611,30,30.1,0,0.6
20200612,54,29.6,0,0.5
20200613,36,29.5,0,0.4
20200614,36,28.5,0,0.4
20200615,17,29.7,1,0.3
20200616,9,29.5,0,0.2
20200617,17,30.0,1,0.3
20200618,42,29.6,0,0.2
20200619,35,30.0,0,0.3
20200620,25,30.8,0,0.2
20200621,19,31.3,0,0.2
20200622,14,31.5,0,0.2
20200623,25,31.0,0,0.2
20200624,21,30.5,1,0.3
20200625,53,29.6,0,0.4
20200626,32,29.2,0,0.4
20200627,52,29.6,1,0.4
20200628,37,29.7,0,0.4
20200629,28,29.0,1,0.4
20200630,34,27.9,0,0.4
20200701,41,27.7,0,0.5
20200702,34,27.7,0,0.6
20200703,45,28.0,0,0.6
20200704,24,27.1,2,0.6
20200705,18,26.7,2,0.5
20200706,8,25.1,0,0.5
20200707,17,25.4,1,0.6
20200708,20,23.4,0,0.6
20200709,26,23.6,1,0.6
20200710,13,23.4,0,0.6
20200711,21,22.4,1,0.6
20200712,19,20.4,2,0.6
20200713,19,19.5,0,0.6
20200714,8,18.3,0,0.6
20200715,12,18.7,0,0.6
20200716,20,19.0,0,0.5
20200717,38,19.5,1,0.5
20200718,9,19.0,2,0.5
20200719,42,19.3,0,0.5
20200720,24,19.1,0,0.5
20200721,12,19.7,1,0.6
20200722,-1,19.9,0,0.5
20200723,15,20.0,0,0.4
20200724,20,19.6,0,0.5
20200725,33,19.6,1,0.4
20200726,24,19.8,0,0.5
20200727,18,19.1,0,0.5
20200728,6,18.1,2,0.4
20200729,28,18.2,0,0.4
20200730,22,17.0,1,0.4
20200731,24,16.2,1,0.4
20200801,25,15.7,0,0.4
20200802,21,16.6,0,0.4
20200803,12,16.8,1,0.4
20200804,7,17.1,-1,0.4
20200805,17,16.9,1,0.4
20200806,5,16.9,0,0.4
20200807,17,17.4,0,0.4
20200808,12,17.9,1,0.3
20200809,16,17.6,0,0.3
20200810,7,17.4,0,0.3
20200811,1,17.8,1,0.3
20200812,18,18.1,0,0.3
20200813,19,18.0,0,0.4
20200814,27,18.4,0,0.3
20200815,28,18.7,1,0.4
20200816,24,18.8,0,0.4
20200817,29,19.8,0,0.4
20200818,16,20.0,0,0.4
20200819,22,22.1,0,0.3
20200820,18,22.4,1,0.3
20200821,33,22.8,1,0.3
20200822,32,23.7,1,0.3
20200823,18,23.7,1,0.3
20200824,21,25.2,0,0.3
20200825,12,24.6,0,0.4
20200826,20,24.5,1,0.3
20200827,25,24.5,0,0.3
20200828,22,24.0,0,0.3
20200829,56,23.9,0,0.3
20200830,22,22.8,0,0.3
20200831,15,24.1,0,0.3
20200901,20,24.1,0,0.2
20200902,19,24.6,1,0.2
20200903,50,25.1,0,0.2
20200904,15,26.0,1,0.2
20200905,0,26.1,0,0.3
20200906,50,26.3,0,0.3
20200907,18,26.1,0,0.3
20200908,13,27.0,0,0.3
20200909,-1,25.8,0,0.3
20200910,47,26.8,0,0.3
20200911,32,27.5,0,0.4
20200912,42,28.4,1,0.4
20200913,29,28.7,1,0.3
20200914,41,28.4,0,0.3
20200915,14,28.6,1,0.3
20200916,23,28.6,1,0.3
20200917,21,28.8,0,0.3
20200918,40,28.5,0,0.3
20200919,32,29.7,1,0.3
20200920,43,32.2,0,0.3
20200921,29,31.8,1,0.3
20200922,40,32.1,0,0.3
20200923,24,31.0,0,0.3
20200924,44,31.2,0,0.3
20200925,20,30.5,0,0.3
20200926,24,30.8,0,0.2
20200927,29,31.5,0,0.2
20200928,13,32.2,0,0.2
20200929,37,31.6,1,0.2
20200930,52,31.5,0,0.2
20201001,39,30.6,0,0.2
20201002,38,30.8,0,0.1
20201003,18,30.2,1,0.1
20201004,35,30.8,0,0.1
20201005,25,29.5,0,0.2
20201006,21,30.0,0,0.2
20201007,38,31.1,0,0.3
20201008,35,31.0,0,0.3
20201009,27,31.5,1,0.3
20201010,30,31.0,0,0.2
20201011,25,30.2,0,0.2
20201012,32,30.2,0,0.2
20201013,28,29.9,0,0.2
20201014,36,31.0,0,0.2
20201015,18,32.4,1,0.2
20201016,29,33.7,1,0.2
20201017,49,35.4,1,0.2
20201018,25,37.3,0,0.2
20201019,24,39.4,0,0.2
20201020,26,42.9,0,0.1
20201021,37,46.0,0,0.2
20201022,39,47.2,0,0.2
20201023,31,49.8,0,0.2
20201024,42,54.5,0,0.3
20201025,63,59.8,0,0.3
20201026,52,67.9,0,0.3
20201027,58,75.3,0,0.2
20201028,77,80.4,0,0.2
20201029,80,83.6,0,0.3
20201030,100,91.8,0,0.3
20201031,96,98.7,1,0.5
20201101,49,103.7,0,0.6
20201102,87,111.0,1,0.6
20201103,127,121.2,0,0.8
20201104,146,126.4,2,0.8
20201105,189,130.7,0,0.9
20201106,184,136.5,0,0.9
20201107,156,145.4,1,1.0
20201108,93,149.2,1,1.1
20201109,195,155.6,1,1.2
20201110,172,161.5,3,1.3
20201111,142,164.8,2,1.3
20201112,193,173.7,1,1.4
20201113,244,178.4,3,1.4
20201114,152,184.5,1,1.9
20201115,153,188.4,2,1.9
20201116,173,190.7,0,1.9
20201117,246,182.5,1,1.9
20201118,156,175.6,4,1.9
20201119,215,181.7,1,1.9
20201120,224,184.2,2,2.0
20201121,165,186.7,1,2.8
20201122,236,190.8,2,2.9
20201123,185,198.0,1,2.9
20201124,255,200.2,12,3.0
