YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,777,1348.0,42,40.4
20200521,1208,1299.4,36,39.5
20200522,893,1240.6,48,38.4
20200523,1071,1196.0,36,38.6
20200524,818,1149.5,34,38.7
20200525,839,1106.3,25,38.0
20200526,535,1064.8,31,37.6
20200527,736,1013.7,59,37.4
20200528,1286,952.1,36,35.8
20200529,1279,887.7,38,35.1
20200530,1027,826.6,43,34.8
20200531,763,816.3,23,34.3
20200601,549,793.6,20,34.1
20200602,848,770.9,45,33.0
20200603,807,752.9,44,32.5
20200604,876,732.8,27,31.5
20200605,912,708.6,34,30.7
20200606,712,701.0,38,30.9
20200607,491,692.7,9,28.8
20200608,431,643.8,27,28.0
20200609,500,598.1,35,26.9
20200610,561,568.6,33,25.9
20200611,732,549.0,31,25.4
20200612,416,537.0,25,24.9
20200613,692,515.8,26,23.6
20200614,396,493.1,13,22.2
20200615,331,472.3,8,22.0
20200616,377,445.0,35,21.0
20200617,560,427.0,14,19.9
20200618,260,419.2,20,20.0
20200619,319,421.4,14,19.0
20200620,408,412.1,22,18.0
20200621,350,402.5,14,17.2
20200622,297,391.7,8,16.0
20200623,404,397.5,18,15.4
20200624,330,382.7,16,14.8
20200625,440,377.7,21,14.5
20200626,338,374.9,13,14.2
20200627,335,380.3,15,13.5
20200628,327,375.8,11,13.3
20200629,477,391.3,7,13.0
20200630,305,398.2,15,13.0
20200701,359,405.3,15,12.3
20200702,505,419.2,7,12.0
20200703,538,425.0,11,12.0
20200704,380,440.6,13,11.5
20200705,291,460.9,7,11.1
20200706,272,470.8,3,10.4
20200707,492,488.4,20,10.3
20200708,465,512.2,9,10.0
20200709,586,540.7,13,10.0
20200710,463,544.3,15,9.9
20200711,557,570.8,7,10.1
20200712,642,583.5,9,9.5
20200713,418,591.1,6,9.4
20200714,733,609.8,9,9.5
20200715,756,653.0,7,9.4
20200716,648,672.2,6,9.4
20200717,707,713.0,12,9.6
20200718,835,720.4,9,9.1
20200719,925,734.5,9,9.7
20200720,554,749.0,5,9.5
20200721,860,782.7,20,9.0
20200722,627,804.7,3,9.3
20200723,664,817.4,4,9.3
20200724,930,838.9,13,9.4
20200725,1288,837.8,11,9.3
20200726,694,829.0,7,9.3
20200727,1128,825.8,7,9.7
20200728,648,830.2,11,9.8
20200729,761,827.4,20,10.0
20200730,892,827.2,10,9.9
20200731,1169,836.8,5,10.0
20200801,1019,823.7,13,9.6
20200802,909,819.6,9,9.9
20200803,870,825.0,8,10.0
20200804,710,814.7,7,10.0
20200805,572,792.3,6,9.7
20200806,579,784.0,15,9.5
20200807,801,754.2,14,9.2
20200808,775,748.1,12,9.1
20200809,922,731.6,8,8.7
20200810,755,716.8,6,8.6
20200811,585,693.0,13,8.6
20200812,541,674.2,8,8.5
20200813,776,658.5,8,8.4
20200814,715,644.0,11,8.1
20200815,818,628.2,5,8.4
20200816,519,621.9,3,8.6
20200817,503,621.8,2,8.1
20200818,520,612.3,9,7.7
20200819,414,605.4,11,8.0
20200820,580,585.1,8,8.0
20200821,670,571.0,5,7.8
