YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,1045,814.6,128,100.5
20200521,1114,804.6,82,98.1
20200522,805,945.9,80,101.0
20200523,773,921.4,76,97.3
20200524,1013,900.2,68,94.4
20200525,596,881.1,44,90.6
20200526,422,863.0,57,86.1
20200527,527,848.9,74,82.6
20200528,675,821.8,93,77.8
20200529,617,789.2,78,73.5
20200530,789,760.2,50,70.0
20200531,664,723.1,78,66.1
20200601,3840,694.4,189,64.0
20200602,358,674.8,50,62.4
20200603,429,654.0,67,60.6
20200604,471,615.6,49,59.6
20200605,494,591.4,34,58.6
20200606,575,580.6,54,56.7
20200607,304,568.1,27,56.5
20200608,190,548.9,37,53.8
20200609,263,530.4,55,51.5
20200610,267,506.4,46,50.4
20200611,511,480.8,38,48.1
20200612,392,305.0,46,39.9
20200613,336,298.9,38,38.3
20200614,208,286.6,48,37.4
20200615,87,275.0,23,36.2
20200616,195,262.5,17,37.0
20200617,266,252.9,69,35.8
20200618,271,249.1,36,35.4
20200619,228,244.9,30,35.3
20200620,286,237.8,28,30.7
20200621,125,235.9,30,30.4
20200622,149,222.4,16,30.5
20200623,229,217.6,16,29.1
20200624,172,211.6,48,28.4
20200625,226,208.1,25,26.6
20200626,233,211.8,50,26.2
20200627,373,212.0,28,26.1
20200628,224,212.0,19,24.3
20200629,101,213.1,35,23.8
20200630,114,212.4,-41,23.7
20200701,0,212.5,0,23.0
20200702,456,216.0,79,22.3
20200703,290,219.9,17,21.8
20200704,210,223.4,23,21.5
20200705,136,225.5,11,20.5
20200706,163,225.9,15,19.9
20200707,201,229.0,15,18.6
20200708,264,228.3,30,18.0
20200709,295,231.8,25,17.7
20200710,213,239.1,28,16.1
20200711,288,245.3,14,18.9
20200712,199,248.1,15,17.9
20200713,230,252.8,5,16.8
20200714,303,255.1,10,16.6
20200715,217,258.6,28,16.1
20200716,234,269.7,12,16.5
20200717,298,275.7,22,16.1
20200718,359,278.3,17,16.1
20200719,296,289.6,12,16.0
20200720,255,295.3,2,15.5
20200721,244,309.6,17,14.9
20200722,287,316.3,18,15.0
20200723,327,326.7,16,14.9
20200724,338,325.2,14,15.1
20200725,283,336.8,12,15.1
20200726,369,347.4,19,13.9
20200727,289,347.3,7,14.8
20200728,256,353.0,15,14.6
20200729,502,355.9,29,14.4
20200730,414,357.4,0,14.5
20200731,514,358.4,29,14.7
20200801,428,365.4,17,14.3
20200802,418,365.7,12,14.3
20200803,199,370.3,10,14.6
20200804,546,368.7,9,14.9
20200805,440,377.7,2,15.0
20200806,231,378.9,32,14.7
20200807,417,376.9,18,14.6
20200808,420,375.3,12,14.1
20200809,329,368.1,14,14.1
20200810,275,363.3,6,14.0
20200811,392,362.1,10,13.9
20200812,293,348.6,18,14.0
20200813,423,344.4,21,14.1
20200814,305,350.7,20,14.3
20200815,471,343.7,16,14.5
20200816,394,338.7,12,15.6
20200817,248,345.2,4,15.1
20200818,222,347.3,6,15.0
20200819,352,348.5,28,15.0
20200820,313,342.3,12,15.0
20200821,488,343.7,13,15.2
20200822,144,342.0,20,14.9
20200823,0,342.0,0,13.9
20200824,662,-41.8,28,13.7
20200825,398,-46.2,12,13.8
20200826,336,-47.8,26,13.8
20200827,368,-49.1,21,13.7
20200828,460,-50.0,16,13.9
20200829,446,-52.4,12,14.0
20200830,199,-60.6,13,12.9
20200831,304,-56.3,11,13.2
20200901,355,-58.6,4,13.3
20200902,294,-39.0,-4,13.1
20200903,-7636,-41.2,17,13.1
20200904,212,-44.9,23,12.9
20200905,438,-48.9,16,12.6
20200906,366,-50.3,9,12.3
20200907,229,-47.4,8,12.0
20200908,171,-47.7,8,11.7
20200909,181,-40.4,5,12.3
20200910,403,-32.8,20,12.4
20200911,440,-35.1,14,12.2
20200912,554,-43.8,16,12.6
20200913,286,-31.9,14,13.7
20200914,254,354.6,9,13.6
20200915,313,367.8,6,13.0
20200916,306,374.0,20,13.1
20200917,429,384.8,15,13.3
20200918,454,394.3,9,13.4
20200919,599,410.6,26,13.4
20200920,359,427.3,15,14.8
20200921,256,444.0,7,15.0
20200922,173,459.3,11,14.8
20200923,543,464.9,19,14.8
20200924,481,482.0,15,14.3
20200925,488,494.4,11,14.8
20200926,569,503.0,18,14.9
20200927,592,514.0,13,14.9
20200928,430,514.7,11,14.5
20200929,512,529.5,8,14.7
20200930,532,531.4,33,13.9
20201001,754,541.1,24,14.0
20201002,761,565.1,10,14.3
20201003,672,592.5,17,14.4
20201004,644,594.3,3,14.3
20201005,515,599.3,20,14.8
20201006,495,612.6,8,15.7
20201007,535,613.3,19,15.8
20201008,444,619.9,8,15.9
20201009,765,638.9,12,16.1
20201010,639,661.0,10,16.0
20201011,563,669.0,17,15.4
20201012,760,683.1,13,15.7
20201013,749,697.8,13,16.2
20201014,580,723.1,17,15.8
20201015,587,743.7,25,16.9
20201016,767,776.9,30,16.7
20201017,584,813.3,21,16.7
20201018,730,844.1,14,17.5
20201019,828,887.0,16,18.4
20201020,976,926.0,5,19.0
20201021,702,963.6,22,19.2
20201022,1049,990.7,30,19.5
20201023,1070,994.6,20,19.3
20201024,1203,1008.2,9,19.3
20201025,1077,1062.2,25,19.8
20201026,1212,1123.0,17,19.7
20201027,1260,1187.0,7,19.2
20201028,1181,1268.9,36,19.3
20201029,1346,1320.9,27,19.6
20201030,1582,1344.7,24,19.5
20201031,1430,1400.8,16,20.3
20201101,1131,1494.0,22,21.0
20201102,842,1570.2,10,20.6
20201103,1036,1657.6,12,20.7
20201104,1714,1745.4,27,21.6
20201105,1862,1795.7,23,22.1
20201106,2113,1841.0,21,21.9
20201107,2302,1901.3,23,22.5
20201108,1823,1983.3,20,23.0
20201109,1328,2047.0,14,23.0
20201110,2154,2085.9,21,23.5
20201111,2660,2170.4,38,23.7
20201112,2648,2244.9,20,23.8
20201113,2906,2289.2,23,24.2
20201114,3047,2362.6,28,24.6
20201115,2133,2442.6,36,25.8
20201116,2164,2464.9,11,25.4
20201117,2525,2475.1,20,25.2
20201118,2904,2518.7,47,26.0
20201119,2682,2550.7,28,27.3
20201120,2399,2543.1,34,27.9
20201121,3206,2586.9,19,28.3
20201122,2695,2699.6,24,28.7
20201123,1773,2891.3,19,30.1
20201124,2576,3014.4,20,30.7
20201125,3395,3136.9,53,31.4
20201126,0,3265.2,0,32.1
20201127,4658,3280.3,31,33.1
20201128,3217,3356.3,41,34.1
20201129,2495,3502.1,46,36.1
20201130,1168,3630.0,26,36.9
20201201,3073,3785.1,30,37.5
20201202,5027,3884.3,46,39.0
20201203,6675,3987.0,50,39.9
20201204,5491,4076.6,36,40.8
20201205,5619,4141.0,43,42.5
20201206,4827,4262.8,51,43.3
20201207,2481,4396.4,31,44.7
20201208,4122,4555.9,41,46.4
20201209,5965,4609.6,90,46.7
20201210,5369,4693.7,43,47.4
20201211,5655,4821.0,48,48.1
20201212,5289,4855.7,50,48.9
20201213,4853,4845.5,42,50.6
20201214,3653,4810.4,39,51.9
20201215,3929,4731.7,55,51.2
20201216,5952,4646.9,70,50.3
20201217,5135,4566.3,45,52.7
20201218,5679,4648.0,52,53.5
20201219,4344,4649.1,47,54.4
20201220,4261,4690.8,60,55.8
20201221,3843,4780.8,42,57.8
