YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,659,427.1,43,41.8
20200521,501,426.8,69,41.0
20200522,403,412.5,29,40.1
20200523,452,401.2,65,39.9
20200524,314,395.0,5,38.6
20200525,202,384.1,13,37.8
20200526,223,627.0,25,48.0
20200527,504,627.8,68,47.9
20200528,406,627.0,38,46.0
20200529,607,620.4,34,44.9
20200530,348,602.3,58,44.1
20200531,428,579.7,27,42.6
20200601,135,568.5,25,40.8
20200602,199,560.0,37,39.6
20200603,304,546.2,17,37.6
20200604,206,541.7,25,37.5
20200605,5536,533.5,259,37.0
20200606,452,531.7,40,36.6
20200607,419,518.5,4,33.4
20200608,296,513.5,18,32.8
20200609,54,498.9,27,31.5
20200610,184,503.6,12,29.7
20200611,267,491.1,30,28.5
20200612,223,496.4,5,27.7
20200613,164,498.4,23,26.5
20200614,218,501.0,3,25.9
20200615,31,511.8,2,25.6
20200616,184,264.4,16,13.3
20200617,228,259.5,2,12.3
20200618,301,252.3,25,12.3
20200619,299,251.4,6,11.7
20200620,448,272.9,20,11.9
20200621,166,281.3,3,11.6
20200622,246,296.6,7,10.8
20200623,240,309.7,12,10.7
20200624,358,321.2,5,9.8
20200625,434,328.0,19,9.7
20200626,340,342.0,1,9.7
20200627,350,363.4,19,10.3
20200628,267,383.5,4,10.8
20200629,277,393.6,4,10.0
20200630,505,409.0,32,10.4
20200701,361,420.2,5,10.8
20200702,589,431.7,14,10.7
20200703,497,440.0,3,10.7
20200704,406,460.3,3,10.3
20200705,360,493.2,0,10.3
20200706,326,516.7,3,10.2
20200707,633,536.4,30,10.5
20200708,651,555.2,11,10.0
20200709,512,567.7,9,10.0
20200710,622,579.6,14,10.1
20200711,685,587.2,28,9.0
20200712,406,602.0,1,9.0
20200713,422,607.3,7,8.7
20200714,666,614.1,5,8.8
20200715,1049,621.0,4,8.7
20200716,926,653.3,18,8.7
20200717,754,662.2,7,8.8
20200718,745,669.4,9,8.1
20200719,530,686.8,2,7.6
20200720,527,700.9,7,8.2
20200721,664,709.0,9,7.9
20200722,671,712.5,6,6.9
20200723,701,713.4,7,7.0
20200724,641,722.7,5,7.0
20200725,550,729.1,0,6.9
20200726,1039,713.3,0,7.0
20200727,512,705.6,5,7.5
20200728,785,708.4,16,8.0
20200729,1016,707.3,1,7.4
20200730,807,707.5,21,7.3
20200731,793,710.0,7,7.3
20200801,758,721.6,7,7.2
20200802,426,712.3,0,7.2
20200803,616,734.5,10,7.6
20200804,801,745.3,4,7.9
20200805,718,769.5,7,8.8
20200806,763,742.8,28,9.0
20200807,814,741.7,18,9.3
20200808,721,735.4,-4,8.9
20200809,535,719.9,-1,9.3
20200810,580,706.5,7,9.1
20200811,907,702.7,7,9.2
20200812,476,700.6,6,9.4
20200813,1167,716.7,16,9.4
20200814,868,729.1,11,9.3
20200815,1058,736.3,20,10.1
20200816,477,742.2,6,10.1
20200817,490,747.0,0,9.5
20200818,653,746.0,16,9.0
20200819,689,744.8,10,10.0
20200820,527,752.4,16,10.9
20200821,0,748.5,0,10.8
20200822,1426,743.2,21,11.1
20200823,764,751.4,4,11.5
20200824,878,732.7,4,11.2
20200825,951,741.5,21,11.0
20200826,843,733.8,6,10.5
20200827,863,739.9,16,10.3
20200828,793,745.4,6,10.0
20200829,0,738.1,0,9.7
20200830,1390,751.5,36,12.8
20200831,499,772.8,5,12.4
20200901,795,805.7,14,12.2
20200902,648,810.2,14,12.2
20200903,774,803.0,10,12.2
20200904,1053,790.5,7,12.3
20200905,896,778.0,8,11.8
20200906,0,774.4,0,12.0
20200907,1212,780.0,4,11.9
20200908,499,779.2,1,11.5
20200909,970,774.1,75,11.4
20200910,974,778.5,8,10.8
20200911,1405,792.2,6,10.9
20200912,807,787.5,11,11.0
20200913,0,799.6,0,11.0
20200914,1229,814.0,10,10.9
20200915,689,813.4,11,10.9
20200916,766,818.2,11,11.3
20200917,980,821.0,12,11.4
20200918,778,823.8,-1,11.5
20200919,587,853.2,15,12.4
20200920,0,863.9,0,9.4
20200921,1575,865.0,12,9.9
20200922,695,845.0,16,10.0
20200923,902,867.3,16,10.1
20200924,1078,872.7,6,10.2
20200925,1040,878.0,8,10.4
20200926,996,900.0,17,10.9
20200927,0,921.4,0,10.8
20200928,1329,941.5,7,11.3
20200929,1118,967.4,21,11.7
20200930,1194,1017.4,11,11.9
20201001,998,1026.2,19,11.8
20201002,984,1035.0,8,11.6
20201003,1275,1071.7,14,12.3
20201004,0,1104.6,0,12.1
20201005,1455,1170.3,15,13.5
20201006,1151,1225.8,22,13.8
20201007,1215,1273.0,8,14.1
20201008,1401,1313.2,24,14.5
20201009,1323,1353.4,7,14.9
20201010,1637,1389.2,19,14.8
20201011,0,1421.8,0,16.0
20201012,1943,1479.2,6,17.2
20201013,1466,1529.8,30,17.8
20201014,1593,1635.3,13,19.0
20201015,2458,1697.2,34,19.3
20201016,2206,1759.2,15,19.7
20201017,1986,1831.8,23,20.2
20201018,0,1944.9,0,20.8
20201019,3018,2073.8,23,21.9
20201020,1871,2170.1,20,22.1
20201021,1878,2283.5,35,22.9
20201022,2204,2402.0,46,23.1
20201023,2046,2520.5,20,23.4
20201024,3490,2614.3,38,24.1
20201025,0,2747.9,0,24.5
20201026,4057,2921.4,30,25.3
20201027,2675,3018.6,33,26.8
20201028,3590,3236.6,21,28.8
20201029,4109,3384.6,47,29.8
20201030,3345,3532.6,12,30.7
20201031,4018,3774.2,34,33.9
20201101,0,4000.0,0,34.2
20201102,6920,4243.2,17,34.3
20201103,3437,4582.9,45,39.2
20201104,4397,4770.5,21,40.7
20201105,6103,4987.3,51,41.2
20201106,4246,5204.0,47,41.9
20201107,6564,5452.2,65,44.1
20201108,0,5577.3,0,46.0
20201109,9235,5761.8,63,50.7
20201110,6944,6085.4,86,52.8
20201111,6620,6267.4,42,56.0
20201112,7311,6387.0,49,57.1
20201113,9179,6506.6,123,58.3
20201114,7430,6665.9,68,63.5
20201115,0,6679.7,0,66.1
20201116,13162,6802.6,55,68.1
20201117,7886,7013.9,80,70.3
20201118,6218,7099.0,62,72.5
20201119,7983,7136.0,144,73.3
20201120,10140,7173.0,57,74.1
20201121,7840,7152.4,101,79.3
20201122,0,7191.1,0,81.2
20201123,11943,7221.9,65,88.1
20201124,6782,7233.6,154,86.1
20201125,4687,7180.2,76,92.6
20201126,0,7100.7,0,93.7
20201127,17368,7021.2,187,94.8
20201128,8351,6963.6,110,100.7
20201129,0,6921.9,0,101.6
20201130,10790,6841.9,97,104.0
20201201,6511,6626.9,195,104.3
20201202,7433,6482.8,83,110.5
20201203,7957,6379.9,193,111.2
20201204,9425,6277.0,82,111.9
20201205,6308,6210.7,204,114.3
20201206,0,6208.7,0,115.1
20201207,9824,6011.4,101,120.9
20201208,6676,5813.0,203,119.6
20201209,5342,5614.5,81,124.1
20201210,6302,5478.0,194,123.7
20201211,5626,5341.6,65,123.3
20201212,4813,5198.9,230,123.0
20201213,0,5026.8,0,122.5
20201214,7621,4772.9,94,117.7
20201215,5391,4449.1,206,118.1
20201216,4644,4273.8,93,112.8
20201217,4541,4124.4,213,112.0
20201218,4519,3975.0,67,111.0
20201219,4181,3845.9,206,111.5
20201220,0,3819.2,0,110.1
20201221,5059,3669.9,79,105.4
20201222,3514,3552.7,189,106.9
20201223,3820,3474.4,73,100.5
20201224,0,3423.7,0,100.3
20201225,0,3372.9,0,100.1
20201226,7877,3260.5,275,100.6
20201227,0,3270.6,0,99.0
20201228,3550,3256.7,64,98.7
20201229,3963,3227.6,212,97.4
20201230,4782,3166.5,52,98.6
20201231,0,3168.2,0,97.9
20210101,0,3169.9,0,97.1
20210102,9500,3120.0,288,93.0
20210103,0,3087.1,0,91.5
20210104,5490,3119.0,85,95.5
20210105,3031,3136.9,217,93.0
20210106,4856,3117.1,59,94.2
20210107,4249,3112.1,206,93.1
20210108,3908,3107.2,40,92.0
20210109,2898,2992.1,232,82.7
20210110,0,2916.6,0,83.4
20210111,5129,2885.5,47,86.6
20210112,2468,2855.6,104,82.9
20210113,3128,2791.7,40,89.3
20210114,3295,2740.6,175,88.2
20210115,3001,2689.6,39,87.0
20210116,2211,2644.1,119,80.8
20210117,0,2511.2,0,78.4
20210118,3343,2416.2,17,72.8
20210119,1545,2332.0,16,71.3
20210120,3196,2266.0,68,65.7
20210121,2513,2205.1,163,64.9
20210122,2538,2144.2,18,64.0
20210123,1826,2094.9,230,62.5
20210124,0,2027.7,0,62.3
20210125,3347,1960.6,38,57.8
20210126,2075,1901.2,86,57.1
20210127,2065,1852.4,9,56.4
20210128,2255,1823.5,88,56.2
20210129,2139,1794.5,8,56.0
20210130,1511,1764.7,115,58.2
20210131,0,1671.5,0,55.7
20210201,2572,1623.6,11,51.7
20210202,1433,1575.8,73,51.2
20210203,1717,1533.8,35,44.7
20210204,1885,1488.7,81,44.0
20210205,1754,1443.6,25,43.4
20210206,1186,1398.3,104,40.2
20210207,0,1359.0,0,40.3
20210208,2128,1308.8,9,40.4
20210209,918,1277.1,62,41.1
20210210,1239,1244.3,14,38.9
20210211,1507,1222.6,80,38.7
20210212,1535,1200.9,8,38.4
20210213,944,1217.6,92,36.7
20210214,0,1210.0,0,35.5
20210215,1452,1196.3,11,33.9
20210216,1124,1172.7,19,32.8
20210217,1240,1184.0,11,31.1
20210218,1201,1177.8,91,31.2
20210219,1473,1171.5,23,31.2
20210220,823,1206.0,68,29.5
20210221,0,1228.2,0,29.1
20210222,1659,1243.4,1,27.1
20210223,1784,1255.6,37,27.3
20210224,1558,1291.2,9,25.7
20210225,1598,1311.0,47,25.5
20210226,1257,1330.8,2,25.3
20210227,1425,1350.4,70,25.9
20210228,0,1419.0,0,25.7
20210301,1865,1484.2,11,22.4
20210302,1642,1554.2,25,21.7
20210303,1705,1610.4,6,20.3
20210304,1827,1662.1,39,20.6
20210305,1791,1713.7,12,20.8
20210306,1692,1751.5,57,20.2
20210307,0,1857.6,0,20.0
20210308,2283,1930.0,4,19.4
20210309,1535,2080.5,30,20.0
20210310,2682,2167.6,8,19.0
20210311,2569,2260.6,22,18.9
20210312,2944,2353.5,7,18.7
20210313,2003,2491.5,40,18.5
20210314,0,2656.6,0,19.0
20210315,3828,2847.8,10,19.7
20210316,2578,3051.2,26,20.1
20210317,3785,3220.4,4,18.5
20210318,3119,3386.0,34,18.6
20210319,4417,3551.6,14,18.8
20210320,3255,3778.8,49,19.8
20210321,0,3989.5,0,20.0
20210322,5768,4205.1,6,21.5
20210323,4540,4357.9,20,22.1
20210324,5172,4705.0,17,23.3
20210325,5843,4877.7,54,23.6
20210326,6062,5050.4,20,24.0
20210327,5245,5220.4,24,25.6
20210328,0,5486.3,0,26.9
20210329,9238,5744.4,9,28.9
20210330,6306,5954.8,52,29.6
20210331,7107,6158.8,11,31.3
20210401,7098,6272.7,55,31.4
20210402,6151,6386.6,20,31.6
20210403,9292,6659.8,65,34.5
20210404,0,6858.7,0,35.5
20210405,11082,6922.9,23,38.8
20210406,6149,7103.3,61,39.8
20210407,9369,7142.9,30,42.2
20210408,8539,7141.2,77,43.5
20210409,8834,7139.7,29,44.8
20210410,7539,7153.7,84,46.6
20210411,0,7099.7,0,48.1
20210412,10553,7024.1,13,51.3
20210413,10277,6999.8,81,51.9
20210414,9349,6805.1,37,54.8
20210415,7191,6709.9,123,55.1
20210416,9850,6614.6,41,55.4
20210417,6076,6540.0,76,58.1
20210418,0,6329.3,0,58.4
20210419,9171,6122.5,62,60.3
20210420,6601,5885.8,90,60.7
20210421,5973,5703.4,44,63.3
20210422,5511,5584.4,121,63.7
20210423,5640,5465.5,32,64.1
20210424,5204,5124.7,126,66.6
20210425,0,4824.6,0,67.0
20210426,7080,4678.0,37,67.0
20210427,4584,4369.3,117,66.4
20210428,4943,4202.7,37,68.7
20210429,4197,4055.4,116,68.0
20210430,3863,3908.2,37,67.4
20210501,3708,3720.9,140,68.0
20210502,0,3568.1,0,66.6
20210503,5557,3418.6,29,66.4
20210504,3120,3250.1,133,66.4
20210505,3047,3073.3,45,65.8
20210506,4113,2966.0,123,65.4
20210507,3367,2858.8,30,65.0
20210508,2577,2713.6,124,63.6
20210509,0,2571.1,0,63.4
20210510,2987,2446.0,34,61.8
20210511,2668,2322.0,102,61.8
20210512,2765,2202.9,15,59.4
20210513,2370,2107.2,118,59.0
20210514,2102,2011.5,32,58.7
20210515,1491,1909.3,112,55.7
20210516,0,1814.4,0,54.2
20210517,2576,1648.9,22,51.3
20210518,1535,1523.5,87,51.0
20210519,1950,1427.9,32,47.6
20210520,1570,1372.4,82,47.0
20210521,1259,1316.9,38,46.3
20210522,1206,1205.4,89,41.7
20210523,0,1097.4,0,42.6
20210524,1539,1009.8,14,40.0
20210525,973,936.1,71,39.7
20210526,1055,885.5,14,38.0
20210527,636,835.2,62,37.8
20210528,734,784.9,23,37.5
20210529,569,729.0,52,36.1
20210530,0,650.7,0,35.0
20210531,0,593.2,0,33.3
20210601,984,548.9,13,31.9
20210602,497,502.4,34,30.4
20210603,530,475.0,62,30.2
20210604,554,447.7,26,30.1
20210605,429,411.8,77,28.2
20210606,0,372.1,0,27.8
20210607,462,350.2,12,26.0
20210608,362,322.7,58,25.6
20210609,306,301.3,9,23.7
20210610,362,291.3,45,24.1
20210611,329,281.4,8,24.5
20210612,230,272.2,58,24.9
20210613,0,259.8,0,23.4
20210614,389,242.9,9,21.9
20210615,220,219.7,30,21.3
20210616,221,204.8,5,17.7
20210617,177,199.4,26,17.5
20210618,156,194.0,14,17.3
20210619,0,188.2,0,16.1
20210620,0,188.3,0,15.8
20210621,358,181.6,36,14.3
20210622,134,172.3,14,13.8
20210623,236,167.7,2,11.2
20210624,175,164.8,31,11.3
20210625,67,161.9,14,11.3
20210626,0,157.8,0,10.2
20210627,0,160.5,0,10.4
20210628,352,165.4,5,9.6
20210629,240,171.2,32,9.4
20210630,308,174.4,3,9.2
20210701,222,177.5,14,9.0
20210702,134,180.6,-4,8.8
20210703,0,183.2,0,8.6
20210704,0,186.9,0,8.7
20210705,0,193.5,0,7.5
20210706,533,205.4,22,7.1
20210707,0,214.0,0,7.2
20210708,0,222.7,0,7.3
20210709,837,231.3,28,7.3
20210710,0,234.2,0,6.1
20210711,0,247.0,0,6.3
20210712,0,263.9,0,6.0
20210713,743,285.0,33,6.5
20210714,0,303.3,0,6.5
20210715,0,321.6,0,6.4
20210716,944,339.9,17,6.4
20210717,0,358.1,0,6.4
20210718,0,387.3,0,6.3
20210719,0,416.5,0,6.2
20210720,1198,445.8,15,6.1
20210721,0,472.4,0,6.1
20210722,0,499.1,0,6.0
20210723,1730,525.8,22,6.0
20210724,0,552.3,0,5.9
20210725,0,609.0,0,5.7
20210726,0,665.7,0,5.5
20210727,2069,722.3,19,5.3
20210728,0,757.0,0,5.3
20210729,0,791.6,0,5.2
20210730,2677,826.3,23,5.2
20210731,0,891.0,0,5.5
20210801,0,942.7,0,5.8
20210802,0,1001.6,0,6.2
20210803,2981,1060.5,28,6.6
20210804,0,1097.6,0,6.7
20210805,0,1134.7,0,6.8
20210806,4514,1171.9,5,7.0
20210807,0,1225.9,0,7.8
20210808,0,1262.2,0,8.6
20210809,3080,1335.1,7,9.2
20210810,0,1408.0,0,9.8
20210811,3322,1440.5,24,9.6
20210812,0,1473.0,0,9.5
20210813,3627,1505.6,32,9.3
20210814,0,1593.7,0,10.0
20210815,0,1645.8,0,10.9
20210816,3890,1682.7,20,12.6
