YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,641,653.9,29,27.1
20200521,530,654.0,32,26.4
20200522,805,639.8,33,25.5
20200523,840,622.8,10,25.1
20200524,728,608.7,17,24.5
20200525,742,596.6,12,24.5
20200526,645,599.0,18,24.7
20200527,504,592.5,34,24.3
20200528,483,579.6,35,23.7
20200529,584,564.4,29,22.9
20200530,659,547.3,30,22.4
20200531,660,533.3,14,22.9
20200601,358,529.3,10,22.0
20200602,300,513.8,22,21.6
20200603,362,491.8,15,21.6
20200604,403,471.3,29,21.5
20200605,707,446.6,33,21.2
20200606,521,424.9,22,20.8
20200607,385,420.6,16,19.8
20200608,338,415.6,11,19.0
20200609,299,404.8,20,18.4
20200610,346,394.1,39,17.5
20200611,447,384.3,13,17.2
20200612,479,381.9,25,17.0
20200613,377,379.1,9,16.3
20200614,299,375.9,15,16.0
20200615,222,373.8,6,15.0
20200616,189,363.6,9,13.7
20200617,414,358.7,13,12.9
20200618,379,364.9,19,12.5
20200619,356,363.7,17,12.5
20200620,436,370.5,11,11.8
20200621,453,373.7,8,10.2
20200622,307,375.9,4,10.2
20200623,242,372.8,9,9.4
20200624,294,367.0,7,9.1
20200625,360,365.0,9,8.5
20200626,493,375.0,5,8.4
20200627,417,392.9,6,8.1
20200628,516,394.9,8,7.9
20200629,312,404.2,10,7.2
20200630,442,416.0,6,6.7
20200701,413,433.5,6,6.3
20200702,494,445.8,13,6.1
20200703,414,454.5,8,6.0
20200704,0,462.0,0,5.9
20200705,512,475.2,5,6.0
20200706,433,486.9,3,6.0
20200707,564,495.1,3,6.0
20200708,456,497.0,9,6.0
20200709,574,507.4,5,5.8
20200710,604,535.5,5,5.5
20200711,804,531.1,4,5.3
20200712,710,535.5,3,5.2
20200713,491,548.1,2,5.0
20200714,398,565.0,6,4.9
20200715,572,591.0,10,5.0
20200716,605,619.9,8,5.0
20200717,666,630.2,7,5.0
20200718,457,626.1,5,5.0
20200719,734,636.1,3,5.0
20200720,903,644.2,4,5.0
20200721,350,652.2,3,5.1
20200722,504,648.4,4,5.2
20200723,760,650.8,9,5.4
20200724,767,656.6,5,5.4
20200725,803,666.3,5,5.3
20200726,862,668.4,3,5.3
20200727,650,680.6,2,5.3
20200728,478,674.9,4,5.1
20200729,666,696.7,9,5.3
20200730,745,699.7,5,5.6
20200731,771,686.1,6,5.5
20200801,725,684.9,6,5.7
20200802,759,683.0,8,6.3
20200803,613,679.6,2,6.2
20200804,602,677.9,4,6.3
20200805,617,672.5,10,4.5
20200806,861,666.6,7,6.6
20200807,545,662.5,4,6.8
20200808,916,657.7,8,7.0
20200809,797,651.0,9,7.4
20200810,618,648.4,3,7.5
20200811,323,651.0,6,7.6
20200812,464,651.4,17,7.7
20200813,690,649.4,7,7.6
20200814,730,654.2,8,7.7
20200815,690,645.0,-34,7.9
20200816,739,640.8,47,8.1
20200817,564,654.8,6,8.5
20200818,376,669.3,9,8.5
20200819,526,674.1,17,8.3
20200820,690,680.5,7,8.0
20200821,825,683.2,8,7.9
20200822,734,691.2,8,7.8
20200823,717,703.9,6,7.5
20200824,714,720.5,4,7.5
20200825,409,725.9,8,7.6
20200826,529,736.5,15,9.4
20200827,1154,735.0,15,7.5
20200828,850,738.5,4,7.3
20200829,1017,738.9,4,7.0
20200830,932,726.2,2,6.5
20200831,675,711.5,1,6.9
20200901,491,694.4,5,7.1
20200902,730,701.0,11,7.2
20200903,1038,701.3,7,7.5
20200904,843,697.7,10,7.5
20200905,914,697.3,4,7.3
20200906,707,694.1,6,6.9
20200907,638,682.5,3,6.6
20200908,383,693.7,2,6.8
20200909,260,688.8,7,7.2
20200910,381,706.1,15,7.2
20200911,467,718.0,13,7.4
20200912,872,717.5,9,7.6
20200913,723,715.0,13,7.4
20200914,638,709.0,3,7.2
20200915,402,724.9,5,7.0
20200916,462,751.4,6,7.3
20200917,909,768.9,9,7.2
20200918,1085,781.6,8,7.4
20200919,914,801.9,13,7.5
20200920,1296,822.2,2,8.0
20200921,925,854.8,4,7.9
20200922,480,888.1,10,7.8
20200923,678,914.2,6,8.0
20200924,912,929.3,3,7.7
20200925,1177,945.2,6,7.7
20200926,1470,970.9,10,7.7
20200927,1075,992.3,4,8.0
20200928,904,1009.5,7,7.9
20200929,809,1024.0,5,8.2
20200930,687,1052.7,17,8.0
20201001,1066,1059.6,13,8.4
20201002,1166,1071.3,10,8.4
20201003,1421,1102.5,14,8.2
