YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,263,297.4,16,15.7
20200521,255,298.4,10,15.4
20200522,403,296.4,15,14.9
20200523,380,297.2,21,15.5
20200524,255,297.6,9,15.4
20200525,198,296.0,10,15.2
20200526,273,293.0,17,14.9
20200527,313,292.9,18,14.5
20200528,328,291.0,23,14.0
20200529,421,301.7,17,14.2
20200530,436,305.7,13,14.0
20200531,294,310.3,11,14.2
20200601,229,312.6,5,14.0
20200602,289,307.9,28,13.6
20200603,281,302.0,15,13.0
20200604,238,297.9,12,12.7
20200605,209,302.0,9,12.4
20200606,270,305.8,8,12.5
20200607,231,314.1,6,12.8
20200608,498,314.6,20,12.0
20200609,355,310.6,10,11.6
20200610,360,305.9,21,11.4
20200611,0,307.9,0,11.2
20200612,608,313.2,13,11.4
20200613,257,326.5,8,10.6
20200614,168,338.2,2,10.9
20200615,283,378.9,4,10.6
20200616,353,395.1,20,10.4
20200617,489,404.4,23,10.7
20200618,0,410.6,0,10.6
20200619,0,419.0,0,10.6
20200620,0,434.5,0,10.8
20200621,0,448.4,0,10.2
20200622,1688,475.4,40,10.4
20200623,569,504.4,11,10.6
20200624,526,539.3,22,10.4
20200625,1092,542.1,5,10.5
20200626,550,545.6,6,10.4
20200627,465,574.4,13,11.6
20200628,361,583.2,4,11.9
20200629,675,600.6,20,12.3
20200630,680,633.7,14,12.4
20200701,653,655.6,9,12.8
20200702,870,680.9,10,13.3
20200703,914,683.4,11,13.0
20200704,990,697.3,4,13.5
20200705,226,721.1,4,13.3
20200706,357,727.7,3,13.9
20200707,957,750.6,44,14.8
20200708,674,776.9,30,14.8
20200709,703,797.4,16,15.0
20200710,1031,824.9,11,14.2
20200711,797,870.3,15,15.0
20200712,868,912.9,19,16.2
20200713,393,918.2,1,16.4
20200714,862,947.7,22,17.1
20200715,1025,967.0,18,17.7
20200716,1230,1012.1,18,18.2
20200717,1032,1025.0,24,18.3
20200718,1017,1041.5,14,18.2
20200719,792,1091.2,9,17.9
20200720,1251,1142.3,3,19.4
20200721,1635,1148.8,31,21.3
20200722,1547,1164.9,34,22.0
20200723,982,1155.5,13,21.6
20200724,1532,1164.0,27,22.0
20200725,1396,1174.1,15,22.9
20200726,1173,1184.6,15,24.5
20200727,627,1171.6,5,24.6
20200728,1304,1171.8,42,24.6
20200729,1719,1181.0,23,25.1
20200730,1775,1168.3,48,25.8
20200731,1168,1131.4,52,26.4
20200801,1134,1084.2,30,26.4
20200802,672,1062.0,10,27.0
20200803,572,1044.4,8,27.4
20200804,1074,1016.4,42,27.6
20200805,1245,989.2,51,28.7
20200806,956,951.5,21,28.1
20200807,1036,934.8,23,28.4
20200808,1210,910.6,26,28.0
20200809,527,892.9,22,28.6
20200810,476,851.0,16,27.6
20200811,644,837.0,32,26.2
20200812,1081,828.0,45,25.9
20200813,612,825.8,22,25.6
20200814,944,822.9,32,25.6
20200815,825,809.9,37,26.8
20200816,381,793.6,4,27.1
20200817,276,776.0,11,27.3
20200818,795,755.1,32,26.9
20200819,1348,732.5,36,26.3
20200820,894,738.2,27,26.0
20200821,874,728.6,24,26.7
20200822,945,728.1,23,26.1
20200823,626,713.9,3,25.6
20200824,511,720.5,8,25.0
20200825,801,714.7,67,24.5
20200826,904,701.1,58,23.3
20200827,585,702.5,26,23.8
20200828,599,700.9,14,23.3
20200829,735,674.9,14,22.7
20200830,647,631.0,14,21.9
20200831,274,613.0,32,22.2
20200901,634,612.0,20,21.7
20200902,781,588.2,33,21.3
20200903,751,570.5,10,21.8
20200904,823,553.0,22,21.8
20200905,539,538.9,11,20.0
20200906,410,529.7,15,18.2
20200907,242,535.2,1,18.1
20200908,249,530.4,0,18.0
20200909,426,526.6,38,18.2
20200910,517,509.0,33,17.6
20200911,853,505.0,14,16.9
20200912,445,497.0,15,16.8
20200913,254,486.1,12,16.4
20200914,144,485.4,9,16.1
20200915,505,480.6,28,16.0
20200916,711,485.7,22,16.3
20200917,701,474.8,24,16.0
20200918,497,472.3,12,16.0
20200919,655,488.5,17,16.8
20200920,277,494.5,1,16.5
20200921,192,503.0,0,15.4
20200922,465,494.4,36,15.7
20200923,552,502.2,24,15.5
20200924,737,505.4,4,15.0
20200925,722,508.8,20,15.0
20200926,645,531.2,17,14.0
20200927,182,524.1,8,14.0
20200928,190,518.3,2,14.0
20200929,589,535.7,36,13.7
20200930,552,550.0,12,13.7
20201001,696,550.9,10,13.9
20201002,672,555.8,20,13.3
20201003,609,567.6,12,12.8
20201004,321,583.0,2,12.9
20201005,215,610.9,0,13.2
20201006,975,629.7,14,12.7
20201007,563,634.7,24,12.4
20201008,578,640.0,23,12.5
20201009,862,644.9,6,12.9
20201010,957,651.6,16,11.7
20201011,294,663.5,5,12.1
20201012,296,676.0,0,12.0
20201013,713,681.8,14,11.4
20201014,876,710.5,25,11.6
20201015,1322,711.3,12,11.7
20201016,1116,717.1,8,11.6
20201017,751,711.4,11,12.2
20201018,0,732.2,0,12.0
20201019,586,750.9,0,11.2
20201020,730,745.5,31,11.8
20201021,801,739.1,21,11.3
20201022,958,741.3,8,11.8
20201023,795,744.6,7,12.3
20201024,1212,741.3,17,12.8
20201025,0,736.1,0,12.2
20201026,675,749.9,8,12.0
20201027,854,742.8,20,12.3
20201028,1000,756.1,19,12.5
20201029,970,780.5,8,12.5
20201030,749,791.1,18,12.9
20201031,824,800.8,6,13.2
20201101,340,822.4,14,13.0
20201102,365,837.3,0,13.5
20201103,644,861.6,36,13.4
20201104,766,869.1,13,13.6
20201105,1612,899.2,8,13.5
20201106,967,911.2,14,13.4
20201107,1031,913.6,14,14.2
20201108,804,941.9,10,14.2
20201109,516,962.1,0,14.7
20201110,933,1004.4,37,15.0
20201111,1256,1059.1,17,15.4
20201112,1271,1080.0,17,15.6
20201113,1305,1095.9,5,16.0
20201114,1370,1096.9,21,16.4
20201115,969,1112.4,3,16.6
20201116,589,1118.8,2,17.0
20201117,905,1120.6,36,16.7
20201118,1593,1145.5,20,16.5
20201119,1395,1195.0,18,17.3
20201120,1638,1241.2,23,16.5
20201121,1972,1251.1,15,17.0
20201122,779,1308.3,19,16.9
20201123,699,1351.0,0,17.4
20201124,665,1407.0,53,18.9
20201125,1092,1434.2,16,19.5
20201126,1746,1458.2,18,19.9
20201127,1005,1490.3,6,21.1
20201128,1553,1529.7,10,20.8
20201129,1845,1584.6,27,21.0
20201130,1485,1626.9,1,22.1
20201201,1141,1659.7,29,23.0
20201202,2457,1692.7,15,24.9
20201203,2168,1727.0,28,24.9
20201204,2480,1772.2,37,23.9
20201205,1942,1845.5,33,24.9
20201206,1473,1905.1,12,26.1
20201207,1263,1929.6,0,26.5
20201208,1732,2001.1,56,27.9
20201209,2746,2008.1,24,29.1
20201210,2283,2026.1,42,28.7
20201211,2327,2011.0,41,28.8
20201212,2665,2061.0,56,31.1
20201213,1500,2069.4,19,32.5
20201214,1648,2076.9,5,32.2
20201215,2205,2031.5,48,30.8
20201216,2343,1979.3,42,29.3
20201217,2261,1974.1,26,30.7
20201218,2507,1995.0,34,30.7
20201219,1700,2005.0,36,33.4
20201220,2222,2018.2,19,33.6
20201221,1167,2040.8,2,33.5
20201222,2191,2052.6,79,33.0
20201223,2634,2015.7,43,31.4
20201224,2326,2029.2,23,32.0
20201225,1527,2027.7,6,32.4
20201226,845,2006.9,3,34.4
20201227,1365,2028.2,41,34.2
20201228,1701,2049.8,28,35.1
20201229,1943,2059.7,85,35.6
20201230,3023,2131.3,28,36.0
20201231,2756,2130.9,40,36.1
20210101,2575,2133.8,29,36.9
20210102,1891,2107.9,24,37.8
20210103,1784,2075.0,31,37.2
20210104,1616,2057.0,13,38.1
20210105,1767,2095.8,91,40.4
20210106,2791,2183.1,38,43.6
20210107,0,2194.6,0,43.6
20210108,5430,2183.0,88,42.4
20210109,3203,2147.3,45,40.7
20210110,2214,2084.4,21,42.4
20210111,1227,2062.2,19,42.0
20210112,1648,2037.2,98,42.7
20210113,1942,2035.5,31,43.4
20210114,1948,2007.5,41,42.9
20210115,2342,1974.7,55,42.5
20210116,2680,1959.7,70,41.8
20210117,1606,1925.6,40,43.0
20210118,1457,1882.2,3,42.3
20210119,1193,1857.0,50,42.0
20210120,1702,1777.2,64,41.5
20210121,2290,1710.4,30,41.8
20210122,2050,1685.6,45,41.4
20210123,1856,1646.4,39,40.4
20210124,1196,1591.6,20,40.1
20210125,927,1556.4,5,39.3
20210126,1452,1502.5,75,38.6
20210127,2074,1424.2,65,37.4
20210128,1804,1390.6,28,35.6
20210129,2186,1351.5,38,35.5
20210130,1528,1325.9,35,36.6
20210131,811,1282.2,27,34.7
20210201,705,1216.5,11,34.4
20210202,825,1165.8,76,34.1
20210203,791,1110.5,26,33.8
20210204,1210,1105.6,24,32.9
20210205,1210,1087.3,40,32.7
20210206,1036,1053.1,44,30.9
20210207,900,987.0,3,28.9
20210208,635,907.4,1,27.9
