YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,148,161.1,9,11.2
20200521,166,160.0,28,10.9
20200522,150,167.0,9,10.7
20200523,116,174.1,5,10.5
20200524,161,175.8,4,10.3
20200525,301,180.0,3,10.1
20200526,109,179.0,6,10.1
20200527,248,189.7,-4,10.2
20200528,162,186.1,19,10.0
20200529,112,186.1,23,9.8
20200530,211,186.2,44,10.3
20200531,127,187.2,2,10.2
20200601,297,188.8,0,9.4
20200602,298,195.9,10,9.9
20200603,185,201.1,5,9.8
20200604,238,195.3,4,9.7
20200605,130,197.7,10,9.6
20200606,375,205.1,10,9.5
20200607,75,203.8,0,10.6
20200608,149,211.0,9,11.4
20200609,153,220.2,21,11.0
20200610,168,229.7,6,9.2
20200611,200,244.1,11,9.2
20200612,298,239.1,19,9.1
20200613,227,247.1,4,9.1
20200614,39,254.9,0,9.3
20200615,350,266.9,3,9.2
20200616,265,285.9,4,9.2
20200617,220,285.1,19,9.1
20200618,313,286.2,36,8.9
20200619,306,287.3,13,8.7
20200620,410,289.4,7,7.7
20200621,431,286.4,0,8.0
20200622,192,354.3,5,8.8
20200623,465,366.7,6,8.0
20200624,348,377.6,9,8.0
20200625,490,388.2,2,8.0
20200626,529,393.5,10,8.3
20200627,359,417.7,7,8.5
20200628,99,443.3,0,7.7
20200629,172,466.2,0,6.1
20200630,197,484.5,1,6.0
20200701,104,491.1,13,6.0
20200702,1626,484.5,26,6.0
20200703,558,497.5,3,6.5
20200704,456,522.1,4,6.6
20200705,263,544.7,1,6.5
20200706,460,561.1,0,6.5
20200707,773,579.0,16,6.2
20200708,759,606.3,2,6.4
20200709,793,639.4,4,6.4
20200710,690,661.8,11,6.5
20200711,549,705.7,7,7.0
20200712,292,762.0,1,6.9
20200713,466,758.3,13,7.0
20200714,981,808.1,9,7.2
20200715,822,851.8,6,7.2
20200716,836,895.1,2,7.6
20200717,903,935.0,4,7.8
20200718,934,979.6,11,8.0
20200719,794,1027.8,0,8.2
20200720,642,1090.9,3,8.8
20200721,1118,1128.3,10,8.7
20200722,1288,1150.7,11,8.9
20200723,1547,1163.4,30,8.9
20200724,1605,1192.1,6,8.4
20200725,1372,1204.5,5,8.6
20200726,1173,1220.1,9,8.7
20200727,1299,1232.3,12,8.9
20200728,1708,1241.9,11,9.8
20200729,1772,1204.6,7,9.5
20200730,2117,1230.7,16,9.8
20200731,1477,1248.6,10,10.0
20200801,1018,1248.7,11,9.8
20200802,559,1262.3,1,9.6
20200803,1069,1260.0,3,8.3
20200804,1242,1249.5,13,8.4
20200805,1150,1240.7,8,8.8
20200806,1091,1240.7,5,8.6
20200807,1105,1230.0,24,9.6
20200808,150,1190.2,4,9.6
20200809,1343,1166.2,7,9.7
20200810,1018,1118.8,7,9.3
20200811,1120,1110.3,5,9.0
20200812,1574,1125.0,8,8.7
20200813,1498,1137.0,2,8.8
20200814,1385,1126.9,9,9.0
20200815,1186,1108.1,13,8.9
20200816,1173,1121.0,5,9.0
20200817,1076,1142.2,32,9.1
20200818,872,1161.0,11,8.5
20200819,1267,1225.8,9,9.7
20200820,1121,1222.1,8,9.6
20200821,1299,1231.0,3,10.0
20200822,1328,1232.7,6,10.4
20200823,811,1230.6,2,10.9
20200824,856,1232.1,0,11.1
20200825,847,1243.9,18,11.7
20200826,1421,1279.9,11,14.0
20200827,1537,1287.0,7,14.6
20200828,1498,1280.8,12,13.2
20200829,1512,1278.8,29,12.9
20200830,1265,1289.0,5,13.0
20200831,1205,1298.4,14,13.1
20200901,1155,1313.5,15,13.3
20200902,1530,1348.0,17,13.4
20200903,1530,1390.9,8,13.5
20200904,1632,1414.8,21,13.5
20200905,1943,1446.0,61,14.0
20200906,1321,1441.8,18,13.9
20200907,946,1451.6,3,14.3
20200908,830,1472.2,3,15.1
20200909,1483,1470.5,12,14.4
20200910,1317,1476.8,11,14.2
20200911,1617,1491.2,7,14.1
20200912,2051,1497.4,8,14.8
20200913,1713,1502.7,4,17.4
20200914,1357,1497.6,8,17.6
20200915,1504,1514.9,19,18.5
20200916,1331,1521.1,9,18.6
20200917,1743,1531.1,17,17.7
20200918,1932,1547.6,28,17.8
20200919,1476,1530.0,15,18.0
20200920,1397,1473.3,1,17.6
20200921,1507,1422.2,12,17.3
20200922,1285,1543.2,29,20.4
20200923,1642,1524.2,71,20.9
20200924,1423,1512.4,13,21.1
20200925,1995,1512.0,40,20.9
20200926,2074,1493.9,63,21.0
20200927,1530,1490.1,-1,21.9
20200928,1293,1486.9,4,22.5
20200929,461,1495.3,9,27.1
20200930,291,1648.9,3,27.7
20201001,244,1595.7,5,27.7
20201002,4158,1536.6,72,28.8
20201003,1653,1491.8,18,29.1
20201004,1465,1631.4,9,27.4
20201005,1349,1657.0,2,23.5
20201006,1123,1675.8,21,22.5
20201007,1252,1683.6,29,24.4
20201008,1675,1700.5,30,25.1
20201009,2109,1711.8,125,25.3
20201010,4700,1764.9,27,26.1
20201011,280,1824.1,1,27.2
20201012,266,1911.6,0,27.8
20201013,344,1816.5,0,25.9
20201014,4575,1866.3,105,30.2
20201015,1959,1892.7,-68,30.3
20201016,2390,1917.5,18,30.0
20201017,2239,1953.2,103,30.9
20201018,1885,2010.8,14,30.9
20201019,1529,1965.3,8,29.8
20201020,1577,2130.3,26,26.3
20201021,1534,2044.7,27,29.5
20201022,2082,2154.4,16,29.5
20201023,2161,2287.8,32,28.0
20201024,2698,2390.1,109,28.0
20201025,2020,2317.9,12,27.5
20201026,1869,2420.0,-4,31.6
20201027,1873,2525.4,39,31.9
20201028,2461,2641.0,29,28.0
20201029,720,2742.6,7,27.4
20201030,5574,2839.8,51,30.3
20201031,2903,2994.4,94,32.4
20201101,2583,3129.9,1,32.2
20201102,3067,3293.2,5,32.6
20201103,2494,3421.1,34,32.0
20201104,3057,3746.6,24,27.6
20201105,4105,3690.9,18,27.1
20201106,4603,3825.1,24,28.0
20201107,4665,4019.5,21,29.2
20201108,4019,4138.7,3,28.9
20201109,3570,4339.6,0,30.1
20201110,4824,4314.7,138,29.5
20201111,4380,4414.8,24,25.8
20201112,5511,4498.2,23,26.0
