YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,7,2.1,0,0.0
20200521,1,2.5,0,0.0
20200522,0,2.7,0,0.0
20200523,0,2.8,0,0.0
20200524,0,2.9,0,0.0
20200525,0,3.5,0,0.0
20200526,0,3.5,1,0.1
20200527,2,3.4,0,0.1
20200528,4,3.6,0,0.1
20200529,8,3.7,0,0.1
20200530,12,4.0,0,0.1
20200531,10,4.0,0,0.1
20200601,4,4.0,0,0.1
20200602,4,4.5,0,0.1
20200603,2,5.2,0,0.1
20200604,14,5.8,0,0.1
20200605,2,6.2,1,0.1
20200606,-1,6.4,0,0.1
20200607,5,7.1,0,0.1
20200608,3,8.1,0,0.1
20200609,6,8.2,0,0.1
20200610,7,9.2,0,0.1
20200611,2,9.6,0,0.1
20200612,10,10.2,0,0.2
20200613,15,10.5,0,0.2
20200614,13,11.5,1,0.2
20200615,8,12.6,0,0.2
20200616,5,13.7,0,0.2
20200617,16,14.9,1,0.2
20200618,25,15.1,0,0.2
20200619,11,17.7,0,0.2
20200620,32,19.7,0,0.2
20200621,19,21.7,0,0.2
20200622,17,24.8,1,0.2
20200623,9,26.4,0,0.2
20200624,23,27.6,0,0.2
20200625,37,29.1,0,0.2
20200626,26,30.5,1,0.2
20200627,23,34.0,0,0.2
20200628,11,35.3,0,0.1
20200629,56,38.6,0,0.2
20200630,48,44.1,0,0.4
20200701,49,46.6,0,0.4
20200702,67,49.6,0,0.5
20200703,45,52.8,1,0.5
20200704,39,57.6,0,0.6
20200705,45,63.3,0,0.6
20200706,37,68.0,0,0.7
20200707,78,73.2,0,0.7
20200708,44,77.1,0,0.7
20200709,95,79.5,2,0.7
20200710,127,81.0,3,0.8
20200711,84,83.0,1,0.9
20200712,81,85.5,0,1.0
20200713,85,87.0,3,1.0
20200714,109,91.0,2,1.1
20200715,144,99.6,0,1.1
20200716,135,101.4,1,1.1
20200717,135,101.5,2,1.1
20200718,105,102.2,0,1.3
20200719,62,109.8,0,1.5
20200720,87,111.8,2,1.4
20200721,91,113.0,1,1.5
20200722,101,114.5,2,1.5
20200723,97,116.0,1,1.5
20200724,129,113.8,3,1.5
20200725,221,112.5,0,1.4
20200726,82,111.1,0,1.5
20200727,39,112.9,1,1.5
20200728,94,113.9,4,1.6
20200729,202,115.1,3,1.8
20200730,138,115.2,1,1.8
20200731,151,114.1,5,1.7
20200801,116,114.0,1,1.8
20200802,112,117.0,0,1.8
20200803,40,119.0,3,1.8
20200804,81,119.2,0,1.7
20200805,115,114.3,1,1.7
20200806,173,114.7,0,1.7
20200807,155,114.9,5,1.7
20200808,132,113.0,5,1.6
20200809,63,108.6,0,1.5
20200810,65,107.5,0,1.6
20200811,87,107.2,2,1.4
20200812,164,109.3,3,1.4
20200813,139,106.5,1,1.3
20200814,134,107.4,0,1.3
20200815,118,110.0,1,1.6
20200816,91,112.2,0,1.6
20200817,42,110.8,0,1.5
20200818,54,109.8,2,1.4
20200819,110,112.5,0,1.4
20200820,116,113.7,5,1.4
20200821,144,114.5,0,1.4
20200822,160,114.5,1,1.3
20200823,53,115.4,0,1.4
20200824,60,117.3,1,1.4
20200825,135,118.0,6,1.6
20200826,161,119.3,1,1.6
20200827,144,119.7,0,1.7
20200828,134,120.2,2,1.7
20200829,188,120.7,4,1.7
20200830,89,119.6,0,1.7
20200831,81,123.4,0,1.6
20200901,88,122.3,1,2.0
20200902,182,121.4,4,2.0
20200903,180,123.4,2,2.1
20200904,148,124.7,3,2.2
20200905,145,124.8,2,2.0
20200906,100,126.0,1,2.0
20200907,52,129.4,1,2.1
20200908,65,133.7,1,2.2
20200909,87,138.7,3,2.5
20200910,195,140.9,1,2.5
20200911,122,143.2,8,2.7
20200912,140,152.0,2,2.8
20200913,96,153.4,2,2.7
20200914,86,160.5,3,2.7
20200915,137,168.8,2,2.7
20200916,187,178.2,1,2.6
20200917,216,183.0,2,2.7
20200918,224,195.1,3,2.7
20200919,292,206.8,10,2.8
20200920,136,219.2,1,2.8
20200921,130,230.3,3,2.8
20200922,271,241.4,3,2.6
20200923,212,258.6,2,2.5
20200924,330,267.3,0,2.5
20200925,322,273.3,5,2.5
20200926,343,290.6,1,2.5
20200927,200,315.8,2,2.5
20200928,306,334.8,1,2.6
20200929,311,358.5,3,2.9
20200930,347,378.8,3,2.5
20201001,429,400.1,1,2.5
20201002,355,414.1,5,2.5
20201003,501,424.3,0,2.6
20201004,279,442.8,1,2.9
20201005,212,461.5,3,3.0
20201006,500,477.7,2,3.1
20201007,716,491.3,1,3.2
20201008,614,510.2,4,3.2
20201009,722,522.7,9,3.4
20201010,718,541.4,3,3.6
20201011,585,554.3,1,4.5
20201012,423,578.1,2,4.6
20201013,486,602.3,5,4.6
20201014,599,608.9,8,5.1
20201015,723,630.7,5,5.2
20201016,662,650.2,5,5.4
20201017,630,666.6,4,5.4
20201018,596,662.0,2,6.3
20201019,569,675.0,0,6.7
20201020,703,691.3,11,7.5
20201021,619,699.2,23,7.9
20201022,928,704.4,3,7.9
20201023,863,720.3,4,8.3
20201024,639,740.4,12,8.7
20201025,738,749.8,3,8.5
20201026,621,763.6,6,8.4
20201027,845,778.7,2,8.8
20201028,620,796.3,20,9.8
20201029,887,802.8,12,10.2
20201030,1063,793.5,27,10.0
20201031,885,812.3,11,10.0
20201101,694,826.6,1,9.4
20201102,757,828.1,10,9.3
20201103,907,844.8,13,9.3
20201104,796,892.6,5,10.5
20201105,1013,918.0,3,10.6
20201106,979,929.8,12,10.4
20201107,1001,954.9,26,11.3
20201108,731,981.7,11,11.2
20201109,374,998.3,1,10.8
20201110,1098,1018.0,5,9.7
20201111,919,1035.3,10,10.7
20201112,961,1056.4,0,10.8
20201113,1213,1053.8,5,10.9
20201114,1642,1064.0,37,11.0
20201115,1272,1076.7,6,11.8
20201116,869,1081.6,2,12.0
20201117,1371,1040.4,21,11.3
20201118,1184,1042.7,18,10.7
20201119,1236,1053.4,0,10.2
20201120,1475,1054.5,6,10.7
20201121,1249,1050.2,33,11.2
20201122,1138,1060.5,3,11.5
20201123,701,1052.0,11,11.8
20201124,1123,1056.8,16,11.9
20201125,1061,1008.7,22,10.5
20201126,1117,986.5,6,10.3
20201127,114,979.2,-1,10.5
20201128,1049,949.9,12,10.5
20201129,956,931.0,2,10.0
20201130,397,908.3,10,10.3
20201201,1007,884.6,17,11.3
20201202,1135,862.0,15,10.3
20201203,782,839.2,9,10.2
20201204,1314,823.3,5,9.9
20201205,633,787.4,7,9.3
20201206,806,765.7,2,8.8
20201207,716,752.4,6,9.1
20201208,755,771.2,21,9.4
20201209,787,751.1,8,9.3
20201210,759,731.9,10,9.2
20201211,978,720.3,24,9.5
20201212,774,702.0,11,9.4
20201213,659,675.3,2,9.6
20201214,0,657.5,0,9.2
20201215,737,606.9,8,9.0
20201216,604,588.8,10,8.8
20201217,839,566.9,13,9.0
20201218,509,543.2,5,8.8
20201219,627,527.6,10,8.4
20201220,551,531.8,1,8.5
20201221,154,507.8,16,8.6
20201222,623,470.4,14,7.7
20201223,575,442.9,19,7.4
20201224,407,432.3,2,7.3
20201225,0,428.2,0,7.3
20201226,504,444.7,3,8.5
20201227,347,448.4,5,8.5
20201228,219,441.3,3,9.0
20201229,427,456.0,12,9.3
20201230,874,451.6,11,9.0
20201231,255,435.9,11,9.1
20210101,0,444.2,0,8.4
20210102,389,434.8,10,8.2
20210103,437,434.8,1,7.4
20210104,283,437.2,3,7.7
20210105,714,450.2,30,8.0
20210106,682,458.2,10,8.0
20210107,690,457.8,23,8.0
20210108,818,456.0,11,7.9
20210109,534,449.4,5,7.3
20210110,222,426.4,2,6.9
20210111,329,433.0,1,6.6
20210112,424,442.9,10,6.6
20210113,576,450.8,2,8.1
20210114,457,441.5,8,8.5
20210115,525,435.8,9,9.2
20210116,421,418.2,2,8.6
20210117,337,403.4,4,8.9
20210118,183,389.7,1,8.2
20210119,288,365.6,0,8.5
20210120,391,364.8,1,8.5
20210121,394,363.1,6,8.4
20210122,400,353.2,4,8.4
20210123,361,348.0,37,8.7
20210124,242,340.8,10,11.1
20210125,164,333.4,0,11.0
20210126,344,324.9,34,10.5
20210127,371,317.2,16,10.7
20210128,403,304.6,9,10.6
20210129,312,301.8,17,10.5
20210130,516,305.9,5,10.6
20210131,187,301.9,1,10.8
20210201,121,294.9,1,10.6
20210202,314,286.4,15,10.5
20210203,426,280.3,54,8.9
20210204,301,273.8,5,8.4
20210205,347,272.5,-1,7.6
20210206,259,262.2,5,7.0
20210207,73,255.7,2,6.3
20210208,124,246.0,0,6.0
20210209,374,244.3,1,5.3
20210210,307,232.3,5,5.2
20210211,247,230.0,0,5.2
20210212,221,225.7,4,5.1
20210213,234,221.7,3,4.6
20210214,104,211.0,0,2.1
20210215,138,206.4,1,2.0
20210216,127,197.9,3,2.2
20210217,234,196.2,3,2.1
20210218,200,198.3,3,2.0
20210219,277,194.7,2,2.4
20210220,264,184.3,2,2.7
20210221,138,178.9,1,2.5
20210222,31,175.7,-1,2.5
20210223,230,171.1,5,2.6
20210224,202,166.1,2,2.5
20210225,203,167.3,2,2.6
20210226,168,162.9,4,2.6
20210227,224,163.2,2,2.6
20210228,117,159.2,1,2.5
20210301,49,158.3,0,2.6
20210302,155,151.4,15,2.5
20210303,193,146.9,1,2.4
20210304,180,142.0,2,2.4
20210305,125,148.7,4,2.5
20210306,0,157.3,0,2.4
20210307,258,154.4,2,2.5
20210308,45,151.0,0,2.7
20210309,134,150.2,4,2.6
20210310,150,149.0,2,2.8
20210311,181,147.9,4,2.8
20210312,132,147.4,1,2.5
20210313,170,156.9,0,2.2
20210314,34,157.9,0,2.8
20210315,173,157.1,1,2.9
20210316,411,158.3,3,2.7
20210317,140,157.7,0,2.7
20210318,132,153.0,10,2.6
20210319,152,152.6,3,2.5
20210320,198,153.7,5,2.5
20210321,94,157.6,0,2.4
20210322,38,157.2,0,2.2
20210323,354,157.0,5,3.0
20210324,214,157.6,12,3.5
20210325,164,161.0,4,3.5
20210326,150,157.3,0,3.7
20210327,117,142.3,1,3.9
20210328,31,144.9,0,4.2
20210329,35,149.2,0,4.2
20210330,158,152.7,1,5.3
20210331,231,151.2,0,5.2
20210401,173,148.7,1,5.1
20210402,128,150.2,16,5.1
20210403,182,141.6,11,5.1
20210404,107,141.2,1,4.6
20210405,0,142.5,0,4.4
20210406,191,141.0,11,4.9
20210407,193,142.5,12,5.2
20210408,224,143.7,5,5.2
20210409,224,144.7,27,5.4
20210410,168,145.6,2,5.5
20210411,41,142.1,0,5.7
20210412,70,142.5,1,5.7
20210413,173,143.8,2,5.0
20210414,205,143.5,0,4.7
20210415,192,140.7,2,4.7
20210416,118,136.9,9,4.5
20210417,148,140.7,8,4.2
20210418,56,141.1,1,3.7
20210419,57,138.7,0,3.6
20210420,177,135.4,6,2.4
20210421,158,135.4,5,2.4
20210422,181,135.6,0,2.5
20210423,155,135.2,2,2.5
20210424,175,137.6,4,2.4
20210425,49,134.5,0,2.4
20210426,14,131.7,0,2.5
20210427,176,133.1,3,2.6
