YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,268,254.3,15,9.4
20200521,305,252.8,0,8.8
20200522,235,253.5,9,8.2
20200523,301,255.5,0,7.7
20200524,171,257.4,0,7.1
20200525,228,258.6,0,6.6
20200526,257,260.4,0,5.9
20200527,365,257.4,6,5.2
20200528,265,250.9,10,4.5
20200529,399,245.8,1,3.8
20200530,257,241.1,6,3.1
20200531,196,235.0,0,2.5
20200601,244,232.8,0,3.3
20200602,271,231.4,0,3.2
20200603,269,222.7,0,3.2
20200604,254,218.9,17,3.2
20200605,267,213.8,0,3.3
20200606,166,210.4,0,3.8
20200607,92,202.2,0,3.9
20200608,122,198.3,1,3.6
20200609,132,187.6,1,3.8
20200610,140,181.0,2,3.6
20200611,257,176.7,21,3.5
20200612,207,172.3,3,3.5
20200613,118,165.9,0,3.7
20200614,90,158.9,0,3.6
20200615,121,152.7,5,3.5
20200616,187,148.5,11,3.8
20200617,193,152.5,3,3.8
20200618,183,154.0,5,3.9
20200619,174,155.0,5,3.9
20200620,119,155.2,0,4.0
20200621,105,154.9,0,4.0
20200622,151,149.4,5,3.3
20200623,136,149.4,7,3.3
20200624,122,151.8,1,3.2
20200625,125,152.3,3,3.1
20200626,178,152.1,6,3.0
20200627,251,150.6,1,2.4
20200628,124,152.1,0,2.3
20200629,143,152.8,2,2.1
20200630,135,151.9,5,2.0
20200701,133,156.7,2,1.9
20200702,142,160.0,6,1.9
20200703,208,163.6,2,1.9
20200704,167,172.3,0,1.4
20200705,102,179.0,0,1.6
20200706,117,180.4,-1,1.9
20200707,155,182.7,-1,1.7
20200708,224,176.5,0,1.8
20200709,198,175.4,2,2.0
20200710,154,181.2,2,2.1
20200711,221,191.1,-1,1.7
20200712,174,198.9,0,1.7
20200713,227,207.9,3,1.6
20200714,318,215.0,-2,1.5
20200715,262,217.5,5,1.6
20200716,155,223.3,8,1.6
20200717,227,231.1,2,1.6
20200718,120,236.0,0,1.9
20200719,102,238.0,0,2.0
20200720,264,244.9,12,2.1
20200721,343,258.8,-3,2.2
20200722,296,256.8,1,2.1
20200723,332,263.3,5,2.0
20200724,356,264.6,0,1.9
20200725,221,260.0,0,2.2
20200726,223,262.4,0,2.3
20200727,281,270.8,1,2.0
20200728,258,273.5,4,2.1
20200729,265,274.5,3,2.0
20200730,344,278.5,4,1.8
20200731,445,278.5,4,1.7
20200801,180,278.1,0,2.0
20200802,311,274.2,0,2.1
20200803,254,278.2,-4,2.1
20200804,222,276.9,4,2.1
20200805,311,278.4,8,2.1
20200806,332,274.0,0,2.1
20200807,283,269.7,5,2.1
20200808,141,269.9,0,2.3
20200809,187,267.5,0,2.2
20200810,264,265.8,3,2.1
20200811,334,257.9,3,2.1
20200812,214,256.6,5,2.2
20200813,416,247.0,4,2.4
20200814,328,242.4,1,2.6
20200815,253,246.2,0,2.5
20200816,131,249.4,0,2.2
20200817,191,251.4,1,2.3
20200818,262,253.9,7,2.2
20200819,215,262.3,2,2.2
20200820,308,267.3,2,2.2
20200821,278,266.2,3,2.3
20200822,154,264.0,0,2.3
20200823,109,273.9,2,2.1
20200824,158,276.6,5,2.1
20200825,301,270.1,0,2.0
20200826,379,265.0,3,2.0
20200827,374,262.6,5,2.0
20200828,335,257.7,1,2.0
20200829,317,268.8,0,1.8
20200830,293,279.9,0,2.4
20200831,241,286.9,5,2.7
20200901,287,296.4,2,2.9
20200902,421,301.9,0,2.8
20200903,474,300.0,5,2.7
20200904,192,314.0,0,2.5
20200905,144,315.3,0,2.5
20200906,81,318.7,0,2.5
20200907,89,324.8,0,2.4
20200908,494,331.0,3,2.5
20200909,448,335.4,14,2.5
20200910,456,335.1,9,2.6
20200911,478,338.1,7,2.6
20200912,269,343.4,0,3.0
20200913,68,346.8,-3,2.9
20200914,454,345.8,1,2.9
20200915,328,357.2,1,3.0
20200916,449,371.0,3,3.1
20200917,502,389.4,3,3.1
20200918,466,409.7,0,3.2
20200919,410,408.3,0,3.4
20200920,286,411.8,0,3.0
20200921,305,419.6,10,3.0
20200922,397,434.6,9,2.8
20200923,493,442.0,1,3.0
20200924,453,458.0,0,3.2
20200925,431,458.0,6,3.2
20200926,434,466.0,1,3.4
20200927,467,475.1,1,3.4
20200928,515,482.8,2,3.4
20200929,466,504.1,6,3.4
20200930,520,528.1,0,3.5
20201001,621,538.0,15,3.4
20201002,792,545.3,0,3.3
20201003,426,559.9,4,3.1
20201004,404,580.4,4,3.2
20201005,452,604.6,2,3.3
20201006,498,645.3,4,3.8
20201007,639,654.1,0,3.7
20201008,663,666.9,7,3.7
20201009,0,678.0,0,3.9
20201010,1828,684.0,5,4.1
20201011,495,702.1,0,4.3
20201012,457,719.0,3,4.5
20201013,704,739.7,5,4.6
20201014,924,753.0,3,4.7
20201015,961,761.4,5,4.5
20201016,1286,773.3,12,4.8
20201017,618,791.4,0,5.4
20201018,736,816.6,1,5.6
20201019,749,861.5,6,5.9
20201020,592,889.1,11,6.2
20201021,899,897.4,11,6.3
20201022,977,918.3,11,6.4
20201023,1225,942.0,4,6.4
20201024,705,977.0,4,6.3
20201025,582,1020.0,1,6.6
20201026,702,1075.4,7,6.6
20201027,877,1141.9,17,7.3
20201028,1169,1193.5,8,7.4
20201029,1605,1233.4,9,7.5
20201030,1495,1273.0,9,7.4
20201031,1087,1348.8,6,7.9
20201101,934,1411.1,2,7.4
20201102,954,1489.0,2,8.0
20201103,1440,1543.4,4,8.8
20201104,1828,1600.9,9,8.8
20201105,2124,1636.4,5,9.1
20201106,2681,1766.8,27,9.2
20201107,1702,1830.0,2,9.3
20201108,1574,1908.2,0,9.4
20201109,1582,1958.6,7,10.3
20201110,2182,2000.8,20,12.0
20201111,2209,2014.1,1,12.0
20201112,2611,2018.8,25,12.1
20201113,2369,2062.0,19,13.2
20201114,1912,2035.3,4,13.4
20201115,1327,1990.2,0,13.4
20201116,3440,2140.0,18,14.7
20201117,2204,2065.4,19,13.5
20201118,2812,2044.2,10,13.6
20201119,2663,2023.7,28,14.1
20201120,2381,2040.8,43,14.7
20201121,1368,2022.0,8,16.7
20201122,1032,2028.0,4,18.9
20201123,1860,2007.5,25,19.2
20201124,0,1971.6,0,19.6
20201125,1761,1987.3,16,19.8
20201126,5270,1984.4,32,19.9
20201127,1114,1882.2,2,20.9
20201128,1257,1847.1,5,21.7
20201129,1143,1776.5,0,22.3
20201130,1941,1737.8,29,22.6
20201201,1787,1677.0,62,21.2
20201202,2336,1650.4,48,21.9
20201203,2180,1657.1,31,22.1
20201204,1615,1591.6,27,23.0
20201205,2243,1621.9,8,23.6
20201206,1266,1639.1,11,23.7
20201207,1293,1449.9,31,22.4
20201208,1468,1460.9,35,23.1
20201209,1329,1433.0,23,23.1
20201210,1850,1424.6,35,23.0
20201211,1103,1366.5,14,23.5
20201212,811,1339.5,22,21.0
20201213,1173,1292.0,8,20.6
20201214,483,1221.3,45,19.5
20201215,1517,1182.7,20,17.7
20201216,1242,1084.2,10,17.4
20201217,1297,1054.3,5,17.5
20201218,1345,1034.4,17,16.7
20201219,670,1008.9,5,15.8
20201220,967,1017.8,11,15.1
20201221,721,1001.1,25,15.3
20201222,1221,992.3,10,15.5
20201223,1338,979.7,40,14.5
20201224,695,959.0,7,14.2
20201225,805,963.9,-10,12.6
20201226,175,960.6,1,12.1
20201227,637,969.8,0,12.1
