YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,292,84.3,19,11.9
20200521,12,88.0,6,11.1
20200522,125,89.8,3,10.3
20200523,1,95.6,1,9.6
20200524,355,98.3,-7,8.9
20200525,75,105.1,14,8.0
20200526,101,112.0,0,7.3
20200527,93,119.0,8,6.5
20200528,98,125.9,4,5.6
20200529,128,131.2,0,4.9
20200530,141,140.4,11,4.2
20200531,111,134.8,0,3.4
20200601,74,146.3,0,3.6
20200602,156,151.4,0,3.6
20200603,93,165.3,14,3.6
20200604,178,158.1,-1,4.0
20200605,180,160.0,6,3.4
20200606,182,172.7,1,3.3
20200607,178,176.4,1,3.4
20200608,147,186.7,4,3.3
20200609,229,197.5,4,3.2
20200610,173,212.3,3,3.3
20200611,255,219.6,10,3.2
20200612,231,229.8,2,3.1
20200613,293,243.5,1,3.1
20200614,204,260.1,1,3.0
20200615,114,272.9,2,3.1
20200616,368,282.4,2,3.0
20200617,171,326.1,6,3.0
20200618,315,356.7,2,3.0
20200619,355,384.7,4,3.0
20200620,452,400.5,7,2.9
20200621,264,423.0,1,3.0
20200622,288,441.0,2,3.1
20200623,0,476.9,0,3.2
20200624,0,503.7,0,3.2
20200625,1331,534.1,6,3.4
20200626,381,552.1,3,3.4
20200627,1099,576.3,2,3.9
20200628,821,592.7,0,3.8
20200629,734,606.4,4,4.6
20200630,562,637.3,3,4.8
20200701,645,660.1,4,5.0
20200702,632,687.8,14,5.0
20200703,985,713.7,3,5.4
20200704,857,745.1,2,5.8
20200705,843,764.5,4,6.0
20200706,491,812.2,3,6.2
20200707,876,859.8,11,6.6
20200708,516,863.7,5,7.0
20200709,603,886.0,18,6.9
20200710,1004,896.1,8,6.9
20200711,930,908.2,13,8.0
20200712,845,931.2,1,9.2
20200713,832,961.2,0,8.8
20200714,1104,960.3,19,9.2
20200715,849,963.9,6,9.6
20200716,1447,972.6,8,9.5
20200717,1380,996.3,11,9.6
20200718,1182,1007.2,9,10.0
20200719,1288,1024.0,1,10.8
20200720,948,1043.8,1,11.0
20200721,815,1056.2,28,12.0
20200722,1129,1058.9,28,11.4
20200723,1262,1072.5,5,11.7
20200724,966,1080.2,13,11.7
20200725,931,1074.3,10,11.9
20200726,1027,1064.8,2,13.0
20200727,988,1030.6,5,13.0
20200728,1105,1011.3,20,13.5
20200729,870,997.2,21,14.4
20200730,1018,974.5,21,14.8
20200731,1264,964.7,29,15.0
20200801,986,952.0,2,14.5
20200802,1131,923.4,0,13.9
20200803,994,892.0,15,15.3
20200804,980,898.3,15,15.4
20200805,649,894.9,28,16.0
20200806,729,879.1,10,16.1
20200807,976,863.6,20,16.1
20200808,886,843.0,29,16.3
20200809,811,820.1,8,16.9
20200810,742,798.1,6,17.7
20200811,548,778.3,18,16.9
20200812,528,761.7,15,17.4
20200813,602,733.1,34,17.1
20200814,1099,705.3,15,16.8
20200815,859,677.8,24,17.5
20200816,697,659.0,3,17.1
20200817,662,650.6,5,17.7
20200818,672,634.2,25,17.5
20200819,389,621.0,32,16.8
20200820,556,603.7,38,16.5
20200821,849,583.6,13,16.3
20200822,636,576.8,12,15.8
20200823,532,563.0,0,16.2
20200824,409,551.1,3,15.9
20200825,403,522.0,30,15.7
20200826,253,499.7,20,15.2
20200827,554,490.7,21,15.1
20200828,632,476.2,16,15.0
20200829,609,450.7,15,14.3
20200830,447,439.5,0,13.2
20200831,320,426.8,3,12.2
20200901,405,398.7,8,12.1
20200902,239,388.1,23,12.0
20200903,351,377.9,27,12.1
20200904,489,371.6,12,12.2
20200905,390,363.2,13,12.0
20200906,508,361.0,1,11.6
20200907,357,351.2,4,11.2
20200908,137,345.0,0,11.3
20200909,154,331.3,19,10.8
20200910,288,328.4,17,10.9
20200911,260,324.2,10,11.1
20200912,414,317.4,10,11.1
20200913,317,330.2,3,10.5
20200914,277,332.1,4,9.6
20200915,226,335.3,26,9.4
20200916,208,345.4,12,9.2
20200917,347,339.0,12,9.3
20200918,501,344.0,18,9.3
20200919,323,356.7,4,9.1
20200920,385,367.7,3,9.0
20200921,232,374.5,0,8.3
20200922,262,398.9,15,8.1
20200923,509,404.2,10,8.1
20200924,390,407.8,8,8.1
20200925,556,410.6,9,8.1
20200926,602,422.7,9,7.0
20200927,373,433.3,3,6.8
20200928,463,439.6,0,6.8
20200929,404,452.2,8,6.3
20200930,385,475.2,7,6.2
20201001,430,475.0,3,6.2
20201002,772,491.0,6,6.0
20201003,526,501.8,11,6.1
20201004,392,500.3,3,6.4
20201005,337,513.0,0,6.4
20201006,479,520.6,6,6.4
20201007,431,538.0,7,6.0
20201008,480,549.2,13,6.0
20201009,766,554.9,8,5.9
20201010,806,566.9,2,6.4
20201011,380,575.4,2,6.3
20201012,569,592.5,3,6.3
20201013,487,594.4,10,6.1
20201014,479,624.0,17,5.9
20201015,655,647.8,7,6.0
20201016,716,654.3,9,5.9
20201017,967,666.3,0,6.0
20201018,609,673.0,3,6.2
20201019,582,701.2,2,5.7
20201020,656,723.4,15,5.7
20201021,565,731.5,5,5.7
20201022,789,747.5,4,5.7
20201023,812,750.8,2,5.7
20201024,1147,771.0,5,6.3
20201025,891,799.0,5,5.9
20201026,475,828.1,1,6.0
20201027,730,868.4,7,6.6
20201028,571,909.2,10,6.8
20201029,1073,941.0,3,6.7
20201030,1232,959.0,8,6.7
20201031,977,990.7,0,6.3
20201101,716,1016.5,4,6.9
20201102,637,1048.9,3,6.9
20201103,911,1098.7,23,7.4
20201104,1068,1152.1,7,7.9
20201105,1267,1165.7,10,7.7
20201106,1562,1234.3,21,8.0
20201107,1824,1280.3,5,9.0
20201108,1276,1332.4,1,8.6
20201109,960,1396.4,1,8.8
20201110,1322,1425.2,7,9.8
20201111,1107,1474.9,18,11.0
20201112,1469,1543.4,3,11.2
20201113,1857,1624.4,13,11.4
20201114,2269,1717.8,15,11.4
20201115,1177,1816.5,1,12.2
20201116,1916,1877.2,8,12.8
20201117,1696,1876.0,27,11.9
20201118,1664,1927.8,3,12.8
20201119,2417,1928.8,6,13.6
20201120,1838,1961.4,29,13.9
20201121,2019,2025.6,29,14.5
20201122,2155,2075.5,6,15.5
20201123,2339,2126.3,6,17.6
20201124,2871,2176.0,24,18.0
20201125,3142,2220.1,24,18.7
20201126,2541,2283.7,22,19.3
20201127,1536,2309.0,2,19.1
20201128,2912,2356.6,24,19.8
20201129,1298,2422.6,17,20.8
20201130,1644,2412.0,8,22.9
20201201,2671,2457.0,20,23.7
20201202,2155,2486.5,38,24.2
20201203,2535,2521.2,48,24.9
20201204,2902,2532.7,22,25.0
20201205,3194,2506.4,29,26.1
20201206,2512,2469.4,14,27.6
20201207,2447,2457.0,4,27.5
20201208,2697,2521.0,40,29.1
20201209,3050,2506.1,25,30.0
20201210,2193,2543.7,50,30.6
20201211,2783,2557.8,45,30.5
20201212,2639,2482.5,41,31.4
20201213,2884,2522.1,19,31.8
20201214,2580,2508.5,9,31.6
20201215,2319,2458.6,47,31.9
20201216,2366,2382.1,56,30.5
20201217,2281,2350.9,20,30.2
20201218,2878,2275.7,35,31.0
20201219,2601,2230.5,43,31.3
20201220,2087,2202.9,30,32.3
20201221,1939,2200.2,6,32.8
20201222,1090,2177.9,38,31.6
20201223,2988,2139.1,46,29.9
20201224,2249,2132.4,45,30.5
20201225,1853,2077.1,27,31.3
20201226,1589,2082.0,1,30.5
20201227,1856,2061.7,8,30.7
20201228,868,2115.1,21,31.8
20201229,1747,2114.5,45,32.8
20201230,2471,2116.7,47,33.4
20201231,2136,2125.0,59,32.8
20210101,2315,2112.6,21,34.0
20210102,1825,2184.2,5,34.4
