YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,147,73.3,18,11.9
20200521,67,73.9,9,11.2
20200522,79,72.2,5,10.6
20200523,75,72.0,4,10.0
20200524,60,70.9,1,9.6
20200525,48,71.4,1,9.1
20200526,34,71.8,4,8.5
20200527,55,71.7,9,7.9
20200528,103,69.5,9,7.1
20200529,103,68.0,6,6.5
20200530,0,67.0,0,5.9
20200531,159,62.4,7,5.3
20200601,34,60.7,0,5.2
20200602,64,58.9,11,5.3
20200603,46,57.6,9,5.2
20200604,81,55.7,8,5.3
20200605,77,54.7,5,5.4
20200606,66,54.0,5,5.3
20200607,24,54.8,3,5.1
20200608,36,50.5,0,4.7
20200609,0,47.3,0,4.7
20200610,99,45.1,15,4.7
20200611,31,42.5,7,4.5
20200612,42,41.6,7,4.3
20200613,48,39.1,3,4.1
20200614,19,38.2,2,3.9
20200615,27,36.3,0,4.0
20200616,19,34.2,6,4.1
20200617,72,33.2,4,4.0
20200618,14,33.5,1,3.9
20200619,36,32.4,6,3.7
20200620,32,31.1,2,3.6
20200621,26,29.7,0,3.4
20200622,14,29.2,0,3.2
20200623,13,28.9,4,2.9
20200624,27,27.3,4,2.9
20200625,40,27.6,10,2.9
20200626,33,27.1,8,2.8
20200627,46,27.0,2,2.8
20200628,30,24.6,0,2.7
20200629,13,24.9,0,2.7
20200630,22,24.0,4,2.5
20200701,20,24.1,2,2.5
20200702,20,24.3,2,2.4
20200703,35,24.3,1,2.4
20200704,15,24.8,3,2.3
20200705,25,24.5,2,2.2
20200706,17,23.9,1,1.8
20200707,18,23.5,2,1.4
20200708,20,22.4,2,1.4
20200709,21,21.7,1,1.4
20200710,18,23.3,3,1.4
20200711,33,22.9,1,1.4
20200712,30,23.5,0,1.4
20200713,14,23.6,0,1.4
20200714,23,24.7,1,1.5
20200715,22,25.9,2,1.4
20200716,26,25.7,1,1.3
20200717,26,25.1,0,1.3
20200718,23,27.0,1,1.2
20200719,15,26.7,2,1.2
20200720,46,27.2,0,1.3
20200721,13,28.2,2,1.2
20200722,33,28.1,2,1.2
20200723,23,27.6,3,1.2
20200724,57,28.2,2,1.2
20200725,40,28.7,2,1.2
20200726,21,28.9,0,1.1
20200727,5,28.7,0,1.1
20200728,59,29.2,0,1.1
20200729,13,30.0,2,1.1
20200730,31,30.1,4,1.0
20200731,39,28.1,0,1.0
20200801,31,28.5,1,0.9
20200802,20,28.2,1,0.9
20200803,26,28.7,0,0.8
20200804,33,28.0,1,0.8
20200805,26,26.9,0,0.7
20200806,23,26.3,1,0.7
20200807,37,26.8,0,0.7
20200808,39,24.6,0,0.7
20200809,17,24.9,0,0.8
20200810,5,24.1,0,0.6
20200811,21,23.2,0,0.6
20200812,26,22.9,1,0.6
20200813,34,22.5,2,0.6
20200814,43,22.9,1,0.6
20200815,16,22.0,0,0.5
20200816,8,21.7,0,0.5
20200817,16,21.5,0,0.6
20200818,13,20.8,1,0.6
20200819,19,20.4,3,0.6
20200820,14,20.0,1,0.6
20200821,21,20.7,0,0.6
20200822,23,20.8,1,0.6
20200823,13,20.1,0,0.6
20200824,33,20.3,0,0.5
20200825,16,19.2,0,0.4
20200826,0,21.1,0,0.4
20200827,38,21.9,2,0.5
20200828,22,22.5,1,0.5
20200829,30,22.7,0,0.4
20200830,8,23.7,0,0.3
20200831,21,24.9,0,0.3
20200901,22,26.1,0,0.3
20200902,12,26.6,0,0.3
20200903,38,28.0,0,0.3
20200904,21,27.3,0,0.4
20200905,56,28.3,0,0.4
20200906,23,28.9,1,0.4
20200907,29,29.9,0,0.3
20200908,18,30.7,0,0.3
20200909,0,32.1,0,0.3
20200910,79,33.0,1,0.3
20200911,47,32.2,0,0.3
20200912,32,33.0,1,0.3
20200913,44,33.2,1,0.3
20200914,18,33.2,0,0.3
20200915,36,34.1,2,0.3
20200916,31,33.2,0,0.3
20200917,0,34.5,0,0.3
20200918,80,34.9,0,0.3
20200919,59,35.2,0,0.3
20200920,27,34.9,0,0.3
20200921,5,35.4,0,0.3
20200922,38,43.5,0,0.4
20200923,17,45.0,0,0.3
20200924,37,45.2,0,0.3
20200925,41,46.4,0,0.3
20200926,36,46.7,1,0.4
20200927,51,48.7,0,0.4
20200928,36,50.3,0,0.5
