YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,1443,1033.8,162,127.0
20200521,826,1019.8,97,122.3
20200522,1016,989.0,139,115.8
20200523,565,966.4,97,110.4
20200524,1019,938.3,56,107.9
20200525,941,907.1,9,104.4
20200526,687,892.5,47,100.5
20200527,879,865.6,145,95.5
20200528,576,825.0,70,91.1
20200529,1667,787.6,122,85.2
20200530,770,748.8,103,81.7
20200531,838,707.0,64,77.5
20200601,486,691.2,25,76.0
20200602,658,660.3,48,71.6
20200603,541,655.1,109,73.3
20200604,478,620.1,90,72.4
20200605,825,587.0,79,74.3
20200606,566,571.0,57,76.1
20200607,279,543.5,70,71.2
20200608,348,536.3,38,69.5
20200609,316,476.9,89,65.3
20200610,566,457.1,74,61.4
20200611,495,432.5,66,59.1
20200612,367,423.9,46,59.6
20200613,456,409.6,132,59.7
20200614,284,392.3,38,57.0
20200615,244,385.5,49,138.2
20200616,353,365.8,84,136.4
20200617,301,353.7,43,135.3
20200618,425,355.9,34,133.3
20200619,419,345.6,33,132.3
20200620,355,351.2,22,130.1
20200621,321,338.6,15,128.6
20200622,305,337.8,35,126.9
20200623,358,340.2,51,127.4
20200624,177,332.9,51,122.3
20200625,335,338.0,1796,121.5
20200626,412,338.0,42,120.0
20200627,311,336.5,34,118.5
20200628,325,331.7,27,118.9
20200629,133,324.7,17,122.8
20200630,434,323.7,43,122.7
20200701,301,324.3,43,123.9
20200702,477,326.9,29,124.0
20200703,418,326.0,57,123.1
20200704,303,330.7,25,121.8
20200705,392,341.9,22,121.8
20200706,242,339.0,18,37.8
20200707,323,324.0,52,36.7
20200708,199,323.0,51,35.8
20200709,279,307.1,116,34.8
20200710,397,312.2,31,34.4
20200711,368,308.2,46,33.4
20200712,376,315.0,0,30.0
20200713,287,305.9,35,29.7
20200714,455,309.7,22,28.6
20200715,413,321.4,52,28.0
20200716,274,328.1,31,27.4
20200717,97,340.2,19,27.4
20200718,289,350.9,15,25.9
20200719,-8,357.6,7,22.2
20200720,240,363.7,9,17.2
20200721,351,380.4,22,16.2
20200722,443,382.2,-30,14.5
20200723,285,381.0,23,14.0
20200724,498,382.0,35,13.6
20200725,549,379.0,11,13.1
20200726,534,378.4,11,9.9
20200727,495,385.5,17,8.8
