YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,125,113.9,7,6.9
20200521,155,112.4,11,6.8
20200522,153,113.1,8,6.8
20200523,0,119.2,0,6.7
20200524,318,120.2,15,6.7
20200525,83,125.8,3,6.8
20200526,104,136.4,5,6.6
20200527,122,137.9,4,6.5
20200528,112,140.0,6,6.4
20200529,129,141.2,9,6.2
20200530,131,138.7,7,6.1
20200531,65,139.7,5,6.0
20200601,111,137.9,6,6.0
20200602,224,138.1,5,5.9
20200603,116,135.1,8,5.8
20200604,213,132.4,8,5.6
20200605,319,134.2,4,5.7
20200606,128,133.5,5,5.8
20200607,140,134.0,4,5.9
20200608,122,132.8,4,5.8
20200609,43,131.8,4,5.7
20200610,145,133.6,6,5.5
20200611,117,137.0,10,5.4
20200612,159,137.8,0,5.2
20200613,95,134.0,11,5.2
20200614,102,135.7,4,5.0
20200615,122,135.2,5,4.9
20200616,88,130.3,7,4.9
20200617,132,134.2,5,4.7
20200618,88,136.6,4,4.6
20200619,107,139.0,8,4.4
20200620,170,144.9,2,4.4
20200621,135,144.1,3,4.3
20200622,129,150.1,0,4.0
20200623,144,154.8,7,4.1
20200624,152,163.9,4,3.9
20200625,202,168.2,5,3.8
20200626,216,174.4,4,3.6
20200627,211,180.7,2,3.4
20200628,190,188.2,1,3.6
20200629,173,195.1,1,3.7
20200630,165,204.2,4,3.6
20200701,129,206.8,3,3.7
20200702,244,212.5,3,3.6
20200703,256,218.9,8,3.6
20200704,287,222.7,2,3.6
20200705,193,231.0,0,3.7
20200706,251,235.5,2,3.7
20200707,220,240.4,4,3.6
20200708,290,243.7,8,3.7
20200709,234,245.8,6,3.8
20200710,298,249.2,6,4.0
20200711,224,255.7,4,4.3
20200712,255,264.4,2,4.3
20200713,263,268.7,3,4.4
20200714,223,271.4,3,4.3
20200715,327,272.6,6,4.5
20200716,297,275.5,5,4.8
20200717,318,285.5,3,5.0
20200718,280,288.8,4,5.1
20200719,235,291.4,2,5.0
20200720,244,292.2,7,4.9
20200721,302,288.1,10,4.9
20200722,311,286.8,3,5.1
20200723,335,285.1,5,5.2
20200724,312,278.0,5,5.1
20200725,313,277.4,6,5.1
20200726,254,272.6,7,5.2
20200727,460,268.3,5,5.1
20200728,289,262.3,7,5.2
20200729,345,256.1,6,5.3
20200730,252,254.5,3,5.4
20200731,212,249.0,7,5.3
20200801,196,244.1,9,5.0
20200802,220,237.5,3,5.0
20200803,114,229.7,1,4.8
20200804,210,223.1,3,4.9
20200805,226,215.0,9,5.0
20200806,207,207.9,2,4.8
20200807,192,190.4,6,4.7
20200808,150,180.4,6,4.6
20200809,200,172.0,4,4.6
20200810,129,169.7,5,4.7
20200811,199,166.4,3,4.6
20200812,173,167.0,2,4.4
20200813,171,161.0,2,4.3
20200814,173,162.5,6,4.5
20200815,142,155.5,8,4.5
20200816,106,150.8,3,4.2
20200817,92,149.9,4,4.5
20200818,79,146.5,5,4.4
20200819,170,145.9,6,4.2
20200820,202,141.3,5,4.0
20200821,144,138.5,5,4.2
20200822,207,134.1,4,4.5
20200823,94,133.1,2,4.5
20200824,146,134.5,4,4.5
20200825,64,130.6,3,4.3
20200826,126,130.8,3,4.2
20200827,188,128.5,9,4.2
20200828,122,125.9,3,4.2
20200829,136,123.9,2,4.1
20200830,105,120.0,1,4.0
20200831,69,118.0,9,3.9
20200901,108,117.5,8,3.8
20200902,152,112.3,3,3.7
20200903,200,112.6,1,3.7
20200904,90,109.5,3,3.7
20200905,146,110.3,6,3.7
20200906,59,110.0,3,3.7
20200907,37,108.5,4,3.4
20200908,37,109.9,0,3.5
20200909,87,111.1,6,3.7
20200910,161,109.3,3,3.8
20200911,134,111.0,2,3.4
20200912,98,111.0,3,3.2
20200913,100,113.1,2,3.2
20200914,81,114.9,0,3.2
20200915,81,123.1,7,3.4
20200916,118,125.9,2,3.3
20200917,158,130.3,4,3.2
20200918,151,135.3,5,3.1
20200919,162,141.7,6,3.1
20200920,67,150.8,2,3.0
20200921,104,153.9,2,3.1
20200922,107,163.7,3,3.3
20200923,197,173.1,3,3.3
20200924,237,177.0,2,3.3
20200925,263,180.5,6,3.2
20200926,205,191.6,5,3.1
20200927,152,206.2,0,3.0
20200928,141,217.0,3,3.0
20200929,172,232.9,2,2.9
20200930,278,248.1,2,2.9
20201001,226,257.3,5,3.0
20201002,339,270.4,5,3.0
20201003,296,282.0,3,3.0
20201004,181,300.1,2,3.0
20201005,155,320.7,2,3.0
20201006,315,346.8,0,3.0
20201007,425,364.3,2,2.8
20201008,384,378.3,3,3.0
20201009,485,396.0,3,3.0
20201010,481,416.1,5,3.2
20201011,261,441.9,4,3.5
20201012,379,462.7,4,3.4
20201013,351,484.2,3,3.5
20201014,577,511.6,3,3.6
20201015,668,542.2,1,3.6
20201016,812,569.2,6,3.9
20201017,573,582.0,1,4.0
20201018,445,593.0,5,4.5
20201019,514,626.1,1,4.5
20201020,594,650.9,7,5.0
20201021,819,655.6,8,5.3
20201022,662,678.5,3,5.5
20201023,791,702.0,7,5.8
20201024,872,739.4,5,6.0
20201025,823,760.0,2,6.6
20201026,723,769.1,9,7.6
20201027,583,791.6,4,7.6
20201028,657,825.1,11,8.3
20201029,1078,861.6,3,8.8
20201030,1005,904.1,13,9.3
20201031,581,935.8,11,9.6
20201101,742,967.6,8,9.9
20201102,872,1019.0,10,10.6
20201103,1136,1039.9,9,11.3
20201104,1011,1053.9,14,11.6
20201105,859,1063.7,23,11.8
20201106,1284,1089.0,6,12.4
20201107,1277,1161.4,16,13.5
20201108,1210,1267.9,14,14.2
20201109,1408,1391.0,12,14.7
20201110,1258,1485.2,14,15.1
20201111,1487,1569.0,14,15.8
20201112,1742,1650.7,18,17.0
20201113,1230,1716.4,22,17.3
20201114,1165,1762.2,10,18.2
20201115,1030,1802.4,7,18.7
20201116,1253,1842.2,21,18.4
20201117,2105,1879.0,28,19.8
20201118,2892,1919.6,26,20.1
20201119,3665,1930.3,12,20.1
20201120,2982,1943.1,23,20.9
20201121,2342,1993.9,25,21.2
20201122,2456,1996.6,33,22.4
20201123,2252,2004.1,17,23.7
20201124,2099,2044.2,28,24.2
20201125,1855,2080.2,23,25.2
20201126,1694,2089.9,18,25.4
20201127,2056,2118.7,35,24.8
20201128,2130,2090.0,23,25.0
20201129,1435,2023.8,13,25.4
20201130,1678,1934.0,28,25.9
20201201,2324,1879.4,21,26.9
20201202,1544,1853.2,40,26.8
20201203,1899,1805.0,44,27.3
20201204,2073,1769.1,33,27.5
20201205,1921,1729.0,32,27.5
20201206,1232,1726.4,11,28.5
20201207,1859,1726.1,7,30.2
20201208,0,1697.5,0,29.7
20201209,3003,1664.2,67,29.9
20201210,1781,1646.5,23,30.0
20201211,1834,1605.4,43,29.1
20201212,1793,1555.0,24,29.2
20201213,1442,1537.1,44,29.2
20201214,1499,1538.3,21,28.5
20201215,1258,1508.9,28,28.6
20201216,1800,1446.2,43,27.5
20201217,1688,1422.9,54,28.4
20201218,1455,1367.2,25,29.8
20201219,1430,1353.7,27,29.2
20201220,1063,1344.6,16,29.2
20201221,815,1339.7,9,30.0
20201222,1267,1313.2,23,29.2
20201223,1167,1286.7,40,29.6
20201224,1924,1266.4,29,28.3
20201225,1456,1238.9,35,28.4
20201226,604,1235.3,9,28.0
20201227,742,1220.3,30,28.2
20201228,691,1227.3,36,27.5
20201229,1216,1236.0,21,27.7
20201230,1311,1239.2,33,27.5
20201231,1678,1245.9,41,27.5
20210101,1278,1251.4,25,27.8
20210102,1237,1233.3,32,28.1
20210103,1015,1232.2,17,26.9
20210104,921,1208.4,23,26.9
20210105,1184,1199.2,20,27.0
20210106,1485,1222.2,47,28.3
20210107,1835,1222.3,39,27.9
20210108,1637,1219.2,30,27.4
20210109,1498,1194.2,22,27.2
20210110,1203,1173.8,17,27.3
20210111,930,1140.9,15,27.0
20210112,887,1123.3,30,27.4
