YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,1525,1502.6,79,92.0
20200521,2088,1485.3,109,91.8
20200522,1696,1459.9,112,93.9
20200523,1772,1453.0,173,92.6
20200524,1589,1432.6,110,91.3
20200525,1249,1412.3,89,94.5
20200526,1072,1393.3,73,93.7
20200527,1129,1375.9,176,92.0
20200528,1768,1342.9,45,92.7
20200529,1551,1306.1,112,91.0
20200530,1376,1268.4,65,89.2
20200531,1110,1227.9,74,89.2
20200601,941,1163.5,123,85.9
20200602,1329,1121.9,52,89.0
20200603,1045,1081.1,51,82.5
20200604,1048,1038.5,147,78.7
20200605,1075,1008.6,62,76.0
20200606,1108,987.6,44,75.0
20200607,781,960.8,92,68.0
20200608,702,906.0,43,67.5
20200609,683,870.1,42,64.1
20200610,674,838.7,80,64.2
20200611,736,817.4,38,62.7
20200612,822,798.9,178,59.2
20200613,916,764.0,37,59.4
20200614,694,742.0,30,58.2
20200615,620,727.7,33,53.3
20200616,631,714.9,50,52.3
20200617,567,695.6,30,51.4
20200618,618,687.7,35,48.4
20200619,796,695.4,41,46.7
20200620,716,665.3,66,74.6
20200621,664,663.0,42,71.3
20200622,552,669.6,51,70.5
20200623,597,674.2,56,65.5
20200624,581,665.1,25,64.7
20200625,749,657.5,44,65.6
20200626,805,652.6,41,64.6
20200627,703,650.6,26,63.4
20200628,616,656.5,29,62.3
20200629,864,654.9,6,62.2
20200630,51,654.4,629,62.4
20200701,625,655.1,10,59.9
20200702,875,655.7,21,58.2
20200703,918,656.0,73,57.9
20200704,726,671.0,20,55.9
20200705,533,682.9,49,55.6
20200706,518,683.8,13,54.4
20200707,588,682.4,24,53.2
20200708,692,684.9,8,52.6
20200709,584,679.4,32,52.0
20200710,786,663.0,46,52.3
20200711,730,701.3,12,23.0
20200712,677,705.1,7,24.3
20200713,557,702.0,45,25.0
20200714,912,694.2,13,21.7
20200715,831,695.3,19,21.3
20200716,769,695.5,19,20.0
20200717,776,699.8,17,20.1
20200718,754,697.2,13,19.3
20200719,502,698.3,17,19.2
20200720,519,707.5,11,18.8
20200721,855,700.7,14,16.9
20200722,705,701.8,38,16.6
20200723,811,694.9,36,17.0
20200724,753,694.3,2,15.3
20200725,750,686.4,12,15.0
20200726,536,677.1,22,15.4
20200727,608,674.0,15,14.6
20200728,534,671.0,8,14.0
20200729,715,668.6,5,13.8
20200730,777,669.2,24,13.2
20200731,644,667.1,6,13.0
20200801,753,658.2,5,12.7
20200802,531,658.0,16,11.3
20200803,545,654.4,9,10.0
20200804,746,653.2,6,11.0
20200805,636,652.4,29,10.7
20200806,703,655.8,2,10.0
20200807,714,646.3,4,9.5
20200808,703,652.0,8,9.7
20200809,515,648.0,6,9.8
20200810,476,639.7,7,8.5
20200811,667,642.8,6,8.4
20200812,700,638.0,10,8.5
20200813,737,640.0,8,8.3
20200814,727,633.4,22,8.0
20200815,734,627.9,6,9.2
20200816,607,624.5,7,8.0
20200817,408,628.7,6,8.1
20200818,655,625.0,11,8.3
20200819,631,621.8,8,8.1
20200820,601,630.5,-3,8.5
20200821,709,753.2,3,8.4
20200822,653,750.2,7,8.6
20200823,572,747.7,12,8.4
20200824,408,756.3,4,8.2
20200825,629,763.1,31,7.4
20200826,566,767.2,3,7.4
20200827,791,773.3,5,7.4
20200828,636,780.9,8,7.5
20200829,635,773.6,4,7.6
20200830,698,771.8,13,7.4
20200831,3054,774.7,6,7.6
20200901,603,790.0,9,7.5
20200902,648,803.0,6,7.3
20200903,917,815.5,4,6.9
20200904,870,827.6,6,6.9
20200905,820,830.4,5,5.8
20200906,736,836.0,0,5.8
20200907,567,847.2,15,6.9
20200908,502,856.5,14,7.2
20200909,592,869.2,4,6.8
20200910,662,876.5,0,6.5
20200911,1031,761.3,0,9.6
20200912,926,760.6,4,14.1
20200913,834,756.9,0,13.9
20200914,662,765.6,7,14.0
20200915,689,771.8,8,14.3
20200916,684,788.6,4,14.2
20200917,1025,802.7,27,14.2
20200918,831,821.9,15,14.3
