YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,1023,422.6,33,27.0
20200521,250,468.3,2,25.8
20200522,1598,505.2,47,24.7
20200523,754,524.2,3,23.8
20200524,501,582.3,6,24.0
20200525,692,618.9,6,22.8
20200526,398,675.4,11,21.6
20200527,461,741.7,43,20.7
20200528,884,783.3,32,19.3
20200529,1085,824.3,43,18.1
20200530,909,856.6,10,17.9
20200531,991,867.2,8,17.3
20200601,807,908.2,11,18.0
20200602,431,919.4,13,16.5
20200603,1253,951.5,38,16.6
20200604,799,995.2,7,16.6
20200605,1220,1002.7,9,16.7
20200606,1423,1021.5,13,17.5
20200607,907,1048.5,4,16.0
20200608,892,1065.1,9,15.1
20200609,710,1101.6,27,13.5
20200610,1246,1123.6,22,13.6
20200611,1111,1143.6,16,13.6
20200612,1833,1160.6,15,15.7
20200613,1428,1172.2,6,16.0
20200614,1419,1202.4,5,15.5
20200615,850,1209.4,8,15.7
20200616,793,1231.6,29,15.9
20200617,1027,1242.6,12,15.5
20200618,1234,1267.8,13,15.2
20200619,1850,1296.1,9,15.0
20200620,1372,1338.1,12,14.9
20200621,1411,1346.6,8,14.7
20200622,1163,1363.4,55,14.4
20200623,675,1373.6,18,14.2
20200624,1888,1372.6,29,14.0
20200625,945,1368.0,11,13.9
20200626,1686,1412.4,12,13.9
20200627,1654,1446.8,5,13.2
20200628,1436,1464.4,-1,13.4
20200629,1488,1499.4,5,13.5
20200630,1591,1524.5,23,14.0
20200701,1424,1548.4,18,14.2
20200702,1465,1570.0,11,14.2
20200703,2046,1605.0,10,12.0
20200704,1408,1683.9,3,13.1
20200705,1322,1681.4,1,12.6
20200706,1783,1725.5,9,12.9
20200707,1515,1733.9,14,13.1
20200708,1397,1775.2,16,14.0
20200709,1969,1788.3,15,14.3
20200710,2376,1785.5,20,15.2
20200711,1874,1804.2,16,15.5
20200712,1865,1834.5,9,15.9
20200713,1898,1852.8,7,16.5
20200714,2331,1879.3,42,17.6
20200715,1837,1892.9,18,18.5
20200716,1871,1902.1,18,18.8
20200717,1862,1911.5,16,19.3
20200718,2522,1924.3,25,19.7
20200719,1711,1938.1,4,20.3
20200720,1428,1946.5,25,21.2
20200721,1985,1917.4,28,21.2
20200722,2060,1909.5,27,22.2
20200723,1849,1883.8,24,22.0
20200724,2603,1902.9,33,24.5
20200725,1693,1843.6,22,23.3
20200726,1516,1804.6,6,23.6
20200727,1979,1814.0,21,24.7
20200728,1784,1798.4,22,25.6
20200729,1687,1755.0,28,25.5
20200730,2145,1740.1,34,25.7
20200731,1766,1730.0,20,24.9
20200801,1708,1691.8,37,25.4
20200802,1324,1641.1,4,26.1
20200803,2300,1604.7,60,25.3
20200804,1085,1544.9,18,25.0
20200805,1018,1537.3,24,25.3
20200806,2069,1524.5,41,25.2
20200807,1535,1457.1,34,24.3
20200808,1611,1432.3,24,25.5
20200809,1398,1406.6,8,25.9
20200810,1216,1398.7,7,25.9
20200811,1181,1410.1,39,26.3
20200812,996,1411.1,42,25.8
20200813,1085,1418.2,7,26.1
20200814,1346,1369.8,26,23.4
20200815,1534,1382.2,30,24.2
20200816,1248,1393.0,4,24.8
20200817,564,1394.0,1,24.0
20200818,1263,1388.3,48,23.4
20200819,1146,1434.7,35,23.8
20200820,1979,1418.1,34,23.8
20200821,2006,1416.5,29,24.0
