YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,101,56.7,4,2.6
20200521,134,54.8,2,2.5
20200522,88,54.0,1,2.4
20200523,48,52.0,0,2.3
20200524,53,50.6,1,2.1
20200525,39,48.9,1,2.0
20200526,-35,47.8,0,2.0
20200527,17,48.1,2,1.9
20200528,42,47.3,1,1.7
20200529,39,45.2,2,1.5
20200530,34,43.2,1,1.3
20200531,23,40.3,1,1.1
20200601,48,35.8,0,1.1
20200602,21,33.3,4,1.0
20200603,33,33.0,1,1.0
20200604,27,31.5,0,1.0
20200605,39,30.7,5,1.0
20200606,71,33.4,1,0.9
20200607,45,34.6,0,0.9
20200608,19,33.9,0,0.9
20200609,21,33.6,0,0.8
20200610,40,33.2,1,0.8
20200611,39,33.9,1,0.8
20200612,36,32.8,0,0.7
20200613,42,32.1,0,0.6
20200614,22,32.5,0,0.6
20200615,21,32.7,0,0.5
20200616,23,32.2,0,0.3
20200617,42,30.6,0,0.3
20200618,27,30.2,1,0.3
20200619,33,31.4,1,0.3
20200620,25,32.1,0,0.3
20200621,37,32.1,1,0.3
20200622,25,32.2,0,0.3
20200623,7,33.6,1,0.3
20200624,42,34.3,0,0.3
20200625,31,35.0,0,0.3
20200626,28,35.6,0,0.3
20200627,37,36.9,0,0.5
20200628,37,38.3,1,0.5
20200629,44,41.8,0,0.5
20200630,37,44.2,0,0.4
20200701,39,47.2,1,0.5
20200702,42,49.8,0,0.5
20200703,65,53.8,0,0.5
20200704,57,55.9,0,0.5
20200705,37,57.3,0,0.5
20200706,33,60.7,0,0.5
20200707,49,65.3,4,0.6
20200708,73,69.0,1,0.6
20200709,100,72.6,0,0.6
20200710,84,75.6,0,0.7
20200711,88,77.7,2,0.7
20200712,91,83.4,0,0.8
20200713,108,87.4,0,0.8
20200714,51,90.1,1,0.9
20200715,72,93.2,0,0.9
20200716,103,98.1,1,0.9
20200717,124,101.8,1,0.9
20200718,115,106.8,0,0.8
20200719,112,107.4,2,0.8
20200720,107,106.2,1,0.9
20200721,81,110.2,1,0.9
20200722,160,112.3,2,0.8
20200723,126,110.8,1,0.9
20200724,121,111.6,2,0.9
20200725,122,116.2,0,0.9
20200726,140,118.7,0,1.0
20200727,110,119.5,0,1.0
20200728,155,120.7,1,1.0
20200729,86,123.9,2,1.0
20200730,74,122.7,1,1.0
20200731,168,123.2,0,1.0
20200801,133,127.5,0,1.1
20200802,58,124.0,2,1.1
20200803,125,127.5,0,1.1
20200804,148,129.0,2,1.0
20200805,124,129.0,1,1.1
20200806,120,129.1,1,1.2
20200807,150,126.7,1,1.3
20200808,181,125.8,2,1.3
20200809,88,130.5,0,1.3
20200810,117,140.0,1,1.3
20200811,172,143.1,5,1.4
20200812,85,149.2,2,1.5
20200813,201,153.1,0,1.5
20200814,151,153.1,1,1.5
20200815,122,157.0,0,1.5
20200816,143,162.4,4,1.4
20200817,60,172.5,1,1.4
20200818,135,180.1,2,1.4
20200819,186,189.3,2,1.4
20200820,274,195.5,0,1.4
20200821,232,195.4,2,1.4
20200822,262,196.0,3,1.3
20200823,140,204.6,1,1.3
20200824,124,212.3,1,1.4
20200825,229,221.5,1,1.5
20200826,238,232.9,0,1.5
20200827,333,240.2,1,1.5
20200828,310,245.4,0,1.4
20200829,374,242.4,2,1.3
20200830,218,244.9,1,1.3
20200831,114,247.7,1,1.4
20200901,184,248.1,2,1.5
20200902,267,257.9,3,1.5
20200903,362,271.5,2,1.5
20200904,344,277.7,0,1.6
20200905,361,277.9,5,1.6
20200906,297,279.3,1,1.9
20200907,170,282.0,0,2.0
20200908,71,291.4,0,2.1
20200909,238,291.6,1,2.4
20200910,333,297.9,3,2.4
20200911,241,306.1,4,2.4
20200912,467,309.9,3,2.4
20200913,426,319.7,1,2.6
20200914,254,324.9,2,2.9
20200915,233,329.1,2,3.2
20200916,269,335.5,5,3.4
20200917,390,337.8,5,3.6
20200918,507,342.0,2,3.7
20200919,377,358.5,8,4.0
20200920,351,368.4,0,4.2
20200921,286,370.2,1,4.6
20200922,264,381.4,3,4.8
20200923,473,380.1,7,5.0
20200924,470,379.7,8,5.0
20200925,434,382.4,8,5.1
20200926,495,395.2,8,5.1
20200927,344,405.9,4,6.0
20200928,259,412.4,3,6.1
20200929,418,419.5,5,6.5
20200930,445,429.5,7,6.9
20201001,372,443.1,10,6.9
20201002,476,452.0,8,7.2
20201003,440,463.6,7,7.7
20201004,416,474.6,3,7.7
20201005,312,485.8,3,7.6
20201006,502,506.3,3,8.0
20201007,493,518.1,24,8.2
20201008,527,535.9,6,8.2
20201009,655,555.0,11,8.3
20201010,588,584.0,15,8.2
20201011,637,586.6,1,8.4
20201012,472,611.1,8,8.3
20201013,508,630.7,12,8.4
20201014,703,654.3,8,8.4
20201015,706,674.7,5,8.7
20201016,864,684.7,18,8.8
20201017,744,703.1,11,9.3
20201018,717,716.7,5,8.8
20201019,659,749.8,4,9.0
20201020,1029,783.0,4,9.1
20201021,499,823.3,10,9.0
20201022,887,846.6,9,9.2
20201023,887,870.4,9,9.3
20201024,935,902.0,8,9.4
20201025,845,921.6,8,9.6
20201026,522,961.1,5,10.8
20201027,889,1004.0,15,10.7
20201028,777,1044.9,12,10.9
20201029,1223,1063.2,11,11.2
20201030,1353,1086.7,13,11.2
20201031,1433,1080.3,12,12.5
