YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,484,526.7,29,28.6
20200521,731,525.9,37,28.6
20200522,627,524.6,32,28.7
20200523,614,518.3,43,28.3
20200524,503,515.6,27,28.3
20200525,566,515.2,27,28.0
20200526,529,514.2,20,27.4
20200527,433,507.3,26,27.1
20200528,476,501.0,21,26.2
20200529,651,494.4,27,25.6
20200530,467,486.2,21,24.9
20200531,480,482.8,30,24.1
20200601,471,468.4,30,23.0
20200602,366,458.6,21,22.7
20200603,442,449.7,29,21.6
20200604,490,439.9,22,21.2
20200605,476,433.3,17,20.6
20200606,353,428.8,23,20.0
20200607,365,427.8,11,19.4
20200608,361,438.4,16,19.0
20200609,325,436.4,14,18.6
20200610,413,439.4,13,18.0
20200611,429,442.6,13,16.9
20200612,420,454.9,25,16.2
20200613,427,465.6,21,15.8
20200614,297,474.6,19,14.8
20200615,428,493.8,14,14.2
20200616,434,518.1,8,14.0
20200617,412,540.2,13,13.6
20200618,700,563.5,13,13.9
20200619,609,581.4,17,13.9
20200620,530,601.3,8,13.5
20200621,547,632.9,7,13.7
20200622,729,669.4,17,13.6
20200623,590,706.3,12,13.0
20200624,632,730.1,8,12.6
20200625,892,762.0,9,12.4
20200626,987,780.0,14,12.4
20200627,817,804.5,14,12.7
20200628,854,845.7,17,12.7
20200629,737,867.1,16,13.0
20200630,743,910.7,6,13.0
20200701,1076,950.1,17,13.6
20200702,0,989.7,11,13.9
20200703,2392,1015.0,13,13.7
20200704,926,1041.3,12,13.8
20200705,967,1073.9,15,14.0
20200706,806,1092.9,13,14.5
20200707,948,1125.8,15,14.5
20200708,1277,1160.3,12,15.0
20200709,1150,1172.5,20,15.6
20200710,1525,1196.3,17,16.0
20200711,1358,1210.8,20,16.3
20200712,1378,1232.2,14,16.7
20200713,1261,1244.0,13,17.3
20200714,1142,1261.4,13,18.0
20200715,1316,1285.8,12,18.9
20200716,1290,1282.0,21,19.1
20200717,1679,1296.2,14,19.6
20200718,1541,1314.0,24,20.4
20200719,1111,1319.6,29,21.4
20200720,1236,1347.4,24,21.7
20200721,1047,1347.8,13,22.0
20200722,1527,1327.3,26,21.8
20200723,1444,1306.6,23,22.2
20200724,1560,1291.0,29,22.5
20200725,1438,1291.0,30,22.6
20200726,889,1285.4,19,23.2
20200727,1104,1279.5,24,23.4
20200728,1320,1256.9,31,24.0
20200729,1396,1245.1,34,23.7
20200730,1733,1234.1,26,23.4
20200731,1533,1217.3,24,23.4
20200801,928,1219.6,14,24.0
20200802,944,1214.6,23,23.6
20200803,932,1201.9,19,23.9
20200804,1143,1181.5,16,23.8
20200805,1199,1166.2,24,23.3
20200806,1166,1153.0,25,23.3
20200807,1204,1137.4,26,22.9
20200808,1294,1114.9,18,22.5
20200809,879,1094.7,23,22.0
20200810,883,1065.6,25,21.9
20200811,1095,1042.2,24,22.2
20200812,1422,1051.3,19,22.8
20200813,1178,1036.7,29,23.0
20200814,1131,1032.8,27,23.2
20200815,1117,1018.5,19,23.7
20200816,613,1013.3,20,23.6
20200817,775,1017.0,15,23.5
20200818,848,1021.4,23,23.5
20200819,971,1016.7,23,23.5
20200820,1122,1019.6,24,23.4
20200821,1043,1020.2,30,23.4
20200822,1119,1037.1,26,23.4
20200823,637,1024.7,29,23.7
20200824,849,1032.7,23,23.4
20200825,844,1042.2,25,22.8
20200826,1089,1052.9,23,22.9
20200827,1244,1060.5,23,22.9
20200828,1296,1060.7,25,23.0
20200829,1196,1051.5,19,22.7
20200830,940,1051.6,21,22.6
20200831,895,1051.6,24,22.4
20200901,1451,1061.0,25,22.0
20200902,1161,1066.8,25,21.9
20200903,1345,1076.3,22,21.3
20200904,1332,1087.3,15,21.0
20200905,1341,1094.8,20,20.4
20200906,773,1092.1,20,19.9
20200907,778,1083.7,17,19.9
20200908,656,1070.1,17,19.9
20200909,973,1058.4,21,19.3
20200910,1121,1050.0,20,18.9
20200911,1240,1048.1,23,18.5
20200912,1242,1011.6,22,18.2
20200913,837,999.3,18,18.0
20200914,1079,982.5,17,17.9
20200915,1001,973.8,12,18.3
