YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,43,87.6,6,4.8
20200521,148,86.9,5,4.6
20200522,169,86.3,3,4.3
20200523,111,87.6,4,4.2
20200524,77,88.7,0,4.0
20200525,53,89.2,2,3.9
20200526,48,89.6,5,3.6
20200527,91,87.8,4,3.4
20200528,44,87.8,3,3.2
20200529,65,86.0,4,3.0
20200530,80,89.2,5,2.9
20200531,0,92.9,0,2.7
20200601,155,92.7,0,2.6
20200602,119,95.2,5,2.5
20200603,113,100.6,2,2.3
20200604,102,104.5,3,2.3
20200605,100,110.8,1,2.3
20200606,52,119.4,2,2.1
20200607,91,127.4,1,2.0
20200608,55,146.8,0,2.0
20200609,158,160.4,6,1.8
20200610,120,172.4,2,1.6
20200611,143,191.5,2,1.6
20200612,223,198.1,2,1.6
20200613,224,206.6,-1,1.5
20200614,158,224.0,0,1.5
20200615,186,240.0,0,1.5
20200616,228,254.3,4,1.5
20200617,259,266.0,1,1.8
20200618,451,276.0,2,1.8
20200619,352,284.3,1,1.7
20200620,331,304.5,1,1.6
20200621,478,316.0,1,1.6
20200622,218,328.8,0,1.8
20200623,297,343.8,2,1.8
20200624,479,360.7,1,1.9
20200625,438,366.7,3,1.8
20200626,399,378.3,2,1.8
20200627,299,408.3,7,2.0
20200628,301,428.1,1,2.0
20200629,228,435.3,0,2.1
20200630,582,446.9,2,2.3
20200701,362,463.9,2,2.5
20200702,412,462.8,6,2.5
20200703,538,476.8,3,2.6
20200704,579,510.0,0,2.7
20200705,283,538.3,0,2.9
20200706,431,547.2,1,3.0
20200707,858,561.6,5,3.2
20200708,674,591.0,3,3.2
20200709,603,586.6,3,3.1
20200710,595,583.9,6,3.1
20200711,687,598.5,5,3.5
20200712,456,627.6,1,4.0
20200713,511,639.9,2,3.9
20200714,994,668.9,4,4.1
20200715,1074,687.3,4,4.7
20200716,626,731.1,6,4.9
20200717,700,777.3,7,5.0
20200718,917,788.3,6,5.0
20200719,209,796.6,0,5.5
20200720,170,821.1,1,6.0
20200721,890,828.3,9,6.0
20200722,972,854.9,13,6.1
20200723,671,856.7,3,6.1
20200724,1147,850.3,7,6.0
20200725,965,844.0,12,6.6
20200726,1204,845.2,0,7.2
20200727,1400,855.3,0,7.4
20200728,1090,862.6,13,7.4
20200729,848,858.2,14,7.2
20200730,1117,871.4,13,7.3
20200731,747,882.2,5,7.3
20200801,1244,876.3,8,7.5
20200802,494,861.9,1,7.3
20200803,377,863.5,1,7.7
20200804,861,846.7,15,7.6
20200805,1101,843.7,17,7.7
20200806,837,812.2,10,7.7
20200807,854,763.1,7,7.7
20200808,825,739.9,3,8.1
20200809,486,728.6,0,8.4
20200810,397,710.9,2,8.2
20200811,765,726.6,13,8.3
20200812,670,708.0,9,8.4
20200813,705,711.4,11,8.4
20200814,794,710.5,6,8.5
20200815,901,700.4,13,8.5
20200816,544,679.7,4,8.6
20200817,369,673.8,4,8.8
20200818,601,666.9,14,8.9
20200819,611,679.7,20,9.2
20200820,746,693.0,10,9.3
20200821,1077,703.3,6,9.3
20200822,853,698.6,10,9.0
20200823,566,701.0,1,9.2
20200824,357,710.7,4,9.4
20200825,650,721.1,14,9.6
20200826,666,732.8,19,9.2
20200827,712,726.9,15,9.1
20200828,710,738.5,8,9.0
20200829,1093,749.6,11,8.3
20200830,766,762.2,2,7.8
20200831,614,763.4,1,8.0
20200901,665,757.0,8,8.2
20200902,720,764.8,13,8.3
20200903,909,770.9,14,8.5
20200904,1013,795.3,11,8.5
20200905,1147,816.3,4,8.0
20200906,420,830.8,3,7.7
20200907,613,846.1,0,7.2
20200908,833,871.8,1,7.3
20200909,876,878.6,9,7.0
20200910,771,889.9,13,7.0
20200911,942,913.1,12,7.0
20200912,1017,936.9,11,7.3
20200913,695,954.4,6,7.1
20200914,869,962.7,0,7.0
20200915,1091,975.2,7,7.0
20200916,970,967.8,12,7.3
20200917,1034,987.0,6,7.3
20200918,1249,998.8,9,7.3
20200919,1237,1007.9,4,7.8
20200920,1003,1012.9,3,8.0
20200921,1101,1031.9,2,7.6
20200922,1164,1043.7,14,7.4
20200923,1089,1051.9,8,7.2
20200924,1083,1048.1,11,7.0
20200925,1276,1036.1,12,7.0
20200926,990,1049.1,11,7.3
20200927,823,1050.9,2,7.2
20200928,861,1059.3,1,7.4
20200929,1025,1072.4,11,7.2
20200930,980,1086.5,13,7.2
20201001,1170,1075.2,4,7.2
20201002,1190,1060.8,9,7.4
20201003,1189,1067.7,7,7.5
20201004,0,1069.2,0,7.7
20201005,1234,1075.8,4,7.7
20201006,1364,1085.1,11,7.7
20201007,1006,1093.2,9,7.5
20201008,1212,1093.6,10,7.9
20201009,1524,1089.5,6,7.9
20201010,1533,1110.9,4,8.2
20201011,766,1126.5,3,8.5
20201012,797,1148.3,6,8.9
20201013,1309,1157.0,15,9.0
20201014,1122,1187.5,13,9.2
20201015,1221,1208.1,11,9.3
20201016,1472,1210.3,11,9.3
20201017,1160,1193.5,8,9.9
20201018,831,1181.0,9,10.0
20201019,774,1172.8,2,10.5
20201020,1475,1162.2,18,11.2
20201021,1307,1149.6,19,11.5
20201022,1628,1177.3,11,11.8
20201023,1373,1191.0,13,11.9
20201024,1829,1192.0,11,12.2
20201025,1051,1198.0,4,12.4
20201026,663,1239.9,2,12.9
20201027,1010,1259.2,22,13.1
20201028,743,1311.2,13,12.9
20201029,1041,1379.0,20,12.7
20201030,1302,1446.8,20,12.9
20201031,1267,1457.6,11,12.4
20201101,1349,1499.0,8,12.4
20201102,1084,1533.7,9,12.4
20201103,1331,1595.3,21,12.3
20201104,1246,1643.8,17,12.9
20201105,2101,1780.6,21,13.3
20201106,1878,1879.0,16,13.7
20201107,0,1904.7,0,12.9
20201108,4507,2013.0,9,13.5
20201109,2197,2102.2,6,13.4
20201110,1702,2179.3,7,13.2
20201111,2177,2293.4,19,13.7
20201112,2357,2391.4,11,13.8
20201113,2667,2508.5,12,14.0
20201114,2847,2575.4,23,13.8
20201115,3923,2693.8,12,13.7
20201116,2729,2670.5,10,13.3
20201117,1551,2657.9,6,13.1
20201118,3017,2848.6,26,13.5
20201119,2915,2823.2,18,14.2
20201120,2921,2823.3,15,14.2
20201121,3663,2825.0,21,14.6
20201122,3406,2857.5,10,16.3
20201123,3544,2826.5,15,16.9
20201124,2736,2929.4,15,17.5
20201125,3732,3001.9,16,17.0
20201126,0,2969.4,0,17.5
20201127,3225,2930.1,24,17.8
20201128,6257,2965.6,13,18.0
20201129,1721,2931.8,19,17.9
20201130,2200,2910.1,7,18.7
20201201,1737,2957.0,15,19.2
20201202,2859,2972.3,54,19.9
20201203,1707,3016.8,24,20.5
20201204,4827,2948.4,24,20.1
20201205,4370,2924.7,14,20.1
20201206,3241,2901.4,22,21.3
20201207,1903,2966.7,15,21.5
20201208,2297,3059.7,11,21.8
20201209,2307,2958.0,23,22.5
20201210,2460,3113.8,35,22.7
20201211,3904,3133.4,27,22.6
20201212,3986,3155.5,35,23.0
20201213,4339,3194.1,22,22.4
20201214,2108,3269.4,8,23.4
20201215,2238,3134.1,14,23.0
20201216,3244,3020.7,42,23.0
20201217,2983,2992.3,16,22.6
20201218,3566,3067.3,17,22.5
20201219,4120,3015.8,28,23.0
20201220,4993,3061.9,23,24.2
20201221,2612,3131.2,6,24.2
20201222,2201,3067.6,22,23.9
20201223,3670,3000.0,43,23.1
20201224,3288,3175.9,45,23.0
20201225,0,3204.8,0,22.9
20201226,3975,3170.1,29,23.1
20201227,2645,3173.9,13,24.0
20201228,3478,3213.1,13,25.1
20201229,1215,3293.0,22,25.8
20201230,3274,3301.7,48,26.1
20201231,3917,3373.4,36,26.1
20210101,0,3434.9,0,26.5
20210102,5134,3435.9,38,26.9
20210103,8032,3447.8,20,26.9
20210104,2716,3441.1,5,26.4
20210105,1509,3515.3,19,27.8
20210106,3324,3593.6,62,28.3
20210107,3806,3626.3,39,29.4
20210108,5244,3549.0,31,29.1
20210109,4303,3566.2,35,30.1
20210110,6498,3505.8,23,30.1
20210111,3904,3447.9,14,31.0
20210112,2221,3466.7,29,32.3
20210113,3920,3543.2,44,33.5
20210114,3149,3301.3,34,34.9
20210115,3544,3257.0,43,35.3
20210116,3632,3260.9,27,35.8
20210117,3333,3231.7,35,36.0
20210118,1855,3161.4,7,35.8
20210119,1576,3045.1,43,36.6
20210120,2004,2953.8,48,36.5
20210121,2701,2782.0,55,37.4
20210122,2962,2663.4,47,37.6
20210123,4175,2620.1,44,38.0
20210124,2952,2535.3,48,38.4
20210125,1784,2518.5,14,38.0
20210126,1592,2476.9,30,37.4
20210127,2710,2402.1,65,38.5
20210128,2331,2347.8,35,39.3
20210129,2801,2309.8,48,39.2
20210130,2386,2286.2,33,39.7
20210131,2890,2270.4,43,38.8
20210201,1414,2222.6,17,38.5
20210202,1312,2150.0,38,36.8
20210203,2139,2021.4,52,36.3
20210204,2796,1941.7,27,35.5
20210205,2669,1891.6,29,35.6
20210206,2063,1840.3,51,35.1
20210207,2192,1762.7,52,33.4
20210208,1057,1682.0,4,32.8
20210209,1081,1590.4,53,31.5
20210210,1672,1523.4,30,31.0
20210211,1696,1435.6,48,30.2
20210212,1439,1392.6,11,30.4
20210213,1474,1347.6,35,29.8
20210214,1277,1284.6,30,29.0
20210215,732,1206.3,17,29.6
20210216,516,1120.7,20,29.0
20210217,1079,1059.7,28,29.4
20210218,637,989.3,23,29.3
20210219,877,957.5,20,31.5
20210220,979,911.7,23,31.6
20210221,1047,868.0,26,31.3
20210222,511,830.2,22,30.1
20210223,367,805.6,24,30.7
20210224,815,782.6,37,30.1
20210225,1153,744.0,38,29.8
20210226,871,717.9,18,30.0
20210227,781,706.6,59,30.5
20210228,714,694.9,49,29.7
20210301,389,698.1,50,29.2
20210302,119,676.8,56,28.8
20210303,756,660.5,0,28.3
20210304,901,634.5,0,27.6
20210305,923,625.7,0,27.1
20210306,990,619.8,0,26.7
20210307,468,605.1,0,25.3
20210308,183,577.4,0,23.8
20210309,279,556.2,167,23.3
20210310,832,519.2,0,20.8
20210311,706,485.6,0,18.8
20210312,429,513.5,0,16.8
20210313,636,517.3,0,14.4
20210314,501,505.6,0,14.0
20210315,327,480.9,0,13.5
20210316,243,459.5,87,13.1
20210317,506,412.9,0,12.7
20210318,572,391.2,0,12.2
20210319,425,425.0,0,11.8
20210320,5,417.9,0,11.1
20210321,8,397.3,0,11.4
20210322,975,383.9,0,22.5
20210323,199,381.6,0,33.6
20210324,510,351.4,62,44.7
20210325,382,348.7,0,55.8
20210326,474,354.3,0,66.9
20210327,11,281.1,0,77.9
20210328,13,341.0,0,89.2
20210329,891,336.8,0,89.1
20210330,130,336.3,0,89.0
20210331,400,351.4,103,88.8
20210401,424,366.4,0,88.7
20210402,381,335.4,0,88.5
20210403,2,331.1,0,88.4
20210404,0,323.3,0,88.0
20210405,889,322.3,0,87.4
20210406,-1294,312.8,0,86.8
20210407,1764,324.7,1716,86.2
20210408,483,336.6,0,85.7
20210409,416,306.7,0,85.1
20210410,0,304.0,0,84.5
20210411,0,296.3,0,84.0
20210412,968,289.6,0,72.8
20210413,109,286.0,0,61.6
20210414,346,297.4,28,50.4
20210415,362,287.8,0,39.2
20210416,273,278.2,0,28.0
20210417,0,345.3,0,16.8
20210418,0,273.1,0,5.7
20210419,787,263.9,0,5.8
20210420,75,261.9,0,5.9
20210421,238,255.6,19,6.0
20210422,283,249.2,0,6.0
20210423,304,242.8,0,6.1
20210424,0,245.7,0,6.2
20210425,0,239.9,0,6.4
20210426,728,229.7,0,6.6
20210427,115,227.9,0,6.8
20210428,249,226.0,72,7.0
20210429,289,224.0,0,7.2
20210430,374,222.1,0,7.4
20210501,0,222.6,0,7.6
20210502,0,218.1,0,7.7
20210503,567,211.9,0,7.5
20210504,169,204.6,0,7.2
20210505,225,199.9,44,7.0
20210506,148,195.2,0,6.8
20210507,234,190.5,0,6.5
20210508,0,188.4,0,6.3
20210509,0,182.4,0,6.2
20210510,667,176.9,0,8.4
20210511,85,167.9,0,10.7
20210512,143,166.1,46,12.9
20210513,153,164.3,0,15.1
20210514,151,162.7,0,17.4
20210515,0,158.9,0,19.6
20210516,0,153.8,0,21.9
20210517,431,153.3,0,21.7
20210518,71,149.0,0,21.6
20210519,124,144.0,40,21.4
20210520,172,138.9,0,21.3
20210521,185,133.8,0,21.1
20210522,0,135.4,0,21.0
20210523,0,130.6,0,20.9
20210524,458,128.8,0,20.7
20210525,89,128.8,0,20.5
20210526,119,127.3,373,20.3
20210527,137,125.9,0,20.1
20210528,144,124.4,0,19.9
20210529,0,124.8,0,19.7
20210530,0,124.8,0,19.4
20210531,0,122.4,0,17.0
20210601,466,122.1,0,14.7
20210602,42,122.6,25,12.4
20210603,115,123.1,0,10.0
20210604,152,123.6,0,7.7
20210605,0,121.5,0,5.4
20210606,0,126.1,0,3.0
20210607,338,129.6,0,3.0
20210608,80,131.3,0,3.1
20210609,124,133.0,9,3.1
20210610,122,134.6,0,3.2
20210611,178,136.2,0,3.2
20210612,0,138.3,0,3.3
20210613,0,149.0,0,3.2
20210614,490,156.5,0,3.2
20210615,45,159.9,0,3.1
20210616,216,163.8,29,3.1
20210617,209,167.6,0,3.0
20210618,181,171.4,0,3.0
20210619,0,171.7,0,3.0
20210620,0,178.9,0,3.0
20210621,451,188.8,0,2.9
20210622,162,194.7,0,2.8
20210623,265,199.3,30,2.7
20210624,273,204.0,0,2.6
20210625,224,208.5,0,2.5
20210626,0,218.8,0,2.4
20210627,0,215.7,0,2.5
20210628,580,227.5,0,2.3
20210629,85,245.1,0,2.2
20210630,276,257.1,4,2.0
20210701,329,269.2,0,1.9
20210702,303,281.3,0,1.8
20210703,0,303.5,0,1.6
20210704,0,320.9,0,1.6
20210705,0,341.5,0,1.8
20210706,1041,366.5,0,2.0
20210707,151,391.0,18,2.3
20210708,456,415.6,0,2.5
20210709,551,440.1,0,2.8
20210710,0,458.2,0,3.0
20210711,0,502.4,0,3.1
20210712,1211,562.0,0,3.2
20210713,0,604.4,0,3.3
20210714,1259,650.3,11,3.4
20210715,705,696.1,0,3.5
20210716,750,742.0,0,3.6
20210717,0,764.5,0,3.7
20210718,0,827.5,0,3.8
20210719,2126,891.8,0,4.0
20210720,465,950.1,0,4.2
20210721,1203,1019.8,37,4.5
20210722,1581,1089.4,0,4.7
20210723,1194,1159.0,0,5.0
