YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,75,40.4,4,2.5
20200521,16,41.3,1,2.3
20200522,47,42.3,2,2.2
20200523,24,42.0,0,2.1
20200524,39,43.2,1,2.0
20200525,22,44.9,0,1.9
20200526,18,47.6,0,1.8
20200527,71,48.0,0,1.6
20200528,48,48.3,3,1.5
20200529,45,58.8,0,1.3
20200530,54,60.1,2,1.4
20200531,58,60.0,0,1.2
20200601,59,67.6,1,1.2
20200602,33,72.0,3,1.2
20200603,64,77.9,2,1.3
20200604,75,83.0,0,1.4
20200605,96,89.1,2,1.5
20200606,0,101.5,0,1.6
20200607,92,103.8,2,1.7
20200608,260,108.6,1,1.7
20200609,66,116.2,5,1.7
20200610,72,121.8,0,1.7
20200611,177,127.1,2,1.8
20200612,140,132.4,2,1.8
20200613,0,140.0,0,1.7
20200614,0,145.0,0,1.7
20200615,443,147.3,7,1.8
20200616,278,154.7,2,2.0
20200617,120,165.6,1,1.9
20200618,148,175.2,4,1.9
20200619,206,169.7,1,1.9
20200620,0,174.7,0,1.8
20200621,0,184.3,0,1.8
20200622,511,193.2,4,1.8
20200623,191,202.8,0,1.8
20200624,170,209.8,3,1.8
20200625,124,217.1,2,1.8
20200626,250,217.9,5,1.8
20200627,276,214.6,0,1.8
20200628,247,219.0,0,2.0
20200629,144,229.6,2,2.0
20200630,171,232.5,3,2.1
20200701,275,243.3,1,2.1
20200702,363,250.4,1,2.1
20200703,342,255.0,0,2.1
20200704,294,263.4,4,2.4
20200705,300,268.4,2,2.5
20200706,165,282.9,0,2.5
20200707,210,285.0,5,2.5
20200708,212,288.3,4,2.6
20200709,371,297.0,6,2.8
20200710,266,303.0,2,2.8
20200711,397,308.7,0,3.0
20200712,319,307.7,2,3.0
20200713,268,305.7,3,3.0
20200714,367,308.0,7,3.4
20200715,276,309.6,3,3.4
20200716,428,310.9,2,3.5
20200717,293,318.7,5,3.8
20200718,347,324.0,3,4.0
20200719,430,328.8,3,4.1
20200720,268,330.6,2,4.1
20200721,292,335.1,7,4.3
20200722,254,331.7,2,4.4
20200723,320,329.9,2,4.4
20200724,391,329.9,9,4.3
20200725,0,328.3,0,4.2
20200726,654,328.4,7,4.3
20200727,330,319.8,0,4.3
20200728,320,325.4,14,4.5
20200729,313,326.7,8,4.7
20200730,410,318.7,5,4.6
20200731,361,316.2,6,4.5
20200801,325,316.0,3,4.7
20200802,280,315.7,1,5.0
20200803,269,313.7,2,5.2
20200804,333,310.0,5,4.9
20200805,279,313.7,5,4.8
20200806,246,309.7,1,4.7
20200807,411,303.0,9,4.6
20200808,375,298.5,7,4.5
20200809,262,292.8,1,4.6
20200810,216,287.3,1,4.6
20200811,286,282.3,11,4.4
20200812,248,280.6,7,4.4
20200813,278,278.1,8,4.4
20200814,313,275.7,2,4.4
20200815,405,271.0,1,4.5
20200816,244,266.3,2,4.5
20200817,189,263.7,0,4.7
20200818,225,258.0,9,4.7
20200819,194,251.6,11,4.7
20200820,295,251.5,4,4.9
20200821,256,248.8,2,4.9
20200822,289,246.3,3,4.6
20200823,227,240.6,0,4.4
20200824,218,239.8,3,4.1
20200825,236,237.5,8,4.3
20200826,180,230.4,5,4.5
20200827,190,227.7,5,4.4
20200828,293,225.7,9,4.3
20200829,239,222.9,7,4.2
20200830,261,219.1,4,4.1
20200831,159,213.8,1,4.0
20200901,233,211.6,5,4.0
20200902,129,211.7,4,4.2
20200903,261,209.5,2,4.3
20200904,265,206.9,5,4.5
20200905,255,203.4,5,4.3
20200906,188,203.8,1,4.2
20200907,146,204.7,1,4.0
20200908,166,204.2,4,3.6
20200909,115,205.0,8,3.4
20200910,183,202.2,3,3.2
20200911,211,203.9,2,3.3
20200912,291,208.0,6,3.2
20200913,181,210.9,4,3.3
20200914,0,215.7,0,3.3
20200915,325,224.4,10,3.2
20200916,188,225.0,2,3.0
20200917,210,227.4,0,3.0
20200918,282,228.8,0,3.1
20200919,257,235.0,4,3.3
20200920,202,239.9,1,3.1
