YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,843,693.0,141,110.0
20200521,1129,684.1,101,104.2
20200522,951,678.5,144,98.1
20200523,786,676.8,100,96.1
20200524,564,674.1,25,92.9
20200525,351,672.2,15,90.1
20200526,866,666.0,18,86.5
20200527,781,668.7,96,81.4
20200528,661,659.2,100,75.3
20200529,769,649.5,87,69.1
20200530,712,645.5,73,65.0
20200531,428,626.7,19,60.7
20200601,495,599.8,14,58.4
20200602,579,582.9,99,53.8
20200603,557,567.7,73,51.5
20200604,574,552.8,83,50.6
20200605,483,554.9,65,51.2
20200606,672,532.0,33,51.9
20200607,415,510.0,13,49.3
20200608,410,497.8,11,46.5
20200609,530,484.9,56,44.1
20200610,447,470.1,50,41.6
20200611,565,466.2,52,40.9
20200612,595,472.8,48,40.4
20200613,467,475.2,51,37.6
20200614,252,471.5,7,36.6
20200615,394,466.3,28,34.5
20200616,386,477.8,31,32.4
20200617,319,472.9,43,32.0
20200618,405,473.2,41,31.6
20200619,498,483.2,37,31.5
20200620,401,489.5,19,30.6
20200621,347,498.5,5,29.8
20200622,633,511.8,4,28.5
20200623,629,520.1,39,27.8
20200624,479,523.7,53,25.5
20200625,465,533.6,39,25.3
20200626,724,549.0,21,24.1
20200627,570,569.0,24,24.1
20200628,421,593.2,4,23.2
20200629,620,613.4,9,23.0
20200630,662,634.6,37,22.7
20200701,637,649.7,33,22.6
20200702,844,660.0,25,22.7
20200703,770,657.0,33,23.0
20200704,542,672.3,3,22.1
20200705,460,695.9,4,20.8
20200706,718,714.3,2,20.2
20200707,805,726.4,32,20.2
20200708,827,732.7,23,19.6
20200709,830,740.5,36,19.9
20200710,942,760.4,31,19.6
20200711,718,776.3,18,18.8
20200712,564,781.3,7,18.4
20200713,570,781.8,10,18.0
20200714,951,804.7,21,17.5
20200715,973,819.9,25,17.8
20200716,852,830.0,26,17.7
20200717,979,852.0,21,17.9
20200718,702,863.4,12,17.5
20200719,584,865.7,9,17.0
20200720,1038,868.0,3,16.4
20200721,996,869.4,20,15.5
20200722,742,868.5,26,15.2
20200723,855,869.6,16,15.0
20200724,1251,882.1,22,14.7
20200725,861,875.1,9,14.8
20200726,671,863.6,3,14.0
20200727,1182,860.8,5,14.1
20200728,1043,851.6,24,13.8
20200729,876,849.2,14,13.9
20200730,877,853.0,23,13.5
20200731,973,846.0,11,13.5
20200801,698,836.5,12,13.9
20200802,588,843.7,4,14.4
20200803,833,850.0,2,14.4
20200804,803,829.7,24,15.2
20200805,731,828.1,7,15.6
20200806,793,822.8,29,15.6
20200807,787,792.9,14,15.9
20200808,652,771.7,14,15.2
20200809,662,759.5,1,16.1
20200810,891,755.2,3,15.7
20200811,797,744.1,29,16.0
20200812,893,747.1,36,16.2
20200813,989,744.6,16,16.1
20200814,823,728.0,39,16.1
20200815,829,716.0,17,16.1
20200816,559,706.1,3,17.2
20200817,553,699.1,0,16.2
20200818,599,702.3,22,16.5
20200819,619,710.2,33,16.5
20200820,788,706.3,13,16.5
20200821,739,694.1,17,16.8
20200822,762,691.2,18,15.9
20200823,534,695.7,2,15.4
20200824,485,700.0,2,15.6
20200825,550,704.3,24,14.2
20200826,525,705.6,29,14.1
20200827,646,707.2,8,14.4
20200828,853,717.1,20,14.4
20200829,818,710.0,14,14.3
20200830,581,721.7,2,13.4
20200831,635,715.1,0,13.4
20200901,735,727.5,19,13.7
20200902,988,737.4,26,12.8
20200903,1079,714.4,19,12.8
20200904,914,754.7,10,14.0
20200905,855,777.5,15,13.1
20200906,593,791.4,0,12.8
20200907,762,804.4,21,12.9
20200908,449,799.2,8,13.2
20200909,865,796.3,14,13.5
20200910,650,800.2,13,14.4
20200911,998,804.9,23,15.1
20200912,971,807.4,0,15.5
20200913,51,801.6,1,15.9
20200914,1330,790.0,27,15.8
20200915,1029,786.8,6,15.9
20200916,818,790.9,22,16.0
20200917,918,802.2,11,15.7
20200918,745,809.2,26,15.2
20200919,757,858.1,21,15.5
20200920,663,861.1,21,16.1
20200921,732,875.0,23,16.2
20200922,788,883.8,18,16.0
20200923,866,839.5,35,16.9
20200924,837,928.1,17,17.5
20200925,846,907.7,11,16.8
20200926,940,913.8,18,17.3
20200927,831,936.6,3,17.3
20200928,909,960.8,2,17.8
20200929,1476,991.2,13,17.6
20200930,928,1026.8,27,18.1
20201001,942,1044.0,15,17.4
20201002,1182,1055.3,19,17.2
20201003,42,1104.2,18,17.0
20201004,1911,1124.7,15,16.7
20201005,902,1158.3,12,17.0
20201006,1156,1198.0,16,17.5
20201007,1297,1226.0,23,17.1
20201008,1427,1239.4,21,18.0
20201009,1384,1271.9,21,18.4
20201010,1503,1276.6,33,19.8
20201011,1024,1298.1,6,19.8
20201012,970,1352.2,18,20.4
20201013,1815,1402.5,14,21.0
20201014,1297,1484.0,29,21.5
20201015,1543,1460.0,23,21.3
20201016,1680,1533.3,22,21.3
20201017,1526,1586.2,9,21.7
20201018,1113,1636.6,23,21.7
20201019,1592,1673.5,10,22.4
20201020,1574,1727.7,41,22.8
20201021,1381,1764.0,28,22.5
20201022,2078,1795.0,28,22.3
20201023,2238,1878.9,32,22.0
20201024,1753,1931.1,28,22.7
20201025,1407,2000.0,11,23.1
20201026,2442,2061.1,12,24.1
20201027,2267,2156.2,24,25.0
20201028,2354,2236.2,23,26.3
20201029,2202,2308.0,36,25.4
20201030,2523,2449.8,29,25.0
20201031,2264,2581.0,26,26.5
20201101,1677,2710.2,3,27.9
20201102,2730,2899.4,10,28.9
20201103,2913,3071.0,30,28.7
20201104,2742,3197.0,37,29.4
20201105,2828,3349.3,45,30.8
20201106,3676,3529.1,39,31.4
20201107,3207,3695.4,37,31.9
20201108,2619,3894.8,4,36.3
20201109,4571,4115.2,3,39.9
20201110,4330,4330.6,72,43.6
20201111,4093,4501.2,57,47.1
20201112,6051,4732.4,49,49.0
20201113,5842,4909.1,28,49.9
20201114,4399,5074.4,43,52.2
20201115,4606,5280.4,39,57.2
20201116,6218,5497.2,25,60.1
20201117,5758,5719.4,34,59.4
20201118,6542,5892.1,117,59.7
20201119,6831,6010.0,110,62.7
20201120,7046,6061.0,107,64.3
20201121,5846,6131.7,100,69.1
20201122,6533,6353.8,43,74.7
20201123,6440,6603.3,28,81.0
20201124,6385,6894.0,80,88.4
20201125,7068,7226.6,142,93.1
20201126,7381,7374.2,105,94.6
20201127,8341,7490.4,25,96.5
20201128,6835,7695.4,43,104.5
20201129,5093,7799.2,66,108.4
20201130,5642,8042.7,38,114.3
20201201,5815,8345.6,172,119.4
20201202,8758,8509.7,174,123.9
20201203,11291,8676.6,183,127.8
20201204,11946,8825.5,182,129.6
20201205,11383,8976.8,142,137.6
20201206,7706,9122.8,70,146.0
20201207,8658,9256.2,65,151.2
20201208,10064,9289.1,203,160.4
20201209,8722,9391.0,198,168.4
20201210,11943,9460.7,235,169.5
20201211,13407,9644.3,214,170.5
20201212,9293,9738.0,194,177.4
20201213,10037,9782.6,125,181.4
20201214,9568,9687.0,66,184.8
20201215,9561,9421.3,247,182.6
20201216,10135,9210.5,318,177.0
20201217,10183,9068.0,216,179.2
20201218,9031,8900.9,218,180.4
20201219,8975,8839.8,211,184.5
20201220,6557,8831.7,89,190.3
20201221,9497,8704.0,58,192.8
20201222,7784,8398.4,318,192.9
20201223,9693,8367.3,257,185.0
20201224,9285,8100.8,255,181.8
20201225,6366,7876.1,135,183.4
20201226,6955,7844.1,24,181.1
20201227,4715,7818.3,118,183.0
20201228,5148,7793.1,90,185.2
20201229,8780,7851.6,288,184.7
20201230,8552,7868.4,320,186.7
20201231,9262,7877.8,288,186.9
20210101,6989,7738.8,215,188.3
20210102,8641,7714.2,28,184.9
20210103,4440,7631.1,58,189.1
20210104,4849,7532.8,101,191.3
20210105,8890,7521.5,199,195.6
20210106,9593,7496.2,358,204.6
20210107,9654,7540.5,262,204.4
20210108,10258,7474.5,207,203.7
20210109,9328,7384.6,252,193.9
20210110,6755,7247.0,94,197.1
20210111,6578,7072.2,88,195.5
20210112,7268,6992.1,245,195.0
20210113,7947,6832.7,347,202.6
20210114,7221,6795.2,300,203.6
20210115,6128,6788.3,225,201.7
20210116,6424,6591.1,214,203.0
20210117,5645,6412.2,113,196.3
20210118,3763,6249.9,75,192.9
20210119,6891,6210.4,83,191.0
20210120,5662,5985.5,387,185.1
20210121,5592,5841.3,255,183.4
20210122,5307,5703.9,204,181.1
20210123,5293,5557.9,187,175.4
20210124,3653,5331.1,79,165.6
20210125,4704,5150.1,62,157.5
20210126,4749,5084.6,227,154.4
20210127,5837,4967.4,216,151.1
20210128,6244,4890.1,190,148.8
20210129,9429,4860.5,169,146.6
20210130,4606,4737.4,128,149.4
20210131,3726,4618.4,58,137.0
20210201,3693,4539.7,39,130.2
20210202,4201,4444.3,125,125.5
20210203,3185,4364.8,141,121.1
20210204,3420,4307.5,130,118.5
20210205,4752,4166.9,160,116.6
20210206,3963,4083.6,145,106.5
20210207,4022,3973.0,64,105.0
20210208,3142,3830.7,29,100.6
20210209,4306,3513.5,142,96.2
20210210,3163,3416.8,126,93.7
20210211,3939,3325.4,114,92.2
20210212,3304,3238.0,104,91.1
20210213,3622,3173.0,95,89.8
20210214,2450,3154.3,25,86.8
20210215,1751,3105.8,21,84.4
20210216,3001,3025.1,15,79.5
20210217,3515,2977.7,185,72.7
20210218,3254,2871.5,98,73.1
20210219,2769,2837.6,76,72.5
20210220,2574,2751.8,75,69.3
20210221,1808,2726.7,27,66.4
20210222,1857,2682.7,16,64.7
20210223,2835,2657.7,97,61.9
20210224,2793,2601.3,78,59.9
20210225,2402,2566.2,80,60.0
20210226,3057,2574.7,58,59.6
20210227,2967,2571.6,1,61.0
20210228,1792,2527.8,73,54.1
20210301,2431,2502.8,16,51.3
20210302,2504,2515.9,76,49.2
20210303,2635,2511.8,65,45.8
20210304,3016,2510.5,78,44.5
20210305,2779,2512.7,44,46.4
20210306,2437,2526.5,53,46.3
20210307,1714,2546.6,29,44.5
20210308,1928,2576.6,12,41.7
20210309,2937,2598.0,45,40.7
20210310,2594,2634.1,39,41.9
20210311,2730,2644.8,40,39.1
20210312,3043,2637.3,32,37.2
20210313,2488,2692.8,2,35.7
20210314,1782,2786.9,1,34.3
20210315,1902,2818.6,56,32.5
20210316,3125,2925.9,95,31.9
20210317,3215,3083.4,39,30.7
20210318,3032,3019.2,22,29.9
20210319,3508,3118.0,36,30.3
20210320,3725,3230.0,27,30.0
20210321,2016,3316.7,14,30.3
20210322,2273,3374.0,-23,30.1
20210323,3670,3423.0,43,29.7
20210324,4611,3558.1,36,31.1
20210325,3682,3615.4,41,31.5
20210326,5032,3711.7,31,29.1
20210327,5744,3794.7,28,26.4
20210328,366,3862.7,12,27.0
20210329,4003,3930.0,21,28.0
20210330,5288,4008.4,38,28.4
20210331,4416,4030.3,46,28.7
20210401,3934,4092.4,35,28.2
20210402,4072,4168.7,24,29.6
20210403,5324,4284.2,32,30.2
20210404,2986,4365.2,8,30.9
20210405,3924,4433.1,7,31.2
20210406,4868,4460.0,38,32.9
20210407,4643,4394.9,51,33.0
20210408,4444,4506.4,43,33.5
20210409,5156,4467.8,45,33.0
20210410,4184,4455.9,33,34.7
20210411,3320,4461.7,4,35.6
20210412,3875,4469.1,6,36.3
20210413,6096,4467.4,56,38.0
20210414,6313,4389.5,50,38.2
20210415,5108,4370.9,48,38.0
20210416,5596,4314.2,65,38.1
20210417,4377,4255.0,32,39.8
20210418,2708,4203.0,22,40.2
20210419,3192,4153.3,9,40.4
20210420,5037,4118.0,74,39.9
20210421,4539,4046.5,66,39.7
20210422,4090,3992.3,50,40.4
20210423,4035,3925.1,59,40.9
20210424,3689,3759.8,36,40.7
20210425,2594,3571.0,5,40.6
20210426,2735,3485.4,9,41.2
20210427,3623,3343.0,72,39.8
20210428,3553,3245.7,60,39.8
20210429,3400,3169.0,48,39.1
20210430,4413,3097.4,33,40.4
