YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,61,88.7,1,0.9
20200521,47,87.0,1,1.0
20200522,117,87.0,0,1.0
20200523,70,85.5,1,1.0
20200524,89,85.1,0,1.0
20200525,71,103.7,2,1.0
20200526,64,104.5,0,1.0
20200527,73,114.0,0,1.0
20200528,89,112.9,2,1.0
20200529,161,111.2,1,0.9
20200530,71,113.3,1,0.9
20200531,58,117.3,3,0.9
20200601,97,116.1,0,0.9
20200602,62,119.3,2,1.0
20200603,88,123.3,2,0.9
20200604,485,124.9,0,0.9
20200605,112,125.2,1,0.9
20200606,295,125.1,1,0.9
20200607,70,124.1,0,0.9
20200608,61,125.0,0,0.8
20200609,139,121.3,0,0.7
20200610,144,130.7,1,0.7
20200611,23,130.9,1,0.6
20200612,184,128.1,2,0.6
20200613,154,131.0,0,0.5
20200614,121,133.2,1,0.4
20200615,79,112.8,0,0.5
20200616,61,109.6,0,0.5
20200617,52,102.4,0,0.5
20200618,108,105.0,0,0.5
20200619,84,105.0,0,0.5
20200620,268,108.6,0,0.5
20200621,62,105.1,2,0.5
20200622,39,107.4,0,0.4
20200623,121,102.2,0,0.4
20200624,135,99.9,0,0.4
20200625,57,100.2,2,0.4
20200626,45,128.3,0,0.4
20200627,144,131.6,1,0.5
20200628,123,130.6,1,0.6
20200629,61,131.0,0,0.7
20200630,215,140.1,0,0.8
20200701,72,138.2,0,1.0
20200702,71,149.0,0,0.9
20200703,75,164.1,1,0.9
20200704,104,163.7,1,1.0
20200705,129,169.5,0,1.0
20200706,669,176.0,0,1.0
20200707,129,199.9,2,1.2
20200708,31,208.9,2,1.2
20200709,117,232.1,0,1.2
20200710,275,248.1,0,1.3
20200711,229,260.7,8,1.4
20200712,288,262.0,0,1.5
20200713,356,279.3,0,1.7
20200714,113,299.2,2,1.8
20200715,256,321.6,2,2.2
20200716,195,344.1,1,2.3
20200717,546,326.0,5,2.4
20200718,333,339.3,1,2.5
20200719,610,348.4,0,2.5
20200720,398,367.1,2,2.5
20200721,479,364.0,0,2.7
20200722,98,405.0,5,2.8
20200723,435,417.0,3,3.0
20200724,494,418.1,3,3.1
20200725,573,438.1,10,3.2
20200726,603,441.5,0,3.6
20200727,288,445.7,0,4.1
20200728,409,455.5,8,4.2
20200729,221,474.8,2,4.6
20200730,511,479.0,3,4.8
20200731,209,493.3,5,4.9
20200801,1091,498.2,6,5.0
20200802,539,525.5,5,5.2
20200803,380,522.5,0,5.6
20200804,533,531.5,7,6.0
20200805,327,531.2,9,6.1
20200806,283,517.3,12,6.3
20200807,752,539.5,7,6.4
20200808,738,565.4,9,6.5
20200809,697,565.4,5,6.9
20200810,700,551.0,0,7.3
20200811,582,574.5,8,7.4
20200812,671,557.4,8,7.4
20200813,372,546.9,11,7.6
20200814,682,563.2,11,7.6
20200815,567,542.7,12,7.5
20200816,311,528.2,6,7.5
20200817,754,545.2,0,7.3
20200818,953,538.2,11,7.6
20200819,221,529.8,10,7.3
20200820,209,510.8,11,7.4
20200821,703,494.2,7,7.2
20200822,731,477.0,7,7.0
20200823,319,472.8,9,7.0
20200824,722,464.4,0,6.8
20200825,102,434.0,5,6.6
20200826,24,418.9,9,6.4
20200827,639,406.0,8,6.8
20200828,605,410.2,12,6.6
20200829,562,371.0,4,6.5
20200830,298,360.6,6,6.9
20200831,351,387.4,0,6.9
20200901,222,368.3,1,7.1
20200902,582,357.9,8,7.3
20200903,195,356.4,5,7.1
20200904,43,339.6,7,7.1
20200905,251,354.9,9,7.4
20200906,41,359.0,13,7.9
20200907,842,356.4,0,8.4
20200908,129,366.5,5,8.3
20200909,3,402.0,18,8.4
20200910,772,428.1,12,8.3
20200911,302,441.8,11,8.3
20200912,511,436.9,12,8.5
20200913,288,412.2,4,8.3
20200914,370,459.2,3,8.5
20200915,422,507.8,9,8.6
20200916,112,520.0,19,8.5
20200917,583,560.5,18,8.0
20200918,817,573.7,11,8.0
20200919,1309,617.3,6,8.2
20200920,845,630.9,3,7.7
20200921,638,609.0,1,7.3
20200922,120,627.0,4,7.1
20200923,64,632.5,4,7.0
20200924,1182,633.1,10,7.0
20200925,1063,645.5,8,7.3
20200926,508,646.0,7,6.9
20200927,891,642.1,2,6.4
20200928,1118,639.4,4,6.0
20200929,1045,629.0,6,5.8
20200930,288,589.1,7,5.9
20201001,312,563.5,4,5.8
20201002,680,559.9,8,6.0
20201003,628,568.8,8,6.0
20201004,300,612.2,5,6.0
20201005,630,583.0,9,5.5
20201006,432,548.0,1,5.9
20201007,31,535.1,9,5.7
20201008,526,523.3,10,5.8
20201009,598,501.3,5,5.7
20201010,472,484.6,8,5.5
20201011,307,479.8,2,5.4
20201012,563,474.8,5,5.6
20201013,306,535.1,3,5.6
20201014,976,519.3,4,5.4
20201015,569,563.2,1,5.5
20201016,327,563.3,15,5.2
20201017,238,560.0,3,5.3
20201018,643,562.8,5,5.1
20201019,657,595.4,2,4.7
20201020,693,612.0,1,4.8
20201021,187,607.8,5,4.5
20201022,207,618.6,9,4.9
20201023,1947,663.7,8,5.0
20201024,296,685.9,3,5.0
20201025,1223,643.0,7,5.1
20201026,632,634.8,3,5.3
20201027,362,671.8,4,5.0
20201028,90,708.7,5,5.0
20201029,1211,708.2,1,5.0
20201030,945,-922.3,6,5.4
20201031,385,-942.2,2,5.7
20201101,533,-938.6,10,6.0
20201102,1511,-885.0,7,6.0
20201103,771,-946.0,3,5.9
20201104,77,-929.0,8,6.0
20201105,396,-953.5,5,6.4
20201106,1103,-958.0,7,6.6
20201107,1013,-948.2,0,6.8
20201108,634,-937.0,10,7.5
20201109,-33585,-969.9,10,8.0
20201110,275,-971.8,7,8.1
20201111,264,-937.8,12,9.0
20201112,1332,-914.4,8,8.8
20201113,667,-951.0,5,9.2
20201114,653,-971.2,7,9.3
20201115,707,-966.4,14,9.6
20201116,537,-961.4,7,10.2
20201117,569,-944.8,9,10.2
20201118,325,-950.0,20,10.3
20201119,521,-974.5,11,10.6
20201120,904,665.0,9,10.7
20201121,1099,688.8,21,11.1
20201122,1025,694.7,5,11.6
20201123,741,650.1,15,11.7
20201124,348,641.8,6,12.3
