YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,405,163.2,22,17.2
20200521,215,161.0,20,16.3
20200522,165,156.6,11,15.5
20200523,216,154.9,13,14.9
20200524,113,152.6,8,14.4
20200525,0,150.2,10,13.9
20200526,145,148.3,15,13.4
20200527,143,144.0,10,12.6
20200528,141,139.8,8,11.8
20200529,141,135.6,12,10.9
20200530,184,130.5,12,9.9
20200531,109,114.3,3,9.0
20200601,63,109.1,5,8.4
20200602,121,105.3,10,8.0
20200603,107,97.3,11,7.5
20200604,106,94.2,12,7.2
20200605,116,93.1,11,7.0
20200606,0,93.0,6,6.7
20200607,0,88.6,4,6.5
20200608,201,84.5,4,6.4
20200609,49,81.0,1,6.0
20200610,65,74.2,4,5.6
20200611,106,70.9,6,5.6
20200612,85,69.9,2,5.4
20200613,0,67.7,3,5.3
20200614,0,66.0,3,5.0
20200615,146,62.6,5,4.5
20200616,71,58.1,8,4.0
20200617,49,56.5,6,4.0
20200618,56,55.0,7,4.0
20200619,68,53.4,3,3.9
20200620,0,53.4,4,4.1
20200621,0,52.2,2,4.0
20200622,122,51.4,2,3.8
20200623,74,49.7,7,3.9
20200624,73,49.3,5,3.8
20200625,34,49.0,1,3.8
20200626,21,48.5,1,3.7
20200627,0,47.1,5,3.4
20200628,0,47.2,6,3.2
20200629,103,46.4,1,2.9
20200630,49,46.4,5,2.8
20200701,40,47.3,1,2.8
20200702,88,48.1,3,2.8
20200703,50,49.0,3,2.8
20200704,0,50.2,2,2.5
20200705,0,49.2,2,2.2
20200706,0,51.0,4,2.2
20200707,163,53.9,2,2.3
20200708,50,54.0,0,2.2
20200709,39,54.2,0,2.0
20200710,69,54.3,3,2.1
20200711,0,55.9,3,1.9
20200712,0,57.6,3,1.9
20200713,175,57.5,1,1.8
20200714,101,58.7,1,1.7
20200715,52,61.4,0,1.7
20200716,71,64.1,1,1.6
20200717,82,66.9,2,1.5
20200718,0,74.8,4,1.4
20200719,0,76.0,2,1.4
20200720,111,81.3,2,1.4
20200721,82,81.4,1,1.4
20200722,76,82.2,1,1.3
20200723,86,83.0,0,1.2
20200724,76,83.8,0,1.2
20200725,0,85.8,3,1.3
20200726,0,87.7,1,1.4
20200727,291,90.5,1,1.4
20200728,210,92.6,1,1.3
20200729,75,94.0,0,1.2
20200730,150,95.3,1,1.1
20200731,72,96.7,1,1.0
20200801,0,98.4,1,1.1
20200802,0,98.4,2,1.1
20200803,224,99.6,1,1.1
20200804,144,100.5,2,1.2
20200805,91,99.7,2,1.3
20200806,130,98.8,0,1.4
20200807,127,98.0,2,1.5
20200808,0,93.7,1,1.7
20200809,0,95.0,0,1.7
20200810,196,91.5,1,1.8
20200811,119,95.2,3,1.8
20200812,76,96.1,1,1.8
20200813,111,97.0,0,1.8
20200814,95,97.9,3,1.8
20200815,0,94.4,0,1.7
20200816,0,94.0,7,1.7
20200817,237,94.2,2,1.7
20200818,120,92.6,5,1.8
20200819,103,93.7,0,1.8
20200820,76,94.8,3,1.9
20200821,151,96.0,2,1.9
20200822,0,92.8,1,1.9
20200823,0,92.8,1,1.9
20200824,280,90.6,1,2.0
20200825,70,90.9,1,2.0
20200826,82,91.2,1,1.9
20200827,135,91.6,2,1.7
20200828,94,92.0,2,1.7
20200829,0,90.5,2,1.5
20200830,0,89.6,2,1.5
20200831,266,91.0,1,1.5
20200901,53,89.7,2,1.4
20200902,76,88.8,2,1.5
20200903,65,88.0,3,1.5
20200904,100,87.0,1,1.5
20200905,0,89.4,1,1.5
20200906,0,90.7,1,1.7
20200907,0,90.4,1,1.7
20200908,349,92.2,2,1.6
20200909,84,93.0,1,1.7
20200910,106,93.8,1,1.8
20200911,123,94.4,0,1.9
20200912,0,97.2,3,1.8
20200913,0,100.0,0,1.7
20200914,225,103.2,2,1.6
20200915,120,92.3,2,1.6
20200916,108,92.0,5,1.6
20200917,130,91.7,0,1.6
20200918,132,91.4,2,1.6
20200919,0,93.5,4,1.6
20200920,0,98.7,4,1.6
20200921,312,101.5,2,1.6
20200922,112,103.4,1,1.7
20200923,133,105.2,0,1.7
20200924,134,107.1,1,1.7
20200925,-130,109.0,1,1.9
20200926,0,111.7,1,1.8
20200927,0,115.1,0,1.6
20200928,243,121.8,2,1.8
20200929,132,127.3,1,1.9
20200930,192,130.3,1,1.8
20201001,166,133.2,2,1.9
20201002,162,136.2,2,2.0
20201003,0,138.9,2,2.3
20201004,0,142.2,2,2.4
20201005,343,148.9,4,2.4
20201006,177,167.1,0,2.5
20201007,180,173.7,2,2.5
20201008,269,180.2,4,2.6
20201009,249,186.8,3,2.6
20201010,0,194.9,2,2.7
20201011,0,208.3,6,2.8
20201012,0,222.9,5,2.9
20201013,666,240.1,7,2.9
20201014,204,249.0,2,2.9
20201015,274,258.0,2,2.9
20201016,253,266.9,2,2.8
20201017,0,278.5,2,3.0
20201018,0,293.7,2,3.1
20201019,656,298.4,1,3.1
20201020,302,313.3,4,3.2
20201021,474,325.2,3,3.2
20201022,471,337.0,3,3.1
20201023,524,349.0,3,3.2
20201024,0,361.1,1,2.9
20201025,0,379.0,2,3.0
20201026,906,395.8,3,3.1
20201027,421,413.8,5,3.2
20201028,499,429.2,3,3.2
20201029,368,444.7,4,3.4
20201030,562,460.1,5,3.5
20201031,0,483.3,3,3.6
20201101,0,507.3,4,3.9
20201102,1246,531.9,6,4.0
20201103,423,543.4,1,4.0
20201104,579,567.0,4,4.4
20201105,628,590.6,4,4.7
20201106,630,614.2,5,4.8
20201107,0,623.0,1,4.8
20201108,0,665.1,6,5.0
20201109,1629,697.1,4,5.0
20201110,789,720.3,6,5.1
20201111,978,741.4,9,5.5
20201112,988,762.4,5,5.9
20201113,765,783.5,2,6.1
20201114,0,803.9,10,6.7
20201115,0,818.8,8,6.8
20201116,2394,827.9,6,7.2
20201117,605,836.9,5,7.4
20201118,1383,855.0,7,7.5
20201119,1040,873.0,5,7.7
20201120,1050,891.1,7,7.8
20201121,0,909.9,10,8.1
20201122,0,915.7,12,8.4
20201123,2572,950.4,12,8.7
20201124,851,981.3,12,9.2
20201125,893,1001.8,7,9.5
20201126,0,1022.2,12,9.8
20201127,1637,1042.6,9,10.7
20201128,0,1073.3,4,11.4
20201129,0,1066.1,9,11.8
20201130,2769,1061.7,7,12.8
20201201,1183,1086.5,13,13.4
20201202,1099,1097.3,14,13.9
20201203,1717,1108.1,12,14.7
20201204,1415,1119.0,12,14.9
20201205,0,1134.0,16,15.0
20201206,0,1137.7,15,15.6
20201207,3681,1150.2,24,15.9
20201208,1249,1136.1,21,16.1
20201209,1232,1130.5,15,16.9
20201210,948,1125.0,26,17.1
20201211,1571,1119.4,20,17.3
20201212,0,1108.6,19,17.6
20201213,0,1098.1,30,17.4
20201214,3253,1050.0,15,17.6
20201215,1166,1016.3,16,18.0
20201216,972,991.6,19,17.8
20201217,1081,966.8,17,17.7
20201218,522,942.1,15,17.2
20201219,0,939.1,20,17.0
20201220,0,935.7,14,16.9
20201221,2419,935.9,11,16.5
20201222,956,906.3,18,16.2
20201223,879,900.0,10,16.0
20201224,0,893.7,17,15.3
20201225,0,887.5,21,15.5
20201226,0,886.4,11,15.3
20201227,0,916.9,13,15.3
20201228,3536,919.1,14,15.0
20201229,1187,943.0,17,15.0
20201230,1160,952.0,11,14.7
20201231,0,961.1,19,14.6
20210101,0,970.3,14,15.0
20210102,0,962.2,13,14.9
20210103,0,972.3,17,14.9
20210104,4759,981.6,18,14.6
20210105,1144,998.2,13,14.3
20210106,1611,995.8,19,14.5
20210107,1128,993.3,11,14.3
20210108,1023,990.8,13,14.5
20210109,0,965.6,14,14.2
20210110,0,948.9,12,14.9
20210111,2993,947.0,21,14.4
20210112,786,946.9,14,14.5
20210113,1092,933.6,11,14.2
20210114,901,920.4,10,14.2
20210115,1057,907.0,16,14.0
20210116,0,883.0,15,13.9
20210117,0,835.5,8,13.3
20210118,0,817.3,18,13.4
20210119,2623,801.1,12,13.1
20210120,810,777.8,24,12.9
20210121,910,754.4,9,12.7
20210122,949,730.9,16,12.2
20210123,0,704.7,8,12.2
20210124,0,677.1,16,12.4
20210125,2019,662.1,13,12.2
20210126,642,640.4,11,11.8
20210127,613,628.4,7,11.4
20210128,745,616.5,14,11.6
20210129,684,604.6,7,11.1
20210130,0,589.0,9,10.9
20210131,0,572.2,8,10.2
20210201,1518,552.1,11,10.2
20210202,235,527.9,14,9.7
20210203,513,511.2,14,9.7
20210204,587,494.5,7,9.0
20210205,600,477.8,6,8.6
20210206,0,460.8,7,8.4
20210207,0,449.1,12,8.1
20210208,1213,433.6,8,7.6
20210209,330,414.6,7,7.5
20210210,459,403.8,10,7.2
20210211,488,392.9,10,7.0
20210212,440,382.1,5,6.6
20210213,0,384.3,7,6.1
20210214,0,381.6,3,5.7
20210215,966,375.9,3,5.5
20210216,285,368.1,8,5.3
20210217,368,364.2,1,5.1
20210218,419,360.3,2,4.7
20210219,286,356.4,6,4.6
20210220,0,353.1,3,4.7
20210221,0,352.0,3,4.6
20210222,835,349.8,2,4.4
20210223,282,347.6,5,4.2
20210224,456,345.9,4,4.0
20210225,467,344.2,3,4.0
20210226,437,342.6,0,4.0
20210227,0,343.1,0,4.0
20210228,0,340.7,0,4.0
20210301,966,345.8,15,4.1
20210302,261,350.3,8,4.0
20210303,436,352.7,9,4.0
20210304,442,355.1,5,4.0
20210305,394,357.5,2,4.1
20210306,0,356.6,0,4.2
20210307,0,355.5,0,4.2
20210308,860,353.9,8,4.4
20210309,296,353.2,7,4.3
20210310,318,353.7,3,4.3
20210311,525,354.2,4,4.3
20210312,382,354.8,4,4.1
20210313,0,356.5,0,3.9
20210314,0,358.2,0,3.4
20210315,985,360.1,9,3.2
20210316,263,364.5,7,3.2
20210317,434,361.0,5,3.1
20210318,432,357.6,6,3.1
20210319,423,354.2,1,3.0
20210320,0,356.6,0,3.0
20210321,0,368.3,0,2.9
20210322,1000,368.0,9,2.9
20210323,297,369.2,2,3.0
20210324,471,368.1,0,2.8
20210325,483,367.1,1,2.6
20210326,485,366.0,1,2.5
20210327,0,371.4,0,2.3
20210328,0,373.4,0,2.2
20210329,644,377.0,5,2.0
20210330,346,383.7,5,2.0
20210331,564,387.8,1,1.9
20210401,519,391.9,5,1.8
20210402,407,396.0,6,1.6
20210403,0,401.8,0,1.6
20210404,0,402.1,0,1.7
20210405,918,402.4,-1,1.9
20210406,376,398.8,3,1.9
20210407,476,401.5,3,1.9
20210408,509,404.3,1,1.9
20210409,563,407.0,2,1.8
20210410,0,409.2,0,1.7
20210411,0,396.1,0,1.9
20210412,0,389.5,0,1.7
20210413,1677,384.2,2,1.4
20210414,477,379.8,2,1.5
20210415,489,375.3,4,1.5
20210416,409,370.8,1,1.6
20210417,0,365.3,0,1.5
20210418,0,360.8,0,1.6
20210419,817,350.6,4,1.6
20210420,392,337.6,3,1.6
20210421,289,325.3,4,1.7
20210422,381,313.0,2,1.8
20210423,296,300.7,0,1.9
20210424,0,293.1,0,2.0
20210425,0,283.1,0,1.9
20210426,636,268.8,3,1.9
20210427,260,258.5,1,1.9
20210428,381,251.4,4,1.9
20210429,296,244.3,1,1.9
20210430,289,237.2,2,1.9
20210501,0,225.7,0,1.9
20210502,0,219.3,0,1.8
20210503,483,200.1,7,1.8
20210504,260,193.4,3,1.9
20210505,268,187.4,1,1.9
20210506,187,181.5,3,1.9
20210507,193,175.6,2,1.8
20210508,0,167.5,0,1.9
20210509,0,154.3,0,1.7
20210510,371,145.3,3,1.6
20210511,149,146.3,4,1.6
20210512,155,141.5,2,1.5
20210513,-21,136.7,2,1.4
20210514,154,132.0,2,1.3
20210515,0,122.5,0,1.2
20210516,0,113.5,0,1.2
20210517,263,109.9,1,1.1
20210518,89,103.1,2,1.0
20210519,0,98.5,0,1.0
20210520,211,93.8,0,0.9
20210521,310,89.0,1,0.9
20210522,0,83.2,0,0.9
20210523,0,78.2,0,0.8
20210524,182,81.2,1,0.8
20210525,62,76.5,2,0.8
20210526,78,73.7,1,0.8
20210527,111,70.8,0,0.8
20210528,52,67.9,0,0.8
20210529,0,65.2,0,0.8
20210530,0,62.4,0,0.9
20210531,0,59.0,0,0.9
20210601,101,45.5,4,0.9
20210602,51,43.6,0,0.9
20210603,41,41.7,3,0.9
20210604,56,39.7,2,0.8
20210605,0,38.3,0,0.8
20210606,0,35.9,0,0.7
20210607,82,31.8,0,0.8
20210608,32,30.5,2,0.8
20210609,47,30.0,3,0.8
20210610,34,29.5,0,0.8
20210611,26,29.1,0,0.8
20210612,0,28.5,0,0.7
