YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,119,165.6,8,8.0
20200521,206,182.4,9,8.0
20200522,257,190.7,3,7.9
20200523,257,198.0,6,7.5
20200524,201,209.0,10,7.7
20200525,82,220.0,5,7.9
20200526,238,231.1,6,8.2
20200527,207,245.5,20,8.0
20200528,165,259.9,4,7.8
20200529,343,279.0,13,7.9
20200530,263,293.9,4,8.0
20200531,467,313.5,7,8.0
20200601,287,336.2,6,8.2
20200602,267,358.7,1,8.3
20200603,0,383.8,0,8.3
20200604,0,414.2,0,7.9
20200605,1038,438.1,38,7.7
20200606,0,455.9,0,7.7
20200607,833,473.0,7,7.2
20200608,514,511.7,11,7.2
20200609,428,546.5,11,7.4
20200610,531,588.7,7,7.5
20200611,682,609.5,13,7.6
20200612,729,643.7,5,7.6
20200613,785,674.1,6,8.2
20200614,840,720.8,1,8.1
20200615,583,757.9,2,8.0
20200616,612,803.9,5,7.4
20200617,566,860.5,10,8.0
20200618,977,906.4,4,8.1
20200619,1075,945.0,18,7.8
20200620,1148,1008.1,5,8.1
20200621,905,1055.2,9,9.1
20200622,1005,1107.6,6,9.3
20200623,906,1160.1,14,9.5
20200624,1325,1211.0,10,10.2
20200625,1125,1240.6,10,10.5
20200626,1313,1285.8,1,10.7
20200627,1604,1303.0,17,11.4
20200628,1381,1350.1,5,12.7
20200629,1324,1388.5,4,13.5
20200630,1755,1419.6,19,13.8
20200701,1520,1473.5,27,14.6
20200702,1782,1523.2,18,14.7
20200703,1831,1547.7,9,14.9
20200704,1854,1610.3,20,15.2
20200705,1461,1635.6,7,15.0
20200706,1533,1669.6,7,18.0
20200707,972,1701.2,19,19.1
20200708,1557,1698.7,38,20.2
20200709,1782,1746.0,21,20.9
20200710,1728,1752.4,24,21.1
20200711,2280,1759.0,22,23.0
20200712,1949,1767.8,10,24.7
20200713,1520,1757.4,11,26.2
20200714,2221,1765.5,21,28.2
20200715,1856,1743.9,5,31.0
20200716,1838,1731.0,72,32.0
20200717,1977,1716.0,26,32.3
20200718,1552,1750.3,39,34.2
20200719,2374,1758.9,20,34.8
20200720,1459,1756.2,9,36.3
20200721,1892,1742.7,57,37.3
20200722,1705,1709.5,64,38.1
20200723,1564,1673.3,49,38.9
20200724,2001,1656.3,51,39.1
20200725,1401,1609.6,80,40.7
20200726,1191,1582.2,26,42.7
20200727,1218,1557.8,15,41.5
20200728,1692,1531.4,59,41.2
20200729,1737,1516.6,50,41.5
20200730,1726,1450.0,52,41.7
20200731,1444,1415.0,45,42.1
20200801,1583,1371.1,39,41.8
20200802,1189,1330.1,26,40.9
20200803,1163,1300.1,16,40.5
20200804,1239,1249.2,54,39.0
20200805,1282,1232.1,47,37.9
20200806,1325,1204.7,48,37.0
20200807,1422,1168.4,20,37.2
20200808,1241,1122.0,45,37.0
20200809,975,1074.5,24,35.5
20200810,724,1035.6,17,35.0
20200811,971,1017.2,50,35.6
20200812,844,985.5,46,35.3
20200813,935,961.9,40,34.6
20200814,932,933.3,20,34.2
20200815,1041,919.0,56,32.5
20200816,615,886.7,9,32.3
20200817,456,847.7,19,32.7
20200818,719,844.4,55,33.0
20200819,739,847.1,17,32.9
20200820,909,851.9,41,32.3
20200821,1058,849.2,58,32.0
20200822,917,843.6,34,31.4
20200823,693,834.7,11,31.0
20200824,563,847.0,7,29.7
20200825,937,880.2,18,30.6
20200826,605,876.5,44,29.4
20200827,505,878.8,55,29.4
20200828,1353,888.3,27,29.5
20200829,1298,868.4,43,27.1
20200830,1075,847.7,11,27.7
20200831,668,822.5,11,27.3
20200901,854,889.0,37,27.1
20200902,657,889.7,37,26.0
20200903,1193,946.5,13,26.7
20200904,1629,958.5,39,27.0
20200905,964,951.5,31,27.1
20200906,663,953.8,10,26.6
20200907,655,992.8,20,25.2
20200908,301,969.9,5,24.9
20200909,305,952.0,30,23.3
20200910,379,923.0,33,23.3
20200911,2454,911.0,53,23.4
20200912,932,997.3,12,23.1
20200913,1886,1008.7,24,22.3
20200914,816,1000.5,13,22.5
20200915,790,979.9,21,21.5
20200916,652,999.2,34,21.2
20200917,1324,996.9,26,20.9
20200918,872,992.8,19,20.5
20200919,922,1034.6,11,21.3
20200920,468,1034.7,11,20.8
20200921,416,1034.8,13,20.2
20200922,2665,959.0,31,18.1
20200923,897,995.9,19,19.1
20200924,1021,939.0,17,18.5
20200925,1195,927.6,18,18.0
20200926,1371,928.6,26,17.8
20200927,614,932.5,3,17.6
20200928,568,919.5,11,17.0
20200929,1179,921.8,22,16.8
20200930,308,922.9,19,17.3
20201001,381,938.0,22,16.8
20201002,862,949.1,9,16.5
20201003,1706,861.6,33,15.9
20201004,691,863.0,11,15.8
20201005,577,876.1,3,15.6
20201006,811,873.9,15,15.1
20201007,735,854.3,31,15.0
20201008,1050,862.0,12,15.4
20201009,921,864.5,16,15.4
20201010,945,850.4,21,16.0
20201011,785,876.9,1,15.7
20201012,649,912.5,7,16.9
20201013,828,922.1,17,17.5
20201014,926,878.6,17,16.7
20201015,1297,909.3,14,16.6
20201016,1147,921.0,8,17.5
20201017,961,933.8,22,17.7
20201018,776,942.2,13,17.8
20201019,619,944.6,11,17.9
20201020,884,948.5,35,17.4
20201021,864,952.0,12,18.3
20201022,1128,981.8,47,18.3
20201023,1064,993.4,22,18.4
20201024,792,1003.3,16,18.7
20201025,1337,1002.9,9,18.7
20201026,823,977.8,21,18.3
20201027,1078,981.9,19,18.6
20201028,912,1025.1,34,18.0
20201029,1100,1033.2,13,18.4
20201030,1003,1037.2,7,18.1
20201031,1018,1059.3,39,17.4
20201101,1411,1078.0,1,17.5
20201102,894,1095.5,10,15.7
20201103,1035,1121.5,22,15.4
20201104,918,1174.9,17,15.1
20201105,769,1182.3,7,14.8
20201106,1233,1196.0,13,15.2
20201107,1870,1205.8,10,15.0
20201108,946,1236.0,21,14.6
20201109,703,1265.2,5,14.9
20201110,1347,1312.7,21,16.0
20201111,1257,1352.7,14,16.1
20201112,1495,1346.3,8,16.5
20201113,1611,1363.6,17,16.3
20201114,1913,1394.2,9,16.4
20201115,1493,1430.2,2,15.8
20201116,1110,1446.3,31,16.1
20201117,1283,1440.4,13,16.2
20201118,1547,1436.6,26,15.9
20201119,1713,1449.6,19,15.1
20201120,2001,1480.8,30,16.2
20201121,1857,1484.5,43,16.3
20201122,1277,1516.2,9,17.5
20201123,1257,1551.1,5,18.2
20201124,1678,1614.9,25,18.8
20201125,1675,1677.2,4,19.4
20201126,0,1742.5,0,21.6
20201127,2215,1811.2,29,20.8
20201128,1791,1859.7,0,20.4
20201129,1218,1904.6,7,20.5
20201130,1358,1929.8,28,20.3
20201201,1425,2003.1,23,21.0
20201202,1923,2084.8,40,19.6
20201203,2228,2186.2,22,21.7
