YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,92,69.3,0,1.2
20200521,0,68.1,2,1.2
20200522,179,67.3,2,1.1
20200523,108,66.1,0,1.1
20200524,99,67.9,0,1.0
20200525,23,69.1,0,1.1
20200526,67,67.8,0,1.0
20200527,57,69.3,4,1.0
20200528,83,70.0,0,1.0
20200529,73,68.8,5,1.0
20200530,94,68.5,3,1.0
20200531,33,68.0,0,1.0
20200601,41,66.6,0,1.2
20200602,33,66.0,0,1.1
20200603,95,65.2,0,1.2
20200604,85,63.6,2,1.2
20200605,30,63.9,0,1.2
20200606,90,62.5,1,1.3
20200607,71,63.8,0,1.1
20200608,33,62.7,0,1.1
20200609,52,61.5,3,1.0
20200610,81,60.2,1,0.9
20200611,61,62.1,4,0.9
20200612,77,61.5,1,0.9
20200613,91,61.2,1,1.0
20200614,65,59.9,0,1.0
20200615,30,58.7,0,1.1
20200616,38,59.9,2,1.1
20200617,84,60.0,1,1.2
20200618,59,59.2,0,1.2
20200619,49,59.3,3,1.1
20200620,67,59.1,0,1.1
20200621,72,58.2,0,1.1
20200622,29,58.5,0,1.1
20200623,27,58.9,2,1.1
20200624,66,56.9,1,1.0
20200625,60,55.5,3,1.0
20200626,56,56.0,1,1.0
20200627,91,57.0,3,1.0
20200628,55,56.8,0,1.0
20200629,35,58.4,0,1.0
20200630,48,59.2,0,1.2
20200701,62,58.5,2,1.3
20200702,67,57.2,4,1.3
20200703,85,57.0,0,1.3
20200704,50,58.0,0,1.2
20200705,35,58.7,0,1.3
20200706,42,57.9,0,1.3
20200707,58,59.7,1,1.3
20200708,79,58.9,0,1.2
20200709,94,58.3,3,1.3
20200710,65,58.4,6,1.3
20200711,53,59.8,2,1.3
20200712,45,59.6,0,1.2
20200713,25,59.5,0,1.1
20200714,48,58.2,0,1.2
20200715,80,60.8,2,1.2
20200716,42,63.4,4,1.2
20200717,95,63.8,1,1.3
20200718,73,63.3,0,1.4
20200719,44,66.6,2,1.4
20200720,37,64.2,0,1.3
20200721,76,64.9,0,1.1
20200722,58,67.3,1,1.2
20200723,66,69.3,2,1.2
20200724,57,71.2,1,1.2
20200725,105,71.8,0,1.3
20200726,90,72.2,1,1.2
20200727,49,75.2,0,1.2
20200728,48,75.3,0,1.3
20200729,149,76.9,6,1.4
20200730,44,80.9,0,1.3
20200731,79,81.9,1,1.3
20200801,103,80.7,4,1.3
20200802,88,82.8,1,1.3
20200803,65,83.5,0,1.3
20200804,59,86.9,1,1.3
20200805,89,86.3,1,1.4
20200806,105,89.5,4,1.4
20200807,98,91.2,3,1.3
20200808,106,92.8,2,1.3
20200809,128,91.7,0,1.2
20200810,58,95.5,0,1.3
20200811,50,101.0,0,1.4
20200812,102,108.0,1,1.2
20200813,82,110.5,1,1.2
20200814,127,114.5,2,1.2
20200815,94,115.5,2,1.2
20200816,156,114.4,1,1.2
