YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,0,388.8,0,4.7
20200521,549,397.9,8,4.8
20200522,433,407.0,2,4.8
20200523,391,416.0,14,5.0
20200524,326,420.3,7,5.1
20200525,424,418.2,2,5.5
20200526,360,421.7,5,5.7
20200527,390,427.0,10,5.9
20200528,394,423.0,3,5.8
20200529,384,428.3,5,5.7
20200530,503,436.3,3,6.2
20200531,0,440.2,0,6.1
20200601,0,446.6,0,6.1
20200602,1776,463.0,17,7.2
20200603,491,465.0,7,6.8
20200604,357,487.2,13,6.6
20200605,474,498.5,7,6.9
20200606,513,517.0,9,7.1
20200607,316,515.7,1,6.9
20200608,512,528.1,3,7.2
20200609,570,569.2,14,7.3
20200610,355,565.7,2,7.6
20200611,410,568.8,4,7.5
20200612,778,562.0,25,7.5
20200613,431,569.6,6,7.7
20200614,794,590.6,2,8.0
20200615,661,611.6,8,7.9
20200616,747,656.2,11,8.0
20200617,363,666.4,5,8.0
20200618,656,702.0,10,8.1
20200619,1247,728.2,7,8.1
20200620,429,758.8,9,8.0
20200621,656,827.9,2,8.2
20200622,451,883.3,5,8.5
20200623,750,933.0,11,8.0
20200624,932,980.5,14,7.9
20200625,799,998.7,11,8.1
20200626,1410,1001.7,10,8.1
20200627,728,1036.3,7,8.2
20200628,0,1136.8,0,8.9
20200629,2125,1182.0,8,9.6
20200630,1212,1215.7,12,9.9
20200701,1806,1264.8,5,10.2
20200702,1575,1279.0,11,10.2
20200703,1822,1415.3,13,10.4
20200704,1428,1451.7,4,10.7
20200705,1176,1515.5,8,10.8
20200706,723,1595.5,7,10.9
20200707,1475,1636.9,13,11.3
20200708,2472,1722.1,20,12.1
20200709,1605,1756.2,25,12.1
20200710,1955,1783.7,13,12.1
20200711,1460,1830.2,15,12.7
20200712,954,1862.0,3,13.3
20200713,3314,1909.4,8,14.5
20200714,1514,1922.2,18,14.5
20200715,2273,1936.0,16,15.6
20200716,2479,2029.5,13,15.3
20200717,2279,2116.7,19,15.5
20200718,2517,2168.1,23,15.9
20200719,1779,2135.0,5,16.0
20200720,1639,2156.2,4,15.4
20200721,2190,2210.1,24,16.0
20200722,2473,2246.6,17,15.7
20200723,2570,2269.9,37,15.8
20200724,2091,2160.1,13,16.3
20200725,1718,2174.0,26,16.7
20200726,3140,2144.6,3,17.2
20200727,2553,2133.8,11,18.6
20200728,2555,2141.1,21,18.6
20200729,1778,2107.1,21,18.0
20200730,2049,2123.7,13,18.1
20200731,3088,2102.9,27,18.4
20200801,2225,2046.2,7,19.0
20200802,1443,1998.9,6,19.1
20200803,1009,1977.3,19,18.5
20200804,1805,1970.5,25,18.5
20200805,1657,1950.0,27,18.1
20200806,2252,1893.9,42,19.0
20200807,2432,1821.7,20,19.5
20200808,1803,1748.9,9,20.2
20200809,2127,1760.9,8,20.6
20200810,1202,1728.8,10,21.7
20200811,1001,1661.2,38,23.3
20200812,1478,1614.2,18,23.6
20200813,2118,1633.8,24,23.5
20200814,1947,1617.5,13,23.6
20200815,1289,1570.3,19,24.3
20200816,1961,1583.6,21,24.0
20200817,1036,1563.3,21,23.2
20200818,1026,1525.4,37,23.6
20200819,2030,1509.3,28,24.3
20200820,1375,1447.8,36,25.0
20200821,1669,1477.1,61,24.8
20200822,1239,1495.9,14,24.3
20200823,1854,1497.0,4,24.2
20200824,667,1477.9,21,23.9
20200825,813,1435.2,40,24.3
20200826,1936,1457.9,20,24.6
20200827,1826,1448.5,25,23.8
20200828,1636,1446.0,28,23.0
20200829,1465,1427.8,24,22.5
20200830,835,1371.7,22,22.8
20200831,1818,1383.9,7,23.8
20200901,1396,1381.7,27,22.7
20200902,1502,1371.8,16,23.9
20200903,1715,1328.0,18,24.3
20200904,1051,1412.9,22,24.2
20200905,1765,1419.7,25,23.8
20200906,1764,1415.9,3,24.0
20200907,983,1379.1,4,23.4
20200908,645,1413.4,27,23.6
20200909,852,1388.5,35,23.4
20200910,1631,1447.6,57,22.4
20200911,1622,1403.6,37,22.8
20200912,1032,1372.3,39,22.9
20200913,933,1379.4,14,22.9
20200914,2450,1340.2,19,23.7
20200915,957,1374.1,30,24.5
20200916,1856,1358.5,24,24.4
20200917,1053,1374.7,13,24.4
20200918,2357,1363.0,32,24.8
20200919,942,1374.1,20,25.0
20200920,2075,1406.3,2,24.9
20200921,895,1390.2,15,24.4
20200922,739,1359.2,28,23.3
20200923,1650,1366.9,16,23.6
20200924,892,1399.3,35,23.8
20200925,1764,1401.2,40,23.8
20200926,1437,1435.4,22,23.5
20200927,2104,1446.1,3,23.4
20200928,737,1490.8,12,25.8
20200929,879,1452.7,31,25.5
20200930,1528,1486.2,34,25.8
20201001,1293,1485.9,47,26.1
20201002,971,1584.4,14,25.8
20201003,1192,1603.9,45,25.5
20201004,1615,1606.7,17,26.2
20201005,2489,1673.2,20,26.3
20201006,1676,1620.9,24,24.7
20201007,2080,1678.5,21,25.2
20201008,1992,1702.3,63,25.3
20201009,1556,1825.2,27,25.4
20201010,1646,1855.1,26,25.3
20201011,2068,1891.5,9,24.6
20201012,2965,1927.4,7,24.3
20201013,1147,2052.9,23,26.7
20201014,1709,2118.7,31,25.7
20201015,2289,2208.4,36,26.4
20201016,666,2198.4,7,27.0
20201017,2646,2209.5,32,27.9
20201018,2605,2226.9,6,28.5
20201019,3317,2258.7,13,26.6
20201020,1508,2308.8,30,29.0
20201021,2292,2286.8,18,28.3
20201022,2046,2224.2,41,28.5
20201023,3606,2233.6,65,28.8
20201024,2574,2263.2,24,31.3
20201025,3500,2345.9,31,31.0
20201026,2279,2330.7,32,30.7
