YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,1245,1224.0,42,32.9
20200521,1294,1241.1,23,31.7
20200522,538,1224.4,11,30.3
20200523,1115,1248.0,13,29.4
20200524,1029,1258.2,44,28.8
20200525,473,1274.4,11,28.6
20200526,1034,1296.7,14,27.8
20200527,1370,1330.1,34,27.0
20200528,1787,1316.0,21,25.5
20200529,629,1299.5,19,24.0
20200530,1791,1318.4,39,23.0
20200531,1699,1381.0,17,22.4
20200601,988,1412.4,12,22.8
20200602,1837,1487.3,24,23.7
20200603,1553,1536.2,29,24.0
20200604,1680,1562.8,37,22.7
20200605,1808,1621.6,25,23.2
20200606,2042,1728.4,27,25.0
20200607,1045,1870.5,10,25.2
20200608,992,1949.6,11,25.7
20200609,1738,2113.4,19,26.3
20200610,2559,2247.9,31,25.9
20200611,1954,2303.2,30,25.8
20200612,2111,2499.5,30,26.3
20200613,2141,2660.5,19,26.4
20200614,1587,2861.3,17,26.9
20200615,1709,3056.9,23,27.4
20200616,3276,3241.0,51,28.0
20200617,4355,3409.6,38,28.7
20200618,3447,3588.0,32,29.4
20200619,4069,3845.0,32,30.3
20200620,4615,4062.4,30,30.8
20200621,2862,4374.9,14,32.0
20200622,5110,4630.0,23,32.7
20200623,5218,4822.3,26,33.8
20200624,5770,5028.8,40,34.6
20200625,5787,5123.7,47,35.4
20200626,5674,5520.1,39,36.9
20200627,5583,5857.4,41,39.3
20200628,4791,6095.9,24,41.9
20200629,6389,6487.0,30,46.8
20200630,6303,6735.2,29,48.2
20200701,9122,6908.1,56,50.6
20200702,7310,7163.8,45,54.2
20200703,6150,7261.2,54,56.6
20200704,6477,7507.9,36,59.4
20200705,3581,7774.6,33,64.9
20200706,10033,8163.2,55,70.7
20200707,10359,8452.6,101,76.0
20200708,9364,8636.0,93,80.1
20200709,11659,8790.9,134,83.0
20200710,9282,8907.1,63,86.9
20200711,8246,9001.4,79,91.0
20200712,8231,9115.9,90,99.5
20200713,7156,9220.7,73,106.7
20200714,10398,9278.2,86,112.8
20200715,11372,9428.9,154,119.4
20200716,13947,9442.5,170,123.8
20200717,11751,9271.9,149,154.3
20200718,9436,9196.0,129,159.6
20200719,8043,9258.2,84,167.5
20200720,8830,9132.7,112,173.3
20200721,8283,9219.4,116,177.0
20200722,11525,9117.6,233,186.9
20200723,9511,8877.4,196,183.4
20200724,7359,8978.5,182,187.8
20200725,9641,9002.6,175,195.1
20200726,3866,8963.2,125,205.9
20200727,6450,8648.4,696,238.8
20200728,8766,8466.0,213,244.8
20200729,10671,8331.0,258,248.6
20200730,9023,8203.6,256,249.8
20200731,11102,8069.3,140,248.9
20200801,6108,8069.0,288,242.3
20200802,3188,7831.0,17,245.7
20200803,9279,7711.4,164,247.7
20200804,10904,7835.1,240,253.5
20200805,10544,7714.8,381,254.2
20200806,7337,7896.0,860,254.6
20200807,7919,7850.5,276,224.2
20200808,6603,7805.4,209,224.6
20200809,5366,7564.3,109,223.9
20200810,6010,7383.3,92,223.7
20200811,8276,7129.9,-22,228.1
20200812,6528,7019.0,304,221.7
20200813,7000,7092.0,238,226.8
20200814,9957,6863.1,304,221.7
20200815,7114,6636.9,190,218.5
20200816,7670,6431.8,134,209.5
20200817,5495,6274.9,57,179.1
20200818,7819,6147.3,222,174.0
20200819,5608,6072.8,243,170.1
20200820,5222,5949.3,251,168.6
20200821,5781,5822.0,233,166.2
20200822,3779,5667.4,153,173.7
20200823,4722,5555.4,124,167.6
20200824,4471,5391.5,57,165.1
20200825,6153,5202.5,174,156.7
20200826,6238,5076.0,192,154.5
20200827,4042,4829.9,222,151.8
20200828,5239,4609.5,168,151.3
20200829,5039,4410.0,128,145.6
20200830,2773,4374.9,77,140.2
20200831,3336,4230.2,41,129.0
20200901,5030,4220.1,135,131.1
20200902,4175,4176.7,177,128.9
20200903,3558,4155.0,186,126.8
20200904,5988,4135.0,126,126.2
20200905,4459,4176.5,144,124.7
20200906,2500,4067.4,77,122.1
20200907,867,4092.1,47,115.7
20200908,3631,4006.9,102,113.0
20200909,4870,3902.8,130,111.2
20200910,2183,4041.0,16,109.6
20200911,5570,4918.4,277,110.1
20200912,2867,5011.4,107,108.6
20200913,4267,4882.8,80,106.0
20200914,4050,4945.1,44,103.8
20200915,7025,4850.0,142,102.6
20200916,3946,4803.3,138,100.7
20200917,4562,4909.1,88,99.0
20200918,3449,5010.1,111,99.8
20200919,2853,5144.2,91,99.0
20200920,5676,5084.7,43,98.0
20200921,21760,5161.0,51,102.7
20200922,6984,5174.6,104,94.2
20200923,1474,5293.6,123,92.5
20200924,4866,5207.3,138,90.1
20200925,3991,5218.0,102,93.5
20200926,3479,5189.7,103,91.1
20200927,4722,5247.8,42,90.2
20200928,2987,5218.0,63,91.1
20200929,6448,5272.1,87,90.4
20200930,3619,5336.6,109,89.8
20201001,3786,5165.2,114,89.2
20201002,5855,4253.7,99,88.3
