YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,192,159.8,2,2.1
20200521,164,166.0,2,2.0
20200522,183,169.2,1,2.0
20200523,203,172.5,4,2.0
20200524,132,180.1,0,2.0
20200525,129,188.8,1,1.9
20200526,99,203.3,3,1.9
20200527,86,223.0,4,1.9
20200528,215,229.3,1,1.8
20200529,343,235.1,1,1.8
20200530,269,240.0,5,1.9
20200531,264,245.4,1,1.8
20200601,202,256.1,0,1.9
20200602,203,262.9,0,2.2
20200603,295,272.4,4,2.0
20200604,316,282.0,0,2.1
20200605,439,289.9,3,2.1
20200606,546,300.8,1,2.1
20200607,268,316.1,0,2.1
20200608,256,329.4,3,2.2
20200609,237,341.0,3,2.3
20200610,305,358.8,1,2.1
20200611,388,365.0,3,2.1
20200612,325,376.5,8,2.2
20200613,404,385.6,0,2.3
20200614,332,394.6,0,2.2
20200615,295,407.7,4,2.2
20200616,329,419.0,2,2.2
20200617,407,420.5,4,2.2
20200618,495,430.2,3,2.1
20200619,586,444.9,3,2.1
20200620,643,459.9,0,2.1
20200621,394,469.1,3,2.1
20200622,444,477.0,0,2.1
20200623,394,490.0,5,2.0
20200624,484,502.9,0,2.0
20200625,590,506.6,1,2.0
20200626,676,517.2,2,2.2
20200627,578,528.4,1,2.3
20200628,472,543.4,0,2.5
20200629,564,548.4,1,2.5
20200630,553,561.8,4,2.5
20200701,499,561.3,1,2.7
20200702,554,572.5,3,2.7
20200703,596,577.3,5,2.7
20200704,676,579.9,0,3.0
20200705,410,576.5,3,3.3
20200706,517,593.9,6,3.3
20200707,564,596.3,4,3.3
20200708,722,605.0,7,3.6
20200709,601,619.9,4,3.7
20200710,867,612.5,2,3.8
20200711,632,609.3,5,3.8
20200712,629,612.5,3,4.1
20200713,546,610.9,1,4.3
20200714,448,623.6,10,4.4
20200715,413,622.9,7,4.4
20200716,954,620.0,1,4.4
20200717,727,616.2,1,4.3
20200718,760,610.6,8,4.4
20200719,785,592.3,0,4.3
20200720,409,587.6,4,4.5
20200721,486,570.1,4,4.6
20200722,566,564.1,9,4.7
20200723,521,556.7,7,4.6
20200724,863,547.6,6,4.7
20200725,661,544.2,1,4.5
20200726,350,544.6,0,4.5
20200727,436,527.1,7,4.6
20200728,446,514.4,5,4.8
20200729,339,496.1,6,4.4
20200730,502,476.7,8,4.3
20200731,500,469.7,4,4.7
20200801,506,463.8,6,4.7
20200802,473,453.0,1,4.3
20200803,354,444.0,3,4.1
20200804,378,429.2,7,4.1
20200805,421,414.2,6,4.2
20200806,587,413.3,3,4.1
20200807,460,404.0,5,4.0
20200808,376,395.3,0,4.0
20200809,376,396.5,1,4.0
20200810,263,394.6,9,3.9
20200811,362,392.8,4,3.8
20200812,338,386.3,2,3.6
20200813,334,378.1,2,3.6
20200814,552,373.1,7,3.6
20200815,345,374.3,3,3.6
20200816,331,373.6,0,3.5
20200817,242,363.9,1,3.5
20200818,263,360.6,5,3.4
20200819,364,364.5,8,3.4
20200820,461,368.0,4,3.4
20200821,463,367.5,2,3.0
20200822,369,364.3,2,2.9
20200823,301,368.2,0,2.8
20200824,249,376.3,5,2.9
20200825,403,374.4,7,2.8
20200826,407,378.6,4,2.7
20200827,383,381.3,2,2.8
20200828,391,387.6,4,2.8
20200829,458,390.6,0,2.6
20200830,448,388.2,0,2.4
20200831,253,382.7,0,2.3
20200901,296,391.9,2,2.3
20200902,419,401.6,1,2.3
20200903,504,417.1,4,2.2
20200904,513,432.1,5,2.2
20200905,433,439.7,1,1.9
20200906,388,455.9,2,1.7
20200907,373,481.0,1,1.7
20200908,326,515.6,1,1.5
20200909,314,545.0,3,1.6
20200910,346,567.5,3,1.6
20200911,656,585.1,1,1.6
20200912,572,602.0,2,1.6
20200913,628,623.8,0,1.6
20200914,563,656.8,3,1.5
20200915,562,699.6,0,1.4
20200916,747,727.4,1,1.4
20200917,911,759.8,0,1.5
20200918,1117,781.4,0,1.5
20200919,1077,798.9,3,1.6
20200920,920,827.1,0,1.5
20200921,622,858.6,1,1.7
20200922,650,880.1,2,2.0
20200923,877,903.7,1,2.0
20200924,1198,940.1,0,2.1
20200925,1411,966.0,4,2.2
20200926,1017,973.3,0,2.5
20200927,1068,985.7,5,2.8
20200928,827,1013.8,0,3.0
20200929,694,1024.5,4,3.1
20200930,906,1037.7,2,3.3
20201001,1008,1051.0,0,3.7
20201002,1107,1068.5,15,3.9
20201003,1068,1084.5,2,3.9
20201004,1393,1097.2,2,4.0
20201005,1105,1111.5,4,4.0
20201006,716,1115.6,6,4.2
20201007,1007,1131.0,8,4.3
20201008,1501,1132.3,5,4.3
20201009,1343,1148.6,4,4.3
