YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,0,3.5,0,0.0
20200521,6,3.5,0,0.0
20200522,2,3.4,0,0.0
20200523,2,3.4,0,0.0
20200524,2,3.3,0,0.0
20200525,6,4.9,0,0.0
20200526,5,4.7,0,0.0
20200527,4,5.4,0,0.0
20200528,3,6.0,1,0.0
20200529,1,6.4,0,0.0
20200530,2,6.7,0,0.0
20200531,4,7.0,0,0.0
20200601,2,7.6,0,0.0
20200602,5,8.0,0,0.0
20200603,2,8.1,0,0.0
20200604,36,8.1,0,0.0
20200605,1,7.9,0,0.0
20200606,19,7.8,0,0.0
20200607,17,7.6,0,0.0
20200608,12,7.7,0,0.0
20200609,9,8.0,0,0.0
20200610,11,8.1,0,0.0
20200611,15,8.5,0,0.0
20200612,9,8.6,0,0.0
20200613,6,8.4,0,0.0
20200614,2,9.2,0,0.0
20200615,1,7.9,0,0.0
20200616,3,8.1,0,0.0
20200617,-1,7.3,0,0.0
20200618,5,6.6,1,0.0
20200619,9,6.3,0,0.0
20200620,3,6.0,0,0.0
20200621,12,5.5,0,0.0
20200622,4,5.6,0,0.0
20200623,1,5.6,0,0.0
20200624,20,5.4,0,0.0
20200625,7,5.8,0,0.0
20200626,7,5.9,0,0.0
20200627,2,5.9,0,0.0
20200628,2,6.0,0,0.0
20200629,6,6.5,0,0.0
20200630,0,6.3,0,0.0
20200701,2,6.5,0,0.0
20200702,17,6.5,0,0.0
20200703,9,6.6,0,0.0
20200704,2,6.7,0,0.0
20200705,11,6.4,0,0.0
20200706,2,6.4,0,0.0
20200707,3,6.5,0,0.0
20200708,2,6.6,0,0.0
20200709,16,7.0,0,0.0
20200710,5,7.2,0,0.0
20200711,6,7.5,0,0.0
20200712,13,7.7,0,0.0
20200713,5,7.1,0,0.0
20200714,4,7.1,0,0.0
20200715,13,7.5,0,0.0
20200716,7,7.2,0,0.0
20200717,9,7.2,0,0.0
20200718,4,7.2,0,0.0
20200719,12,7.1,0,0.0
20200720,10,6.4,0,0.0
20200721,6,6.5,0,0.0
20200722,0,6.6,0,0.0
20200723,11,6.2,0,0.0
20200724,8,6.0,0,0.0
20200725,11,6.0,0,0.0
20200726,4,5.6,0,0.0
20200727,2,5.7,0,0.1
20200728,3,5.4,0,0.1
20200729,1,5.5,0,0.1
20200730,1,5.2,1,0.1
20200731,7,4.9,0,0.1
20200801,7,5.0,0,0.1
20200802,5,5.1,0,0.1
20200803,1,5.1,0,0.1
20200804,4,5.5,0,0.1
20200805,5,5.4,0,0.1
20200806,9,5.5,1,0.1
20200807,3,6.0,0,0.1
20200808,6,6.0,0,0.1
20200809,5,6.0,0,0.1
20200810,3,6.2,0,0.0
20200811,10,6.0,0,0.0
20200812,6,6.3,0,0.0
20200813,6,6.2,0,0.0
20200814,17,6.6,0,0.0
20200815,8,6.7,0,0.0
20200816,6,6.7,0,0.0
20200817,12,6.7,0,0.0
20200818,3,6.7,0,0.0
20200819,3,7.2,0,0.0
20200820,4,7.5,0,0.0
20200821,4,7.7,0,0.0
20200822,12,7.8,0,0.0
20200823,4,7.6,0,0.0
20200824,9,7.4,0,0.0
20200825,6,6.7,0,0.0
20200826,5,6.6,0,0.0
20200827,9,6.3,0,0.0
20200828,3,5.9,0,0.0
20200829,16,5.9,0,0.0
20200830,11,5.9,0,0.0
20200831,8,5.9,0,0.0
20200901,11,6.0,0,0.0
20200902,2,5.9,0,0.0
20200903,0,6.0,0,0.0
20200904,5,6.2,0,0.0
20200905,5,6.2,0,0.0
20200906,1,6.0,0,0.0
20200907,3,5.7,0,0.0
20200908,3,5.6,0,0.0
20200909,2,5.0,0,0.0
20200910,5,4.7,0,0.0
20200911,7,4.5,0,0.0
20200912,9,4.1,0,0.0
20200913,7,4.0,0,0.0
20200914,12,4.0,0,0.0
20200915,6,4.2,0,0.0
20200916,0,4.4,0,0.0
20200917,3,4.5,0,0.0
20200918,1,4.5,0,0.0
20200919,4,4.5,0,0.0
20200920,5,4.6,0,0.0
20200921,4,4.5,0,0.0
20200922,2,4.8,0,0.0
20200923,1,4.8,0,0.0
20200924,2,4.8,0,0.0
20200925,7,5.8,0,0.0
20200926,8,5.7,0,0.0
20200927,3,5.9,0,0.0
20200928,3,6.3,0,0.0
20200929,4,6.7,0,0.0
20200930,3,7.0,0,0.0
20201001,3,7.3,0,0.0
20201002,13,7.5,0,0.0
20201003,10,7.9,0,0.0
20201004,7,8.0,0,0.0
20201005,32,8.5,0,0.0
20201006,4,8.8,0,0.0
20201007,6,8.9,0,0.0
20201008,11,9.3,0,0.0
20201009,8,9.6,0,0.0
20201010,11,9.9,0,0.0
20201011,11,10.4,0,0.0
20201012,8,11.0,0,0.0
20201013,10,11.8,0,0.0
20201014,3,12.6,0,0.0
20201015,14,13.7,0,0.0
20201016,12,12.7,0,0.0
20201017,11,13.9,0,0.0
20201018,11,14.0,0,0.0
20201019,9,14.4,0,0.0
20201020,10,14.7,0,0.0
20201021,15,15.3,0,0.0
20201022,16,15.6,0,0.0
20201023,29,16.3,0,0.0
20201024,27,16.7,0,0.0
20201025,30,18.0,0,0.0
20201026,10,19.0,0,0.0
20201027,30,19.6,0,0.0
20201028,7,20.0,0,0.0
20201029,21,21.7,0,0.0
20201030,14,22.3,0,0.0
20201031,24,24.1,0,0.0
20201101,17,26.9,0,0.0
20201102,23,31.6,0,0.0
20201103,18,34.6,0,0.0
20201104,30,38.1,0,0.0
20201105,36,38.9,0,0.0
20201106,23,44.0,0,0.0
20201107,21,47.2,1,0.0
20201108,45,49.6,0,0.1
20201109,23,55.7,0,0.1
20201110,47,62.1,0,0.2
20201111,73,65.1,0,0.2
20201112,116,68.2,0,0.2
20201113,92,71.2,0,0.2
20201114,100,72.6,0,0.3
20201115,46,74.3,0,0.3
20201116,119,76.8,0,0.4
20201117,96,80.0,0,0.4
20201118,57,80.3,1,0.4
20201119,149,81.3,1,0.4
20201120,149,83.7,1,0.5
20201121,87,84.6,1,0.6
20201122,83,91.7,0,0.7
20201123,85,94.8,0,0.8
20201124,48,96.2,1,0.9
20201125,65,97.7,0,1.0
20201126,0,101.2,0,1.0
20201127,178,98.7,3,1.0
20201128,28,98.9,0,1.2
20201129,67,101.1,0,1.2
20201130,72,100.1,2,1.3
20201201,67,99.1,3,1.5
20201202,222,99.0,2,1.5
20201203,181,101.1,1,1.5
20201204,121,102.0,2,1.6
20201205,131,102.9,2,1.7
20201206,121,103.9,0,1.9
20201207,65,106.3,2,1.9
20201208,100,106.6,4,1.9
20201209,105,110.0,1,2.0
20201210,128,111.6,3,2.1
20201211,128,112.5,4,2.0
20201212,85,112.8,2,1.9
20201213,127,105.7,0,2.0
20201214,104,101.9,1,2.1
20201215,66,100.5,4,2.0
20201216,86,98.7,5,2.0
20201217,140,95.9,0,2.2
20201218,94,97.1,2,2.3
20201219,100,96.3,1,2.1
20201220,100,94.8,3,2.3
20201221,91,95.2,0,2.2
20201222,74,95.7,1,2.1
20201223,72,98.2,5,2.1
20201224,101,97.1,3,2.1
20201225,0,96.0,0,2.3
20201226,185,100.7,1,2.3
20201227,63,102.3,6,2.2
20201228,91,107.3,2,2.3
20201229,82,113.1,1,2.3
20201230,74,116.5,4,2.3
20201231,136,120.2,2,2.1
20210101,0,121.1,0,2.1
20210102,277,125.7,3,2.2
20210103,104,128.0,1,2.0
20210104,80,133.0,4,2.0
20210105,165,136.2,5,2.0
20210106,120,140.4,3,2.0
20210107,245,144.2,3,1.7
20210108,216,147.6,1,1.6
20210109,171,148.5,0,1.6
20210110,177,152.1,0,1.5
20210111,111,150.9,0,1.5
20210112,169,152.8,2,1.5
20210113,121,153.3,0,1.5
20210114,205,154.3,4,1.4
20210115,161,156.8,1,1.3
20210116,181,154.6,0,1.0
20210117,142,153.4,0,1.0
20210118,163,148.6,0,0.8
20210119,101,144.7,0,0.8
20210120,150,144.8,2,0.8
20210121,109,142.8,3,0.9
20210122,179,143.1,1,0.9
20210123,149,140.4,1,0.9
20210124,125,141.0,0,0.9
20210125,132,139.5,1,0.9
20210126,120,137.0,0,0.9
20210127,94,135.8,1,0.9
20210128,144,135.4,0,1.0
20210129,135,134.6,0,1.0
20210130,173,132.6,1,1.1
20210131,134,126.2,1,1.0
20210201,118,127.1,1,1.0
20210202,113,126.5,1,1.0
20210203,133,126.3,3,0.9
20210204,174,125.9,2,0.9
20210205,109,128.4,0,0.9
20210206,154,125.3,1,1.0
20210207,134,124.6,1,1.0
20210208,146,125.0,0,1.0
20210209,59,123.5,3,1.0
20210210,17,120.4,1,1.1
20210211,127,120.4,1,1.1
20210212,166,120.2,1,1.1
20210213,146,118.8,0,1.1
20210214,116,116.1,0,1.0
