YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,763,1024.6,33,31.3
20200521,1229,1024.1,25,30.0
20200522,813,1014.0,36,29.2
20200523,799,1006.1,23,28.4
20200524,495,990.0,12,27.8
20200525,1483,987.4,37,27.0
20200526,1615,971.8,28,25.9
20200527,907,965.1,45,24.7
20200528,1152,978.3,57,23.6
20200529,1132,957.7,20,22.3
20200530,1078,933.0,12,21.6
20200531,996,917.6,5,20.9
20200601,791,881.4,17,20.0
20200602,841,869.6,15,19.0
20200603,666,862.9,21,18.2
20200604,951,869.6,17,17.9
20200605,676,817.1,9,16.4
20200606,865,761.4,7,15.9
20200607,1282,739.3,11,14.4
20200608,572,706.5,5,11.8
20200609,487,679.0,19,11.6
20200610,439,658.7,18,11.3
20200611,470,637.5,6,11.2
20200612,564,622.2,14,10.9
20200613,658,607.4,7,11.3
20200614,637,600.4,5,11.1
20200615,380,575.7,6,11.0
20200616,445,573.2,18,11.7
20200617,444,564.3,13,12.5
20200618,463,526.5,3,12.4
20200619,555,520.9,16,12.5
20200620,650,526.1,5,12.7
20200621,551,525.0,4,13.0
20200622,471,528.0,9,14.1
20200623,529,532.5,25,14.8
20200624,520,535.2,16,14.7
20200625,432,535.3,14,14.6
20200626,624,534.1,25,15.0
20200627,677,543.3,24,14.8
20200628,489,552.4,8,15.3
20200629,453,559.5,8,16.7
20200630,598,578.0,23,17.0
20200701,416,587.6,23,16.9
20200702,532,603.6,30,16.9
20200703,658,627.5,29,16.6
20200704,716,640.4,4,15.8
20200705,639,667.3,4,15.8
20200706,354,689.8,0,15.8
20200707,638,707.8,28,14.9
20200708,635,720.3,24,14.3
20200709,613,747.3,32,14.0
20200710,943,770.8,21,13.9
20200711,851,789.7,4,13.6
20200712,888,818.6,4,12.6
20200713,972,833.4,2,11.3
20200714,801,855.8,9,10.6
20200715,1084,881.0,15,10.8
20200716,904,896.1,15,10.7
20200717,1002,951.0,6,10.2
20200718,940,964.5,12,10.2
20200719,1057,981.8,2,10.5
20200720,945,996.0,4,9.7
20200721,996,998.0,17,10.3
20200722,1022,1000.9,3,12.0
20200723,844,1005.3,3,12.0
20200724,1127,1022.1,13,12.5
20200725,1245,1038.5,8,12.7
20200726,958,1024.9,3,13.4
20200727,1505,1020.8,4,13.9
20200728,922,1069.0,13,14.5
20200729,999,1086.5,30,14.1
20200730,911,1078.9,16,14.2
20200731,984,1065.4,33,14.1
20200801,913,1065.4,41,14.1
20200802,981,1053.7,3,14.3
20200803,1324,1066.0,0,14.7
20200804,1145,1070.2,26,14.4
20200805,798,1054.3,30,14.6
20200806,818,1053.3,25,14.5
20200807,2015,1016.6,18,14.4
20200808,1307,1013.7,5,14.3
20200809,897,1001.2,4,13.6
20200810,663,998.8,1,13.6
20200811,996,998.5,17,12.5
20200812,776,1012.9,8,10.9
20200813,1101,1008.5,11,11.9
20200814,1216,977.0,7,11.4
20200815,912,970.2,11,11.9
20200816,937,971.4,0,11.5
20200817,734,985.8,4,10.9
20200818,861,938.6,11,11.1
20200819,737,934.3,14,11.7
20200820,860,936.2,17,11.6
20200821,978,945.0,9,12.0
20200822,1215,946.2,7,12.8
20200823,888,952.2,24,13.8
20200824,663,953.1,4,13.8
20200825,1003,947.6,23,13.9
20200826,822,951.3,21,14.1
20200827,1121,963.8,12,14.0
20200828,1023,959.5,23,14.2
20200829,1217,958.3,18,13.8
20200830,938,965.2,1,13.7
20200831,847,983.1,11,13.4
20200901,1021,989.7,32,13.1
20200902,903,990.3,29,13.3
20200903,1119,993.0,11,12.2
20200904,1101,997.5,10,13.0
20200905,989,994.7,15,16.4
20200906,1199,995.8,1,17.6
20200907,645,994.8,6,18.7
20200908,836,1005.2,2,19.0
20200909,882,992.7,11,20.1
20200910,1236,988.8,11,21.2
20200911,1115,978.3,3,21.0
20200912,1228,971.2,11,21.3
20200913,946,955.8,2,21.3
20200914,757,945.5,19,22.0
20200915,943,937.9,96,22.6
20200916,845,937.2,45,22.2
20200917,1101,915.1,36,22.9
20200918,1242,905.8,29,23.2
20200919,953,910.0,41,23.9
20200920,856,903.9,25,24.3
20200921,627,866.5,6,24.8
20200922,872,859.4,39,25.7
20200923,580,854.0,29,26.1
20200924,902,859.8,24,26.1
20200925,941,856.5,23,25.4
20200926,975,841.3,8,21.5
20200927,736,825.3,15,20.0
20200928,449,860.7,13,19.4
20200929,923,854.6,15,18.8
20200930,755,869.0,21,17.3
20201001,450,866.9,20,16.3
20201002,966,877.7,22,16.2
20201003,1116,895.0,20,14.9
20201004,1067,905.7,3,13.9
20201005,687,926.1,3,13.1
20201006,625,937.7,15,13.0
20201007,509,944.3,12,13.2
20201008,1844,952.1,25,13.0
20201009,1114,963.6,16,13.6
20201010,1256,963.7,10,14.2
20201011,811,976.2,4,14.6
20201012,854,1018.2,3,14.1
20201013,1235,1028.4,11,13.8
20201014,805,1027.1,9,14.7
20201015,1331,1023.9,7,14.6
20201016,1183,1034.2,20,14.5
20201017,1114,1058.4,14,14.7
20201018,900,1098.2,11,14.9
20201019,690,1078.5,24,14.7
20201020,926,1094.8,28,14.2
20201021,1018,1108.8,30,14.3
20201022,1332,1127.4,9,14.1
20201023,1180,1135.6,15,14.1
20201024,1088,1136.9,39,14.0
20201025,999,1153.6,1,14.1
20201026,904,1155.3,2,14.3
20201027,1134,1173.6,19,13.0
20201028,1345,1220.7,16,13.4
20201029,1429,1239.9,20,13.0
20201030,1456,1269.0,7,12.2
20201031,1551,1293.2,11,11.5
20201101,1202,1320.7,1,10.8
20201102,1026,1329.7,3,11.1
20201103,1261,1332.3,8,11.7
20201104,1157,1353.7,11,10.5
20201105,1366,1361.4,11,10.5
20201106,1568,1445.8,-6,10.7
20201107,2103,1493.0,22,11.2
20201108,1302,1527.6,3,11.6
20201109,1302,1552.6,6,12.4
20201110,1435,1604.4,13,12.8
20201111,1594,1642.3,15,13.5
20201112,1521,1685.9,17,13.6
20201113,1235,1791.4,27,13.5
20201114,1537,1852.5,14,14.9
20201115,1161,1926.9,1,15.8
20201116,2677,1985.6,6,16.2
20201117,2125,1984.5,29,17.2
20201118,2071,2035.4,25,16.7
20201119,1954,2084.1,36,16.7
20201120,2544,2112.3,16,16.6
20201121,2348,2150.0,26,17.5
20201122,2117,2189.2,0,17.7
20201123,3242,2213.1,4,18.5
20201124,2544,2291.3,37,17.9
20201125,2718,2398.8,29,19.0
20201126,2600,2528.2,21,19.0
20201127,1544,2582.5,15,19.1
20201128,3173,2665.1,10,20.2
20201129,2325,2776.0,4,20.0
20201130,1893,2869.3,4,20.9
20201201,2228,2909.9,31,21.8
20201202,2417,2997.0,20,22.4
20201203,2023,3053.0,34,22.4
20201204,2877,3052.9,13,22.5
20201205,3793,3082.2,37,23.4
20201206,3880,3140.0,3,23.8
20201207,3817,3199.7,8,25.0
20201208,3860,3283.0,52,26.4
20201209,4398,3302.6,21,28.0
20201210,3915,3376.5,54,28.2
20201211,3395,3478.8,35,28.2
20201212,4177,3543.7,39,29.1
20201213,3294,3650.1,2,30.8
20201214,3240,3781.5,3,30.7
20201215,3160,3838.7,56,31.4
20201216,3931,3733.5,38,30.6
20201217,3853,3739.2,45,31.1
20201218,3295,3681.2,45,31.1
20201219,3584,3693.7,45,31.4
20201220,3876,3677.0,7,33.5
20201221,4042,3740.0,4,33.2
20201222,3591,3825.1,51,33.9
20201223,4652,3816.2,55,33.7
20201224,4782,3897.9,31,34.0
20201225,4078,3923.2,29,34.2
20201226,1584,3981.1,20,34.3
20201227,3999,4050.5,14,34.2
20201228,2599,4123.1,7,34.4
20201229,4122,4215.7,59,34.0
20201230,4048,4321.1,64,35.1
20201231,5239,4381.3,48,34.9
20210101,5182,4404.6,49,35.2
20210102,3989,4450.8,36,36.8
20210103,5010,4448.2,7,37.7
20210104,3771,4472.6,8,39.8
20210105,4377,4506.7,59,39.8
20210106,5387,4753.0,35,41.2
20210107,5379,5034.7,49,41.7
20210108,5238,5256.0,37,41.8
20210109,5798,5275.2,69,41.8
20210110,5141,5297.4,2,41.8
20210111,4530,5239.0,10,43.2
20210112,4561,5189.8,84,43.9
20210113,4598,5233.3,75,45.8
20210114,5294,5175.3,74,45.4
20210115,4795,5289.7,30,45.2
20210116,6757,5305.4,50,46.8
20210117,9914,5297.8,23,47.7
20210118,7245,5285.5,10,49.2
20210119,4526,5237.9,59,50.8
20210120,4515,5167.0,63,50.9
20210121,4013,5044.0,79,51.5
20210122,4147,4964.5,62,51.5
20210123,4904,4877.8,77,49.5
20210124,3792,4799.7,-1,48.7
20210125,6172,4693.3,3,48.8
20210126,4707,4706.3,93,51.2
20210127,5227,4608.8,54,50.8
20210128,5121,4277.1,80,50.0
20210129,4238,4013.1,71,51.5
20210130,4309,3954.3,70,52.4
20210131,2558,3891.8,15,51.0
20210201,2861,3876.9,10,48.5
20210202,2740,3831.3,43,45.9
20210203,2959,3750.9,58,43.7
20210204,3059,3693.0,75,44.5
20210205,5069,3472.3,82,44.5
20210206,4709,3332.5,41,41.1
20210207,2949,3192.3,5,40.3
20210208,1700,3058.2,42,37.2
20210209,3291,2953.2,78,34.2
20210210,3203,2837.7,34,35.6
20210211,3699,2825.5,26,41.3
20210212,3191,2744.3,8,48.2
20210213,3215,2698.0,30,54.3
20210214,2575,2648.0,16,58.7
20210215,1539,2599.2,4,62.5
20210216,1770,2436.8,21,69.8
20210217,2284,2292.3,38,76.6
20210218,2304,2234.5,15,84.5
20210219,2034,2207.1,8,93.5
20210220,1882,2116.3,99,97.4
20210221,2303,2037.6,134,114.0
20210222,1155,1923.3,155,114.2
20210223,1769,1850.0,172,117.2
20210224,1907,1767.3,149,120.1
20210225,2036,1700.0,156,123.0
20210226,1657,1669.2,234,127.0
20210227,1675,1658.1,185,131.1
20210228,1736,1608.7,170,132.1
20210301,1124,1558.5,231,133.9
20210302,1385,1537.3,160,136.3
20210303,1549,1511.9,383,132.8
20210304,1300,1458.1,31,128.0
20210305,1652,1456.9,71,122.6
20210306,1477,1433.4,91,116.5
20210307,1163,1405.8,77,111.8
20210308,892,1408.0,87,105.7
20210309,1537,1406.8,107,90.2
20210310,1246,1401.5,59,82.0
20210311,1250,1374.0,53,74.5
20210312,1589,1371.1,59,64.0
20210313,1348,1365.5,24,56.9
20210314,1173,1361.7,34,38.9
20210315,1130,1374.0,41,37.6
20210316,1276,1381.0,44,34.6
20210317,1327,1401.8,50,31.4
20210318,2082,1412.7,28,28.7
20210319,1632,1424.6,-90,25.5
20210320,1563,1419.6,12,21.5
20210321,1159,1409.6,13,19.2
20210322,1063,1437.0,10,17.4
20210323,1267,1434.5,10,15.1
20210324,1470,1443.8,6,14.4
20210325,1559,1448.2,4,14.8
20210326,1799,1443.1,7,14.3
20210327,1912,1450.7,24,14.1
20210328,1392,1461.3,20,12.4
20210329,1143,1454.0,21,12.1
20210330,1432,1449.7,23,17.1
20210331,1035,1456.2,10,16.9
20210401,1825,1459.4,16,16.9
20210402,1538,1471.2,11,17.1
20210403,1542,1508.4,8,17.6
20210404,1267,1500.3,42,17.5
20210405,1023,1493.5,31,18.2
20210406,1434,1483.7,41,18.8
20210407,1550,1469.2,14,18.4
20210408,1928,1465.1,21,18.2
20210409,1542,1457.2,15,17.9
20210410,1700,1447.9,7,18.2
20210411,1227,1458.7,14,18.5
20210412,1310,1437.1,14,18.3
20210413,2048,1427.7,20,18.4
20210414,1301,1402.1,4,18.5
20210415,1415,1383.9,19,17.2
20210416,1594,1369.4,20,16.5
20210417,1608,1353.1,15,15.3
20210418,1305,1333.3,17,15.2
20210419,978,1298.0,14,15.0
20210420,1236,1284.0,30,15.2
20210421,1261,1249.0,15,15.2
20210422,1373,1226.8,13,15.2
20210423,1340,1193.5,13,15.3
20210424,1005,1132.7,9,15.1
20210425,884,1110.8,16,15.9
20210426,719,1084.2,15,15.8
20210427,1091,1053.0,16,15.5
20210428,1134,1013.5,13,15.3
20210429,1187,977.0,16,15.0
20210430,1249,946.4,19,14.6
20210501,963,916.1,7,14.0
20210502,761,882.8,14,14.0
20210503,611,845.0,16,14.7
20210504,771,804.7,16,15.5
20210505,842,789.4,21,15.9
20210506,856,760.7,17,15.6
20210507,938,739.4,13,15.4
20210508,779,705.4,11,15.2
20210509,539,674.8,10,14.9
20210510,336,646.4,7,15.1
20210511,600,605.8,17,14.5
20210512,561,582.9,15,15.2
20210513,579,557.9,27,15.0
20210514,493,532.4,30,14.7
20210515,685,526.8,17,15.0
20210516,280,502.1,10,14.2
20210517,272,478.3,11,13.9
20210518,378,452.9,13,13.4
20210519,491,431.1,6,13.1
20210520,591,416.3,20,13.2
20210521,396,407.2,6,13.5
20210522,481,381.5,23,13.1
20210523,236,363.6,9,13.0
20210524,76,348.3,10,12.1
20210525,654,337.2,21,11.0
20210526,323,318.2,6,10.5
20210527,357,312.2,9,10.4
20210528,404,303.6,4,10.3
20210529,322,294.2,4,10.0
20210530,227,280.2,13,10.1
20210531,146,262.3,13,9.6
20210601,59,248.5,8,10.0
20210602,186,232.3,12,9.3
20210603,258,224.5,10,9.6
20210604,259,224.1,6,9.6
20210605,286,199.5,7,9.1
20210606,155,197.3,7,8.9
20210607,90,188.2,9,8.8
20210608,182,174.4,8,8.9
20210609,197,163.3,7,8.7
20210610,215,155.1,10,8.5
20210611,105,153.7,13,8.3
20210612,141,157.7,10,8.2
20210613,73,159.7,14,7.7
20210614,68,159.5,11,7.9
20210615,137,164.9,10,8.3
20210616,277,165.4,2,8.2
20210617,166,147.0,6,7.6
20210618,114,147.0,6,7.5
20210619,89,145.3,1,7.6
20210620,54,149.0,8,7.4
20210621,116,149.5,9,7.1
20210622,144,153.0,7,6.7
20210623,228,154.0,1,6.3
20210624,254,158.5,13,5.7
20210625,371,161.0,15,5.4
20210626,298,160.8,6,5.0
20210627,-232,160.6,-6,5.0
20210628,89,166.6,6,5.0
20210629,148,173.4,10,5.0
20210630,275,182.8,3,5.1
20210701,224,191.6,4,4.9
20210702,180,194.8,4,4.6
20210703,160,204.4,0,4.4
20210704,168,213.2,4,4.7
20210705,122,222.0,4,4.3
20210706,132,225.6,3,3.9
20210707,273,227.0,2,3.7
20210708,291,253.7,5,4.0
20210709,257,265.1,7,3.9
20210710,286,292.4,2,3.6
20210711,240,311.6,0,3.6
20210712,183,332.7,0,3.5
20210713,346,359.8,9,3.7
20210714,412,382.0,8,3.7
20210715,440,403.9,4,3.7
20210716,445,428.0,6,3.6
20210717,0,461.5,0,3.9
20210718,0,500.3,0,4.1
20210719,986,538.9,6,4.0
20210720,721,582.7,4,4.0
20210721,678,625.5,4,3.9
20210722,666,670.5,2,3.8
20210723,750,718.2,7,3.7
20210724,0,768.6,0,3.7
20210725,0,830.7,0,3.5
20210726,1883,893.6,6,3.6
20210727,835,960.2,9,3.9
20210728,1087,1018.5,7,4.0
20210729,1101,1076.7,3,4.0
20210730,1178,1135.0,7,4.2
20210731,0,1184.4,0,4.3
20210801,0,1252.9,0,4.3
20210802,3555,1333.6,2,4.3
20210803,1403,1406.0,2,4.7
20210804,1717,1469.8,5,4.9
20210805,1760,1533.6,5,5.1
20210806,1845,1597.3,12,5.3
20210807,0,1664.4,0,5.2
20210808,0,1734.2,0,5.2
20210809,4655,1813.4,13,5.4
20210810,1759,1890.2,7,5.5
20210811,2117,1946.2,3,5.9
20210812,2361,2002.1,2,6.3
20210813,2270,2058.1,16,6.7
20210814,0,2135.5,0,7.5
20210815,0,2218.2,0,8.3
20210816,5901,2300.6,19,8.7
20210817,2244,2380.4,7,10.0
20210818,2552,2438.2,7,10.5
20210819,2764,2496.0,6,10.9
20210820,2792,2553.8,9,11.4
20210821,0,2636.0,0,12.6
20210822,0,2697.5,0,13.3
20210823,7081,2787.7,28,14.1
20210824,3027,2873.4,18,14.3
20210825,3454,2918.5,22,14.5
20210826,3491,2963.6,14,14.7
20210827,3520,3008.7,40,14.8
20210828,0,2997.4,0,15.3
20210829,0,3089.2,0,16.4
20210830,8296,3145.8,41,17.7
20210831,3487,3226.1,32,18.5
20210901,3407,3260.6,19,18.9
20210902,4255,3295.0,18,19.3
20210903,4070,3329.5,20,19.7
20210904,0,3359.6,0,20.2
20210905,0,3388.7,0,21.7
20210906,8743,3421.6,30,22.8
20210907,2007,3454.5,18,22.5
20210908,4479,3464.8,30,23.0
20210909,3952,3475.1,33,23.5
20210910,4479,3485.3,26,23.9
20210911,0,3478.1,0,24.9
20210912,0,3493.8,0,26.1
20210913,9252,3470.6,53,27.8
20210914,3659,3422.4,29,29.1
20210915,4066,3275.4,52,30.0
20210916,4181,3326.8,37,30.8
