YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,160,216.1,4,5.2
20200521,146,223.4,9,5.3
20200522,148,239.4,5,5.3
20200523,0,243.1,9,5.4
20200524,563,245.4,9,5.5
20200525,237,248.2,4,5.8
20200526,116,260.6,6,5.9
20200527,225,264.6,11,5.9
20200528,358,269.9,4,6.2
20200529,307,274.6,6,6.5
20200530,278,277.1,2,6.5
20200531,353,282.0,6,6.4
20200601,537,288.5,5,6.5
20200602,277,298.9,6,6.5
20200603,248,299.0,5,6.3
20200604,260,301.4,11,6.0
20200605,459,307.9,5,5.9
20200606,284,314.6,4,6.0
20200607,311,323.2,11,5.7
20200608,300,325.9,10,5.9
20200609,252,340.7,5,5.9
20200610,262,348.9,1,6.0
20200611,284,341.5,12,6.0
20200612,366,340.7,5,6.0
20200613,283,350.4,4,6.1
20200614,333,362.3,2,6.0
20200615,372,373.4,2,5.7
20200616,257,378.0,8,6.0
20200617,406,380.9,6,6.1
20200618,415,390.0,7,5.8
20200619,617,402.5,7,5.6
20200620,451,419.5,4,5.6
20200621,198,441.0,5,5.9
20200622,520,463.5,5,5.8
20200623,480,462.8,10,6.0
20200624,498,479.9,3,6.1
20200625,494,514.3,4,6.3
20200626,556,517.3,11,6.7
20200627,344,530.0,7,6.7
20200628,501,541.4,4,6.8
20200629,564,552.1,5,7.2
20200630,608,551.5,6,7.3
20200701,713,571.2,6,7.5
20200702,757,613.1,10,7.5
20200703,351,614.3,9,7.7
20200704,642,626.8,7,7.8
20200705,1057,663.2,7,7.8
20200706,434,675.5,9,7.9
20200707,523,695.2,9,7.6
20200708,647,723.3,8,7.6
20200709,639,737.3,16,7.9
20200710,604,750.4,9,8.1
20200711,866,752.9,7,8.4
20200712,1077,753.8,5,8.5
20200713,546,758.2,9,8.5
20200714,742,791.0,12,8.7
20200715,1262,798.4,3,8.9
20200716,753,780.0,6,9.3
20200717,970,800.4,6,9.2
20200718,934,812.5,7,9.5
20200719,795,818.5,9,9.9
20200720,839,835.0,11,9.7
20200721,660,846.7,12,10.0
20200722,732,835.4,8,10.4
20200723,850,810.4,9,10.6
20200724,1038,816.8,13,10.7
20200725,799,814.0,12,11.0
20200726,670,793.5,15,11.8
20200727,862,792.1,8,11.9
20200728,778,788.6,14,12.4
20200729,772,773.0,16,12.5
20200730,985,762.8,13,12.6
20200731,850,746.2,15,12.6
20200801,630,740.5,16,12.4
20200802,551,736.0,9,12.7
20200803,680,734.4,10,12.8
20200804,685,720.0,18,12.9
20200805,831,710.1,21,12.8
20200806,723,691.2,8,12.6
20200807,897,675.5,17,12.6
20200808,606,664.0,9,12.2
20200809,580,662.4,11,12.0
20200810,491,640.2,11,11.8
20200811,540,639.1,8,11.3
20200812,639,631.2,14,10.8
20200813,815,621.3,10,10.5
20200814,735,605.4,15,10.4
20200815,592,595.3,11,9.8
20200816,273,583.5,11,9.5
20200817,532,576.9,7,9.6
20200818,536,563.7,7,9.1
20200819,740,557.0,12,9.0
20200820,518,544.1,8,8.7
20200821,827,535.3,4,8.5
20200822,464,532.2,5,8.4
20200823,343,528.5,4,8.0
20200824,347,513.3,7,7.9
20200825,473,503.3,6,7.2
20200826,583,495.1,15,7.2
