YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,65,31.2,1,0.8
20200521,26,31.2,1,0.8
20200522,112,31.0,2,0.8
20200523,0,31.4,0,0.8
20200524,54,31.4,0,0.8
20200525,15,31.6,0,0.8
20200526,0,31.4,0,1.0
20200527,125,31.2,2,0.9
20200528,36,30.6,0,0.9
20200529,16,30.4,0,0.8
20200530,38,29.8,1,0.8
20200531,21,29.9,0,0.8
20200601,18,29.7,1,0.8
20200602,28,25.9,2,0.8
20200603,21,25.8,0,0.8
20200604,25,25.3,1,0.8
20200605,17,26.1,5,0.8
20200606,17,24.0,0,0.8
20200607,8,22.7,0,0.7
20200608,17,23.0,0,0.7
20200609,8,24.6,0,0.7
20200610,25,24.3,1,0.6
20200611,23,24.9,1,0.7
20200612,32,25.0,2,0.7
20200613,25,25.6,0,0.7
20200614,16,26.4,0,0.7
20200615,32,28.2,0,0.6
20200616,19,29.1,0,0.4
20200617,35,30.8,0,0.4
20200618,42,32.8,0,0.4
20200619,50,33.8,0,0.4
20200620,32,35.0,0,0.4
20200621,33,37.4,1,0.4
20200622,19,39.8,0,0.3
20200623,41,41.8,3,0.2
20200624,38,44.3,0,0.3
20200625,63,46.3,0,0.3
20200626,36,53.3,0,0.3
20200627,52,55.4,1,0.3
20200628,50,63.4,0,0.3
20200629,38,67.0,0,0.3
20200630,35,72.1,0,0.3
20200701,74,78.4,0,0.4
20200702,74,81.5,0,0.3
20200703,73,83.9,0,0.3
20200704,79,86.4,1,0.2
20200705,57,91.7,0,0.3
20200706,180,93.5,1,0.3
20200707,63,97.8,0,0.4
20200708,202,100.6,0,0.3
20200709,119,102.8,0,0.3
20200710,157,105.4,0,0.3
20200711,163,108.0,1,0.4
20200712,98,106.3,0,0.4
20200713,69,114.2,1,0.4
20200714,94,120.3,0,0.5
20200715,150,122.4,1,0.4
20200716,100,125.1,1,0.4
20200717,126,121.8,1,0.4
20200718,111,124.5,0,0.6
20200719,96,122.4,0,0.8
20200720,94,121.4,0,0.8
20200721,88,123.6,1,1.0
20200722,40,123.4,0,1.0
20200723,240,124.5,1,1.0
20200724,201,126.9,1,1.1
20200725,122,126.3,0,1.3
20200726,114,124.0,0,1.3
20200727,110,124.8,1,1.3
20200728,121,127.1,4,1.3
20200729,157,127.1,3,1.5
20200730,98,128.8,1,1.9
20200731,204,127.3,4,2.0
20200801,159,128.9,0,2.2
20200802,120,133.6,1,2.5
20200803,120,129.1,0,2.5
20200804,81,125.0,7,2.6
20200805,103,128.0,0,2.7
20200806,116,127.5,0,2.7
20200807,174,125.8,3,2.7
20200808,111,124.7,4,2.6
20200809,132,120.5,8,2.6
20200810,62,124.4,2,2.6
20200811,122,119.0,6,2.6
20200812,139,116.5,6,2.9
20200813,145,115.0,0,3.0
20200814,114,111.3,4,3.0
20200815,185,111.4,3,3.0
20200816,105,113.4,0,3.1
20200817,74,112.1,0,3.4
20200818,97,113.0,2,3.5
20200819,69,114.6,4,4.0
20200820,180,115.0,1,3.6
20200821,90,118.7,4,3.5
20200822,108,125.4,6,3.7
20200823,88,125.7,2,3.8
20200824,42,128.2,0,4.0
20200825,84,131.7,8,4.2
20200826,145,134.8,3,4.1
20200827,89,135.8,8,4.2
20200828,193,139.7,3,4.2
20200829,144,139.2,14,4.3
