YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,528,348.8,14,12.4
20200521,472,347.6,6,12.0
20200522,511,344.9,9,11.4
20200523,481,353.2,11,11.3
20200524,400,366.8,3,11.1
20200525,307,380.8,4,10.9
20200526,279,388.4,3,10.6
20200527,599,394.3,22,10.5
20200528,512,397.4,11,9.9
20200529,733,397.7,18,9.2
20200530,523,401.1,20,9.2
20200531,173,389.5,4,9.0
20200601,140,382.9,3,9.3
20200602,374,373.8,12,9.2
20200603,483,363.9,9,8.8
20200604,492,356.2,10,8.7
20200605,357,349.9,7,8.6
20200606,322,349.3,12,8.9
20200607,264,333.0,2,8.3
20200608,203,328.7,-1,8.0
20200609,270,307.0,15,7.7
20200610,285,300.4,10,7.4
20200611,333,305.5,11,7.2
20200612,320,310.7,7,7.1
20200613,272,305.4,2,6.8
20200614,240,303.0,1,6.7
20200615,174,301.7,2,6.7
20200616,266,309.4,9,6.6
20200617,258,319.8,10,6.3
20200618,420,329.0,6,6.3
20200619,278,334.3,11,6.4
20200620,385,350.0,14,5.9
20200621,280,362.2,0,5.5
20200622,249,372.0,1,5.3
20200623,263,384.3,5,5.1
20200624,432,406.5,7,5.1
20200625,464,420.0,9,5.1
20200626,520,434.7,0,5.1
20200627,539,445.6,11,4.9
20200628,457,461.8,0,4.5
20200629,315,477.7,0,4.3
20200630,601,504.7,7,4.0
20200701,540,530.5,2,3.7
20200702,539,553.8,7,3.6
20200703,579,565.4,3,3.7
20200704,738,598.8,0,3.6
20200705,522,617.3,0,3.3
20200706,484,638.1,0,3.1
20200707,495,655.2,9,3.0
20200708,598,676.1,2,3.1
20200709,754,693.9,2,3.1
20200710,845,712.4,5,3.1
20200711,926,737.0,7,3.6
20200712,769,745.1,-1,3.8
20200713,494,769.6,0,4.0
20200714,964,790.5,6,4.2
20200715,821,800.7,1,4.4
20200716,900,821.4,4,4.4
20200717,880,826.5,2,4.3
20200718,978,839.2,10,4.8
20200719,830,852.1,1,5.0
20200720,703,866.7,2,5.2
20200721,1117,866.0,13,5.7
20200722,712,872.5,6,6.0
20200723,1052,879.8,13,6.1
20200724,1018,875.5,0,6.0
20200725,953,864.3,13,6.4
20200726,957,867.3,1,6.8
20200727,590,864.4,1,7.0
20200728,762,869.6,13,7.5
20200729,870,878.5,5,7.3
20200730,1059,868.5,8,7.3
20200731,832,859.2,15,7.4
20200801,1062,840.5,13,7.0
20200802,922,829.3,1,7.0
20200803,404,824.1,1,6.7
20200804,728,824.3,12,6.7
20200805,884,818.4,9,7.0
20200806,839,805.4,8,7.0
20200807,989,799.0,12,7.3
20200808,1165,793.6,6,7.0
20200809,621,783.0,2,7.1
20200810,507,767.9,0,7.0
20200811,724,767.6,8,6.4
20200812,478,762.2,5,6.4
20200813,943,739.9,7,6.5
20200814,1021,739.3,7,6.7
20200815,829,735.0,13,6.3
20200816,685,729.5,1,6.2
20200817,455,731.4,0,6.3
20200818,0,724.4,0,5.9
20200819,1297,708.0,21,5.9
20200820,740,704.0,7,5.9
20200821,826,692.5,1,5.9
20200822,950,704.7,13,5.9
20200823,453,707.9,0,6.2
20200824,392,697.6,0,6.1
20200825,638,720.3,13,6.1
20200826,768,725.9,6,6.2
20200827,878,735.8,11,6.3
20200828,843,741.1,2,6.1
20200829,819,744.4,6,5.9
20200830,537,754.3,3,5.9
20200831,266,792.8,0,6.0
20200901,981,818.6,8,6.1
20200902,545,837.8,12,6.1
20200903,727,891.6,4,6.0
20200904,1498,909.6,7,6.0
20200905,946,943.4,15,6.0
20200906,893,973.9,0,6.1
20200907,567,1029.0,0,5.7
20200908,717,1109.4,0,6.0
20200909,857,1179.1,15,5.8
20200910,1547,1232.9,10,5.7
20200911,1369,1280.7,4,5.6
20200912,1353,1313.6,12,5.8
20200913,1582,1371.6,1,5.6
20200914,771,1450.9,0,5.7
20200915,1348,1498.8,10,5.8
20200916,1408,1587.9,8,5.4
20200917,2034,1650.9,3,5.3
20200918,2533,1706.1,7,5.2
20200919,2283,1784.7,3,5.9
20200920,1665,1854.3,1,6.9
20200921,1271,1918.1,2,7.4
20200922,1672,1983.6,7,7.4
20200923,1762,2056.9,8,7.8
20200924,2392,2070.4,6,8.0
20200925,2504,2114.4,9,7.9
20200926,2817,2146.4,7,8.5
20200927,2217,2189.8,0,8.9
20200928,1726,2242.1,2,9.2
20200929,2367,2263.8,17,9.6
20200930,2319,2285.6,27,10.3
20201001,2887,2333.8,21,10.6
20201002,2745,2366.4,5,11.0
20201003,2892,2442.9,19,12.2
20201004,1865,2507.0,5,13.2
20201005,1696,2571.5,4,13.7
20201006,2020,2636.1,18,14.3
20201007,2319,2771.1,16,14.3
20201008,3132,2934.7,9,14.7
20201009,2988,3121.6,16,15.1
20201010,2742,3232.0,18,15.9
20201011,2676,3329.4,7,16.9
20201012,1956,3364.9,9,16.9
20201013,3279,3455.2,34,18.7
20201014,3107,3540.0,28,19.0
20201015,3747,3631.1,17,19.1
20201016,3861,3693.8,21,19.4
20201017,0,3859.5,0,21.6
20201018,0,3945.8,0,23.0
20201019,16956,4041.6,26,25.0
20201020,4686,4154.4,33,25.3
20201021,4363,4300.4,48,27.3
20201022,3632,4342.2,22,27.7
20201023,4643,4416.0,42,27.4
20201024,4673,4550.5,25,28.3
20201025,3778,4700.4,8,29.5
20201026,3011,4821.2,10,30.5
20201027,5501,4942.7,64,32.5
20201028,4130,5031.7,45,34.2
20201029,5145,4972.4,51,34.4
20201030,5357,4916.1,24,34.7
20201031,5808,5046.9,59,36.3
20201101,3553,5198.0,16,37.0
20201102,3505,5416.6,3,43.7
20201103,6104,5598.0,52,44.7
20201104,6256,5641.2,54,46.1
20201105,6284,5762.2,38,46.3
20201106,6411,5839.7,62,46.5
20201107,7521,5939.3,45,48.3
20201108,4407,6147.9,11,49.0
20201109,4470,6257.6,17,50.6
20201110,7432,6339.5,66,53.3
20201111,7537,6397.6,62,53.0
20201112,8223,6419.8,164,52.5
20201113,8451,6417.4,62,52.8
20201114,5581,6448.1,56,55.7
20201115,6320,6435.8,12,56.5
