YYYYMMDD,NewCases,MovingAvgOfCases,NewDeaths,AvgNewDeaths
20200520,11,10.6,1,0.8
20200521,14,10.3,1,0.7
20200522,2,10.2,0,0.7
20200523,10,9.8,0,0.7
20200524,25,9.5,0,0.6
20200525,5,9.3,0,0.6
20200526,7,9.4,1,0.5
20200527,10,9.2,1,0.5
20200528,16,9.1,1,0.4
20200529,15,9.2,0,0.4
20200530,7,9.2,1,0.3
20200531,5,9.2,0,0.3
20200601,7,9.9,1,0.3
20200602,2,10.7,0,0.3
20200603,3,11.3,0,0.3
20200604,6,10.6,0,0.3
20200605,12,11.2,0,0.3
20200606,6,11.4,0,0.2
20200607,8,12.1,0,0.2
20200608,13,12.8,0,0.1
20200609,10,13.4,0,0.2
20200610,10,13.4,1,0.2
20200611,29,14.0,0,0.2
20200612,18,15.2,0,0.1
20200613,23,16.3,0,0.1
20200614,10,17.5,0,0.1
20200615,19,19.3,0,0.1
20200616,10,20.7,0,0.1
20200617,25,21.6,0,0.1
20200618,30,22.4,0,0.1
20200619,29,23.3,2,0.1
20200620,6,24.6,0,0.1
20200621,18,25.4,0,0.1
20200622,33,25.8,0,0.1
20200623,24,26.4,0,0.1
20200624,28,26.5,0,0.1
20200625,44,27.3,0,0.1
20200626,42,28.4,0,0.1
20200627,24,29.5,0,0.1
20200628,25,29.8,0,0.1
20200629,33,29.8,0,0.1
20200630,37,29.4,0,0.0
20200701,27,31.4,0,0.0
20200702,36,31.7,0,0.0
20200703,32,32.0,0,0.0
20200704,24,33.1,0,0.1
20200705,28,33.5,0,0.1
20200706,41,33.3,0,0.2
20200707,34,33.4,1,0.2
20200708,31,34.1,0,0.2
20200709,29,33.8,0,0.2
20200710,21,35.1,0,0.2
20200711,49,35.8,0,0.2
20200712,23,36.9,0,0.2
20200713,41,38.0,0,0.2
20200714,47,39.2,1,0.2
20200715,35,40.0,0,0.2
20200716,41,40.0,2,0.2
20200717,43,40.2,0,0.2
20200718,39,41.9,0,0.2
20200719,18,42.3,1,0.2
20200720,61,43.7,-1,0.2
20200721,51,44.6,1,0.2
20200722,50,44.3,0,0.2
20200723,59,45.0,0,0.2
20200724,58,45.0,0,0.3
20200725,41,44.5,0,0.2
20200726,29,44.7,0,0.2
20200727,45,44.1,0,0.1
20200728,69,44.3,1,0.2
20200729,39,43.2,0,0.2
20200730,58,44.0,0,0.1
20200731,40,40.7,0,0.2
20200801,43,39.8,0,0.2
20200802,39,38.0,0,0.2
20200803,40,36.8,1,0.2
20200804,36,37.0,0,0.2
20200805,39,37.2,0,0.2
20200806,30,38.6,0,0.2
20200807,47,38.6,1,0.2
20200808,15,36.7,0,0.2
20200809,35,38.2,0,0.4
20200810,-8,36.7,0,0.4
20200811,31,38.0,1,0.5
20200812,13,36.9,0,0.5
20200813,33,36.7,1,0.5
20200814,64,36.0,0,0.5
20200815,44,35.6,0,0.5
20200816,59,36.0,0,0.5
20200817,45,37.1,0,0.5
20200818,29,38.2,0,0.4
20200819,71,37.1,4,0.4
20200820,26,37.1,0,0.4
20200821,67,38.5,3,0.4
20200822,19,38.1,0,0.4
20200823,35,39.3,0,0.6
20200824,25,39.1,0,0.5
20200825,29,38.4,0,0.6
20200826,48,37.3,0,0.6
20200827,53,35.5,0,0.6
20200828,70,35.1,0,0.6
20200829,-8,35.5,0,0.6
20200830,34,34.3,0,0.4
20200831,21,35.3,0,0.3
20200901,24,35.2,0,0.2
20200902,37,35.9,4,0.2
20200903,30,36.6,0,0.2
20200904,49,37.7,1,0.2
20200905,0,38.5,0,0.2
20200906,42,42.2,0,0.6
20200907,0,43.8,0,0.6
20200908,73,45.0,0,0.6
20200909,47,47.0,0,0.6
20200910,47,49.7,0,0.6
20200911,65,52.1,0,0.6
20200912,33,54.4,0,0.6
20200913,49,59.9,0,0.4
20200914,48,65.0,0,0.4
20200915,46,68.1,0,0.4
20200916,126,69.2,8,0.4
20200917,86,76.2,-1,0.4
20200918,95,80.3,0,0.4
20200919,34,81.7,0,0.4
20200920,91,85.5,0,0.4
20200921,72,89.7,0,0.5
20200922,72,92.9,0,0.5
20200923,153,98.5,1,0.5
20200924,136,102.8,0,0.5
20200925,115,106.4,0,0.5
20200926,45,111.0,0,0.5
20200927,168,111.1,0,0.1
20200928,121,116.2,0,0.2
20200929,67,123.2,0,0.2
20200930,127,127.3,0,0.2
20201001,135,130.4,3,0.2
20201002,131,136.1,0,0.2
20201003,151,140.4,0,0.4
20201004,139,143.2,0,0.3
20201005,125,146.2,0,0.3
